{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' No': -0.021936277, 'No': -4.615028, '\n': -4.676906, ' ': -6.104093, ' no': -9.375997}
{' No': -0.07026132, 'No': -3.328844, '\n': -3.6411364, ' ': -5.238114, ' A': -8.759109}
{' No': -0.080974385, 'No': -3.2553842, '\n': -3.3897166, ' ': -5.28264, ' Rats': -8.670856}
{' No': -0.052124467, 'No': -3.4646819, '\n': -4.1923885, ' ': -5.6357784, ' A': -7.7432723}
{' No': -0.0661892, 'No': -3.466673, '\n': -3.6129363, ' ': -5.288069, ' Rats': -7.8643646}
{' No': -0.015856365, 'No': -4.624108, ' ': -5.6365147, '\n': -6.1622047, ' A': -9.388704}
{' No': -0.025664942, 'No': -4.105434, '\n': -5.361364, ' ': -5.5286536, ' no': -9.791726}
{' No': -0.0381685, 'No': -3.6705518, '\n': -4.878834, ' ': -5.551174, ' A': -8.424761}
{' No': -0.029748866, 'No': -3.729637, '\n': -5.955959, ' ': -6.0446124, ' Rats': -9.0386}
{' No': -0.03997879, 'No': -3.772238, '\n': -4.8480616, ' ': -5.077069, ' no': -7.007912}
{' No': -0.049949225, 'No': -3.339218, '\n': -5.0821214, ' ': -5.257355, ' no': -6.9520936}
{' Yes': -0.032171573, ' No': -3.9348412, ' Generally': -4.947603, 'Yes': -5.6863537, ' A': -7.631748}
{' Yes': -0.36167043, ' No': -1.9071605, ' Generally': -2.1763885, ' On': -4.567708, ' It': -5.082267}
{' No': -0.07319441, 'No': -2.9484556, ' Yes': -4.4925895, ' Generally': -5.489647, ' A': -7.0091186}
{' No': -0.18199101, ' Yes': -2.6022007, 'No': -2.8986313, ' Generally': -3.5679088, 'Yes': -6.5998087}
{' No': -0.07515845, 'No': -2.7736409, ' Yes': -5.137841, ' ': -6.57519, '\n': -6.79956}
{' No': -0.15213406, 'No': -2.4956818, ' Yes': -3.2316551, ' Generally': -5.344984, ' ': -5.537014}
{' No': -0.12039849, ' Yes': -2.4669178, 'No': -4.24318, ' Generally': -4.7414846, ' A': -5.6154013}
{' No': -0.5606352, ' Yes': -1.2529646, ' Generally': -2.6324277, ' Wh': -3.6477265, 'No': -3.7753263}
{' No': -0.12975149, 'No': -2.2220232, '\n': -5.7197666, ' Generally': -5.909795, ' Yes': -5.9532485}
{' No': -0.1836633, 'No': -2.0825968, ' Yes': -3.9158676, ' ': -5.2110295, ' Generally': -5.2249885}
{' No': -0.12094039, 'No': -3.0313883, ' Yes': -3.1096582, ' Generally': -4.454646, ' A': -5.475382}
{' No': -0.29490915, ' Yes': -1.9176316, 'No': -2.5221584, ' Generally': -4.2972913, 'Yes': -5.4070435}
{' Yes': -0.109859996, ' No': -2.3223634, ' ': -6.266953, 'Yes': -6.4954033, ' A': -7.2238674}
{' No': -0.13728447, ' Yes': -2.2332163, 'No': -4.8532095, ' Generally': -4.973996, ' ': -6.074057}
{' No': -0.05722718, 'No': -3.1233761, ' Yes': -5.621235, ' A': -5.8898664, ' ': -6.090295}
{' No': -0.17806092, ' Yes': -2.3267977, 'No': -3.062939, ' Generally': -5.2100945, ' ': -5.3323236}
{' No': -0.1695059, 'No': -2.43416, '\n': -3.094667, ' ': -4.389934, ' A': -5.2676883}
{' No': -0.16183299, 'No': -2.5300086, '\n': -2.885357, ' ': -4.427189, ' Yes': -7.313619}
{' No': -0.023147184, 'No': -4.4429736, ' Yes': -4.694919, ' ': -6.608653, ' A': -7.966895}
{' No': -0.06454916, ' Yes': -3.2784545, 'No': -3.8972194, ' ': -6.7140813, ' Generally': -6.757992}
{' No': -0.32410458, 'No': -1.4425585, '\n': -4.0864716, ' ': -4.2873693, ' Yes': -5.445572}
{' No': -0.32239753, 'No': -1.4074862, ' ': -4.3397045, '\n': -4.423071, ' Yes': -5.563924}
{' No': -0.4069314, ' Yes': -1.2592092, 'No': -4.083554, ' A': -4.1299458, ' ': -4.821589}
{' Yes': -0.32741928, ' No': -1.4675997, 'Yes': -4.3186026, 'No': -4.3191853, ' yes': -4.8944564}
{' No': -0.18693757, 'No': -2.1963103, ' Yes': -3.3305836, ' A': -4.6474285, ' Generally': -5.2915745}
{' Yes': -0.8131828, ' No': -1.0375288, 'No': -2.6113317, ' Wh': -3.44188, ' Generally': -3.6741407}
{' No': -0.096327014, 'No': -2.3992443, ' ': -7.7385006, ' Yes': -8.166737, ' Generally': -8.826723}
{' No': -0.24785602, 'No': -1.5817487, ' Yes': -4.8101916, ' Generally': -5.6330028, 'Yes': -7.2368884}
{' No': -0.15232526, 'No': -2.0286927, ' Yes': -4.893694, ' ': -6.8211083, 'Yes': -7.7044954}
{' No': -0.2345006, 'No': -1.6947782, ' Yes': -3.9018285, 'Yes': -6.389782, ' Generally': -6.696122}
{' No': -0.03636368, 'No': -3.498825, ' Yes': -5.383293, ' ': -8.0212145, ' Generally': -8.520614}
{' No': -0.20983574, ' Yes': -2.0671582, 'No': -3.0133882, ' Generally': -4.849396, 'Yes': -5.8990846}
{' No': -0.6375265, 'No': -0.76508045, ' Generally': -6.1471353, ' ': -6.5479364, '\n': -7.600911}
{' No': -0.6641156, 'No': -0.81438607, ' Generally': -4.4495044, ' Wh': -4.8328204, ' Yes': -5.026208}
{' No': -0.12893014, 'No': -2.1353407, ' ': -7.105582, ' Yes': -7.323922, ' Generally': -7.391856}
{' No': -0.6586409, ' Yes': -1.072648, 'No': -2.397359, ' Generally': -4.0135374, 'Yes': -4.1351113}
{' Yes': -0.19291157, ' No': -2.2734053, ' yes': -3.0708892, ' ': -4.389473, 'Yes': -5.161358}
{' Yes': -0.23302743, ' No': -1.7478284, ' yes': -4.1252546, ' ': -5.1104283, 'Yes': -5.253226}
{' No': -0.25389263, ' Yes': -2.2795274, 'No': -2.379978, ' ': -4.8150535, ' A': -4.937283}
{' No': -0.78694034, ' Yes': -0.90296817, 'No': -2.5296962, 'Yes': -4.028424, ' ': -4.407613}
{' No': -0.43082097, 'No': -1.8792976, '\n': -2.4270196, ' Yes': -2.772589, ' ': -3.7916107}
{' No': -0.6651425, 'No': -1.7965665, ' Yes': -1.8964982, '\n': -2.1921446, ' ': -3.5383418}
{' No': -0.6997647, ' Yes': -0.7533021, 'No': -4.0916615, 'Yes': -5.2768593, ' ': -5.620095}
{' No': -0.18308523, ' Yes': -2.2651393, 'No': -2.9782016, ' Generally': -5.5070634, '\n': -6.1316795}
{' No': -0.43720722, 'No': -1.2678957, '\n': -2.9288375, ' ': -4.4630523, ' Yes': -5.670822}
{' No': -0.39912286, 'No': -1.2166983, '\n': -3.9539084, ' ': -4.7742124, ' Yes': -6.08114}
{' No': -0.5677427, ' Yes': -1.154096, ' yes': -3.3566563, 'No': -3.6459286, '\n': -4.1310005}
{' Yes': -0.70884085, ' No': -1.0511605, ' yes': -2.6018043, 'No': -3.6945846, '\n': -3.941828}
{' Yes': -0.54824245, ' No': -0.90452373, '\n': -5.2880535, ' ': -5.423433, 'No': -5.6674705}
{' No': -0.036856018, 'No': -4.2113576, '\n': -4.749424, ' Yes': -5.029928, ' ': -5.6526494}
{' No': -0.0750453, 'No': -3.0692773, '\n': -4.3021703, ' ': -5.1509614, ' Yes': -5.3949513}
{' No': -0.10084689, 'No': -2.780769, '\n': -3.9416385, ' ': -5.025491, ' Generally': -5.835496}
{' No': -0.10508194, 'No': -3.1338277, ' Yes': -3.725876, '\n': -3.970465, ' ': -4.981114}
{' No': -0.076875, 'No': -3.031751, '\n': -4.2750826, ' ': -5.1635256, ' Yes': -5.5080023}
{' No': -0.057007756, ' Yes': -3.452254, 'No': -4.4027395, ' ': -5.0326204, '\n': -5.5654607}
{' No': -0.055754196, 'No': -3.5144691, '\n': -4.582463, ' ': -5.1049943, ' Yes': -5.1175003}
{' No': -0.09263784, 'No': -2.6375692, '\n': -4.6823306, ' ': -5.3712096, ' Yes': -6.162666}
{' No': -0.07599992, 'No': -2.79668, ' ': -5.2456126, '\n': -5.4934306, ' Yes': -6.0674944}
{' No': -0.5020811, ' Yes': -1.0595152, 'No': -4.272196, ' ': -4.444096, '\n': -4.5764585}
{' Yes': -0.61109936, ' No': -0.8980715, 'No': -4.245817, ' ': -4.4651527, '\n': -4.6499214}
{' Yes': -0.0028162492, 'Yes': -6.012833, ' yes': -9.187598, ' A': -9.282531, ' Absolutely': -9.449813}
{' Yes': -0.0057523116, 'Yes': -5.64986, ' Generally': -6.442159, ' yes': -8.510299, ' Wh': -9.40703}
{' Yes': -0.0124261, 'Yes': -4.49245, ' yes': -8.070235, ' A': -8.122328, ' Generally': -8.219419}
{' Yes': -0.014263573, 'Yes': -4.363104, ' Generally': -7.2927666, ' ': -8.184322, ' yes': -8.276056}
{' Yes': -0.0183812, 'Yes': -4.0994854, ' ': -7.5831904, ' A': -7.8442125, ' yes': -8.020488}
{' Yes': -0.03300084, 'Yes': -3.6290681, ' ': -6.4189734, ' No': -6.649461, ' Generally': -7.131374}
{' Yes': -0.0038542124, 'Yes': -5.769187, ' A': -8.012853, ' yes': -8.567742, ' Generally': -9.339261}
{' Yes': -0.01068814, 'Yes': -5.1562643, ' Generally': -6.0898404, ' Wh': -6.4501557, ' yes': -7.9862695}
{' Yes': -0.031320557, 'Yes': -3.635626, ' ': -6.5667973, '\n': -7.008114, ' Generally': -7.1372695}
{' Yes': -0.04151754, 'Yes': -3.3828468, ' ': -6.1353793, ' Generally': -6.461968, '\n': -7.017993}
{' Yes': -0.013559997, 'Yes': -4.46147, ' yes': -7.4010797, ' A': -7.531029, ' Generally': -8.211451}
{' Yes': -0.027002232, 'Yes': -3.76477, ' yes': -6.855968, ' Wh': -7.3247476, ' ': -7.3826623}
{' Yes': -0.0026279243, 'Yes': -6.4185214, ' ': -7.8636656, ' yes': -8.051269, ' A': -8.840173}
{' Yes': -0.005096805, 'Yes': -5.924513, ' No': -7.2617817, ' ': -7.3381977, ' yes': -7.7893033}
{' Yes': -0.025777284, 'Yes': -4.151866, ' A': -5.3723235, ' ': -6.357024, '\n': -6.5337095}
{' Yes': -0.022137294, 'Yes': -4.1608453, ' No': -6.3570695, ' ': -6.43169, ' Wh': -6.6558785}
{' Yes': -0.100999594, 'Yes': -3.1715617, '\n': -3.3308425, ' ': -4.586576, ' A': -5.1865993}
{' Yes': -0.13456874, '\n': -2.8271744, 'Yes': -3.167022, ' ': -4.33537, ' No': -4.88989}
{' Yes': -0.004325648, 'Yes': -5.788234, ' ': -7.5640593, ' yes': -7.9620585, ' A': -8.160094}
{' Yes': -0.008685491, 'Yes': -5.337121, ' No': -5.9350157, ' ': -7.6376567, ' yes': -8.008222}
{' Yes': -0.17288433, 'Yes': -2.1399767, '\n': -4.328099, ' ': -4.331494, ' A': -4.878836}
{' Yes': -0.17800587, 'Yes': -2.0197186, ' ': -4.5852284, '\n': -4.801955, ' No': -5.3516145}
{' Yes': -0.022559382, 'Yes': -4.43398, ' yes': -5.246484, ' A': -5.946357, ' ': -6.42435}
{' Yes': -0.033964362, 'Yes': -3.7950726, ' yes': -5.0580544, ' ': -6.1512713, '\n': -7.265171}
{' Yes': -0.057297807, 'Yes': -3.2913501, ' yes': -4.6397657, ' A': -5.0432425, ' ': -7.0802674}
{' Yes': -0.09990712, 'Yes': -2.891283, ' yes': -4.113514, ' Wh': -4.4802284, ' No': -5.441432}
{' Yes': -0.034449708, 'Yes': -3.4903135, ' yes': -6.530942, ' No': -7.0796113, ' ': -7.311587}
{' Yes': -0.048569184, 'Yes': -3.0992644, ' Generally': -7.350382, ' yes': -7.473124, ' No': -7.567698}
{' Yes': -0.055649206, 'Yes': -2.9673045, ' ': -6.708734, ' yes': -7.1923084, ' No': -8.379576}
{' Yes': -0.06212688, 'Yes': -2.8669422, ' yes': -6.8571396, ' No': -7.039144, ' ': -7.4047556}
{' Yes': -0.010309025, 'Yes': -4.7353835, ' yes': -7.3977313, ' No': -8.149434, ' A': -8.258418}
{' Yes': -0.018497529, 'Yes': -4.1019783, ' yes': -7.261831, ' No': -7.7470927, ' Generally': -8.433993}
{' Yes': -0.5024168, 'Yes': -1.802683, 'No': -2.2464125, ' No': -2.3032284, ' Generally': -4.8315163}
{' Yes': -0.30731842, 'Yes': -1.5099018, ' Wh': -4.3784375, ' Generally': -4.8487735, 'No': -5.037192}
{' Yes': -0.05039163, 'Yes': -3.1563067, ' yes': -5.42406, ' ': -6.7793646, 'yes': -7.934411}
{' Yes': -0.045371905, 'Yes': -3.2272031, ' yes': -5.7292705, ' ': -7.7143674, ' Generally': -7.9718833}
{' Yes': -0.03220955, ' yes': -3.988966, 'Yes': -4.588888, ' ': -6.327747, '\n': -7.5028605}
{' Yes': -0.027296206, ' yes': -4.3740883, 'Yes': -4.6344376, ' ': -6.201544, ' No': -6.503849}
{' Yes': -0.055540074, 'Yes': -3.1727562, ' yes': -5.0348606, ' ': -6.161327, '\n': -6.176259}
{' Yes': -0.06481699, 'Yes': -3.0261264, ' yes': -5.140716, '\n': -5.35366, ' ': -5.884822}
{' Yes': -0.18442886, 'Yes': -2.3050761, '\n': -3.0214608, ' ': -4.7362304, ' yes': -4.9256587}
{' Yes': -0.22060612, 'Yes': -2.079037, '\n': -2.9740698, ' ': -4.714354, ' yes': -4.743738}
{' Yes': -0.016184572, 'Yes': -4.3423448, ' yes': -6.245613, ' ': -7.3623357, '\n': -8.2980385}
{' Yes': -0.021133712, 'Yes': -4.032759, ' yes': -6.3183093, ' ': -7.611913, ' No': -7.924732}
{' Yes': -0.32863158, 'Yes': -1.611804, '\n': -2.971202, ' yes': -4.4014797, ' ': -4.5775604}
{' Yes': -0.30086052, 'Yes': -1.6092615, '\n': -3.5341995, ' yes': -4.413747, ' ': -4.843696}
{' Yes': -0.10937681, ' yes': -2.7429428, 'Yes': -3.5677812, '\n': -5.323173, ' ': -5.9557605}
{' Yes': -0.13482898, ' yes': -2.5762239, 'Yes': -3.331759, '\n': -5.183339, 'yes': -5.4296207}
{' Yes': -0.009314469, 'Yes': -5.397851, '\n': -6.052212, ' ': -6.7418785, ' yes': -7.347096}
{' Yes': -0.024540469, '\n': -4.8962574, 'Yes': -5.0167756, ' No': -5.096432, ' ': -5.926163}
{' Yes': -0.03408788, 'Yes': -4.105518, '\n': -4.586406, ' ': -5.4981914, ' A': -6.624538}
{' Yes': -0.059760544, '\n': -3.7547483, 'Yes': -3.803054, ' ': -5.0459304, ' No': -5.7573557}
{' Yes': -0.041693203, 'Yes': -3.87941, '\n': -4.622135, ' A': -5.367071, ' ': -5.4539304}
{' Yes': -0.046809338, 'Yes': -3.730281, '\n': -4.3884363, ' ': -5.256522, ' No': -6.1850014}
{' Yes': -0.021975696, ' ': -5.2167635, '\n': -5.3798704, 'Yes': -5.408574, ' A': -5.6967}
{' Yes': -0.073152855, ' No': -3.4128075, '\n': -4.1460476, ' ': -4.6414223, 'Yes': -4.729599}
{' Yes': -0.048805483, 'Yes': -3.4829464, '\n': -4.8468304, ' ': -5.4373684, ' A': -6.0586543}
{' Yes': -0.063710414, 'Yes': -3.3860178, ' No': -4.331788, ' ': -5.0674734, '\n': -5.204091}
{' Yes': -0.024139773, 'Yes': -4.6110287, ' yes': -5.3347573, ' ': -5.626431, '\n': -5.7399254}
{' Yes': -0.027965443, 'Yes': -4.0816894, ' yes': -5.299778, '\n': -5.985855, ' ': -6.014419}
{' Yes': -0.052330833, ' Generally': -3.3251843, ' No': -4.825972, 'Yes': -5.411246, ' Typically': -7.617945}
{' No': -0.87318695, ' Generally': -1.201354, ' Yes': -2.24788, ' Ge': -2.2968795, ' It': -4.0042253}
{' No': -0.7446249, ' Yes': -1.1011962, ' Generally': -2.1472566, 'No': -2.9926565, 'Yes': -4.9888225}
{' No': -0.41983467, ' Ge': -2.1604428, ' Generally': -2.3298573, 'No': -2.6574101, ' Yes': -3.2126527}
{' No': -0.18513827, 'No': -2.4549327, ' Yes': -3.1543744, ' Generally': -4.0001445, '\n': -5.0016093}
{' No': -0.23419523, 'No': -2.3127704, ' Ge': -2.6855102, ' Generally': -4.1782565, ' It': -4.764255}
{' Yes': -0.17603679, ' Generally': -2.4020958, ' No': -2.8774395, 'Yes': -5.5230675, ' A': -5.933922}
{' No': -0.24955659, ' Ge': -2.410678, ' Generally': -2.7456884, 'No': -2.9854498, ' Yes': -5.5417166}
{' No': -0.23805924, 'No': -1.9845037, ' Generally': -3.4889784, '\n': -4.1579466, ' ': -5.043742}
{' No': -0.45357305, ' Ge': -2.0098665, 'No': -2.126951, ' Generally': -3.138513, ' It': -4.0288634}
{' No': -0.46884823, ' Yes': -1.9357461, ' Generally': -2.0087767, 'No': -2.8718576, ' A': -4.3540506}
{' No': -0.6403865, ' Ge': -1.6229687, ' Generally': -2.184433, 'No': -2.5932465, ' Yes': -2.7629411}
{' Yes': -0.24120048, ' No': -1.5729342, ' ': -6.2548037, 'Yes': -6.619828, 'No': -7.051116}
{' No': -0.018858498, 'No': -4.8858037, ' Ge': -5.334908, '\n': -6.299362, ' Generally': -6.3101864}
{' No': -0.08512359, 'No': -2.6148763, '\n': -5.834917, ' ': -6.3121047, ' Generally': -6.42894}
{' No': -0.10478239, 'No': -2.7835047, ' Ge': -3.6710358, ' Generally': -5.1700974, ' ': -6.0364532}
{' No': -0.16109294, 'No': -2.3724291, '\n': -3.1446838, ' ': -5.050716, ' A': -5.686669}
{' No': -0.22979525, '\n': -2.4174974, 'No': -2.4580646, ' Ge': -4.127397, ' ': -4.4328036}
{' No': -0.01241252, 'No': -4.618758, ' Yes': -6.4931993, ' ': -7.321681, '\n': -9.233092}
{' No': -0.023974983, 'No': -3.9514346, ' Ge': -5.7810564, ' ': -7.6357145, ' It': -8.115008}
{' No': -0.33029452, 'No': -1.3661011, '\n': -4.346156, ' ': -4.823651, ' A': -5.784691}
{' No': -0.31937402, 'No': -1.4207344, '\n': -4.169143, ' ': -4.6469517, ' Ge': -5.158874}
{' No': -0.062249552, 'No': -3.1756737, ' Yes': -5.06438, ' A': -5.6068993, ' Generally': -5.7660303}
{' No': -0.2557531, ' Ge': -2.6509938, ' Yes': -2.6570287, 'No': -2.8700166, ' Generally': -4.2221284}
{' No': -0.2826741, 'No': -2.2891362, ' Yes': -2.3627293, ' Generally': -4.0144453, ' A': -4.5448}
{' No': -0.8217581, ' Ge': -1.4786718, ' Yes': -2.1064966, 'No': -2.4383028, ' Generally': -2.752258}
{' No': -0.15120316, 'No': -1.9793606, ' Yes': -7.297395, ' Generally': -7.419975, ' ': -7.5891705}
{' No': -0.34724852, 'No': -1.4669727, ' Ge': -3.3772376, ' Generally': -4.37966, ' Yes': -4.703404}
{' No': -0.2488457, 'No': -1.7174964, ' Yes': -3.4657664, ' Generally': -5.4799094, 'Yes': -6.2700663}
{' No': -0.2892156, 'No': -1.711392, ' Ge': -3.5072615, ' Yes': -3.814177, ' Generally': -4.518406}
{' No': -0.029341476, 'No': -3.7351215, ' Yes': -5.47149, ' ': -8.01353, ' Generally': -8.458986}
{' No': -0.26737663, ' Ge': -2.5982025, ' Yes': -2.6314454, 'No': -2.725987, ' Generally': -4.120938}
{'No': -0.6519649, ' No': -0.7988481, ' Generally': -4.8449216, ' Goose': -5.7117424, ' It': -5.7696815}
{' No': -0.91181743, 'No': -1.0219421, ' Ge': -1.7898921, ' Generally': -3.59617, ' It': -4.3646326}
{' No': -0.13908628, 'No': -2.1239228, ' Generally': -5.4982896, ' A': -6.516525, ' Yes': -6.715317}
{' No': -0.6108041, 'No': -1.8501763, ' Ge': -2.0466392, ' Yes': -2.473826, ' Generally': -2.7054029}
{' Yes': -0.15471119, ' No': -2.3323061, ' yes': -3.4931395, ' ': -5.1321216, 'Yes': -5.2199483}
{' No': -0.052824616, ' Yes': -3.8068128, 'No': -4.172585, ' ': -5.451157, ' Ge': -5.4819508}
{' No': -0.17344947, 'No': -2.2886171, ' Generally': -3.9867353, ' Yes': -4.007973, '\n': -5.048381}
{' No': -0.25270444, 'No': -2.028259, ' Ge': -3.4221666, ' Generally': -3.7252977, '\n': -4.509105}
{' No': -0.3898864, 'No': -1.8967986, '\n': -2.099609, ' Yes': -3.657783, ' ': -4.3408275}
{' No': -0.5915507, '\n': -1.6294955, 'No': -1.6477107, ' Ge': -3.529724, ' ': -4.111229}
{' No': -0.05771221, 'No': -3.630649, ' Yes': -3.717731, ' ': -6.318364, '\n': -6.8347583}
{' No': -0.06692501, 'No': -2.9888742, ' Yes': -5.371061, ' Ge': -5.9976974, ' Generally': -6.221288}
{' No': -0.42432493, 'No': -1.2208967, '\n': -3.1980388, ' ': -5.1358457, ' no': -6.345341}
{' No': -0.30985206, 'No': -1.4403776, '\n': -3.8298657, ' ': -5.228607, ' no': -7.04198}
{' No': -0.26173097, ' Yes': -2.7480724, 'No': -3.1391358, ' It': -3.5407665, '\n': -3.8468175}
{' Yes': -0.7895535, ' No': -1.2036828, ' Ge': -2.63716, ' yes': -2.8998268, '\n': -3.636619}
{' Yes': -0.5471356, ' No': -0.9122366, '\n': -4.6443453, ' ': -5.5028353, 'No': -6.2470827}
{' No': -0.029949741, '\n': -4.3527603, 'No': -4.6515446, ' ': -5.929096, ' Ge': -6.241667}
{' No': -0.1341541, 'No': -2.917916, '\n': -3.3498003, ' Yes': -3.696429, ' ': -4.991112}
{' No': -0.12075186, 'No': -2.6539912, '\n': -3.511552, ' Ge': -5.2062354, ' ': -5.3508368}
{' No': -0.09100526, 'No': -2.9084644, '\n': -3.8384855, ' ': -5.4101562, ' Yes': -5.8610377}
{' No': -0.0963897, 'No': -2.9230475, '\n': -3.856323, ' Ge': -4.60985, ' ': -5.188492}
{' No': -0.028297469, 'No': -4.3748436, '\n': -4.8559494, ' ': -5.143461, ' Yes': -6.8615203}
{' No': -0.035518512, 'No': -3.894859, '\n': -4.871376, ' ': -5.48093, ' Ge': -6.0919547}
{' No': -0.0906389, 'No': -2.642082, '\n': -4.595445, ' ': -5.4741893, ' A': -7.7617297}
{' No': -0.05462794, 'No': -3.1111083, ' ': -5.6105433, '\n': -5.6807737, ' Ge': -6.8047185}
{' No': -0.2829941, ' Yes': -1.6504256, 'No': -4.111581, '\n': -4.220425, ' ': -4.718247}
{' No': -0.077072375, 'No': -3.2804737, ' Ge': -4.2789707, ' Yes': -4.584814, ' ': -5.429369}
{' No': -0.08092029, ' Generally': -3.1087692, 'No': -3.7971563, ' It': -5.3940134, ' Not': -6.878657}
{' No': -0.18385504, ' Generally': -2.6793592, ' Ge': -3.2917953, 'No': -3.3012698, ' It': -4.46479}
{' No': -0.103024416, 'No': -2.6245162, ' Generally': -4.065509, ' It': -5.616881, ' ': -7.1275187}
{' No': -0.1531065, 'No': -2.3874986, ' Ge': -3.7760408, ' Generally': -4.488046, ' It': -4.584518}
{' No': -0.11560517, 'No': -2.3758743, ' Generally': -5.426339, ' It': -5.4447236, '\n': -6.176296}
{' No': -0.17110032, 'No': -2.302381, ' Ge': -3.4599736, ' It': -4.8515105, ' Generally': -5.175552}
{' No': -0.07337232, ' Generally': -3.4291782, 'No': -3.5202026, ' It': -6.281446, ' A': -6.4378777}
{' No': -0.15926956, 'No': -2.855526, ' Ge': -2.9269753, ' Generally': -3.861023, ' It': -4.9003086}
{' No': -0.17817867, 'No': -1.9765242, ' Generally': -4.6113105, '\n': -5.3485456, ' ': -5.6443486}
{' No': -0.30431297, 'No': -2.0119143, ' Ge': -2.6803598, ' Generally': -4.194888, ' It': -4.357196}
{' No': -0.13617514, 'No': -2.5106525, ' Generally': -3.5759218, ' A': -5.5068088, ' It': -5.9355164}
{' No': -0.26820576, 'No': -2.2457714, ' Ge': -2.4951382, ' Generally': -3.5124094, ' ': -5.8864317}
{' No': -0.006688125, 'No': -5.2251577, ' ': -7.525257, '\n': -8.029579, ' Generally': -8.64286}
{' No': -0.015216647, 'No': -4.6441894, ' Ge': -6.414516, '\n': -6.5662227, ' ': -6.7585235}
{' No': -0.11893278, 'No': -2.2700558, '\n': -5.7039466, ' Generally': -6.411047, ' ': -6.517362}
{' No': -0.09054532, 'No': -2.7269475, ' Ge': -4.468902, ' Generally': -5.4573817, ' ': -6.246434}
{' No': -0.18254218, 'No': -2.2119744, '\n': -3.0581408, ' ': -5.1329355, ' A': -5.9190865}
{' No': -0.3253165, '\n': -1.9663134, 'No': -2.2907171, ' ': -3.939313, ' Ge': -4.346797}
{' No': -0.015702117, 'No': -4.2112837, ' ': -7.6336675, ' It': -9.474117, ' A': -9.664394}
{' No': -0.03548479, 'No': -3.7202895, ' It': -5.3846498, ' Ge': -5.5613575, ' That': -7.2120476}
{' No': -0.29196078, 'No': -1.4484205, '\n': -4.6775675, ' ': -5.27995, ' A': -6.001503}
{' No': -0.28431273, 'No': -1.5077682, '\n': -4.462608, ' ': -4.8423014, ' Ge': -5.240993}
{' No': -0.073388934, 'No': -2.8085995, ' A': -5.984274, ' Generally': -5.9936967, ' ': -6.2293367}
{' No': -0.13373508, 'No': -2.5973427, ' Ge': -3.7100785, ' It': -4.8428893, ' Generally': -4.9332814}
{' No': -0.14193936, 'No': -2.1307433, ' Generally': -5.743928, ' A': -5.8018665, ' It': -5.955523}
{' No': -0.20161773, 'No': -2.0413277, ' Ge': -3.5632107, ' It': -4.8950577, ' Generally': -5.204385}
{' No': -0.1945293, 'No': -1.7397848, ' ': -7.3631845, ' Generally': -8.636623, ' no': -9.249102}
{' No': -0.27339214, 'No': -1.5201362, ' Ge': -4.3541284, ' Generally': -5.653809, ' It': -6.200751}
{' No': -0.26464668, 'No': -1.4658318, ' ': -7.480078, ' Generally': -8.023064, '\n': -8.27579}
{' No': -0.23600855, 'No': -1.6610802, ' Ge': -4.3083887, ' Generally': -5.8612356, ' It': -6.66703}
{' No': -0.033518817, 'No': -3.4292476, ' ': -8.35403, ' Generally': -9.205611, ' A': -9.535643}
{' No': -0.07745009, 'No': -2.7472804, ' Ge': -4.831085, ' Generally': -7.0348525, ' ': -7.729252}
{'No': -0.61808646, ' No': -0.8030515, ' Generally': -5.9414353, '\n': -5.9414544, ' ': -6.4434924}
{' No': -0.7141859, 'No': -0.8644183, ' Ge': -2.9606533, ' Generally': -4.4255548, ' It': -4.886926}
{' No': -0.15819095, 'No': -1.9756768, ' Generally': -6.141661, ' Goose': -6.569334, ' A': -6.820265}
{' No': -0.310814, 'No': -1.7277585, ' Ge': -2.8192155, ' Generally': -4.0533233, ' It': -5.731586}
