{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' YES': -11.124709, ' ': -9.617633, ' Yes': -0.0029942116, ' yes': -7.588765, 'Yes': -6.0415435}
{' ': -9.377791, ' Yes': -0.013145312, ' yes': -7.551955, 'Yes': -4.3923736, 'yes': -10.073905}
{'\n': -10.506522, ' ': -9.548839, ' Yes': -0.009410251, ' yes': -8.9051485, 'Yes': -4.6987205}
{' ': -9.846951, ' Yes': -0.0045287227, ' yes': -7.959353, 'Yes': -5.5037904, 'yes': -10.73618}
{'\n': -9.529592, ' ': -8.983932, ' Yes': -0.010998874, ' yes': -8.697266, 'Yes': -4.552985}
{'\n': -8.41571, ' ': -8.257326, ' Yes': -0.013616853, ' yes': -6.0979424, 'Yes': -4.540474}
{'\n': -10.304054, ' ': -10.080984, ' Yes': -0.0015094477, ' yes': -9.788836, 'Yes': -6.6038322}
{' YES': -10.776071, ' ': -9.712334, ' Yes': -0.005670543, ' yes': -9.50766, 'Yes': -5.208061}
{'\n': -8.812773, ' ': -9.277683, ' Yes': -0.006027512, ' yes': -9.644905, 'Yes': -5.170294}
{' YES': -11.232483, ' ': -9.958453, ' Yes': -0.0016699804, ' yes': -9.825431, 'Yes': -6.4761815}
{'\n': -9.662406, ' ': -9.352536, ' Yes': -0.009675087, ' yes': -9.844993, 'Yes': -4.666337}
{'\n': -10.080401, ' ': -9.863589, ' Yes': -0.0019563015, ' yes': -9.885245, 'Yes': -6.3187337}
{' No': -12.157016, ' ': -11.940458, ' Yes': -0.0022993444, ' yes': -10.149333, 'Yes': -6.1005864}
{' No': -11.430708, ' ': -10.851967, ' Yes': -0.01040846, ' yes': -8.933808, 'Yes': -4.5877304}
{' No': -10.736541, ' ': -10.7916765, ' Yes': -0.018177902, ' yes': -9.23489, 'Yes': -4.025445}
{' No': -12.81629, ' ': -11.993074, ' Yes': -0.0040246984, ' yes': -10.261288, 'Yes': -5.5294747}
{' ': -10.268815, ' Yes': -0.013871079, ' yes': -9.239197, 'Yes': -4.2969384, 'yes': -11.347504}
{' No': -11.573625, ' ': -10.300298, ' Yes': -0.0070702475, ' yes': -8.757339, 'Yes': -4.98636}
{' YES': -12.346749, ' ': -11.128389, ' Yes': -0.0007827492, ' yes': -9.265573, 'Yes': -7.3156915}
{' YES': -11.865288, ' ': -10.069991, ' Yes': -0.005393579, ' yes': -9.107829, 'Yes': -5.258161}
{'\n': -10.844103, ' ': -9.675589, ' Yes': -0.0060182773, ' yes': -8.996717, 'Yes': -5.154011}
{' YES': -12.54312, ' ': -10.821875, ' Yes': -0.0013257839, ' yes': -9.681261, 'Yes': -6.698406}
{'\n': -10.705973, ' ': -8.94812, ' Yes': -0.0068956423, ' yes': -9.0950985, 'Yes': -5.0223947}
{'\n': -10.073506, ' ': -8.861454, ' Yes': -0.0057894187, ' yes': -7.715994, 'Yes': -5.277964}
{' ': -11.084189, ' Yes': -0.008593563, ' yes': -8.098266, 'Yes': -4.803521, 'yes': -11.090274}
{' ': -12.464732, ' Yes': -0.012463037, ' yes': -9.164778, 'Yes': -4.400866, 'yes': -11.681594}
{' ': -10.797435, ' Yes': -0.017927919, ' yes': -8.387177, 'Yes': -4.046126, 'yes': -10.881401}
{' ': -11.487673, ' Yes': -0.005119091, ' yes': -8.817328, 'Yes': -5.312068, 'yes': -11.881831}
{' ': -10.787239, ' Yes': -0.021275261, ' yes': -8.347916, 'Yes': -3.8752449, 'yes': -10.337381}
{' ': -10.606811, ' Yes': -0.016536403, ' yes': -7.2344427, 'Yes': -4.1609244, 'yes': -10.037423}
{' ': -10.083541, ' Yes': -0.0016429952, ' yes': -7.7464337, 'Yes': -6.7675095, 'yes': -11.954424}
{' ': -9.427294, ' Yes': -0.0083302185, ' yes': -7.738159, 'Yes': -4.8610024, 'yes': -10.745735}
{' ': -9.307469, ' Yes': -0.008725895, ' yes': -8.2747755, 'Yes': -4.7907653, 'yes': -11.118792}
{' ': -9.3465185, ' Yes': -0.0030742034, ' yes': -8.094766, 'Yes': -5.935691, 'yes': -11.149318}
{'\n': -10.416904, ' ': -8.586646, ' Yes': -0.00742519, ' yes': -8.331555, 'Yes': -4.9741173}
{'\n': -9.295344, ' ': -8.039846, ' Yes': -0.009911579, ' yes': -5.934132, 'Yes': -5.004586}
{'\n': -11.133148, ' ': -10.300142, ' Yes': -0.00079927134, ' yes': -9.893394, 'Yes': -7.2761765}
{'\n': -11.28773, ' ': -9.456075, ' Yes': -0.003470561, ' yes': -9.357429, 'Yes': -5.723596}
{'\n': -9.239215, ' ': -9.274426, ' Yes': -0.0052141743, ' yes': -9.365426, 'Yes': -5.316667}
{' No': -11.731951, ' ': -9.6591425, ' Yes': -0.0009969785, ' yes': -9.891568, 'Yes': -7.057452}
{'\n': -8.893392, ' ': -8.464532, ' Yes': -0.006868093, ' yes': -9.4735365, 'Yes': -5.0507274}
{'\n': -10.473878, ' ': -9.637786, ' Yes': -0.0016243077, ' yes': -9.420087, 'Yes': -6.5416}
{' No': -0.0073688654, '\n': -13.787441, ' ': -10.593548, 'No': -4.918244, ' NO': -13.296852}
{' No': -0.030454705, ' ': -10.158424, 'No': -3.5083902, ' no': -12.804312, ' NO': -12.084076}
{' No': -0.046118513, ' ': -9.607143, 'No': -3.1013458, ' no': -12.844635, ' NO': -12.016662}
{' No': -0.010891729, ' ': -10.902607, 'No': -4.527251, ' no': -13.747425, ' NO': -13.316635}
{' No': -0.029243333, '\n': -11.3296585, ' ': -9.046716, 'No': -3.5518339, ' NO': -12.130685}
{' No': -0.024666311, ' ': -9.065178, 'No': -3.7203927, ' no': -11.835122, ' NO': -12.15531}
{' No': -0.0015709951, '\n': -11.786372, ' ': -10.106544, 'No': -6.4912405, ' NO': -13.121559}
{' No': -0.009663411, '\n': -11.597483, ' ': -9.3342, 'No': -4.6552534, ' NO': -12.782626}
{' No': -0.009575667, '\xa0': -12.468839, '\n': -9.4702, ' ': -8.793022, 'No': -4.6790285}
{' No': -0.0026121465, '\n': -12.336027, ' ': -10.083767, 'No': -5.9684663, ' NO': -13.173984}
{' No': -0.008241871, '\n': -9.375576, ' ': -8.3482, 'No': -4.844301, ' no': -12.453688}
{' No': -0.010212256, '\n': -9.258032, ' ': -8.4504385, 'No': -4.622513, ' no': -11.379975}
{' No': -0.015606398, ' ': -9.940486, 'No': -4.172659, ' no': -11.262076, ' NO': -12.108603}
{' No': -0.025600914, ' ': -11.041071, 'No': -3.6788561, 'no': -13.05431, ' no': -12.612531}
{' No': -0.049745105, '\n': -11.362599, ' ': -9.266513, 'No': -3.0283408, ' no': -11.626744}
{' No': -0.008080702, ' ': -10.449466, 'No': -4.8274813, ' no': -11.936697, ' NO': -12.731823}
{' No': -0.04906682, '\n': -11.132472, ' ': -9.131088, 'No': -3.0422022, ' no': -11.456604}
{' No': -0.06989294, '\n': -9.917306, ' ': -8.7979355, 'No': -2.6999645, ' no': -10.064848}
{' No': -0.0017135639, '\n': -11.082161, ' ': -8.846904, 'No': -6.4760976, ' no': -11.700775}
{' No': -0.013420804, '\n': -11.353627, ' ': -8.615995, 'No': -4.3337674, ' no': -11.380236}
{' No': -0.012785489, '\n': -9.588667, ' ': -8.437555, 'No': -4.3897004, ' no': -12.14077}
{' No': -0.0044487333, '\n': -11.605341, ' ': -8.7834, 'No': -5.458525, ' no': -11.567704}
{' No': -0.00904137, '\n': -9.053925, ' ': -8.129349, 'No': -4.759381, ' no': -11.690482}
{' No': -0.013692746, '\n': -8.5961895, ' ': -7.568019, 'No': -4.3585067, ' no': -9.46951}
{' No': -0.001327575, '\n': -10.143123, ' ': -9.186611, 'No': -6.742405, ' NO': -12.828314}
{' No': -0.006382568, '\n': -10.7334175, ' ': -8.870508, 'No': -5.0842843, ' NO': -12.524003}
{' No': -0.007946295, '\n': -7.624235, ' ': -8.1792755, 'No': -4.942745, ' NO': -12.448069}
{' No': -0.001826598, '\n': -11.231521, ' ': -9.08357, 'No': -6.3822246, ' NO': -12.562067}
{' No': -0.009105425, '\n': -7.894296, ' ': -7.810462, 'No': -4.7947783, ' NO': -12.292314}
{' No': -0.002971134, '\n': -9.5373125, ' ': -8.742116, 'No': -5.903577, ' no': -13.098506}
{' No': -0.006777956, ' ': -11.221178, 'No': -5.0058947, ' Yes': -10.1111765, ' NO': -13.771078}
{' No': -0.030353386, ' ': -10.527083, 'No': -3.516395, ' Yes': -8.781174, 'Yes': -12.663614}
{' No': -0.044935714, ' ': -10.171013, 'No': -3.1284602, ' Yes': -9.154449, 'Yes': -12.633931}
{' No': -0.010110553, ' ': -11.519811, 'No': -4.6108527, ' Yes': -9.178529, ' NO': -13.865152}
{' No': -0.03095138, ' ': -9.542526, 'No': -3.5307245, ' Yes': -6.8270974, 'Yes': -10.903391}
{' No': -0.049966276, ' ': -8.832084, 'No': -3.913009, ' Yes': -3.5635233, 'Yes': -8.289336}
{' No': -0.0035941426, ' ': -10.436101, 'No': -6.7946, ' Yes': -6.0203366, 'Yes': -12.559271}
{' No': -0.009989659, ' ': -9.849624, 'No': -4.6628504, ' Yes': -7.7370462, 'Yes': -12.534352}
{' No': -0.011021775, '\n': -10.374038, ' ': -8.94608, 'No': -4.770835, ' Yes': -6.0741205}
{' No': -0.0021598563, '\n': -13.388743, ' ': -10.49349, 'No': -6.253016, ' Yes': -8.515228}
{' No': -0.009083291, '\n': -9.421672, ' ': -8.30329, 'No': -4.8193097, ' Yes': -7.373379}
{' No': -0.01511825, '\n': -9.367443, ' ': -8.25853, 'No': -4.5725365, ' Yes': -5.4552307}
{' No': -0.018363899, ' ': -10.144144, 'No': -4.0411987, ' Yes': -7.494819, ' no': -11.609286}
{' No': -0.02210536, ' ': -11.4992285, 'No': -3.9081295, ' Yes': -6.349078, 'Yes': -10.662697}
{' No': -0.05393194, ' ': -9.52591, 'No': -3.3460307, ' Yes': -4.083507, 'Yes': -8.006394}
{' No': -0.00918218, ' ': -10.67733, 'No': -4.968132, ' Yes': -6.14628, 'Yes': -11.296548}
{' No': -0.30659094, ' ': -8.76125, 'No': -3.6168172, ' Yes': -1.4561155, 'Yes': -5.5779986}
{' No': -2.1366155, 'No': -5.0571017, ' Yes': -0.14678918, ' yes': -7.7353625, 'Yes': -4.467834}
{' No': -0.0016335617, ' ': -9.184612, 'No': -6.6603727, ' Yes': -8.363488, ' no': -11.740452}
{' No': -0.01013518, ' ': -9.322066, 'No': -4.6278543, ' Yes': -8.501136, ' no': -11.912633}
{' No': -0.007988831, '\n': -10.689729, ' ': -8.666184, 'No': -4.9932675, ' Yes': -6.94336}
{' No': -0.0030684634, ' ': -9.256356, 'No': -5.850185, ' Yes': -9.48413, ' no': -12.182314}
{' No': -0.008014249, '\n': -9.4318285, ' ': -8.202811, 'No': -4.8858542, ' Yes': -9.639594}
{' No': -0.010320831, '\n': -8.934193, ' ': -7.555071, 'No': -4.730028, ' Yes': -7.2541904}
{' No': -0.0016141589, '\n': -10.957134, ' ': -9.620253, 'No': -7.192463, ' Yes': -7.166298}
{' No': -0.0041682757, '\n': -11.727703, ' ': -9.592831, 'No': -5.558527, ' Yes': -8.409946}
{' No': -0.007426692, '\n': -8.76177, ' ': -8.587378, 'No': -5.185584, ' Yes': -6.5390844}
{' No': -0.0012461086, '\n': -11.961838, ' ': -9.499033, 'No': -6.878828, ' Yes': -8.940965}
{' No': -0.009648426, '\n': -8.464209, ' ': -8.014172, 'No': -4.8864827, ' Yes': -6.506766}
{' No': -0.005090753, '\n': -10.177395, ' ': -8.576841, 'No': -6.3036647, ' Yes': -5.8052883}
{' YES': -12.218921, ' ': -12.166898, ' Yes': -0.0030193785, ' yes': -10.012442, 'Yes': -5.82368}
{' YES': -11.436152, ' ': -11.449503, ' Yes': -0.011320133, ' yes': -9.087986, 'Yes': -4.499845}
{' YES': -11.372094, ' ': -11.616447, ' Yes': -0.01816558, ' yes': -9.355532, 'Yes': -4.0238075}
{' YES': -12.357809, ' ': -12.282654, ' Yes': -0.0051749293, ' yes': -10.319515, 'Yes': -5.2752285}
{' ': -11.053398, ' Yes': -0.015489923, ' yes': -9.470938, 'Yes': -4.1829586, 'yes': -11.290852}
{' YES': -11.69361, ' ': -10.580539, ' Yes': -0.009910857, ' yes': -9.145994, 'Yes': -4.6343727}
{' YES': -11.725419, ' ': -11.146507, ' Yes': -0.0011854162, ' yes': -9.697174, 'Yes': -6.8165197}
{' YES': -11.486021, ' ': -10.448555, ' Yes': -0.0067830565, ' yes': -9.36845, 'Yes': -5.0174184}
{'\n': -10.39861, ' ': -9.869662, ' Yes': -0.006049161, ' yes': -9.305417, 'Yes': -5.1432214}
{' YES': -12.053553, ' ': -11.399193, ' Yes': -0.0016249054, ' yes': -9.917041, 'Yes': -6.468027}
{'\n': -10.097265, ' ': -9.137131, ' Yes': -0.008299085, ' yes': -9.234772, 'Yes': -4.829214}
{'\n': -9.69488, ' ': -9.164519, ' Yes': -0.008578895, ' yes': -8.088174, 'Yes': -4.8254123}
{' YES': -11.539174, ' Yes': -0.00910729, ' yes': -8.428416, 'Yes': -4.732017, 'yes': -10.898538}
{' YES': -12.860586, ' Yes': -0.015843887, ' yes': -9.722482, 'Yes': -4.1576242, 'yes': -11.491714}
{' ': -11.057219, ' Yes': -0.02688442, ' yes': -8.501015, 'Yes': -3.6395628, 'yes': -10.517096}
{' ': -11.969359, ' Yes': -0.0065045273, ' yes': -8.935371, 'Yes': -5.062586, 'yes': -11.448163}
{' ': -11.051788, ' Yes': -0.023537109, ' yes': -8.853722, 'Yes': -3.7694588, 'yes': -10.484409}
{' ': -10.693296, ' Yes': -0.021049399, ' yes': -7.9011497, 'Yes': -3.8935814, 'yes': -10.036565}
{' YES': -11.585775, ' ': -10.369095, ' Yes': -0.0018236139, ' yes': -8.443784, 'Yes': -6.4664073}
{' ': -9.820189, ' Yes': -0.009852765, ' yes': -8.09777, 'Yes': -4.6667, 'yes': -10.586446}
{'\n': -11.095007, ' ': -9.786336, ' Yes': -0.006968925, ' yes': -9.104632, 'Yes': -4.999036}
{' ': -9.995023, ' Yes': -0.0032926972, ' yes': -8.491494, 'Yes': -5.8063245, 'yes': -11.265225}
{'\n': -10.118714, ' ': -9.092959, ' Yes': -0.008332924, ' yes': -8.842053, 'Yes': -4.831716}
{'\n': -8.751806, ' ': -8.395826, ' Yes': -0.01240015, ' yes': -6.396572, 'Yes': -4.5876946}
{'\n': -10.640418, ' ': -10.40068, ' Yes': -0.0011016934, ' yes': -10.142998, 'Yes': -6.9153657}
{'\n': -10.989868, ' ': -9.857323, ' Yes': -0.0046042292, ' yes': -9.561062, 'Yes': -5.4184146}
{'\n': -9.238766, ' ': -9.502639, ' Yes': -0.005076137, ' yes': -9.742821, 'Yes': -5.335434}
{'\n': -11.575665, ' ': -10.297003, ' Yes': -0.001254822, ' yes': -10.207315, 'Yes': -6.7565327}
{'\n': -8.945442, ' ': -9.054992, ' Yes': -0.0077847047, ' yes': -9.92003, 'Yes': -4.9001684}
{'\n': -10.212965, ' ': -9.884697, ' Yes': -0.002416746, ' yes': -9.98493, 'Yes': -6.086453}
{' No': -12.100344, ' ': -11.822003, ' Yes': -0.0024484706, ' yes': -10.259158, 'Yes': -6.0350375}
{' No': -10.986137, ' ': -10.881092, ' Yes': -0.00960034, ' yes': -9.012966, 'Yes': -4.6691823}
{' No': -10.643658, ' ': -10.296852, ' Yes': -0.017675996, ' yes': -9.126606, 'Yes': -4.0551834}
{' No': -12.69365, ' ': -11.781492, ' Yes': -0.0042405827, ' yes': -10.336895, 'Yes': -5.4767385}
{' No': -11.077286, ' ': -10.371685, ' Yes': -0.012414996, ' yes': -9.375797, 'Yes': -4.407585}
{' ': -10.437816, ' Yes': -0.006754552, ' yes': -8.716264, 'Yes': -5.0334725, 'yes': -11.806842}
{' YES': -12.410826, ' ': -11.022319, ' Yes': -0.00075298175, ' yes': -9.382863, 'Yes': -7.3495307}
{' YES': -12.012798, ' ': -10.161768, ' Yes': -0.0051824185, ' yes': -9.224542, 'Yes': -5.2964873}
{'\n': -10.4452915, ' ': -9.384867, ' Yes': -0.0061442107, ' yes': -9.052677, 'Yes': -5.1380844}
{' YES': -12.444081, ' ': -10.755423, ' Yes': -0.0014944649, ' yes': -9.731561, 'Yes': -6.570641}
{'\n': -10.07548, ' ': -8.792035, ' Yes': -0.0064003235, ' yes': -9.251975, 'Yes': -5.104871}
{'\n': -9.706074, ' ': -8.686458, ' Yes': -0.005865261, ' yes': -7.7547936, 'Yes': -5.2698097}
{' ': -10.949256, ' Yes': -0.010189012, ' yes': -7.9564924, 'Yes': -4.6335654, 'yes': -10.741363}
{' ': -12.5357685, ' Yes': -0.01408928, ' yes': -9.128347, 'Yes': -4.2784176, 'yes': -11.422281}
{' ': -10.597466, ' Yes': -0.01763899, ' yes': -8.422824, 'Yes': -4.0624366, 'yes': -10.888617}
{' No': -11.574714, ' ': -11.612673, ' Yes': -0.005496302, ' yes': -8.933666, 'Yes': -5.236701}
{' ': -10.34318, ' Yes': -0.023449423, ' yes': -8.285585, 'Yes': -3.779339, 'yes': -10.146269}
{' ': -10.149822, ' Yes': -0.019316701, ' yes': -7.2092032, 'Yes': -4.002131, 'yes': -9.828613}
{' YES': -11.973022, ' ': -9.877321, ' Yes': -0.0015303993, ' yes': -7.7728276, 'Yes': -6.870486}
{' ': -9.229334, ' Yes': -0.007927732, ' yes': -7.8638806, 'Yes': -4.909495, 'yes': -10.80652}
{'\n': -11.345693, ' ': -9.416556, ' Yes': -0.0072358754, ' yes': -8.55243, 'Yes': -4.9757605}
{' No': -11.164354, ' ': -9.055485, ' Yes': -0.0030784488, ' yes': -8.375841, 'Yes': -5.9200516}
{'\n': -9.56536, ' ': -8.500064, ' Yes': -0.006440216, ' yes': -8.872027, 'Yes': -5.1183443}
{'\n': -9.217454, ' ': -7.979017, ' Yes': -0.009830009, ' yes': -5.9101477, 'Yes': -5.0320067}
{'\n': -10.5599, ' ': -10.177471, ' Yes': -0.00089113996, ' yes': -9.874105, 'Yes': -7.174731}
{' No': -10.710181, ' ': -9.341788, ' Yes': -0.0038374593, ' yes': -9.499165, 'Yes': -5.622638}
{'\n': -8.595042, ' ': -8.775056, ' Yes': -0.0053252047, ' yes': -9.5475855, 'Yes': -5.3246307}
{' No': -10.851162, ' ': -9.472577, ' Yes': -0.0010135653, ' yes': -10.160982, 'Yes': -7.057515}
{'\n': -8.765174, ' ': -8.365069, ' Yes': -0.007714787, ' yes': -9.661679, 'Yes': -4.932147}
{'\n': -10.132441, ' ': -9.4061985, ' Yes': -0.0018126843, ' yes': -9.351525, 'Yes': -6.441132}
{' No': -0.0052233418, ' ': -10.614606, 'No': -5.262719, ' no': -14.007338, ' NO': -13.410489}
{' No': -0.023824936, ' ': -10.095893, 'No': -3.7511637, ' no': -12.910308, ' NO': -12.009461}
{' No': -0.039293617, '\n': -12.910281, ' ': -9.398039, 'No': -3.2588084, ' NO': -12.016079}
{' No': -0.011174317, ' ': -10.797763, 'No': -4.501933, ' no': -13.835127, ' NO': -13.180511}
{' No': -0.0261784, '\n': -11.3659725, ' ': -9.05405, 'No': -3.6615582, ' NO': -12.2020855}
{' No': -0.024580235, ' ': -8.987303, 'No': -3.7242737, ' no': -11.933253, ' NO': -12.188664}
{' No': -0.0014376382, '\n': -11.729289, ' ': -10.070176, 'No': -6.584718, ' no': -13.100121}
{' No': -0.010680126, '\n': -11.516446, ' ': -9.27363, 'No': -4.5553293, ' NO': -12.717404}
{' No': -0.0104226135, '\xa0': -12.416995, '\n': -9.359111, ' ': -8.74305, 'No': -4.5942807}
{' No': -0.0026210495, '\n': -12.418868, ' ': -9.986233, 'No': -5.9665604, ' NO': -13.164021}
{' No': -0.008496898, '\xa0': -12.54966, '\n': -9.318294, ' ': -8.356044, 'No': -4.813031}
{' No': -0.010341428, '\n': -9.137019, ' ': -8.349917, 'No': -4.613443, ' no': -11.3023405}
{' No': -0.015131439, ' ': -9.700567, 'No': -4.20451, ' no': -11.245087, ' NO': -12.011269}
{' No': -0.02651779, ' ': -11.03105, 'No': -3.644085, 'no': -13.117055, ' no': -12.759299}
{' No': -0.060157925, '\n': -10.954843, ' ': -9.014707, 'No': -2.8435977, ' no': -11.65859}
{' No': -0.0086471895, ' ': -10.170039, 'No': -4.76093, ' no': -11.895631, ' NO': -12.539793}
{' No': -0.05181732, '\n': -11.107663, ' ': -9.065912, 'No': -2.9890425, ' no': -11.452217}
{' No': -0.063712895, '\n': -9.727403, ' ': -8.611552, 'No': -2.7906377, ' no': -10.086842}
{' No': -0.0018658907, '\n': -11.008976, ' ': -8.906212, 'No': -6.3769403, ' no': -11.802113}
{' No': -0.014584249, '\n': -11.509788, ' ': -8.718386, 'No': -4.24849, ' no': -11.470908}
{' No': -0.014844407, '\n': -9.180989, ' ': -8.277745, 'No': -4.2431383, ' no': -12.206781}
{' No': -0.0044117332, '\n': -11.409645, ' ': -8.644175, 'No': -5.472955, ' no': -11.633413}
{' No': -0.008933893, '\n': -8.802858, ' ': -7.9934616, 'No': -4.7808414, ' no': -11.823314}
{' No': -0.013359913, '\n': -8.435068, ' ': -7.4178796, 'No': -4.3937635, ' no': -9.487034}
{' No': -0.0014529193, '\n': -9.869458, ' ': -9.066405, 'No': -6.6614203, ' NO': -12.754233}
{' No': -0.0071876673, '\n': -10.503739, ' ': -8.712401, 'No': -4.967276, ' NO': -12.329315}
{' No': -0.008834005, '\n': -7.4758472, ' ': -8.032155, 'No': -4.8419576, ' NO': -12.34508}
{' No': -0.0019580943, '\n': -11.150737, ' ': -8.975213, 'No': -6.315566, ' NO': -12.472372}
{' No': -0.009026632, '\n': -7.8868246, ' ': -7.696986, 'No': -4.8106217, ' NO': -12.398666}
{' No': -0.0033483133, '\n': -9.199634, ' ': -8.496516, 'No': -5.7988153, ' no': -12.960135}
{' No': -0.007411681, ' ': -10.864108, 'No': -4.919334, ' Yes': -9.774283, ' NO': -13.266588}
{' No': -0.033628415, ' ': -10.00907, 'No': -3.416494, ' Yes': -8.6107235, ' NO': -12.242194}
{' No': -0.05344421, ' ': -9.744537, 'No': -2.9617772, ' Yes': -8.352665, 'Yes': -11.764379}
{' No': -0.0120221395, ' ': -10.960669, 'No': -4.445339, ' Yes': -8.543469, 'Yes': -13.236667}
{' No': -0.038213152, ' ': -8.93068, 'No': -3.4028025, ' Yes': -5.5258665, 'Yes': -9.531426}
{' No': -0.028368045, ' ': -8.599848, 'No': -3.8453004, ' Yes': -5.0642242, 'Yes': -9.6411}
{' No': -0.03381903, ' ': -9.72105, 'No': -6.6197124, ' Yes': -3.4483466, 'Yes': -10.003335}
{' No': -0.011663688, ' ': -9.273378, 'No': -4.600258, ' Yes': -6.552088, 'Yes': -11.16043}
{' No': -0.02452996, ' ': -8.403609, 'No': -4.7374053, ' Yes': -4.196363, 'Yes': -9.019891}
{' No': -0.0031390772, ' ': -9.974948, 'No': -5.998452, ' Yes': -7.42253, 'Yes': -13.140584}
{' No': -0.016908849, '\n': -9.216738, ' ': -7.856716, 'No': -4.654152, ' Yes': -5.008089}
{' No': -0.04207036, ' ': -7.6754837, 'No': -4.5361023, ' Yes': -3.5196438, 'Yes': -8.315027}
{' No': -0.0259102, ' ': -9.730832, 'No': -3.695876, ' Yes': -7.326424, 'Yes': -11.390288}
{' No': -0.043000236, ' ': -10.9137535, 'No': -3.4715526, ' Yes': -4.5303793, 'Yes': -8.434808}
{' No': -0.141988, ' ': -8.67195, 'No': -3.134963, ' Yes': -2.4479268, 'Yes': -6.143725}
{' No': -0.029724492, ' ': -9.960796, 'No': -4.6142526, ' Yes': -3.9536157, 'Yes': -8.947031}
{' No': -0.17332178, ' ': -8.463698, 'No': -3.0703974, ' Yes': -2.2100325, 'Yes': -5.9032526}
{' No': -1.2938612, 'No': -3.9849813, ' Yes': -0.36565372, ' yes': -7.4493175, 'Yes': -4.385828}
{' No': -0.0023559825, ' ': -8.718014, 'No': -6.369475, ' Yes': -7.7014413, ' no': -11.340462}
{' No': -0.0143374, ' ': -8.834877, 'No': -4.316358, ' Yes': -7.2466884, 'Yes': -11.564656}
{' No': -0.015388531, ' ': -8.144193, 'No': -4.848318, ' Yes': -4.958231, 'Yes': -9.799318}
{' No': -0.0040748473, ' ': -8.891176, 'No': -5.6425767, ' Yes': -7.907261, ' no': -12.063858}
{' No': -0.010368828, '\n': -9.140572, ' ': -7.890939, 'No': -4.661047, ' Yes': -7.92387}
{' No': -0.013396819, '\n': -8.72153, ' ': -7.3583403, 'No': -4.5166717, ' Yes': -6.5212226}
{' No': -0.0019865234, '\n': -10.494195, ' ': -9.136134, 'No': -7.007048, ' Yes': -6.9721327}
{' No': -0.005560073, '\n': -11.176919, ' ': -8.909435, 'No': -5.3699913, ' Yes': -7.221903}
{' No': -0.023004517, '\n': -7.786941, ' ': -7.6260924, 'No': -5.097673, ' Yes': -4.1584873}
{' No': -0.0019935097, '\n': -11.9038, ' ': -9.072815, 'No': -6.682924, ' Yes': -7.3990436}
{' No': -0.025639074, '\n': -7.8552856, ' ': -7.197975, 'No': -4.867905, ' Yes': -4.1135635}
{' No': -0.014054462, '\n': -9.141896, ' ': -7.886702, 'No': -6.4344316, ' Yes': -4.4361925}
{' YES': -11.747149, ' ': -11.705094, ' Yes': -0.0035331878, ' yes': -9.637543, 'Yes': -5.6722975}
{' YES': -10.94682, ' ': -10.995873, ' Yes': -0.0128438715, ' yes': -8.811395, 'Yes': -4.3771853}
{' YES': -10.98766, ' Yes': -0.018949127, ' yes': -9.069833, 'Yes': -3.9840634, 'yes': -11.082408}
{' YES': -11.991843, ' ': -12.003856, ' Yes': -0.0062907347, ' yes': -10.135256, 'Yes': -5.0809464}
{' ': -10.666434, ' Yes': -0.016986568, ' yes': -9.248162, 'Yes': -4.0929885, 'yes': -10.894954}
{' ': -10.595038, ' Yes': -0.0096014235, ' yes': -8.9914255, 'Yes': -4.66863, 'yes': -11.524356}
{' YES': -11.456441, ' ': -11.067419, ' Yes': -0.0012262336, ' yes': -9.381702, 'Yes': -6.804796}
{' YES': -10.96693, ' ': -10.145952, ' Yes': -0.007790051, ' yes': -9.041004, 'Yes': -4.8843617}
{'\n': -9.904822, ' ': -9.605046, ' Yes': -0.006404344, ' yes': -9.010034, 'Yes': -5.0966196}
{' YES': -11.761163, ' ': -11.036091, ' Yes': -0.001764617, ' yes': -9.736496, 'Yes': -6.392816}
{'\n': -9.84726, ' ': -8.92492, ' Yes': -0.010442067, ' yes': -9.018781, 'Yes': -4.6008983}
