{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -0.10931484, ' Ko': -5.9846325, '\n': -6.068015, ' ': -5.8385034, 'No': -2.3703697}
{' No': -0.12682477, ' Ko': -8.896413, ' ': -7.343213, 'No': -2.1380706, ' no': -8.422721}
{' No': -0.11238951, ' Ko': -7.8709636, '\n': -8.970083, ' ': -7.2181673, 'No': -2.2549121}
{' No': -0.18794622, ' Ko': -8.616133, '\n': -7.5230374, ' ': -6.7802863, 'No': -1.7774733}
{' No': -0.18608752, ' Ko': -6.4654527, '\n': -6.631169, ' ': -6.220797, 'No': -1.8073909}
{' No': -0.030566053, ' Ko': -9.512715, ' ': -7.90711, 'No': -3.5244093, ' no': -9.333622}
{' No': -0.037990984, ' Ko': -7.0307164, '\n': -9.579113, ' ': -6.9538975, 'No': -3.3484077}
{' No': -0.5704746, ' Ko': -6.2401013, '\n': -6.0018935, ' ': -6.3064623, 'No': -0.8509216}
{' No': -0.4013297, ' Ko': -4.524037, '\n': -5.49896, ' ': -5.6546474, 'No': -1.173743}
{' No': -0.16368182, ' Ko': -6.626754, '\n': -6.391664, ' ': -6.6481104, 'No': -1.9281033}
{' No': -0.17676033, ' Ko': -5.5691667, '\n': -7.0033016, ' ': -6.5277567, 'No': -1.8654696}
{' No': -0.030472528, '\n': -6.8970733, ' ': -5.1486363, 'No': -3.9699867, ' no': -5.55044}
{' No': -0.023169143, '\n': -6.422201, ' ': -5.395636, 'No': -4.2790093, ' no': -6.016678}
{' No': -0.08834987, '\n': -5.665227, ' ': -5.824701, 'No': -2.5677447, ' no': -6.8829145}
{' No': -0.085560024, '\n': -5.0301075, ' ': -5.459797, 'No': -2.66169, ' no': -7.425783}
{' No': -0.17617269, '\n': -3.5683806, ' ': -5.402122, 'No': -2.0663724, ' no': -6.9174194}
{' No': -0.26121342, ' Ko': -6.6324415, '\n': -2.6578941, ' ': -4.7226896, 'No': -1.9139272}
{' No': -0.023535157, '\n': -7.9001565, ' ': -6.578184, 'No': -3.8609126, ' no': -7.941183}
{' No': -0.027678013, '\n': -7.195036, ' ': -6.375168, 'No': -3.7215753, ' no': -7.999069}
{' No': -0.29002362, '\n': -3.5292318, ' ': -5.0435066, 'No': -1.554943, ' no': -5.908048}
{' No': -0.3037762, '\n': -2.8282073, ' ': -4.5040507, 'No': -1.6959976, ' no': -5.3317494}
{' No': -0.0819267, '\n': -5.521698, ' ': -5.4727383, 'No': -2.9764426, ' no': -4.067338}
{' No': -0.10916791, '\n': -4.442571, ' ': -4.9782996, 'No': -2.7122238, ' no': -4.306771}
{' No': -0.015634187, '\n': -5.646486, ' ': -6.2882032, 'No': -4.627031, ' A': -9.0329275}
{' No': -0.019132411, ' Ko': -7.399757, '\n': -4.860355, ' ': -5.8674045, 'No': -4.8763976}
{' No': -0.06686097, '\n': -3.824704, ' ': -5.14457, 'No': -3.3129356, ' A': -8.414405}
{' No': -0.10832526, ' Ko': -5.8628454, '\n': -2.8380902, ' ': -4.760434, 'No': -3.429847}
{' No': -0.058559917, '\n': -4.1933007, ' ': -5.3904138, 'No': -3.317515, ' A': -7.5981326}
{' No': -0.0645097, ' Ko': -6.1762667, '\n': -3.6905603, ' ': -4.9986353, 'No': -3.5658598}
{' No': -0.018208435, '\n': -5.988732, ' ': -5.743527, 'No': -4.4109983, ' A': -9.697853}
{' No': -0.024586162, ' Ko': -7.033497, '\n': -5.118061, ' ': -5.3013477, 'No': -4.3989873}
{' No': -0.04176722, '\n': -5.328062, ' ': -5.685831, 'No': -3.436174, ' A': -8.34692}
{' No': -0.031713065, ' Ko': -7.152302, '\n': -5.7492433, ' ': -5.5422835, 'No': -3.7689164}
{' No': -0.0402848, '\n': -5.1656747, ' ': -5.2966733, 'No': -3.6217186, ' A': -6.9031086}
{' No': -0.041248232, ' Ko': -5.666885, '\n': -5.6584277, ' ': -5.3012776, 'No': -3.5935397}
{' No': -0.016672518, ' Ko': -7.9975615, '\n': -7.822685, ' Generally': -7.711072, 'No': -4.2246284}
{' No': -0.05549338, ' Ko': -3.7708826, '\n': -6.7285004, ' Generally': -6.7384386, 'No': -3.6324873}
{' No': -0.05747531, ' Ko': -7.050391, ' ': -7.032076, ' Generally': -6.63682, 'No': -2.9706736}
{' No': -0.10163558, ' Ko': -3.9759488, ' ': -6.7554846, ' Generally': -6.5807867, 'No': -2.6306958}
{' No': -0.06103053, ' Ko': -7.686966, '\n': -5.7465506, ' ': -6.3012342, 'No': -2.9379854}
{' No': -0.11609381, ' Ko': -3.526055, '\n': -4.267745, ' ': -4.85911, 'No': -2.9483745}
{' No': -0.046794347, ' Ko': -7.9118996, ' Generally': -8.00483, 'No': -3.1146157, ' A': -8.310591}
{' No': -0.06878487, ' Ko': -4.2979126, ' Generally': -7.6614475, 'No': -2.9750445, ' K': -7.783166}
{' No': -0.08778007, ' Ko': -7.075197, '\n': -5.6756206, ' ': -5.97689, 'No': -2.5759068}
{' No': -0.13573703, ' Ko': -3.3110662, '\n': -4.717276, ' ': -5.0881143, 'No': -2.7545917}
{' No': -0.097091265, ' Ko': -5.428025, ' ': -6.3278794, 'No': -2.5341032, ' A': -6.0675306}
{' No': -0.20503452, ' Ko': -3.1169548, ' Generally': -5.7823734, 'No': -2.084519, ' K': -5.913453}
{' No': -0.007341068, '\n': -7.1470675, ' ': -7.408296, 'No': -5.1619353, ' A': -9.09162}
{' No': -0.01950522, ' Ko': -5.2701116, '\n': -5.4870114, ' ': -6.8092704, 'No': -4.8795214}
{' No': -0.04655391, '\n': -5.70151, ' ': -6.5104337, 'No': -3.2296174, ' A': -7.4445796}
{' No': -0.069747224, ' Ko': -5.0398474, '\n': -5.900645, ' ': -6.185206, 'No': -2.9083529}
{' No': -0.19983037, '\n': -2.2422745, ' ': -4.6537313, 'No': -2.7680657, ' A': -6.349304}
{' No': -0.3906662, ' Ko': -4.294776, '\n': -1.4556572, ' ': -3.6169062, 'No': -3.1070051}
{' No': -0.00845548, '\n': -9.125452, ' ': -7.7025547, 'No': -4.861763, ' A': -9.689372}
{' No': -0.015660947, ' Ko': -5.436916, '\n': -8.413115, ' ': -7.7457843, 'No': -4.593519}
{' No': -0.13259481, '\n': -4.80174, ' ': -5.378365, 'No': -2.212383, ' A': -6.8281007}
{' No': -0.1669879, ' Ko': -5.6416807, '\n': -3.9054062, ' ': -4.6995616, 'No': -2.1314921}
{' No': -0.050963808, '\n': -6.249078, ' ': -6.0753684, 'No': -3.210393, ' A': -5.8981256}
{' No': -0.07566094, ' Ko': -4.638176, '\n': -5.7997704, ' ': -5.4028683, 'No': -2.9762099}
{' No': -0.10789633, ' Ko': -6.8658047, ' ': -7.1919813, 'No': -2.3364918, ' A': -6.4188867}
{' No': -0.198541, ' Ko': -3.9019768, '\n': -5.6714487, ' ': -6.0080166, 'No': -1.916589}
{' No': -0.17231716, '\n': -10.149454, ' ': -8.314413, 'No': -1.84609, ' no': -9.868851}
{' No': -0.14788756, ' Ko': -6.2206464, ' ': -7.8973765, ' Generally': -8.461713, 'No': -2.0093567}
{' No': -0.15796615, '\n': -7.3376703, ' ': -7.474127, 'No': -1.9340072, ' no': -8.917621}
{' No': -0.15833151, ' Ko': -7.2525034, '\n': -6.5295296, ' ': -6.9261365, 'No': -1.9499707}
{' No': -0.032701492, '\n': -10.580384, ' ': -8.164402, 'No': -3.450998, ' no': -10.128636}
{' No': -0.09462211, ' Ko': -7.0438194, ' ': -7.95365, ' Generally': -8.946396, 'No': -2.4239314}
{' No': -0.34649763, ' Ko': -6.575242, '\n': -6.464685, ' ': -6.6784196, 'No': -1.2457992}
{' No': -0.3505043, ' Ko': -3.3941042, 'No': -1.3774112, 'Ko': -6.0691395, ' K': -6.1649027}
{' No': -0.20901617, ' Ko': -6.3307543, '\n': -6.787956, ' ': -7.3035645, 'No': -1.692899}
{' No': -0.20063286, ' Ko': -4.7202826, '\n': -7.639512, ' ': -7.528275, 'No': -1.7676208}
{' No': -0.0062290155, '\n': -8.066126, ' ': -6.4544005, 'No': -5.578208, ' no': -7.6850333}
{' No': -0.008164766, ' Ko': -6.412469, '\n': -7.3152494, ' ': -7.2243586, 'No': -5.4705253}
{' No': -0.10597444, '\n': -6.2354655, ' ': -6.8341203, 'No': -2.3387282, ' no': -7.4771066}
{' No': -0.09931297, ' Ko': -6.504304, '\n': -5.9700117, ' ': -6.743016, 'No': -2.4353895}
{' No': -0.233429, '\n': -2.4292068, ' ': -4.8832984, 'No': -2.2077105, ' A': -6.7415195}
{' No': -0.35523745, ' Ko': -4.837931, '\n': -1.832887, ' ': -4.3259606, 'No': -2.2136362}
{' No': -0.012819359, '\n': -7.5627494, ' ': -7.5391264, 'No': -4.4694443, ' no': -9.040226}
{' No': -0.028403245, ' Ko': -6.278071, '\n': -6.740448, ' ': -7.423548, 'No': -3.73202}
{' No': -0.3290052, '\n': -2.6666975, ' ': -4.973522, 'No': -1.6124923, ' no': -6.095723}
{' No': -0.22288345, '\n': -2.8917277, ' ': -4.640867, 'No': -2.0582924, ' no': -5.562315}
{' No': -0.0587996, '\n': -5.358732, ' ': -5.883036, 'No': -3.325828, ' no': -4.539526}
{' No': -0.065820284, ' Ko': -5.152155, '\n': -5.3524394, 'No': -3.1267045, ' no': -5.469542}
{' No': -0.013417783, '\n': -5.1841826, ' ': -6.034766, 'No': -5.33061, ' A': -8.011778}
{' No': -0.043123633, ' Ko': -5.256373, '\n': -3.7562258, ' ': -5.418272, 'No': -4.811184}
{' No': -0.07939416, '\n': -3.4534671, ' ': -5.135216, 'No': -3.2843082, ' A': -7.3832645}
{' No': -0.24835666, ' Ko': -4.342387, '\n': -1.8640106, ' ': -4.2512937, 'No': -3.3547482}
{' No': -0.07103884, '\n': -3.7837806, ' ': -5.07878, 'No': -3.2874484, ' A': -6.4894276}
{' No': -0.12124825, ' Ko': -4.027782, '\n': -3.0054111, ' ': -4.3775387, 'No': -3.4490218}
{' No': -0.017342502, '\n': -5.3634763, ' ': -5.593802, 'No': -4.798182, ' A': -8.141274}
{' No': -0.08102893, ' Ko': -4.653735, '\n': -3.2341547, ' ': -4.6899385, 'No': -3.9867601}
{' No': -0.043273937, '\n': -5.0148716, ' ': -5.6339903, 'No': -3.4791734, ' A': -7.0257926}
{' No': -0.044480577, ' Ko': -4.9441423, '\n': -4.7819242, ' ': -5.2406263, 'No': -3.836099}
{' No': -0.061646987, '\n': -4.313169, ' ': -4.7170596, 'No': -3.4921222, ' A': -5.4547477}
{' No': -0.127649, ' Ko': -3.3955529, '\n': -3.5071425, ' ': -4.4439654, 'No': -3.2496448}
{' No': -5.6193967, ' Generally': -8.40934, ' A': -7.731249, ' Yes': -0.009096644, 'Yes': -5.3994775}
{' No': -0.3659348, ' Tigers': -6.7966156, 'No': -4.4914174, ' Yes': -1.2331395, 'Yes': -6.3415737}
{' No': -0.4808164, 'No': -3.0055337, ' A': -6.041243, ' Yes': -1.1350256, 'Yes': -5.040049}
{' No': -0.095244154, ' ': -6.6604996, 'No': -2.771981, ' Yes': -3.6564834, 'Yes': -7.426923}
{' No': -0.20732915, ' ': -6.000759, 'No': -2.4408727, ' Yes': -2.40041, 'Yes': -5.707258}
{' No': -0.12086868, '\n': -6.4222145, ' ': -5.575615, 'No': -2.4218178, ' Yes': -4.062618}
{' No': -2.4970462, 'No': -6.1506677, ' A': -6.2931232, ' Yes': -0.09772956, 'Yes': -5.24033}
{' No': -0.25817546, ' Tigers': -5.941832, 'No': -4.103138, ' Yes': -1.5792795, 'Yes': -6.5325356}
{' No': -0.14009963, '\n': -5.600848, ' ': -5.6434565, 'No': -2.2505827, ' Yes': -4.3159456}
{' No': -0.097980194, '\n': -5.686833, ' ': -5.18012, 'No': -2.679483, ' Yes': -4.383451}
{' No': -0.44871256, 'No': -3.1790173, ' A': -4.7531424, ' Yes': -1.213834, 'Yes': -5.3849106}
{' No': -0.2571279, ' Tigers': -4.505968, ' ': -5.5464334, 'No': -2.7320404, ' Yes': -1.9618798}
{' No': -3.8552072, ' ': -6.7802596, ' A': -7.908017, ' Yes': -0.026134161, 'Yes': -6.060785}
{' No': -0.11809069, '\n': -6.167437, ' ': -5.934468, 'No': -5.7677526, ' Yes': -2.2771387}
{' No': -0.053212155, '\n': -6.6257496, ' ': -6.2665358, 'No': -3.0702963, ' Yes': -6.7596273}
{' No': -0.03951595, '\n': -6.8778896, ' ': -6.188128, 'No': -3.3738225, ' Yes': -7.3439884}
{' No': -0.14301197, '\n': -3.4415803, ' ': -4.5820494, 'No': -2.6117735, ' Yes': -4.471806}
{' No': -0.1816678, ' Tigers': -6.9742403, '\n': -2.5927794, ' ': -4.3374047, 'No': -2.5708528}
{' No': -0.011454514, '\n': -9.493279, ' ': -7.094598, 'No': -4.871438, ' Yes': -5.909482}
{' No': -0.011532959, '\n': -8.730949, ' ': -6.9863195, 'No': -4.899518, ' Yes': -5.8723207}
{' No': -0.23360036, '\n': -4.362949, ' ': -4.4491057, 'No': -1.713802, ' A': -6.6251717}
{' No': -0.17599343, '\n': -4.011225, ' ': -4.315182, 'No': -2.0499158, ' no': -8.435276}
{' No': -0.9974387, 'No': -4.5285797, ' A': -5.1506023, ' Yes': -0.5107348, 'Yes': -5.007807}
{' No': -0.6148559, ' ': -5.0964804, 'No': -4.1821146, ' Yes': -0.85625565, 'Yes': -5.321948}
{' No': -0.22341624, 'No': -2.293574, ' A': -4.5763516, ' Yes': -2.5155954, 'Yes': -5.7444787}
{' No': -0.26470464, ' Tigers': -5.313853, 'No': -2.4518232, ' Yes': -2.0528154, 'Yes': -5.2318296}
{' No': -0.121881224, ' ': -7.581624, 'No': -2.1740146, ' Yes': -8.142228, ' no': -9.271022}
{' No': -0.15726243, ' ': -7.8440866, 'No': -1.9547592, ' Yes': -5.7918043, 'Yes': -8.46044}
{' No': -0.35667107, ' ': -6.8735867, 'No': -1.9764125, ' Yes': -1.8948809, 'Yes': -4.73762}
{' No': -0.20186381, ' ': -6.426559, 'No': -1.9464755, ' Yes': -3.3770652, 'Yes': -6.0257096}
{' No': -0.04255898, ' ': -8.033743, 'No': -3.5983336, ' Yes': -4.302267, 'Yes': -8.4909725}
{' No': -0.29335475, ' ': -7.0701985, 'No': -3.525063, ' Yes': -1.5155188, 'Yes': -5.6204834}
{' No': -0.53924674, ' Tigers': -5.7198076, ' ': -6.2224226, 'No': -0.90153056, ' A': -6.6222043}
{' No': -0.38282794, ' Tigers': -5.079296, ' ': -5.748237, 'No': -1.2220213, ' Yes': -5.028659}
{' No': -0.113076776, ' Tigers': -7.0399466, ' ': -6.8467093, 'No': -2.2912135, ' Yes': -6.1889443}
{' No': -0.1979539, ' Tigers': -5.25308, 'No': -2.2944162, ' Yes': -2.6893575, 'Yes': -5.9761553}
{' No': -2.9575644, ' ': -5.212489, ' Yes': -0.09265418, ' yes': -3.8831604, 'Yes': -4.963488}
{' No': -0.2310356, ' ': -4.7032495, 'No': -5.1176395, ' Yes': -1.6954502, ' yes': -6.0868816}
{' No': -0.4747084, ' ': -5.0743117, 'No': -2.942991, ' Yes': -1.2032106, 'Yes': -4.6226273}
{' No': -0.118862696, '\n': -4.931418, ' ': -4.960402, 'No': -2.6702428, ' Yes': -3.6306653}
{' No': -0.3457529, '\n': -2.8516753, ' ': -4.280184, 'No': -2.0920048, ' Yes': -2.5540028}
{' No': -0.2636275, '\n': -2.7453513, ' ': -4.1159034, 'No': -1.9898906, ' Yes': -4.6591935}
{' No': -0.7817176, ' ': -6.189625, 'No': -4.6623344, ' Yes': -0.6499179, 'Yes': -5.204113}
{' No': -0.036097866, '\n': -6.949311, ' ': -6.294988, 'No': -3.8014288, ' Yes': -4.6453867}
{' No': -0.31428888, '\n': -3.4486902, ' ': -4.7088757, 'No': -1.4918916, ' no': -6.630406}
{' No': -0.26202294, '\n': -3.2356336, ' ': -4.3835397, 'No': -1.7510841, ' no': -6.008499}
{' No': -1.3980124, 'No': -4.5225525, ' Yes': -0.39324212, ' yes': -3.3713496, 'Yes': -4.359238}
{' No': -0.23340236, '\n': -4.6962757, 'No': -3.2724075, ' Yes': -2.0251331, ' no': -4.7641945}
{' No': -2.8702533, '\n': -6.7899365, ' ': -6.584435, ' Yes': -0.06536178, 'Yes': -5.9730167}
{' No': -0.02205558, '\n': -5.4408712, ' ': -5.883151, 'No': -5.422305, ' Yes': -4.5977545}
{' No': -0.06804954, '\n': -4.5542097, ' ': -5.263667, 'No': -3.163537, ' Yes': -5.013299}
{' No': -0.0779384, '\n': -3.4172118, ' ': -5.0450115, 'No': -3.3964655, ' Yes': -6.7059045}
{' No': -0.12048819, '\n': -4.4417977, ' ': -4.978141, 'No': -3.2012548, ' Yes': -3.070508}
{' No': -0.05713321, ' Tigers': -6.951858, '\n': -4.070917, ' ': -4.919991, 'No': -3.5221312}
{' No': -0.12508282, '\n': -5.622883, ' ': -4.946421, 'No': -4.544701, ' Yes': -2.3611112}
{' No': -0.030465337, '\n': -4.695058, ' ': -5.0437174, 'No': -4.3083143, ' Yes': -7.243808}
{' No': -0.06051684, '\n': -5.4795766, ' ': -5.3532033, 'No': -3.012749, ' A': -8.157169}
{' No': -0.03372039, '\n': -5.767842, ' ': -5.629032, 'No': -3.6384945, ' no': -10.129271}
{' No': -1.5107119, '\n': -4.880229, ' ': -4.741828, ' Yes': -0.29916784, 'Yes': -4.9672136}
{' No': -0.31387216, '\n': -5.0682473, ' ': -4.607975, 'No': -4.0340624, ' Yes': -1.4794681}
{' No': -1.8931434, 'No': -6.071257, ' A': -5.771578, ' Yes': -0.17761497, 'Yes': -5.6304073}
{' No': -0.06737486, ' Tigers': -3.6799293, ' Generally': -7.0113454, 'No': -4.2884955, ' Yes': -3.7196748}
{' No': -0.46165738, ' Generally': -5.434411, 'No': -3.3033628, ' Yes': -1.1506795, 'Yes': -5.2451315}
{' No': -0.11363875, ' Tigers': -4.1351023, ' Generally': -5.7952847, 'No': -2.8139274, ' Yes': -3.734858}
{' No': -0.38091642, '\n': -5.148693, 'No': -3.573036, ' Yes': -1.3057822, 'Yes': -5.3583183}
{' No': -0.121450886, ' Tigers': -4.5873036, '\n': -4.767294, 'No': -2.8575194, ' Yes': -3.5099623}
{' No': -0.611289, ' Generally': -5.0438604, 'No': -3.6330938, ' A': -4.255002, ' Yes': -0.9091081}
{' No': -0.09819039, ' Tigers': -4.201996, ' Generally': -6.81835, 'No': -2.6343155, ' Yes': -5.4337234}
{' No': -0.2452176, ' ': -5.0682287, 'No': -2.544904, ' A': -4.6386385, ' Yes': -2.2432492}
{' No': -0.35223323, ' Tigers': -3.064086, '\n': -4.4298944, 'No': -2.5066826, ' Yes': -2.0965168}
{' No': -0.88591313, ' Generally': -4.4849634, 'No': -3.6480782, ' A': -4.2955503, ' Yes': -0.6534474}
{' No': -0.18929684, ' Tigers': -3.6155894, ' ': -5.5341415, 'No': -2.5601234, ' Yes': -2.907463}
{' No': -1.2683887, ' ': -6.636991, 'No': -6.275825, ' Yes': -0.3411427, 'Yes': -5.9499354}
{' No': -0.044486497, ' Tigers': -6.1726527, '\n': -5.1646304, 'No': -5.1354823, ' Yes': -3.5935738}
{' No': -0.057931595, '\n': -5.5894747, ' ': -5.827407, 'No': -3.071836, ' A': -6.4552298}
{' No': -0.062185172, ' Tigers': -6.0613594, '\n': -5.319452, ' ': -5.7310314, 'No': -3.0357835}
{' No': -0.28473386, '\n': -2.2342234, ' ': -4.0959272, 'No': -3.0688908, ' Yes': -2.7105722}
{' No': -0.4111074, ' Tigers': -5.4307466, '\n': -1.3335909, ' ': -3.6962442, 'No': -3.1913137}
{' No': -0.025141602, ' ': -6.9113564, 'No': -5.28501, ' A': -8.446028, ' Yes': -4.0021753}
{' No': -0.020828335, ' Tigers': -6.899732, ' ': -6.990057, 'No': -4.483631, ' Yes': -5.0163746}
{' No': -0.20542693, '\n': -3.434606, ' ': -4.229261, 'No': -2.0607793, ' Yes': -5.1211553}
{' No': -0.2835039, ' Tigers': -5.628538, '\n': -2.7919247, ' ': -3.9081013, 'No': -1.8403392}
{' No': -0.46332458, ' ': -5.122447, 'No': -4.0950804, ' A': -5.396201, ' Yes': -1.0935506}
{' No': -0.08130923, '\n': -5.586058, ' ': -4.8718576, 'No': -3.207036, ' Yes': -3.7783992}
{' No': -0.36638165, 'No': -2.6418543, ' A': -4.3911524, ' Yes': -1.5644733, 'Yes': -4.931905}
{' No': -0.20247404, ' Tigers': -3.4221756, '\n': -5.5499144, 'No': -2.3290627, ' Yes': -3.3993523}
{' No': -0.15931037, ' ': -8.080236, 'No': -1.946561, ' Yes': -5.5747385, 'Yes': -8.293377}
{' No': -0.14331616, ' Tigers': -6.3471675, 'No': -2.2534196, ' Yes': -3.741272, 'Yes': -6.7300353}
{' No': -0.5751383, ' ': -6.0482063, 'No': -2.266146, ' Yes': -1.1700957, 'Yes': -3.9857807}
{' No': -0.23825246, '\n': -5.401487, 'No': -2.0064635, ' Yes': -2.8027835, 'Yes': -5.326355}
{' No': -0.19444321, ' ': -7.561439, 'No': -3.993168, ' Yes': -1.8602471, 'Yes': -6.3412137}
{' No': -0.10285025, ' Tigers': -6.843157, 'No': -2.8155994, ' Yes': -3.3678265, 'Yes': -6.9009132}
{' No': -0.41591814, ' Tigers': -6.1002836, '\n': -6.126638, ' ': -5.996759, 'No': -1.1116217}
{' No': -0.50418246, ' Tigers': -2.8816962, '\n': -4.6172695, 'No': -1.4515738, ' Yes': -2.911304}
{' No': -0.22647567, ' ': -6.780341, 'No': -1.6656638, ' Yes': -4.63247, 'Yes': -7.12584}
{' No': -0.25269023, ' Tigers': -4.864058, 'No': -1.6905203, ' Yes': -3.7135725, 'Yes': -6.1997576}
{' No': -3.290395, ' ': -5.9324846, ' Yes': -0.05647773, ' yes': -4.5832453, 'Yes': -5.555867}
{' No': -0.86969614, '\n': -6.3727264, ' ': -5.537764, ' Yes': -0.56219345, ' yes': -6.4663625}
{' No': -0.073392466, '\n': -6.363345, ' ': -6.0448565, 'No': -2.8525498, ' Yes': -4.9274497}
{' No': -0.087418646, ' Tigers': -6.5948205, '\n': -5.321727, ' ': -5.888552, 'No': -2.6181154}
{' No': -0.45570806, '\n': -2.0265393, ' ': -4.1670346, 'No': -2.6143134, ' Yes': -2.0482466}
{' No': -0.35152274, '\n': -1.8367637, ' ': -4.0483932, 'No': -2.508776, ' Yes': -3.9339337}
{' No': -0.76064277, ' ': -6.320112, 'No': -5.2889876, ' Yes': -0.6542756, 'Yes': -5.784742}
{' No': -0.07096909, ' Tigers': -6.5870895, '\n': -6.398056, 'No': -3.6611962, ' Yes': -3.2813418}
{' No': -0.3564003, '\n': -2.5683658, ' ': -4.450045, 'No': -1.6029975, ' Yes': -5.2483144}
{' No': -0.30364022, '\n': -2.4498596, ' ': -4.1091943, 'No': -2.0129967, ' Yes': -4.268746}
{' No': -2.6529071, ' ': -5.8864236, ' Yes': -0.13761409, ' yes': -3.2029483, 'Yes': -4.781142}
{' No': -0.079074085, '\n': -4.5425158, ' ': -5.0798883, 'No': -3.3428905, ' Yes': -4.229638}
{' No': -3.9930346, '\n': -6.5839868, ' ': -6.7719417, ' Yes': -0.025894782, 'Yes': -5.6674066}
{' No': -0.054005105, '\n': -4.279368, ' ': -5.500777, 'No': -4.7288747, ' Yes': -3.7504694}
{' No': -0.14285636, '\n': -3.5629747, ' ': -4.7877, 'No': -3.2781847, ' Yes': -2.9514825}
{' No': -0.21821487, ' Tigers': -4.9461713, '\n': -2.0813777, ' ': -4.3627057, 'No': -3.1141653}
{' No': -0.37142456, '\n': -3.712716, 'No': -3.859643, ' A': -4.217404, ' Yes': -1.4495246}
{' No': -0.18366121, ' Tigers': -3.8044918, '\n': -2.4426274, ' ': -4.0149426, 'No': -3.7482917}
{' No': -0.35505718, '\n': -4.3179245, ' ': -4.5532174, 'No': -5.0467434, ' Yes': -1.333094}
{' No': -0.24316484, '\n': -2.2714374, ' ': -3.7481542, 'No': -4.1434927, ' Yes': -2.698859}
{' No': -0.10689519, '\n': -5.003038, ' ': -5.5582056, 'No': -3.4502525, ' Yes': -2.9248939}
{' No': -0.061001074, ' Tigers': -5.936254, '\n': -4.0099125, ' ': -4.6136646, 'No': -3.6591282}
{' No': -1.541185, '\n': -4.1464343, ' ': -4.395351, ' A': -4.4668827, ' Yes': -0.31706786}
{' No': -0.2635981, ' Tigers': -3.977862, '\n': -3.153002, 'No': -3.7562985, ' Yes': -2.0869489}
{' ': -10.19589, ' A': -9.52714, ' Yes': -0.00401165, ' yes': -9.628056, 'Yes': -5.580847}
{' No': -3.9003365, ' Tigers': -5.657222, 'No': -8.389678, ' Yes': -0.028441755, 'Yes': -5.6320853}
{' No': -6.5606804, ' ': -8.1881895, ' A': -7.7735105, ' Yes': -0.020279292, 'Yes': -4.056418}
{' No': -1.9356581, ' Tigers': -4.9204106, 'No': -4.5123105, ' Yes': -0.19946933, 'Yes': -4.211016}
{' No': -7.057751, '\n': -7.7565594, ' ': -7.1123333, ' Yes': -0.026213216, 'Yes': -3.7741263}
{' No': -0.7334302, ' Tigers': -3.6795187, 'No': -3.0668519, ' Yes': -0.86274284, 'Yes': -4.2066035}
{' No': -7.107875, ' A': -7.889968, ' Yes': -0.0067457906, ' yes': -9.07171, 'Yes': -5.2566633}
{' No': -1.4279504, ' Tigers': -2.955256, 'No': -5.170321, ' Yes': -0.36287355, 'Yes': -5.3481793}
{' No': -4.3231673, '\n': -6.0233436, ' ': -5.9427533, ' Yes': -0.06111309, 'Yes': -3.326776}
{' No': -1.543226, ' ': -4.689855, 'No': -3.991863, ' Yes': -0.32302272, 'Yes': -3.807861}
{' Generally': -7.447596, ' A': -7.366655, ' Yes': -0.014510101, ' yes': -7.897878, 'Yes': -4.443757}
{' No': -3.2175605, ' Tigers': -2.9105675, ' ': -5.3789163, ' Yes': -0.13792925, 'Yes': -3.8238347}
{'\n': -8.435785, ' ': -7.419658, ' Yes': -0.0041982043, ' yes': -8.23082, 'Yes': -5.9100394}
{' No': -2.8424668, '\n': -6.464688, ' ': -5.9119, ' Yes': -0.06899528, 'Yes': -6.095593}
{' No': -3.538161, ' ': -5.601799, ' A': -5.571328, ' Yes': -0.06392954, 'Yes': -3.9504936}
{' No': -1.6689849, ' Tigers': -3.7261844, ' ': -5.0381536, ' Yes': -0.27129892, 'Yes': -4.6313543}
{' No': -4.441119, '\n': -3.2028804, ' ': -4.541927, ' Yes': -0.11949854, 'Yes': -3.2173245}
{' No': -0.37184522, '\n': -1.9234254, ' ': -3.4560812, 'No': -2.7615566, ' Yes': -3.023523}
{' No': -7.874175, ' ': -7.4810033, ' Yes': -0.004248845, ' yes': -8.554788, 'Yes': -5.823035}
{' No': -0.436345, ' Tigers': -5.188443, ' ': -5.7619386, 'No': -5.3925066, ' Yes': -1.0831174}
{' No': -3.2278688, '\n': -3.80957, ' ': -3.7487946, ' Yes': -0.21610057, 'Yes': -2.4083936}
{' No': -0.20132886, '\n': -3.6501946, ' ': -3.6961637, 'No': -2.153172, ' Yes': -4.705638}
{' ': -6.288896, ' A': -6.649989, ' Yes': -0.019040855, ' yes': -5.9668117, 'Yes': -4.416866}
{' No': -4.9244313, ' Tigers': -4.501611, ' ': -5.418822, ' Yes': -0.040548008, 'Yes': -4.4821086}
{' No': -5.237661, ' A': -4.9591575, ' Yes': -0.056077737, ' yes': -5.3713527, 'Yes': -3.3642972}
{' No': -0.80930126, ' Tigers': -2.6111066, 'No': -2.911394, ' Yes': -0.9382932, 'Yes': -4.0130463}
{' No': -2.6929674, 'No': -4.407748, ' Yes': -0.14057834, ' yes': -6.620951, 'Yes': -3.038453}
{' No': -1.7865543, ' ': -6.9663143, 'No': -3.6917608, ' Yes': -0.25798234, 'Yes': -3.426111}
