{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' down': -0.6540902, ' Down': -0.8437913, ' Up': -3.3505719, ' up': -4.312167, 'down': -6.826005}
{' down': -0.92032385, ' Down': -0.93061215, ' Up': -1.9742064, ' up': -2.7028956, 'down': -7.0415735}
{' Down': -0.9898766, ' down': -1.2343206, ' Up': -1.4842823, ' up': -2.2131205, 'down': -7.27971}
{' down': -0.47958618, ' Down': -1.10315, ' Up': -3.6036513, ' up': -3.8997254, 'down': -6.7891083}
{' down': -0.6204889, ' Down': -0.818033, ' Up': -4.5165133, ' up': -5.468162, 'down': -5.5628924}
{' down': -0.4834487, ' Down': -1.0606277, ' Up': -3.982268, ' up': -4.7689157, 'down': -4.9389596}
{' Down': -0.93773884, ' down': -1.1377835, ' Up': -1.5462651, ' up': -2.6510472, 'down': -6.0791397}
{' Down': -0.51543957, ' down': -0.9309155, ' Up': -5.6221824, 'down': -6.108331, 'Down': -6.391818}
{' Down': -0.18025681, ' down': -2.0413122, ' Up': -3.4560857, ' up': -6.1372495, 'down': -7.090149}
{' Down': -0.3501653, ' down': -1.5146302, ' Up': -2.7296398, ' up': -4.752167, 'down': -6.8296247}
{' Up': -0.3175813, ' Down': -2.05451, ' up': -2.232132, ' down': -3.3243272, 'down': -8.641619}
{' Down': -0.35222548, ' down': -1.2243931, 'down': -6.650857, ' Up': -6.8828135, 'Down': -7.8823004}
{' down': -0.111663274, ' Down': -2.5176861, ' up': -4.5388713, 'down': -4.6229258, ' Up': -5.8743544}
{' down': -0.1479496, ' Down': -2.6487737, ' up': -3.053879, ' Up': -4.7201123, 'down': -4.7381077}
{' down': -0.25176612, ' up': -1.9998759, ' Down': -3.022125, ' Up': -3.6439435, 'down': -4.671606}
{' down': -0.07184598, ' Down': -3.1016881, 'down': -4.4151874, ' up': -4.7831726, ' Up': -6.315912}
{' Down': -0.07483273, ' down': -2.6376324, ' Up': -8.545612, 'Down': -8.553358, 'down': -8.868895}
{' Up': -0.13395135, ' up': -2.2304442, ' Down': -4.2941875, ' down': -5.53556, ' UP': -9.17094}
{' Down': -0.24281676, ' down': -1.5472068, ' Up': -6.3168635, ' up': -8.069383, 'down': -8.201611}
{' Up': -0.12759571, ' up': -2.5629003, ' Down': -3.3057535, ' down': -5.1426463, ' UP': -9.606059}
{' Down': -0.39916372, ' Up': -1.2593895, ' down': -3.4156048, ' up': -4.5558524, 'Down': -6.8182197}
{' Down': -0.26523903, ' Up': -1.8872749, ' down': -2.6304982, ' up': -4.900466, 'Down': -6.8285418}
{' Up': -0.24182875, ' up': -2.295286, ' Down': -2.3876474, ' down': -3.8738954, 'Up': -7.8182425}
{' Down': -0.35197735, ' Up': -1.4006281, ' down': -3.3423471, ' up': -4.357295, 'Down': -6.8546395}
{' Down': -0.36011887, ' Up': -1.4244899, ' down': -2.961141, ' up': -4.813873, 'Down': -6.969184}
{' Down': -0.4096544, ' Up': -1.8198469, ' down': -1.8419435, ' up': -4.3693595, 'down': -6.7147365}
{' Up': -0.24280164, ' Down': -2.143263, ' up': -2.6300678, ' down': -3.6824949, ' UP': -8.177789}
{' Down': -0.14643237, ' down': -2.6749473, ' Up': -2.7879918, ' up': -5.5441775, 'Down': -6.975332}
{' Down': -0.375415, ' down': -1.2482159, ' Up': -4.058795, ' up': -5.0556364, 'down': -6.5789285}
{' Up': -0.47845784, ' up': -1.0906405, ' down': -3.7006369, ' Down': -3.980132, 'up': -8.336377}
{' Down': -1.184865, ' Up': -1.288291, ' down': -1.3489943, ' up': -1.8542718, 'down': -6.706765}
{' Up': -0.86435235, ' Down': -1.3371346, ' up': -1.6950332, ' down': -2.0374937, 'down': -7.0054483}
{' Down': -0.23838401, ' down': -2.1394708, ' Up': -2.4735754, ' up': -5.587405, 'Down': -5.776331}
{' Down': -0.56011224, ' down': -0.8840811, ' Up': -5.0590878, 'down': -5.3344383, 'Down': -5.914991}
{' Up': -0.22361949, ' Down': -2.3746738, ' up': -2.539198, ' down': -3.6244488, 'Up': -7.4636154}
{' Down': -0.2688803, ' down': -1.8909526, ' Up': -2.6372504, ' up': -4.7380767, 'Down': -6.243879}
{' Down': -0.029209765, ' down': -3.6469693, ' Up': -6.229954, 'Down': -7.9350204, 'down': -8.217442}
{' Up': -0.14953242, ' Down': -2.2576714, ' up': -3.6449165, ' down': -4.8816204, ' "': -8.232254}
{' Down': -0.052829586, ' down': -2.9833064, 'Down': -8.014376, 'down': -8.15921, ' Up': -8.854804}
{' Up': -0.033987854, ' Down': -3.9676213, ' up': -4.2985964, ' down': -7.4054832, 'Up': -9.002855}
{' Down': -0.84488535, ' down': -1.362656, ' Up': -1.5369133, ' up': -2.5188012, 'down': -4.6953588}
{' down': -0.6029588, ' Down': -0.9418222, ' Up': -3.670107, ' up': -4.102213, 'down': -4.314863}
{' Up': -0.5599986, ' up': -0.9174967, ' down': -4.3208017, ' Down': -4.677512, 'Up': -5.8340216}
{' Down': -0.7418193, ' down': -1.3419248, ' Up': -1.761526, ' up': -2.5656908, 'down': -4.9717636}
{' down': -0.35888198, ' Down': -1.2081251, 'down': -6.531321, 'Down': -7.6828465, ' Even': -8.245314}
{' Up': -0.5157612, ' up': -0.93185127, ' down': -5.4544225, ' Down': -5.5989594, ' UP': -7.8302965}
{' down': -0.17174195, ' Down': -1.8661809, 'down': -6.571261, ' e': -7.2550564, ' DOWN': -8.0522585}
{' up': -0.2920773, ' Up': -1.3877956, ' down': -6.242213, ' UP': -7.117118, ' Down': -7.724862}
{' down': -0.07389444, ' Down': -2.8654687, ' even': -5.248256, 'down': -5.2695346, ' Even': -5.9049525}
{' up': -0.29681066, ' Up': -1.4901872, ' even': -4.3491726, ' Even': -5.0292897, ' e': -5.055899}
{' down': -0.09225772, ' Down': -2.552911, 'down': -5.3189287, ' e': -5.437869, 'Down': -7.454261}
{' up': -0.42748693, ' Up': -1.0627847, 'up': -7.0714607, ' UP': -7.273058, 'Up': -7.486273}
{' down': -0.12813488, ' Down': -2.2889779, 'down': -5.0542097, ' even': -5.090581, ' Even': -5.58433}
{' up': -0.60959345, ' Up': -0.82121575, ' e': -5.2877812, ' even': -6.0062532, ' ': -6.0646367}
{' down': -0.16489154, ' e': -2.4157634, ' Down': -2.9929724, 'down': -4.929944, ' up': -6.5351605}
{' up': -0.16383973, ' Up': -1.9267449, ' e': -6.2012444, 'up': -6.4118705, ' ': -7.323189}
{' down': -0.092251115, ' even': -3.3385813, ' Down': -3.5374148, ' e': -4.6790466, ' Even': -4.9545174}
{' up': -0.14910828, ' Up': -2.0432754, ' e': -5.598695, 'up': -6.4510355, ' even': -6.9128046}
{' down': -0.07123033, ' Down': -3.2787347, ' e': -3.7117007, 'down': -5.306469, ' ': -7.64299}
{' up': -0.093201526, ' Up': -2.456912, 'up': -6.7765274, ' e': -6.958504, ' UP': -7.5415797}
{' down': -0.3413412, ' Down': -1.2948649, 'down': -4.8583965, ' even': -6.0563507, 'Down': -6.36206}
{' Up': -0.44581458, ' up': -1.0918983, ' even': -5.144636, ' Even': -5.171116, ' ': -5.5935383}
{' down': -0.27488863, ' Down': -1.5039307, 'down': -4.6301, ' e': -5.5885572, 'Down': -6.1331077}
{' Up': -0.68337506, ' up': -0.71360844, 'up': -6.40041, 'Up': -6.4433737, ' UP': -6.7265368}
{' e': -0.577554, ' even': -1.7650483, ' Even': -1.9349911, ' down': -2.4570382, ' Down': -3.7352421}
{' e': -0.326037, ' Up': -2.0177922, ' up': -2.2438607, ' Even': -3.8350947, ' even': -4.5324807}
{' e': -0.2339914, ' down': -2.0075262, ' Down': -2.8881795, ' Even': -5.1898217, ' even': -5.3405156}
{' up': -0.6258997, ' Up': -0.954122, ' e': -2.5867438, ' ': -6.7546616, 'up': -6.772433}
{' down': -0.1142529, 'down': -2.8638237, ' Down': -3.1632621, 'Down': -5.341935, ' ': -6.361699}
{' up': -0.24152757, ' Up': -1.7080461, 'up': -3.702879, 'Up': -5.3815556, ' ': -6.3592415}
{' down': -0.083357, 'down': -3.1368845, ' Down': -3.3988628, 'Down': -6.0775676, ' ': -7.776749}
{' up': -0.18764216, ' Up': -1.938014, 'up': -3.9757428, 'Up': -5.2004175, ' UP': -6.2640524}
{' Down': -0.69036543, ' down': -1.0833727, ' Up': -2.2568653, ' up': -2.9041197, 'down': -7.890959}
{' Down': -0.3626056, ' down': -1.2417291, ' Up': -4.4347434, ' up': -5.8603487, 'down': -8.147695}
{' Down': -0.6621052, ' down': -0.7456147, ' Up': -5.073875, ' up': -5.8300567, 'down': -7.9997897}
{' down': -0.84827054, ' Down': -1.1862432, ' up': -1.8349955, ' Up': -2.2422848, 'down': -7.9159293}
{' Down': -0.30256358, ' down': -1.8939255, ' Up': -2.3960998, ' up': -3.9990356, 'Down': -7.3756223}
{' Down': -0.64670247, ' Up': -1.1923797, ' down': -2.0493302, ' up': -3.1493247, 'Down': -7.672922}
{' Down': -0.40865275, ' down': -1.5460428, ' Up': -2.2947001, ' up': -3.9060185, 'Down': -7.2655573}
{' Up': -0.7787445, ' Down': -1.0109165, ' up': -2.3818157, ' down': -2.479554, 'Down': -7.954424}
{' Down': -0.437225, ' Up': -1.2292076, ' down': -2.9913383, ' up': -4.534494, 'Down': -7.873719}
{' Down': -0.22004241, ' down': -2.0800107, ' Up': -2.6926281, ' up': -5.5584, 'Down': -7.4552827}
{' Down': -0.31827927, ' down': -1.5131131, ' Up': -3.0966547, ' up': -5.121279, 'Down': -7.4329486}
{' Up': -0.4081152, ' Down': -1.3387029, ' up': -3.181547, ' down': -3.479595, 'Down': -8.592011}
{' down': -0.9848736, ' Down': -1.0601547, ' Up': -1.9490095, ' up': -1.9929874, 'down': -7.2404523}
{' down': -1.0084658, ' Down': -1.159938, ' Up': -1.6756582, ' up': -2.0152597, 'down': -7.460463}
{' down': -0.8534791, ' Down': -1.0617405, ' Up': -2.0001218, ' up': -2.392324, 'down': -7.246978}
{' Up': -1.1586448, ' up': -1.2093439, ' down': -1.5761881, ' Down': -1.7169083, 'down': -7.631726}
{' Down': -0.20407581, ' Up': -2.092145, ' down': -2.8948221, ' up': -5.4777265, 'Down': -6.817862}
{' Down': -0.1381088, ' down': -2.3133848, ' Up': -3.616428, 'Down': -6.591083, ' up': -6.8003874}
{' Down': -0.2212174, ' down': -2.024337, ' Up': -2.7980912, ' up': -5.6842184, 'Down': -6.6971097}
{' Down': -0.3306823, ' Up': -1.5971866, ' down': -2.6935325, ' up': -4.6017795, 'Down': -7.116021}
{' Up': -0.682428, ' Down': -0.7993638, ' down': -3.5272174, ' up': -4.1929216, 'Down': -8.648065}
{' Down': -0.09035812, ' down': -2.7355034, ' Up': -3.9126163, ' up': -7.2614565, 'Down': -7.7335157}
{' Down': -0.12205132, ' down': -2.8619595, ' Up': -2.89748, ' up': -6.2506766, 'Down': -7.9567986}
{' Down': -0.6294522, ' Up': -0.88007975, ' down': -3.464024, ' up': -3.8815463, 'Down': -8.664771}
{' down': -0.80883497, ' Down': -0.9399099, ' Up': -2.3501348, ' up': -2.7812126, 'down': -5.6907816}
{' Down': -1.1046399, ' down': -1.2337732, ' Up': -1.3201494, ' up': -2.265891, 'down': -5.9471517}
{' down': -0.67473584, ' Down': -1.0954455, ' Up': -2.4017425, ' up': -2.8453956, 'down': -5.4692645}
{' down': -1.2274804, ' Up': -1.3429761, ' Down': -1.4666562, ' up': -1.5596985, 'down': -6.2104363}
{' Up': -0.31453007, ' up': -1.3175492, ' Down': -7.008141, ' down': -7.0298023, ' UP': -8.795192}
{' Down': -0.5228233, ' down': -0.9035834, ' Up': -6.9298134, ' up': -7.5170975, 'down': -8.082304}
{' up': -0.38428903, ' Up': -1.1434005, ' UP': -8.911913, 'up': -9.0640335, 'Up': -10.200411}
{' down': -0.14761297, ' Down': -1.9896578, 'down': -7.7705436, 'Down': -9.89461, ' DOWN': -11.04371}
{' Up': -0.036235925, ' up': -3.4173775, ' Down': -6.228273, ' down': -8.296673, 'Up': -8.349163}
{' Down': -0.11381747, ' down': -2.2552664, 'down': -6.7778335, ' Up': -7.2170844, 'Down': -7.245525}
{' Up': -0.04204319, ' up': -3.205724, 'Up': -8.534898, 'up': -8.6837225, ' Down': -8.745786}
{' Down': -0.3250216, ' down': -1.2925471, 'down': -6.0611815, 'Down': -7.494016, ' DOWN': -11.048293}
{' Up': -0.044850614, ' Down': -3.8090694, ' up': -3.9964154, ' down': -6.0913796, ' "': -7.683091}
{' Down': -0.13848935, ' down': -2.0717263, 'down': -6.4017034, 'Down': -6.9126415, ' Up': -7.75688}
{' Up': -0.022124924, ' up': -3.8513846, 'Up': -8.371207, ' UP': -8.656213, 'up': -9.26695}
{' Down': -0.10340831, ' down': -2.343553, 'down': -6.6440287, 'Down': -7.0303016, ' DOWN': -10.4193125}
{' Up': -0.29528713, ' up': -1.4172809, ' down': -5.0525255, ' Down': -5.1005926, 'Up': -8.316992}
{' Down': -0.6080914, ' down': -0.802559, ' Up': -5.5927696, ' up': -6.389169, 'down': -6.5924163}
{' up': -0.44770575, ' Up': -1.0221915, 'up': -7.516675, ' UP': -8.621129, 'Up': -8.645954}
{' down': -0.19496599, ' Down': -1.7464453, 'down': -6.0219364, 'Down': -8.191055, ' DOWN': -10.7410965}
{' Up': -0.027986526, ' up': -3.8337152, ' Down': -5.523334, 'Up': -7.519495, ' "': -7.7244277}
{' Down': -0.08245474, ' down': -2.5899296, 'Down': -6.1161118, 'down': -6.419191, ' "': -9.04187}
{' Up': -0.013828651, ' up': -4.3721833, 'Up': -7.4318824, ' UP': -8.248638, 'up': -8.767374}
{' Down': -0.12904258, ' down': -2.1484745, 'down': -6.0882993, 'Down': -6.1950765, ' DOWN': -9.9254}
{' Up': -0.012558519, ' up': -4.460406, ' Down': -7.5017037, ' UP': -8.629761, 'Up': -9.3434105}
{' Down': -0.035519995, ' down': -3.3715963, 'Down': -8.333521, 'down': -8.364245, ' Up': -10.271403}
{' Up': -0.028534787, ' up': -3.5823429, ' UP': -8.787089, 'Up': -9.255996, 'up': -9.858732}
{' Down': -0.16850466, ' down': -1.8702506, 'down': -7.251123, 'Down': -8.314946, ' DOWN': -11.119311}
{' down': -0.3486594, ' Down': -1.7149904, ' up': -2.9546504, ' Up': -3.0298152, 'down': -4.609798}
{' down': -1.0562838, ' Down': -1.3781052, ' Up': -1.4724615, ' up': -1.87961, 'down': -4.5881553}
{' up': -0.6257301, ' Up': -0.81356573, ' down': -4.6428638, 'up': -5.309402, ' Down': -5.365228}
{' down': -0.15207979, ' Down': -2.0476751, 'down': -4.546136, 'Down': -6.626759, ' ': -9.64066}
{' Down': -0.7449179, ' down': -0.99042815, ' Up': -2.1542006, ' up': -3.2869596, 'down': -8.3849745}
{' Down': -0.9171391, ' down': -1.2475493, ' Up': -1.4733047, ' up': -2.482216, 'down': -8.590895}
{' Up': -0.84895945, ' up': -1.4885812, ' Down': -1.706675, ' down': -1.8031259, 'down': -9.546931}
{' Down': -0.60292256, ' down': -0.8325025, ' Up': -4.3076744, ' up': -5.517544, 'down': -8.634199}
{' Down': -0.79662406, ' Up': -0.9491777, ' down': -2.1087482, ' up': -3.2231014, 'Down': -7.928906}
{' Down': -0.36485988, ' Up': -1.8182883, ' down': -2.0541565, ' up': -4.262393, 'down': -7.460981}
{' Down': -0.66136724, ' Up': -0.99497586, ' down': -2.5145721, ' up': -3.4243712, 'Down': -8.0767975}
{' Down': -0.30104268, ' down': -1.4934616, ' Up': -3.4796507, ' up': -5.6567855, 'Down': -7.584385}
{' Down': -0.4608414, ' down': -1.2400295, ' Up': -2.6675656, ' up': -4.7053924, 'down': -7.2640314}
{' Up': -0.16962135, ' Down': -2.472762, ' up': -2.9137561, ' down': -4.0810633, 'Up': -8.5719595}
{' Up': -0.17946118, ' up': -2.301293, ' Down': -3.0495095, ' down': -4.111901, 'Up': -8.700898}
{' Down': -0.45039377, ' down': -1.0303632, ' Up': -5.610979, 'down': -7.21289, ' up': -7.2558975}
{' down': -0.99709564, ' up': -1.1681294, ' Up': -1.534104, ' Down': -2.2635674, 'down': -8.4264965}
{' down': -0.50314367, ' Down': -1.6205658, ' up': -2.1284869, ' Up': -2.5531561, 'down': -7.6333637}
{' down': -0.9120339, ' up': -1.1757077, ' Up': -1.8089837, ' Down': -2.0781734, 'down': -7.8634477}
{' down': -0.23026182, ' Down': -1.8544625, ' up': -3.478951, ' Up': -4.0469537, 'down': -7.5082116}
{' Down': -0.25491658, ' down': -1.9500383, ' Up': -2.5837758, ' up': -5.453439, 'Down': -6.318877}
{' Up': -0.25849882, ' Down': -1.6924224, ' up': -3.7025027, ' down': -4.040546, 'Up': -7.5229006}
{' Up': -0.20112586, ' Down': -2.049032, ' up': -3.3751502, ' down': -4.0256076, 'Up': -7.6210685}
{' Down': -0.22472787, ' down': -1.6316664, ' Up': -6.1102715, 'Down': -6.315672, 'down': -6.545515}
{' Down': -0.3706333, ' down': -1.436887, ' Up': -2.7406912, ' up': -5.025777, 'down': -7.4540763}
{' Up': -0.13634071, ' up': -2.726459, ' Down': -2.9884274, ' down': -4.4859133, 'up': -9.000707}
{' Down': -0.21258192, ' down': -2.156315, ' Up': -2.6649344, ' up': -5.2143064, 'down': -7.769659}
{' Down': -0.62029815, ' Up': -1.2083031, ' down': -1.9416711, ' up': -3.9441583, 'down': -7.946117}
{' down': -0.21076003, ' Down': -1.9366168, ' up': -3.7596054, ' Up': -4.2537093, 'down': -5.1856785}
{' down': -0.38409638, ' up': -1.7833313, ' Down': -2.4383872, ' Up': -2.9111636, 'down': -5.084385}
{' down': -0.40404305, ' Down': -1.727659, ' up': -2.3532522, ' Up': -2.9648225, 'down': -5.306848}
{' down': -0.2953102, ' Down': -1.508155, ' up': -4.338395, ' Up': -4.42805, 'down': -5.073689}
{' Up': -0.105157815, ' up': -2.3427255, ' Down': -5.877533, ' down': -7.36166, 'Up': -9.122194}
{' Down': -0.42645243, ' down': -1.0596405, 'down': -8.1412, 'Down': -8.2593775, ' DOWN': -10.847585}
{' Up': -0.10476802, ' up': -2.3196099, ' Down': -7.443852, ' UP': -8.419848, ' down': -8.6377325}
{' Down': -0.2034879, ' down': -1.6945384, 'Down': -8.432945, 'down': -8.602243, ' DOWN': -11.038218}
{' Down': -0.8250067, ' Up': -1.0980093, ' down': -1.7856618, ' up': -2.87525, 'down': -6.327818}
{' Down': -0.3204387, ' down': -1.3076519, 'down': -6.4054565, 'Down': -6.718891, ' Up': -7.417436}
{' Up': -0.11214611, ' up': -2.8162954, ' Down': -3.2710927, ' down': -4.9053288, 'Up': -8.124072}
{' Down': -0.20082825, ' down': -1.7229936, 'down': -6.4660645, 'Down': -6.5823493, ' Up': -7.989718}
{' Up': -0.36866522, ' up': -1.8193333, ' Down': -2.5789502, ' down': -2.6984725, 'up': -7.1142397}
{' Down': -0.54073566, ' down': -0.88369215, 'down': -5.9251842, 'Down': -6.466467, ' DOWN': -9.4769745}
{' Up': -0.5858002, ' Down': -1.81781, ' down': -1.8897322, ' up': -2.0815449, ' "': -6.040483}
{' Down': -0.49654663, ' down': -0.95185363, 'down': -5.8897767, 'Down': -6.2737885, ' Up': -8.154066}
{' down': -0.60652477, ' Down': -1.5051588, ' up': -2.139022, ' Up': -2.19288, 'down': -6.25587}
{' down': -0.38677198, ' Down': -1.1543788, 'down': -6.364204, ' Up': -6.372221, ' up': -6.6621795}
{' Up': -0.67521125, ' up': -0.9676592, ' down': -2.5376017, ' Down': -3.481728, 'up': -8.218793}
{' down': -0.31359172, ' Down': -1.3290412, 'down': -6.22111, ' up': -6.7589207, ' Up': -7.2471547}
{' Up': -0.37759936, ' up': -2.1144633, ' Down': -2.363048, ' down': -2.3956523, 'up': -6.0975986}
{' down': -0.6720829, ' Down': -0.7333869, 'down': -5.2676044, 'Down': -5.6061244, ' DOWN': -8.630088}
{' Up': -0.8688748, ' down': -1.3632766, ' Down': -1.4938997, ' up': -2.3968022, 'down': -5.589221}
{' Down': -0.31813627, ' down': -1.3376104, 'down': -5.348091, 'Down': -5.3656764, ' DOWN': -8.279545}
{' Up': -0.051698305, ' up': -3.0278237, ' Down': -6.7860265, 'up': -8.289197, 'Up': -8.490138}
{' Down': -0.18434864, ' down': -1.7920337, 'down': -7.028865, 'Down': -7.1732097, ' "': -10.231232}
{' Up': -0.042832125, ' up': -3.3321364, ' Down': -5.3236356, ' down': -7.4603295, ' "': -7.803986}
{' Down': -0.13676617, ' down': -2.0641935, 'down': -7.70588, 'Down': -7.9011774, ' "': -10.091087}
{' up': -0.5763845, ' Up': -1.2487267, ' down': -2.242892, ' Down': -3.9061172, 'up': -4.3533616}
{' down': -0.21145599, ' Down': -1.7377163, 'down': -4.447929, 'Down': -6.08459, ' ': -7.8277564}
{' Up': -0.44103, ' up': -1.1996723, ' down': -3.5566285, ' Down': -3.9088395, 'up': -6.280181}
{' down': -0.39511806, ' Down': -1.1846575, 'down': -4.1201715, 'Down': -5.683556, ' ': -7.9898114}
{' Down': -0.47091228, ' down': -1.0142605, ' Up': -4.6350703, ' up': -6.145652, 'down': -7.2766347}
{' Down': -0.322256, ' down': -1.4369982, ' Up': -3.4478474, ' up': -5.282652, 'down': -7.484625}
{' Up': -0.85498786, ' Down': -1.5700854, ' down': -1.6645677, ' up': -1.7327212, 'down': -8.210641}
{' down': -0.4082504, ' Down': -1.0963798, 'down': -7.2124586, 'Down': -8.645506, ' Up': -9.198596}
{' down': -0.44885877, ' Down': -1.0513654, ' Up': -5.278971, ' up': -5.632948, 'down': -5.876021}
{' down': -0.6856421, ' Down': -0.80250156, ' Up': -3.5268762, ' up': -4.1688404, 'down': -6.065338}
{' down': -0.9664541, ' Down': -1.4070495, ' Up': -1.6762911, ' up': -1.6862456, 'down': -6.4679317}
{' down': -0.17275296, ' Down': -1.8705429, 'down': -5.883557, ' up': -6.9272175, ' Up': -7.7199383}
{' down': -0.521853, ' Down': -0.93120444, ' Up': -5.294497, 'down': -5.771961, ' up': -5.908108}
{' down': -0.6270239, ' Down': -0.89718467, ' Up': -3.2677822, ' up': -4.1546593, 'down': -5.9308414}
{' Up': -0.7253069, ' Down': -1.6535565, ' up': -1.79783, ' down': -1.8529525, 'down': -7.3411493}
{' down': -0.37264633, ' Down': -1.1787986, 'down': -6.025409, 'Down': -7.2587028, ' Up': -9.371162}
{' down': -0.64351356, ' Down': -0.7976903, ' Up': -4.1251783, ' up': -5.162074, 'down': -6.4481974}
{' Down': -0.45733652, ' down': -1.3267977, ' Up': -2.4412901, ' up': -4.380108, 'down': -6.6725173}
{' Up': -0.6144601, ' up': -1.4547006, ' down': -2.1545525, ' Down': -2.2182655, 'down': -8.165499}
{' down': -0.44395, ' Down': -1.036033, 'down': -6.3636537, ' Up': -7.0402117, ' up': -7.622899}
{' down': -0.5408776, ' Down': -0.91414183, ' Up': -5.1115847, 'down': -5.12218, 'Down': -5.93698}
{' down': -0.4956391, ' Down': -1.0778782, ' Up': -3.4944718, ' up': -4.4799356, 'down': -5.076621}
{' down': -1.1066862, ' Up': -1.2478987, ' Down': -1.4246317, ' up': -1.9834791, 'down': -6.120852}
{' down': -0.62969375, ' Down': -0.7724684, 'down': -5.724658, 'Down': -6.3713045, ' Up': -8.633479}
{' Down': -0.3634989, ' Up': -1.8697169, ' down': -1.9778407, ' up': -4.567114, 'down': -7.198738}
{' Down': -0.31415543, ' down': -1.3842676, ' Up': -4.207578, ' up': -6.147086, 'down': -6.5218196}
{' Up': -0.17947768, ' up': -1.939495, ' Down': -4.2439556, ' down': -5.1744, ' UP': -8.698845}
