{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Left': -0.3732995, ' left': -1.1896771, 'Left': -5.4336267, 'left': -5.9288645, ' ': -9.305413}
{' Right': -0.045320205, ' right': -3.299451, 'Right': -5.180513, 'right': -6.575065, ' ': -8.720579}
{' Left': -0.07481063, ' left': -2.8349233, 'Left': -4.5242143, 'left': -6.1715264, ' Right': -8.176027}
{' Left': -0.51419085, ' Right': -1.3333437, ' left': -2.2354624, ' right': -3.891203, 'Left': -5.325777}
{' Left': -0.17941919, ' left': -1.8796774, 'Left': -4.8820925, 'left': -5.643658, ' Right': -8.107994}
{' Right': -0.03644979, ' right': -3.441162, 'Right': -6.069519, 'right': -6.7963142, ' Left': -8.968376}
{' Left': -0.033514626, ' left': -3.577353, 'Left': -5.5552125, 'left': -6.9994206, ' Right': -8.7923975}
{' Right': -0.085110545, ' Left': -2.9156044, ' right': -3.9448001, ' left': -5.5564694, 'Right': -6.015874}
{' Left': -0.07110668, ' left': -2.7491424, 'Left': -5.7700996, 'left': -6.5322075, ' ': -10.041234}
{' Left': -0.27358717, ' left': -1.5494298, ' Right': -3.9414186, ' right': -5.4313817, 'Left': -6.5194674}
{' Right': -0.29857484, ' right': -1.3687576, 'right': -6.3180866, 'Right': -6.499401, ' Left': -9.053628}
{' Left': -0.5291423, ' left': -0.8963946, 'left': -6.571309, 'Left': -6.736673, '\n': -9.021299}
{' Right': -0.33959404, ' right': -1.2580873, 'Right': -6.406002, 'right': -6.5516486, '\n': -8.582535}
{' Left': -0.2595034, ' left': -1.5482112, 'Left': -4.8566594, 'left': -5.1778, ' Right': -6.3595476}
{' Right': -0.32798284, ' right': -1.338666, 'right': -4.764397, 'Right': -4.9973035, ' Left': -6.929642}
{' Left': -0.57075197, ' left': -0.85818756, 'left': -5.1335015, 'Left': -5.3901467, '\n': -8.105608}
{' Right': -0.35400662, ' right': -1.2611665, 'Right': -4.891429, 'right': -5.0602612, '\n': -7.9806304}
{' Left': -0.12409384, ' left': -2.2378938, 'Left': -4.987171, 'left': -6.053085, ' Right': -7.54059}
{' Right': -0.16359456, ' right': -1.9759113, 'Right': -4.994115, 'right': -5.3128557, ' ': -8.161772}
{' Left': -0.37503263, ' left': -1.1934054, 'Left': -5.2881184, 'left': -5.5031567, ' ': -8.387944}
{' Right': -0.24712837, ' right': -1.5757377, 'Right': -5.02755, 'right': -5.452231, ' RIGHT': -7.4106426}
{' Left': -0.68066597, ' left': -0.73672694, 'Left': -5.002403, 'left': -5.1382008, ' Right': -7.192586}
{' Right': -0.56389564, ' right': -0.8834529, 'right': -4.7003016, 'Right': -4.9115877, '\n': -7.599889}
{' left': -0.44157147, ' Left': -1.064708, 'left': -5.1002207, 'Left': -5.299138, '\n': -7.278325}
{' Right': -0.68603474, ' right': -0.734632, 'right': -4.8289366, 'Right': -4.965911, '\n': -7.018404}
{' Left': -0.2760461, ' left': -1.4959462, 'Left': -4.411807, 'left': -5.3792543, ' ': -8.143182}
{' Right': -0.23124515, ' right': -1.6497688, 'Right': -4.7127724, 'right': -5.339752, ' ': -7.9830456}
{' Left': -0.35889894, ' left': -1.2347974, 'Left': -5.020121, 'left': -5.61184, ' ': -8.233539}
{' Right': -0.28086805, ' right': -1.4657226, 'Right': -4.7146373, 'right': -5.5557585, ' RIGHT': -7.5862117}
{' Left': -0.069079705, ' left': -2.8785126, ' Right': -5.2849474, 'Left': -5.6436496, 'left': -6.6380377}
{' Right': -0.048960775, ' right': -3.1695127, 'Right': -5.613869, 'right': -6.4257164, ' ': -8.695525}
{' Left': -0.17779261, ' left': -1.8551418, 'Left': -5.62966, 'left': -6.0339136, ' Right': -8.349512}
{' Right': -0.111502394, ' right': -2.3539548, 'Right': -5.228337, 'right': -5.8649263, ' Left': -6.620354}
{' Right': -0.11233836, ' right': -2.2773526, 'Right': -6.2336755, 'right': -6.7212305, ' Left': -8.477825}
{' Left': -0.28370968, ' left': -1.4130354, 'Left': -6.337102, 'left': -6.3843355, ' Right': -9.826058}
{' Right': -0.21347097, ' right': -1.6735711, 'right': -6.1179748, 'Right': -6.1211667, ' ': -9.010462}
{' Left': -0.21682091, ' left': -1.6552917, 'Left': -6.2174788, 'left': -6.527465, ' Right': -8.724778}
{' Right': -0.043897595, ' right': -3.5193956, ' Left': -5.1615715, 'Right': -5.24946, 'right': -6.52042}
{' Left': -0.09555233, ' left': -2.4915292, 'Left': -5.340635, 'left': -5.974823, ' Right': -7.0952735}
{' Right': -0.07254275, ' right': -2.8069482, 'Right': -5.3022485, 'right': -5.652233, ' Left': -7.215663}
{' Left': -0.0966138, ' left': -2.5607405, ' Right': -5.089473, 'Left': -5.233117, 'left': -5.9212213}
{' Right': -0.044935156, ' right': -3.6213088, ' Left': -4.8221507, 'Right': -5.0969257, 'right': -6.3815093}
{' Left': -0.079963155, ' left': -2.7160907, 'Left': -5.2006235, 'left': -5.934861, ' Right': -6.1154604}
{' Right': -0.38142893, ' Left': -1.4640858, ' right': -3.1119528, ' left': -3.5887976, 'Right': -5.2305574}
{' Left': -0.25466073, ' Right': -2.0688488, ' left': -2.5021353, ' right': -4.9623575, 'Left': -5.3791037}
{' Right': -0.19470562, ' right': -1.8109851, 'Right': -5.019172, 'right': -5.4622703, ' Left': -6.6105843}
{' Left': -0.42804286, ' left': -1.0894961, 'left': -5.237373, 'Left': -5.316608, ' Right': -6.9980726}
{' Right': -0.4384249, ' right': -1.0804021, 'right': -4.6934605, 'Right': -5.157936, ' ': -7.9995975}
{' Left': -0.39219484, ' left': -1.1679956, 'Left': -5.116375, 'left': -5.2763367, ' Right': -6.732906}
{' Right': -0.042252336, ' right': -3.7222638, 'Right': -4.730492, ' Left': -5.246369, 'right': -6.4072175}
{' Left': -0.09532847, ' left': -2.5623407, 'Left': -4.597884, 'left': -5.676001, ' ': -8.84294}
{' Right': -0.10394729, ' right': -2.5141473, 'Right': -4.5576024, 'right': -5.2443223, ' Left': -6.9508047}
{' Left': -0.121699184, ' left': -2.310788, 'Left': -4.627452, 'left': -5.4537992, ' Right': -7.1205964}
{' Right': -0.022164471, ' right': -4.1680627, 'Right': -5.5759997, ' Left': -6.547386, 'right': -7.1479115}
{' Left': -0.044368666, ' left': -3.2490194, 'Left': -5.7340674, 'left': -6.8136363, ' Right': -8.72188}
{' Right': -0.03698701, ' right': -3.5097024, 'Right': -5.5757556, 'right': -6.4633613, ' Left': -7.3447084}
{' Left': -0.05113374, ' left': -3.1885028, 'Left': -5.5580626, ' Right': -5.7978387, 'left': -6.630521}
{' Right': -0.36628708, ' right': -1.2561147, ' Left': -4.5667987, ' left': -4.9310355, 'right': -5.979879}
{' Right': -0.61527866, ' Left': -1.2519878, ' left': -2.3484788, ' right': -2.5835443, 'Right': -7.255453}
{' Right': -0.44490618, ' right': -1.1315764, ' left': -3.9350183, ' Left': -4.2748814, 'right': -6.4188914}
{' Left': -0.5424479, ' left': -0.88453084, ' Right': -6.2462196, 'left': -6.2484436, 'Left': -6.7625346}
{' Right': -0.35831657, ' Left': -1.5549605, ' right': -2.9092445, ' left': -3.5564635, 'Right': -5.862085}
{' Left': -0.65537196, ' Right': -0.8542531, ' left': -3.295951, ' right': -4.3624105, 'Left': -6.2176905}
{' Left': -0.568378, ' Right': -1.1277748, ' left': -2.5345378, ' right': -3.7846885, 'Left': -5.8726225}
{' Left': -0.16380377, ' left': -2.183829, ' Right': -3.5045154, 'Left': -5.690649, ' right': -6.0557733}
{' Right': -0.23311652, ' Left': -1.8390507, ' right': -3.5189364, ' left': -4.3892975, 'Right': -5.645075}
{' Left': -0.16383614, ' Right': -2.2588642, ' left': -3.2468991, 'Left': -5.6913815, ' right': -6.05476}
{' Left': -0.120271094, ' left': -2.2782223, 'Left': -5.3806334, ' Right': -5.6449385, 'left': -6.0783744}
{' Right': -0.24221916, ' Left': -2.0037358, ' right': -2.9024134, ' left': -4.0735598, 'Right': -5.50908}
{' Left': -0.3570938, ' left': -1.3419553, ' Right': -3.7291543, ' right': -4.920732, 'Left': -5.5386353}
{' Right': -0.27763534, ' right': -1.7444323, ' Left': -3.1345136, ' left': -4.0843196, 'Right': -5.6175146}
{' Left': -0.84153444, ' left': -1.3100232, ' Right': -1.5956811, ' right': -2.4341075, 'left': -5.9671583}
{' Left': -0.45461145, ' left': -1.281777, ' Right': -2.8455317, ' right': -3.8324418, 'Left': -5.6865945}
{' Right': -0.12728946, ' right': -2.5905406, ' Left': -3.642338, 'Right': -4.7844834, ' left': -5.370955}
{' Left': -0.07100762, ' left': -3.039416, ' Right': -4.6091332, 'Left': -4.785992, 'left': -6.304178}
{' Left': -0.18413351, ' left': -2.2985573, ' Right': -2.9377801, 'Left': -4.9058094, ' right': -5.6782737}
{' Left': -0.2087453, ' left': -1.9165033, ' Right': -3.7193139, 'Left': -4.710159, 'left': -5.2621813}
{' Right': -0.3228079, ' Left': -1.5401503, ' right': -3.353274, ' left': -3.9025671, 'Right': -5.997111}
{' Left': -0.09432803, ' Right': -3.088953, ' left': -3.2332973, 'Left': -5.914446, 'left': -6.9127903}
{' Right': -0.4678511, ' Left': -1.1884073, ' left': -3.4207852, ' right': -3.4968083, 'Right': -6.1884813}
{' Left': -0.08314167, ' left': -2.5996745, 'Left': -5.646143, 'left': -6.3411846, ' Right': -9.044268}
{' Left': -0.40516725, ' left': -1.1829593, ' Right': -4.110495, ' right': -5.082577, 'left': -6.2360578}
{' Right': -0.3181879, ' right': -1.3202555, 'right': -6.167875, 'Right': -6.2985764, ' Left': -7.1469088}
{' left': -0.5792528, ' Left': -0.831286, 'left': -6.1113687, 'Left': -6.5171227, '\n': -8.053089}
{' Right': -0.5415777, ' right': -0.8840554, 'right': -6.0832605, 'Right': -6.323306, '\n': -7.845335}
{' Left': -0.3090125, ' left': -1.4234266, 'Left': -4.7118597, 'left': -4.9774637, ' Right': -5.026824}
{' Right': -0.41463435, ' right': -1.189615, 'right': -4.220947, 'Right': -4.7126803, ' Left': -5.1311965}
{' Left': -0.64298147, ' left': -0.7758054, 'left': -4.927821, 'Left': -5.1562815, '\n': -7.4047346}
{' Right': -0.42654228, ' right': -1.1099052, 'Right': -4.7894077, 'right': -4.821363, '\n': -7.5172}
{' Left': -0.19980031, ' left': -1.7896879, 'Left': -4.841333, 'left': -5.639095, ' Right': -6.2757664}
{' Right': -0.20237383, ' right': -1.788441, 'Right': -4.7932854, 'right': -4.9843864, ' ': -7.8615093}
{' Left': -0.5047113, ' left': -0.95351785, 'Left': -5.1822968, 'left': -5.328644, ' ': -8.2729025}
{' Right': -0.3551898, ' right': -1.2533965, 'Right': -5.0195193, 'right': -5.186765, ' RIGHT': -7.55362}
{' left': -0.66350925, ' Left': -0.7639579, 'Left': -5.0152073, 'left': -5.0261917, ' Right': -6.211618}
{' Right': -0.673072, ' right': -0.7663832, 'right': -4.3906546, 'Right': -4.7183924, '\n': -6.4800825}
{' left': -0.35992116, ' Left': -1.2432886, 'left': -4.9800286, 'Left': -5.236386, '\n': -6.767855}
{' right': -0.58801836, ' Right': -0.8550013, 'right': -4.5913196, 'Right': -5.0217986, '\n': -6.492536}
{' Left': -0.29376316, ' left': -1.446412, 'Left': -4.3121, 'left': -5.2543364, ' ': -8.0374155}
{' Right': -0.29178846, ' right': -1.44253, 'Right': -4.644661, 'right': -5.029013, ' ': -8.029104}
{' Left': -0.41431922, ' left': -1.1215395, 'Left': -4.7927313, 'left': -5.34859, ' ': -8.279887}
{' Right': -0.35497046, ' right': -1.2602286, 'Right': -4.674278, 'right': -5.33147, ' ': -7.7964153}
{' Left': -0.10159726, ' left': -2.4565034, 'Left': -5.4130116, ' Right': -5.551197, 'left': -6.3621674}
{' Right': -0.086503886, ' right': -2.5943832, 'Right': -5.4316363, 'right': -5.8565383, ' Even': -8.088024}
{' Left': -0.42288128, ' left': -1.0948268, 'left': -5.267518, 'Left': -5.42245, ' Right': -8.287136}
{' Right': -0.19645399, ' right': -1.8072575, 'Right': -5.1648736, 'right': -5.420808, ' Left': -6.077269}
{' Right': -0.089785546, ' right': -2.4907844, 'Right': -6.376054, 'right': -7.021273, ' ': -8.75856}
{' Left': -0.25481007, ' left': -1.5066183, 'Left': -6.3662767, 'left': -6.550288, ' ': -9.710961}
{' Right': -0.22073042, ' right': -1.6399218, 'right': -6.1968236, 'Right': -6.34792, ' ': -8.741322}
{' Left': -0.20027843, ' left': -1.726533, 'Left': -6.286044, 'left': -6.6411886, ' Right': -8.611924}
{' Right': -0.03349392, ' right': -3.6232822, 'Right': -5.3883634, 'right': -6.8799996, ' Left': -8.073099}
{' Left': -0.13480334, ' left': -2.1361496, 'Left': -5.2373405, 'left': -5.964948, ' ': -9.3918295}
{' Right': -0.051743187, ' right': -3.134564, 'Right': -5.3791127, 'right': -6.1925936, ' ': -8.860928}
{' Left': -0.08615514, ' left': -2.606293, 'Left': -5.1224747, 'left': -6.0406094, ' Right': -8.293968}
{' Right': -0.040622253, ' right': -3.5542157, 'Right': -5.017377, ' Left': -6.133796, 'right': -6.4456134}
{' Left': -0.12159162, ' left': -2.2631588, 'Left': -4.966184, 'left': -5.737386, ' ': -8.907777}
{' Right': -0.08906875, ' right': -2.6349807, 'Right': -4.8671985, 'right': -5.3586802, ' ': -7.783253}
{' Left': -0.11538286, ' left': -2.338859, 'Left': -4.924028, 'left': -5.668809, ' Right': -6.576759}
{' Right': -0.18880099, ' right': -1.826914, 'Right': -5.012579, 'right': -5.663275, ' ': -7.7647257}
{' Left': -0.3973157, ' left': -1.1476381, 'Left': -5.129528, 'left': -5.461881, ' ': -8.671353}
{' Right': -0.33434877, ' right': -1.3064996, 'right': -5.029724, 'Right': -5.0741863, ' ': -7.8109117}
{' Left': -0.34254423, ' left': -1.2818964, 'Left': -5.033731, 'left': -5.42024, ' Right': -7.226627}
{' Right': -0.045327496, ' right': -3.5318003, 'Right': -4.6770315, ' Left': -5.93641, 'right': -6.350803}
{' Left': -0.13290396, ' left': -2.2211683, 'Left': -4.469299, 'left': -5.47347, ' ': -8.527455}
{' Right': -0.121380076, ' right': -2.3409197, 'Right': -4.488207, 'right': -5.1539364, ' ': -7.3996854}
{' Left': -0.13737322, ' left': -2.1962645, 'Left': -4.438883, 'left': -5.3869762, ' ': -7.878719}
{' Right': -0.019901939, ' right': -4.2205796, 'Right': -5.681431, 'right': -7.3382072, ' Left': -7.480252}
{' Left': -0.06755029, ' left': -2.8124688, 'Left': -5.579927, 'left': -6.631643, ' ': -9.063379}
{' Right': -0.03544996, ' right': -3.5243247, 'Right': -5.5806055, 'right': -6.674119, ' ': -8.580079}
{' Left': -0.050284512, ' left': -3.1622076, 'Left': -5.334262, 'left': -6.606366, ' Right': -8.087213}
{' Right': -0.41248935, ' right': -1.0928273, 'right': -6.5307155, 'Right': -6.864019, ' ': -9.341724}
{' Left': -0.36651182, ' left': -1.1903607, 'Left': -6.5849714, 'left': -6.824685, ' Right': -8.845616}
{' Right': -0.3910983, ' right': -1.1390098, 'right': -6.6374035, 'Right': -6.824877, ' left': -7.5880623}
{' Left': -0.3622744, ' left': -1.1986849, 'Left': -6.6710434, 'left': -6.925698, ' ': -10.14929}
{' Right': -0.046621166, ' right': -3.1990561, 'Right': -5.6861186, 'right': -6.7369685, ' ': -9.516429}
{' Left': -0.048329435, ' left': -3.1944034, 'Left': -5.4523535, 'left': -6.860423, ' Right': -7.1673055}
{' Right': -0.16658057, ' Left': -2.2917025, ' right': -3.3530807, ' left': -4.4503026, 'Right': -5.682272}
{' Left': -0.100909725, ' left': -2.408422, 'Left': -5.441484, 'left': -6.431691, ' ': -10.040673}
{' Right': -0.028418697, ' right': -3.8109121, 'Right': -5.4305754, 'right': -6.7774906, ' ': -8.588733}
{' Left': -0.03992656, ' left': -3.4151173, 'Left': -5.2635307, 'left': -6.9729347, ' Right': -9.554583}
{' Right': -0.17429021, ' Left': -2.0784345, ' right': -3.9111218, ' left': -4.7146115, 'Right': -5.733537}
{' Left': -0.0626853, ' left': -2.9105055, 'Left': -5.3453865, 'left': -6.546095, ' ': -9.897291}
{' Right': -0.19800876, ' right': -1.7559978, 'Right': -5.5656323, 'right': -5.9482923, ' ': -8.543392}
{' Left': -0.20151287, ' left': -1.7400068, 'Left': -5.3427253, 'left': -6.2614017, ' ': -9.161319}
{' Right': -0.2347802, ' right': -1.6535692, ' Left': -5.0054975, ' left': -5.3606462, 'Right': -5.7252774}
{' Left': -0.41577607, ' left': -1.098727, 'Left': -5.5096745, 'left': -5.933415, ' ': -9.241661}
{' Right': -0.043024316, ' right': -3.3580933, 'Right': -5.134367, 'right': -6.8485565, ' ': -8.528355}
{' Left': -0.08065335, ' left': -2.7353144, 'Left': -4.5239553, 'left': -6.432284, ' ': -9.305947}
{' Right': -0.14618778, ' Left': -2.6627512, ' right': -3.074269, ' left': -4.57412, 'Right': -5.111117}
{' Left': -0.13455729, ' left': -2.1626372, 'Left': -4.8101645, 'left': -5.961074, ' ': -9.247483}
{' Right': -0.02855472, ' right': -3.7199228, 'Right': -5.951625, 'right': -7.109901, ' Left': -8.340398}
{' Left': -0.022500064, ' left': -4.027829, 'Left': -5.568993, 'left': -7.5787683, ' ': -10.006494}
{' Right': -0.18438047, ' Left': -1.9694624, ' right': -4.164031, ' left': -4.7137766, 'Right': -6.1051245}
{' Left': -0.06407074, ' left': -2.8462932, 'Left': -5.881291, 'left': -6.8146067, ' ': -9.592587}
{' Left': -0.69912815, ' left': -1.37259, ' Right': -1.7173737, ' right': -2.6984167, 'left': -7.0132647}
{' Right': -0.35271263, ' right': -1.2232438, 'Right': -6.4548583, 'right': -6.7093105, ' RIGHT': -9.941713}
{' Left': -0.51133376, ' left': -0.93737066, ' Right': -5.4871716, ' right': -5.9830627, 'left': -6.827717}
{' Right': -0.500597, ' right': -0.9414273, 'Right': -6.366863, 'right': -6.389213, ' RIGHT': -9.022831}
{' Left': -0.15373696, ' left': -2.0370188, 'Left': -5.0684743, 'left': -5.7604604, ' Right': -6.1418424}
{' Right': -0.2542239, ' right': -1.5689135, 'right': -4.813939, 'Right': -4.9352674, ' Left': -7.9778724}
{' Left': -0.49014136, ' left': -0.9846349, 'left': -4.9146924, 'Left': -5.0761414, '\n': -8.900964}
{' Right': -0.23468246, ' right': -1.6259348, 'Right': -4.9245415, 'right': -5.3916492, ' RIGHT': -8.381586}
{' Left': -0.12785637, ' left': -2.201362, 'Left': -5.054311, 'left': -6.0454297, ' Right': -7.9111257}
{' Right': -0.141472, ' right': -2.1131153, 'Right': -5.052887, 'right': -5.4716372, ' ': -8.418318}
{' Left': -0.27447918, ' left': -1.4702437, 'Left': -5.1518307, 'left': -5.4994435, ' ': -8.783035}
{' Right': -0.18516439, ' right': -1.8515937, 'Right': -4.9869447, 'right': -5.4709363, ' RIGHT': -7.4958973}
{' Left': -0.6915521, ' left': -0.72421163, 'Left': -5.107077, 'left': -5.121213, ' Right': -7.0230474}
{' right': -0.6746153, ' Right': -0.74929184, 'right': -4.547454, 'Right': -5.0486536, '\n': -7.878845}
{' left': -0.388106, ' Left': -1.175679, 'left': -4.8801904, 'Left': -5.3252873, '\n': -8.019784}
{' Right': -0.62679446, ' right': -0.8013931, 'right': -4.8264728, 'Right': -4.910457, '\n': -7.483482}
{' Left': -0.25638998, ' left': -1.5635418, 'Left': -4.4146347, 'left': -5.4399095, ' ': -8.410431}
{' Right': -0.19021387, ' right': -1.8384262, 'Right': -4.6632247, 'right': -5.4845963, ' ': -7.9785805}
{' Left': -0.27884784, ' left': -1.467332, 'Left': -4.7383184, 'left': -5.589307, ' ': -8.483159}
{' Right': -0.20761476, ' right': -1.7517068, 'Right': -4.616398, 'right': -5.7936816, ' RIGHT': -7.6457033}
{' Left': -0.045386627, ' left': -3.250356, 'Left': -5.6727324, ' Right': -6.720654, 'left': -7.1213903}
{' Right': -0.033990633, ' right': -3.5108447, 'Right': -5.9194355, 'right': -7.295789, ' ': -9.312434}
{' Left': -0.10756375, ' left': -2.4613197, ' Right': -4.3885293, 'Left': -6.190756, 'left': -6.776743}
{' Right': -0.037515976, ' right': -3.451704, 'Right': -5.6678658, 'right': -6.962881, ' Left': -8.065779}
{' Right': -0.07804105, ' right': -2.65859, ' Left': -6.0007, 'Right': -6.829194, 'right': -7.078237}
{' Left': -0.12622415, ' left': -2.1518798, 'Left': -6.870319, 'left': -7.064374, ' Right': -8.067029}
{' Right': -0.17463042, ' right': -1.8606389, 'right': -6.1622076, 'Right': -6.509675, ' Left': -7.5450883}
{' Left': -0.16937907, ' left': -2.031016, ' Right': -3.9469917, ' right': -5.991188, 'Left': -6.780993}
{' Right': -0.029339386, ' right': -3.9643824, ' Left': -5.4240932, 'Right': -5.5189233, 'right': -7.0162015}
{' Left': -0.06175185, ' left': -2.9183364, 'Left': -5.5060267, 'left': -6.428378, ' Right': -9.051093}
{' Right': -0.05254974, ' right': -3.1110692, 'Right': -5.5196056, 'right': -6.1127276, ' Left': -8.535784}
{' Left': -0.079418555, ' left': -2.6824114, 'Left': -5.228375, 'left': -6.0919056, ' Right': -8.56431}
{' Right': -0.037150003, ' right': -4.0616975, ' Left': -4.482821, 'Right': -5.228188, 'right': -6.701868}
{' Left': -0.059856094, ' left': -3.0046403, 'Left': -5.3855395, 'left': -6.2447286, ' Right': -6.39075}
{' Right': -0.06229808, ' right': -2.992552, 'Right': -5.0998006, 'right': -5.7265687, ' Left': -7.9710035}
