{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' No': -0.37392247, 'No': -1.6589222, '\n': -2.485716, ' It': -4.26182, ' B': -4.908622}
{' No': -0.03507147, 'No': -3.3834047, ' ': -8.442796, ' no': -9.269431, '\n': -9.379289}
{' No': -0.03308401, 'No': -3.4599905, ' It': -8.255714, ' ': -8.427588, '\n': -8.6257515}
{' No': -0.09711083, 'No': -2.4469185, ' B': -6.1959467, ' It': -6.5936584, ' That': -7.1400313}
{' No': -0.23499642, 'No': -2.3257978, ' It': -2.8496146, ' That': -3.2604632, ' This': -5.789865}
{' No': -0.43421614, 'No': -1.1730105, '\n': -3.3204083, ' ': -5.6634793, ' no': -6.381798}
{' No': -0.38379896, 'No': -1.2938485, '\n': -3.2530787, ' ': -5.5448794, ' no': -7.1661777}
{' No': -0.42908698, 'No': -1.2700045, '\n': -2.8927157, ' ': -5.230071, ' no': -6.063088}
{' No': -0.50617814, 'No': -1.0507528, '\n': -3.3623755, ' ': -5.6092167, ' It': -5.6691747}
{' No': -0.07550826, 'No': -2.834534, ' no': -4.931547, '\n': -6.2618084, ' ': -6.306282}
{' No': -0.079942234, 'No': -3.0139725, ' It': -4.9697604, ' no': -5.0062113, '\n': -5.6374154}
{' No': -0.19440347, 'No': -2.1508014, ' It': -3.7149074, ' B': -4.7785993, '\n': -5.077187}
{' No': -0.26841342, 'No': -2.2342658, ' It': -2.6060598, ' That': -4.233105, '\n': -4.591952}
{' No': -0.007574003, 'No': -5.3607616, '\n': -6.2984977, ' ': -7.4188013, ' It': -8.943514}
{' No': -0.0060934746, 'No': -5.416826, '\n': -7.272817, ' ': -7.8477964, ' A': -8.623533}
{' No': -0.04116929, 'No': -4.1630983, '\n': -4.44473, ' B': -5.0372767, ' It': -6.1047034}
{' No': -0.060727358, ' It': -4.031581, 'No': -4.109283, '\n': -5.0041685, ' Generally': -5.1567564}
{' No': -0.09812484, 'No': -2.5546334, '\n': -4.4696493, ' ': -5.97367, ' A': -7.140267}
{' No': -0.068246834, 'No': -2.9571512, '\n': -4.592024, ' ': -6.1854887, ' A': -6.886845}
{' No': -0.33304793, '\n': -1.811924, 'No': -2.531458, ' B': -4.3162518, ' ': -4.6091137}
{' No': -0.23922437, 'No': -2.319892, '\n': -2.7020214, ' It': -4.1509657, ' B': -4.5565686}
{' No': -0.11416551, 'No': -2.5733845, '\n': -3.7552497, ' ': -5.3981123, ' A': -6.445169}
{' No': -0.060347658, 'No': -3.1967707, '\n': -4.331414, ' ': -5.6856623, ' A': -7.4165425}
{' No': -0.12556171, 'No': -2.9137125, '\n': -3.1302595, ' ': -5.076419, ' B': -5.1547723}
{' No': -0.16352491, 'No': -2.7567656, '\n': -2.914805, ' B': -4.631613, ' It': -4.9577394}
{' No': -0.015294416, 'No': -4.354736, ' ': -6.7734656, '\n': -7.2754807, ' A': -7.9581695}
{' No': -0.013949954, 'No': -4.4835887, '\n': -7.037202, ' ': -7.050941, ' A': -7.585338}
{' No': -0.1314635, '\n': -2.9089043, 'No': -3.1561635, ' B': -4.4068274, ' ': -4.8536067}
{' No': -0.09500993, 'No': -3.201875, '\n': -4.0113974, ' It': -4.301955, ' B': -5.041276}
{' No': -0.049346574, 'No': -3.1380398, '\n': -6.068818, ' ': -6.3688745, ' A': -7.8140078}
{' No': -0.056420397, 'No': -3.0195837, '\n': -5.7355638, ' ': -6.2972665, ' A': -8.176302}
{' No': -0.057611495, 'No': -3.170122, '\n': -5.1286693, ' ': -5.574581, ' B': -5.902292}
{' No': -0.08214105, 'No': -2.9287288, '\n': -4.7404184, ' B': -4.872197, ' ': -5.701865}
{' No': -0.06655501, 'No': -3.0132196, '\n': -5.1279864, ' ': -5.649227, ' A': -6.2740703}
{' No': -0.04284183, 'No': -3.5274801, '\n': -5.5714993, ' ': -5.87073, ' A': -5.9539824}
{' No': -0.14083138, 'No': -2.7742445, ' B': -3.6042902, '\n': -3.830191, ' It': -4.9839983}
{' No': -0.15863049, 'No': -2.734787, ' B': -3.864344, '\n': -3.9679701, ' It': -4.241945}
{' Yes': -0.003460095, 'Yes': -6.2387543, ' No': -7.0349994, ' Generally': -8.19665, ' A': -8.33927}
{' Yes': -0.01625751, ' No': -4.389304, 'Yes': -5.978824, ' A': -7.614239, ' Generally': -7.842138}
{' Yes': -0.0118863555, 'Yes': -5.4904785, ' Generally': -5.6720705, ' No': -5.888042, ' Pigs': -7.531133}
{' Yes': -0.33038053, ' No': -1.3815204, ' Generally': -4.6378527, ' P': -5.4645414, 'No': -5.6937685}
{' Yes': -0.04035406, ' No': -3.6807425, 'Yes': -4.7008114, ' Generally': -6.036417, 'No': -6.891113}
{' Yes': -0.038051907, ' No': -3.8961072, 'Yes': -4.617674, ' Generally': -5.7869954, ' A': -6.2612686}
{' Yes': -0.013398814, 'Yes': -4.76074, ' Generally': -6.1393957, ' No': -6.608146, ' ': -8.209453}
{' Yes': -0.06083896, ' No': -3.1257708, 'Yes': -4.935587, ' Generally': -5.8285117, 'No': -6.5065646}
{' Yes': -0.08253882, ' No': -2.7628043, 'Yes': -4.5447693, 'No': -6.0966563, ' ': -6.9248867}
{' Yes': -0.054993253, ' No': -3.2283428, 'Yes': -4.7774606, ' A': -6.533894, '\n': -6.717509}
{' Yes': -0.039278857, 'Yes': -3.6410892, ' No': -5.009093, '\n': -6.223309, ' ': -6.683652}
{' Yes': -0.07501954, ' No': -2.8865676, 'Yes': -4.8208594, 'No': -6.301814, ' Generally': -6.3673797}
{' Yes': -0.0065650623, ' No': -5.8357944, 'Yes': -6.0117393, ' A': -7.320249, ' Generally': -7.933393}
{' Yes': -0.007818646, 'Yes': -5.8390045, ' No': -5.886421, ' A': -6.511553, ' Generally': -7.780672}
{' Yes': -0.008568135, 'Yes': -5.0861015, ' Generally': -6.812881, ' No': -7.4010983, ' Pigs': -8.221511}
{' Yes': -0.3495176, ' No': -1.2995888, 'No': -4.8599486, 'Yes': -5.279136, ' Generally': -5.37194}
{' No': -0.30065286, ' Yes': -1.6897482, 'No': -2.9334404, '\n': -5.139083, 'Yes': -5.394643}
{' No': -0.3110686, ' Yes': -1.6600027, 'No': -3.0437384, ' A': -4.7735357, '\n': -5.0107203}
{' Yes': -0.06418545, 'Yes': -3.6144326, ' No': -4.0718584, '\n': -5.554639, ' P': -5.7588477}
{' Yes': -0.3067088, ' No': -1.5554384, 'Yes': -4.2423606, 'No': -4.252523, ' Generally': -5.273504}
{' Yes': -0.14535753, ' No': -2.3042433, 'Yes': -4.2067876, 'No': -4.823229, ' Generally': -4.9573135}
{' Yes': -0.26902315, ' No': -1.6823399, 'No': -4.2130575, 'Yes': -4.2970304, ' A': -4.7389784}
{' Yes': -0.025921145, 'Yes': -4.192198, ' Generally': -5.5883603, ' No': -5.6997695, ' ': -7.1994824}
{' Yes': -0.08817807, ' No': -3.0027783, 'Yes': -4.3003154, ' Generally': -4.9013877, 'No': -5.75364}
{' Yes': -0.0039006474, 'Yes': -6.042224, ' yes': -7.5228114, ' ': -7.937116, ' No': -8.142013}
{' Yes': -0.018287469, ' No': -4.189716, 'Yes': -6.371045, ' ': -7.674133, ' yes': -8.112775}
{' Yes': -0.004903433, 'Yes': -5.8788805, ' No': -6.921145, '\n': -7.479745, ' ': -8.295459}
{' Yes': -0.19432296, ' No': -1.7541544, 'Yes': -6.564181, '\n': -7.2046432, 'No': -7.5031357}
{' Yes': -0.16192184, ' No': -2.1961188, 'Yes': -4.1716204, '\n': -4.8464274, 'No': -5.1043043}
{' No': -0.13190778, ' Yes': -2.5286686, 'No': -3.5107908, ' A': -5.139209, '\n': -5.5570498}
{' Yes': -0.02227478, 'Yes': -4.252444, ' No': -6.201205, '\n': -6.325518, ' ': -6.8572235}
{' Yes': -0.18593253, ' No': -1.8892539, 'Yes': -4.6137853, 'No': -5.3927155, ' P': -6.657467}
{' Yes': -0.5027712, ' No': -1.5500162, '\n': -2.1503048, ' ': -3.7537436, 'Yes': -3.945823}
{' No': -0.124541186, '\n': -3.0640342, 'No': -3.0736053, ' ': -4.573563, ' Yes': -4.697274}
{' Yes': -0.52385986, '\n': -1.435809, ' No': -2.1872034, 'Yes': -3.8035479, ' ': -3.8117416}
{' No': -0.6124695, ' Yes': -1.0935925, '\n': -2.4806907, 'No': -3.9931705, ' ': -4.8015122}
{' Yes': -0.0044476553, 'Yes': -6.2224135, ' No': -6.31194, ' yes': -8.306914, ' ': -8.419989}
{' Yes': -0.13078517, ' No': -2.1303558, 'Yes': -6.337187, ' A': -7.0356255, 'No': -7.5853767}
{' Yes': -0.0035577728, 'Yes': -6.0028553, ' No': -7.2021966, ' ': -9.261917, ' yes': -9.271761}
{' Yes': -0.20490943, ' No': -1.708684, 'Yes': -5.961064, 'No': -7.0102654, ' P': -8.149567}
{' No': -0.25883797, 'No': -2.0133107, '\n': -3.3957605, ' Yes': -3.4121695, ' ': -4.361453}
{' No': -0.1528143, 'No': -2.1976943, '\n': -4.095248, ' ': -4.977367, ' A': -5.413001}
{' No': -0.27195147, 'No': -2.1331441, '\n': -2.6734178, ' Yes': -3.815706, ' ': -4.2420535}
{' No': -0.15233359, 'No': -2.3138843, '\n': -3.8083713, ' Yes': -4.498044, ' ': -5.209207}
{' Yes': -0.038151722, ' No': -4.2450476, 'Yes': -4.450122, ' yes': -5.4585447, ' ': -5.7943153}
{' Yes': -0.1508201, ' No': -2.1837504, 'Yes': -4.853037, ' A': -4.884337, ' ': -5.545313}
{' Yes': -0.043056615, 'Yes': -3.8959293, ' No': -4.8746777, ' yes': -5.4194884, '\n': -5.5570374}
{' Yes': -0.045304798, ' No': -3.695018, 'Yes': -4.397014, ' yes': -5.711187, 'No': -7.0987935}
{' Yes': -0.047268156, 'Yes': -3.774275, ' No': -4.30324, ' yes': -5.5620804, ' A': -5.7785378}
{' Yes': -0.23366615, ' No': -1.8169163, 'Yes': -3.9877458, 'No': -4.3671765, ' A': -4.621161}
{' Yes': -0.08796379, 'Yes': -3.2295802, ' No': -4.0727954, ' yes': -4.557713, ' Generally': -5.4260173}
{' Yes': -0.35474205, ' No': -1.6867847, 'No': -3.1723213, 'Yes': -3.290165, ' Generally': -4.564617}
{' No': -0.6326296, ' Yes': -0.9332792, 'No': -2.8569717, 'Yes': -4.111936, ' ': -7.222072}
{' No': -0.123440735, 'No': -2.4366884, ' Yes': -3.608483, 'Yes': -6.7522306, ' ': -8.5054035}
{' Yes': -0.06120243, 'Yes': -3.254106, ' No': -4.1237693, 'No': -5.9047627, ' Generally': -7.465859}
{' No': -0.6542022, ' Yes': -0.96710855, 'No': -2.6026561, 'Yes': -4.0351796, ' It': -6.0814347}
{' Yes': -0.096339814, 'Yes': -3.0893629, ' No': -3.252193, 'No': -5.2371764, ' yes': -6.7586207}
{' No': -0.43251273, ' Yes': -1.2619902, 'No': -2.8773026, 'Yes': -4.536972, ' ': -7.6706133}
{' Yes': -0.13103567, 'Yes': -2.5430114, ' No': -3.4921443, 'No': -4.6425195, '\n': -6.8828235}
{' Yes': -0.4462209, ' No': -1.3163838, 'No': -2.9787774, 'Yes': -3.2658334, ' It': -7.672876}
{' Yes': -0.022630407, ' No': -4.183944, 'Yes': -5.085752, ' yes': -7.6614237, 'No': -8.512563}
{' Yes': -0.5360885, ' No': -0.9043652, 'No': -5.2266326, 'Yes': -5.4784827, ' ': -8.242486}
{' Yes': -0.027051896, 'Yes': -3.960483, ' No': -5.1485176, ' Generally': -7.3516235, 'No': -7.6165004}
{' No': -0.45328152, ' Yes': -1.0940953, 'No': -3.7691689, 'Yes': -5.336199, ' Generally': -7.0888977}
{' No': -0.2901189, 'No': -1.4011589, ' Yes': -6.1679373, ' ': -6.8021407, '\n': -7.010366}
{' No': -0.2763148, 'No': -1.4382467, ' Yes': -6.1528783, ' ': -7.408791, '\n': -7.5839095}
{' Yes': -0.3471902, 'Yes': -2.1509888, ' No': -2.3187382, 'No': -2.9111817, ' P': -5.322054}
{' No': -0.7200092, 'No': -1.3316252, ' Yes': -1.6616102, 'Yes': -3.6735919, ' Pigs': -4.7178497}
{' Yes': -0.16651559, ' No': -2.3798237, 'Yes': -3.3690434, 'No': -4.4013767, ' yes': -4.8817596}
{' No': -0.16967602, 'No': -2.0887454, ' Yes': -3.5763648, 'Yes': -6.484199, '\n': -7.466699}
{' No': -0.6179826, ' Yes': -1.3777463, 'No': -1.7060847, 'Yes': -3.7919571, ' Pigs': -6.6024027}
{' No': -0.43828186, 'No': -1.112791, ' Yes': -3.907482, 'Yes': -5.90159, ' Generally': -6.5842013}
{' Yes': -0.024731316, ' yes': -3.917416, 'Yes': -5.91589, ' ': -6.6699243, '\n': -8.620007}
{' Yes': -0.013655584, ' No': -4.9890447, ' yes': -5.4472246, 'Yes': -6.6180177, ' ': -7.226612}
{' Yes': -0.00795705, ' yes': -5.2646403, 'Yes': -6.354478, ' ': -7.85078, ' No': -7.89286}
{' Yes': -0.07791778, ' No': -2.68043, ' yes': -5.4346967, 'Yes': -6.5852, ' ': -8.130944}
{' Yes': -0.102833144, ' No': -2.76117, 'Yes': -4.0231595, ' yes': -5.0658193, '\n': -5.620521}
{' No': -0.17442234, ' Yes': -2.1779242, 'No': -3.2871902, '\n': -5.988501, ' ': -6.263404}
{' Yes': -0.030466503, 'Yes': -3.7971883, ' yes': -5.4508996, '\n': -6.3304977, ' ': -7.3487015}
{' No': -0.38185138, ' Yes': -1.3306506, 'No': -3.2219622, 'Yes': -5.023327, '\n': -6.038454}
{' Yes': -0.5990308, ' No': -1.2498181, '\n': -2.4080765, 'Yes': -3.679908, 'No': -3.8624508}
{' No': -0.14233835, 'No': -2.6463895, '\n': -3.3708496, ' Yes': -4.065104, ' ': -5.046578}
{' Yes': -0.1324147, '\n': -2.7486048, 'Yes': -3.2196949, ' No': -4.9661016, ' yes': -5.1055384}
{' No': -0.75785327, ' Yes': -0.86389047, '\n': -3.034039, 'No': -3.3275707, 'Yes': -4.0193734}
{' Yes': -0.014573786, ' No': -5.043781, 'Yes': -5.240932, ' yes': -6.5087714, ' ': -7.570453}
{' Yes': -0.120172895, ' No': -2.2509558, 'Yes': -5.5910892, ' A': -6.7054615, 'No': -6.764835}
{' Yes': -0.009878048, 'Yes': -4.8174872, ' yes': -7.0513973, '\n': -8.021672, ' No': -8.2434025}
{' Yes': -0.10894031, ' No': -2.3683798, 'Yes': -5.0526066, 'No': -6.150055, ' yes': -7.962135}
{' No': -0.23805599, 'No': -1.9447172, '\n': -3.0095286, ' ': -4.800586, ' Yes': -5.1165786}
{' No': -0.20707156, 'No': -1.8793776, '\n': -3.6554928, ' ': -5.2341413, ' Yes': -6.763159}
{' No': -0.48355088, '\n': -2.1399648, ' Yes': -2.1692944, 'No': -2.1867027, 'Yes': -4.444097}
{' No': -0.2186409, 'No': -1.9395556, '\n': -3.5003333, ' Yes': -4.265863, ' ': -5.642176}
{' Yes': -0.12735689, ' yes': -2.3245633, 'Yes': -4.24957, '\n': -5.9351697, ' ': -6.3488016}
{' Yes': -0.09322095, ' yes': -3.282622, ' No': -3.337594, 'Yes': -4.8565416, '\n': -5.753743}
{' Yes': -0.08319815, ' yes': -2.927217, 'Yes': -4.145265, '\n': -5.6424627, ' No': -5.711553}
{' Yes': -0.099148355, ' yes': -2.7795186, ' No': -4.1137013, 'Yes': -4.451515, '\n': -6.2425275}
{' Yes': -0.00661504, 'Yes': -5.86755, '\n': -6.8254566, ' No': -6.851402, ' yes': -7.20809}
{' Yes': -0.018564261, ' No': -4.276972, 'Yes': -6.2519736, '\n': -6.8606563, ' ': -7.094728}
{' Yes': -0.011618398, ' No': -5.4868703, 'Yes': -5.782233, '\n': -5.914328, ' ': -6.976826}
{' Yes': -0.29419103, ' No': -1.4015307, '\n': -5.758769, 'Yes': -6.317187, 'No': -6.6816206}
{' Yes': -0.45727202, ' No': -1.3595871, '\n': -2.7776072, ' ': -3.9842534, 'No': -4.4625325}
{' No': -0.36644122, ' Yes': -1.5187316, '\n': -3.2649014, 'No': -3.6086018, ' ': -4.606494}
{' Yes': -0.16897522, '\n': -2.3935177, ' No': -3.5878842, 'Yes': -4.0526686, ' ': -4.5340285}
{' Yes': -0.2950771, ' No': -1.8703238, '\n': -2.7738004, 'Yes': -4.554917, 'No': -5.021704}
{' No': -0.48348647, ' Yes': -1.245148, '\n': -3.324198, 'No': -3.8456442, ' A': -4.046826}
{' No': -0.12199725, ' Yes': -3.2247553, 'No': -3.5313427, '\n': -3.634723, ' ': -4.6854053}
{' Yes': -0.15727575, ' No': -2.4867663, '\n': -3.398891, 'Yes': -4.46075, ' ': -4.8273444}
{' No': -0.20093325, ' Yes': -2.1703012, '\n': -3.2952628, 'No': -4.0333385, ' ': -5.1263213}
{' Yes': -0.03686925, ' No': -3.8534524, '\n': -5.3243103, ' ': -5.3334846, 'Yes': -5.610895}
{' Yes': -0.3542953, ' No': -1.3075253, ' ': -4.692342, '\n': -4.770419, ' A': -5.052013}
{' Yes': -0.026173629, '\n': -4.1455812, 'Yes': -5.404961, ' ': -5.5260205, ' No': -6.942179}
{' Yes': -0.063826986, ' No': -3.2230086, '\n': -4.328288, 'Yes': -5.6855874, ' ': -5.8756185}
{' No': -0.04612532, 'No': -3.4965494, ' Yes': -5.3274517, '\n': -5.367286, ' ': -5.8288493}
{' No': -0.039554022, 'No': -3.7121706, '\n': -4.796136, ' ': -5.693963, ' A': -6.408866}
{' No': -0.36698478, ' Yes': -1.4355806, '\n': -3.6435673, 'No': -3.8911052, ' ': -4.7560916}
{' No': -0.073682554, ' Yes': -3.5933187, 'No': -3.7082534, '\n': -4.5122027, ' ': -5.646951}
{' Yes': -0.050575823, 'Yes': -4.337504, '\n': -4.5622945, ' No': -4.704743, ' ': -4.849552}
{' Yes': -0.4552005, ' No': -1.1593422, '\n': -4.0486164, ' ': -4.4942017, ' A': -4.8415947}
{' Yes': -0.06706422, '\n': -3.9228609, 'Yes': -4.1694794, ' No': -4.186289, ' ': -4.864685}
{' Yes': -0.15518267, ' No': -2.1537273, 'Yes': -4.661032, '\n': -5.1902075, 'No': -5.6364503}
{' No': -0.011242672, 'No': -4.6940374, ' Yes': -7.175816, ' A': -7.4978395, ' Generally': -7.7204533}
{' No': -0.012498946, 'No': -4.6358147, ' Yes': -6.513912, ' A': -7.3808155, ' Generally': -7.861038}
{' No': -0.019765202, 'No': -4.308179, ' Pigs': -5.8597617, ' Generally': -6.3419924, ' Yes': -7.737374}
{' No': -0.013600177, 'No': -4.6902986, ' Pigs': -6.470948, ' Generally': -6.87438, ' P': -7.1642733}
{' No': -0.039252944, 'No': -3.3220725, ' Generally': -7.2250457, ' Yes': -7.6032543, ' ': -7.762889}
{' No': -0.031825464, 'No': -3.5434124, ' A': -7.361893, ' ': -7.4633794, ' Generally': -7.640088}
{' No': -0.060403187, 'No': -2.899671, ' ': -7.0605974, ' Pigs': -7.0815125, ' Generally': -7.27192}
{' No': -0.031751875, 'No': -3.5631065, ' Generally': -7.44763, ' P': -7.5800624, ' ': -7.707163}
{' No': -0.05169253, 'No': -3.0361438, '\n': -6.8980975, ' ': -7.3405433, ' A': -8.158366}
{' No': -0.03866929, 'No': -3.39351, '\n': -6.5048823, ' A': -6.8845534, ' ': -7.071811}
{' No': -0.10444276, 'No': -2.4182873, '\n': -5.270817, ' ': -6.023318, ' Pigs': -6.8989906}
{' No': -0.04972851, 'No': -3.1571162, '\n': -6.724106, ' ': -6.891201, ' P': -6.999507}
{' No': -0.015408507, 'No': -4.2526674, ' A': -7.2838125, ' Generally': -8.676152, ' Yes': -9.272189}
{' No': -0.015595561, 'No': -4.3283396, ' A': -6.4244013, ' Yes': -7.9561224, ' Generally': -8.776223}
{' No': -0.04989572, 'No': -3.075603, ' Pigs': -6.4179525, ' Generally': -7.8608947, ' ': -8.689909}
{' No': -0.025999388, 'No': -3.7032585, ' Pigs': -7.676918, ' P': -8.372955, ' Generally': -8.687723}
{' No': -0.09128641, 'No': -2.586882, '\n': -5.07062, ' ': -6.0560393, ' A': -6.7409115}
{' No': -0.069918066, 'No': -2.8624136, '\n': -5.3216877, ' ': -6.078951, ' A': -6.5638833}
{' No': -0.12252659, 'No': -2.436047, '\n': -4.478846, ' ': -5.2795467, ' Pigs': -5.5754623}
{' No': -0.089009784, 'No': -2.6777244, '\n': -5.26785, ' Pigs': -6.167893, ' ': -6.250013}
{' No': -0.12044079, 'No': -2.25435, ' Generally': -5.7376256, ' A': -6.3869853, ' Yes': -6.841769}
{' No': -0.10445586, 'No': -2.398588, ' A': -5.849674, ' Generally': -6.157014, ' ': -7.059247}
{' No': -0.09128373, 'No': -2.5841026, ' Pigs': -6.0899234, ' ': -6.1023383, ' Generally': -6.12426}
{' No': -0.08076894, 'No': -2.7585852, ' Generally': -5.684271, ' Yes': -5.8189387, ' P': -6.280968}
{' No': -0.003927331, 'No': -5.7024875, ' ': -8.027882, ' A': -8.872318, '\n': -9.345627}
{' No': -0.0026260114, 'No': -6.1704645, ' ': -8.415818, ' A': -8.43616, '\n': -9.654548}
{' No': -0.008169395, 'No': -5.0707645, '\n': -6.725769, ' ': -7.590454, ' Pigs': -9.749433}
{' No': -0.0026705936, 'No': -6.085865, '\n': -8.688832, ' ': -8.824034, ' P': -10.289478}
{' No': -0.060731407, 'No': -2.9182484, '\n': -5.9939246, ' ': -6.325803, ' A': -7.6913733}
{' No': -0.040341023, 'No': -3.3355718, '\n': -6.2467084, ' ': -6.6644125, ' A': -7.3689976}
{' No': -0.050137218, 'No': -3.152367, '\n': -5.797766, ' ': -6.2923126, ' Pigs': -7.2839727}
{' No': -0.028962776, 'No': -3.6412082, ' P': -7.4199977, ' Pigs': -7.5176635, ' ': -7.7137065}
{' No': -0.13114256, 'No': -2.829007, '\n': -2.892699, ' ': -4.944796, ' A': -7.2334547}
{' No': -0.10255725, 'No': -3.0597296, '\n': -3.173421, ' ': -4.9121027, ' A': -6.960369}
{' No': -0.3244833, '\n': -1.5804229, 'No': -2.989444, ' ': -3.975982, ' Pigs': -7.649975}
{' No': -0.14987823, '\n': -2.5788867, 'No': -2.9057565, ' ': -5.0325723, ' Pigs': -7.172979}
{' No': -0.004509743, 'No': -5.491902, ' ': -8.263366, ' A': -9.354141, '\n': -10.958307}
{' No': -0.0053890846, 'No': -5.2907267, ' ': -8.638138, ' A': -9.025088, '\n': -10.690668}
{' No': -0.008450673, 'No': -4.813388, ' ': -8.843884, ' Pigs': -9.715505, '\n': -9.946935}
{' No': -0.007929951, 'No': -4.8589506, ' ': -9.874677, ' P': -10.131768, '\n': -10.995406}
{' No': -0.18168218, 'No': -1.9788755, '\n': -4.0117507, ' ': -4.858779, ' A': -6.949231}
{' No': -0.13478322, 'No': -2.2497065, '\n': -4.334126, ' ': -5.172167, ' A': -6.652657}
{' No': -0.16273941, 'No': -2.2185733, '\n': -3.4841008, ' ': -4.788134, ' N': -7.7310166}
{' No': -0.12659203, 'No': -2.263263, '\n': -4.567897, ' ': -5.619809, ' P': -8.469339}
{' No': -0.045774404, 'No': -3.2412276, ' ': -5.8913937, ' A': -6.7266088, '\n': -6.806438}
{' No': -0.030880867, 'No': -3.8051426, ' A': -5.4435396, ' ': -6.226822, '\n': -7.1614566}
{' No': -0.090858325, 'No': -2.5893419, '\n': -5.3373847, ' ': -5.403477, ' no': -7.439261}
{' No': -0.0481805, 'No': -3.2410934, ' P': -6.4293346, ' ': -6.443001, '\n': -6.5886455}
{' No': -0.08941806, 'No': -2.5117624, ' A': -6.2733073, ' ': -7.051949, ' no': -7.8540173}
{' No': -0.0811427, 'No': -2.6127799, ' A': -5.981874, ' ': -7.3575754, ' Yes': -7.818574}
{' No': -0.13342692, 'No': -2.1629832, '\n': -5.993538, ' Pigs': -6.4799805, ' ': -6.6252}
{' No': -0.14635351, 'No': -2.0585928, '\n': -6.322816, ' Pigs': -6.5296965, ' Generally': -6.7082663}
{' No': -0.11186743, 'No': -2.2490458, ' ': -8.653632, ' no': -9.723713, 'no': -10.38722}
{' No': -0.07605318, 'No': -2.6159549, ' ': -9.426738, ' no': -11.045545, 'no': -11.47176}
{' No': -0.16426343, 'No': -1.8999104, ' ': -7.7601433, ' Pigs': -7.9413433, ' Generally': -8.190083}
{' No': -0.14376943, 'No': -2.017043, ' ': -8.826934, ' Generally': -9.012172, ' P': -9.045108}
{' No': -0.18923907, 'No': -1.7637668, ' ': -7.8274455, '\n': -8.499704, ' no': -9.164244}
{' No': -0.106368214, 'No': -2.2992048, ' ': -8.348734, '\n': -8.845242, ' Yes': -10.044581}
{' No': -0.26955372, 'No': -1.4589801, '\n': -6.5872607, ' ': -6.8077397, ' Pigs': -8.452909}
{' No': -0.21474952, 'No': -1.6549999, '\n': -7.5099564, ' Yes': -7.776554, ' ': -8.2180195}
{' No': -0.021742852, 'No': -3.8501022, ' ': -8.955128, ' no': -10.374179, ' A': -10.856758}
{' No': -0.017710943, 'No': -4.0545225, ' ': -9.256392, ' A': -10.005121, ' no': -10.983792}
{' No': -0.057545897, 'No': -2.892497, ' ': -8.346878, ' Generally': -9.938388, '\xa0': -10.326053}
{' No': -0.030270504, 'No': -3.5191832, ' ': -9.420397, ' Generally': -10.694127, '\xa0': -11.262262}
{' No': -0.27691215, 'No': -1.4286627, '\n': -6.7371354, ' ': -7.221083, ' A': -9.237924}
{' No': -0.27736127, 'No': -1.4237808, '\n': -7.3709774, ' ': -7.504441, ' A': -9.339306}
{' No': -0.5313205, 'No': -0.9132841, ' Pigs': -5.780693, '\n': -5.999821, ' ': -6.531879}
{' No': -0.5646249, 'No': -0.8530733, ' Pigs': -6.881776, '\n': -7.29733, ' It': -7.305945}
{' No': -0.1385511, 'No': -2.0611377, '\n': -7.084876, ' ': -7.747954, ' no': -8.495673}
{' No': -0.11596877, 'No': -2.2210598, '\n': -8.089717, ' ': -8.321905, ' no': -8.868506}
{' No': -0.26229346, 'No': -1.4713541, ' ': -8.033904, ' Pigs': -8.107203, '\n': -8.560862}
{' No': -0.23997186, 'No': -1.548701, '\n': -8.313242, ' ': -8.712887, ' Pigs': -9.185533}
{' No': -0.0029603133, 'No': -6.4787865, ' ': -6.8448844, ' no': -8.361443, '\n': -9.542252}
{' No': -0.0016614423, 'No': -7.124765, ' ': -7.3660274, ' no': -9.081913, '\n': -9.956588}
