{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' No': -0.4074082, ' Yes': -1.5651118, '\n': -2.8127387, 'No': -3.2172148, ' ': -4.212107}
{' No': -0.20930882, ' Yes': -2.2799988, 'No': -3.0511072, '\n': -3.604166, ' ': -5.0493793}
{' No': -0.24145664, ' Yes': -2.387464, '\n': -2.7807095, 'No': -3.25324, ' ': -4.486915}
{' Yes': -0.16325079, ' No': -2.52904, '\n': -3.4240596, 'Yes': -4.105956, ' Ravens': -4.7118554}
{' No': -0.7404968, ' Yes': -0.9479247, '\n': -2.635049, 'No': -3.6966527, ' ': -4.0176115}
{' No': -0.22101516, ' Yes': -2.1574945, 'No': -3.3331633, '\n': -3.5675554, ' ': -4.831807}
{' No': -0.22400019, ' Yes': -2.479646, '\n': -2.9756231, 'No': -3.5919335, ' Ravens': -3.9674485}
{' Yes': -0.21096133, ' No': -2.1642733, '\n': -3.5661173, ' Ravens': -3.9665747, 'Yes': -4.2699347}
{' No': -0.049070638, 'No': -4.309544, '\n': -4.343678, ' Yes': -4.4693284, ' ': -4.70117}
{' No': -0.20163874, ' Yes': -1.9184699, 'No': -4.3289332, '\n': -4.4622016, ' ': -4.773351}
{' No': -0.18197094, ' Yes': -2.3327048, '\n': -3.2997649, 'No': -4.1474056, ' ': -4.3043823}
{' Yes': -0.17016822, ' No': -2.1918814, '\n': -3.7294638, 'Yes': -5.0857353, ' ': -5.1470704}
{' No': -0.051205195, 'No': -3.3477938, '\n': -4.8562837, ' ': -5.101408, ' A': -7.903599}
{' No': -0.05304816, 'No': -3.1386344, ' ': -5.5187693, '\n': -5.592175, ' A': -8.227748}
{' No': -0.06520488, 'No': -3.300341, '\n': -4.368702, ' ': -4.560869, ' Ravens': -6.7903423}
{' No': -0.055706304, 'No': -3.2403395, ' ': -5.254263, '\n': -5.3360043, ' Yes': -5.75301}
{' Yes': -0.25357077, ' No': -1.8436719, '\n': -3.744955, ' ': -4.2029057, 'Yes': -4.3523126}
{' Yes': -0.258698, ' No': -1.6497025, '\n': -4.7049575, ' ': -4.9378867, 'Yes': -5.055204}
{' No': -0.72571075, ' Yes': -0.7763452, '\n': -4.258297, 'No': -4.358013, ' ': -4.458941}
{' Yes': -0.055003136, ' No': -3.7112777, 'Yes': -4.4461484, '\n': -5.185879, ' yes': -5.245892}
{' No': -0.01419423, 'No': -4.293979, ' Generally': -8.270741, ' ': -9.680813, ' A': -10.012593}
{' No': -0.03802689, 'No': -3.5686626, ' Generally': -5.436783, ' Yes': -6.7110023, ' It': -7.086898}
{' No': -0.012845502, 'No': -4.4210234, ' Ravens': -8.332839, ' Generally': -8.589617, ' ': -9.052807}
{' No': -0.039772507, 'No': -4.0010357, ' Ravens': -4.5277963, ' Generally': -5.3182282, ' It': -6.565357}
{' No': -0.04562354, 'No': -3.1384864, ' Generally': -7.8629975, ' ': -7.876795, ' A': -8.853415}
{' No': -0.0626261, 'No': -2.947298, ' Generally': -5.5880833, ' It': -6.582506, ' Ravens': -7.5032806}
{' No': -0.07806696, 'No': -2.6188443, ' Ravens': -6.8131104, ' ': -7.3236003, '\n': -8.974218}
{' No': -0.10610235, 'No': -2.7792058, ' Ravens': -3.8487191, ' Generally': -4.910927, ' It': -5.910454}
{' No': -0.06787512, 'No': -2.7948859, '\n': -5.946865, ' ': -6.8241606, ' Generally': -8.574299}
{' No': -0.0718748, 'No': -2.880964, '\n': -5.7935715, ' It': -6.1697674, ' A': -6.5456743}
{' No': -0.06503935, 'No': -2.9347863, ' Ravens': -5.551213, '\n': -5.863999, ' ': -6.1602197}
{' No': -0.12969944, 'No': -2.5976923, ' Ravens': -3.4891372, ' Generally': -5.713699, ' It': -6.0203557}
{' No': -0.01740406, 'No': -4.2032084, ' Generally': -6.833478, ' Ravens': -7.633767, ' A': -8.175681}
{' No': -0.032555547, 'No': -3.84644, ' Generally': -5.5598783, ' Ravens': -6.053418, ' It': -6.7572246}
{' No': -0.024127195, 'No': -3.9156735, ' Ravens': -5.8869953, ' Generally': -7.6989217, ' ': -8.537798}
{' No': -0.066343196, ' Ravens': -3.4551408, 'No': -3.7992358, ' Generally': -5.555782, ' It': -6.4781637}
{' No': -0.113291234, 'No': -2.3258326, '\n': -5.3334427, ' ': -6.1851997, ' Generally': -7.437962}
{' No': -0.18104292, 'No': -2.1068852, ' Generally': -4.727483, ' It': -4.9090643, ' Ravens': -5.0602694}
{' No': -0.12214729, 'No': -2.767699, ' Ravens': -3.9483516, '\n': -4.578816, ' ': -5.092018}
{' No': -0.26851943, 'No': -2.0028276, ' Ravens': -2.8213603, ' It': -4.964449, ' Generally': -5.2093515}
{' No': -0.069194295, 'No': -2.9816258, ' Generally': -5.438029, ' Ravens': -5.4572473, ' A': -6.1907043}
{' No': -0.16324376, 'No': -2.666885, ' Ravens': -3.6247208, ' Generally': -3.9079764, ' A': -4.8808627}
{' No': -0.10646508, 'No': -2.7457852, ' Ravens': -3.7265506, ' Tigers': -6.025855, ' ': -6.1005006}
{' No': -0.18854511, 'No': -2.322622, ' Ravens': -3.0367181, ' Generally': -5.075231, ' Tigers': -5.6662087}
{' No': -0.0070081204, 'No': -5.1789536, ' ': -7.1367607, '\n': -7.8864155, ' no': -9.812815}
{' No': -0.01093837, 'No': -4.6201453, ' ': -7.976253, ' A': -8.618285, '\n': -9.045099}
{' No': -0.0064382358, 'No': -5.377673, ' ': -7.136063, '\n': -7.3527875, ' Ravens': -8.795592}
{' No': -0.017479273, 'No': -4.4165154, ' Ravens': -6.096716, ' ': -7.392088, ' It': -7.408354}
{' No': -0.0742076, 'No': -2.7556863, '\n': -5.2555943, ' ': -6.18643, ' A': -8.102192}
{' No': -0.07173, 'No': -2.7881815, ' A': -6.291071, '\n': -6.744649, ' It': -6.7781477}
{' No': -0.040731575, 'No': -3.362074, ' ': -6.144554, '\n': -6.6851535, ' Ravens': -6.7701797}
{' No': -0.067175515, 'No': -2.9145646, ' Ravens': -4.9967318, ' ': -6.7246118, ' Generally': -7.0122104}
{' No': -0.16983663, 'No': -2.4656339, '\n': -2.7984452, ' ': -4.864084, ' A': -6.490736}
{' No': -0.1470574, 'No': -2.4317672, '\n': -3.2453942, ' ': -5.299237, ' A': -5.723532}
{' No': -0.24069673, '\n': -2.1330173, 'No': -2.6899898, ' ': -4.01396, ' Ravens': -5.0767875}
{' No': -0.17366834, 'No': -2.453669, '\n': -3.1508985, ' Ravens': -3.9924624, ' ': -4.7592926}
{' No': -0.008544627, 'No': -4.843574, ' ': -7.621855, '\n': -9.708609, ' no': -10.266393}
{' No': -0.012747698, 'No': -4.4126306, ' ': -8.134863, ' It': -9.38103, ' A': -9.846703}
{' No': -0.0112735955, 'No': -4.574233, ' ': -7.6636553, ' Ravens': -8.422072, '\n': -9.353777}
{' No': -0.0204627, 'No': -4.0065694, ' Ravens': -6.5213203, ' ': -8.274446, ' It': -9.392293}
{' No': -0.22056569, 'No': -1.8574464, '\n': -3.6177974, ' ': -4.660998, ' NO': -6.0182605}
{' No': -0.19755775, 'No': -1.7761881, '\n': -5.2900505, ' ': -5.749441, ' A': -6.9005327}
{' No': -0.22972865, 'No': -1.923664, '\n': -3.3074663, ' ': -4.470714, ' Ravens': -5.4470596}
{' No': -0.23679283, 'No': -1.7436572, '\n': -4.180352, ' Ravens': -4.5900764, ' ': -4.8746767}
{' No': -0.042013224, 'No': -3.3367426, ' ': -5.8725157, '\n': -6.852552, ' A': -7.490663}
{' No': -0.06532143, 'No': -3.0309813, ' A': -5.1873035, ' It': -6.057546, ' ': -6.3753924}
{' No': -0.062728085, 'No': -3.030755, ' ': -5.3731766, '\n': -6.112005, ' NO': -6.1870513}
{' No': -0.082251646, 'No': -2.8956192, ' Ravens': -4.4107018, ' ': -5.788528, ' Generally': -6.301911}
{' No': -0.1061622, 'No': -2.3509817, ' no': -6.7016573, ' ': -6.819633, ' NO': -6.909405}
{' No': -0.14749816, 'No': -2.1325638, ' A': -5.6250553, ' It': -5.9271884, ' Ravens': -5.938218}
{' No': -0.13919787, 'No': -2.1975303, ' Ravens': -5.2171645, '\n': -5.741248, ' ': -5.8969407}
{' No': -0.17192018, 'No': -2.2262795, ' Ravens': -3.7179635, ' It': -5.1703672, '\n': -5.7645206}
{' No': -0.14952834, 'No': -1.9859846, ' ': -7.55873, ' no': -7.784999, ' NO': -8.296764}
{' No': -0.15321508, 'No': -1.9552532, ' ': -8.458056, ' no': -9.531985, 'no': -10.200036}
{' No': -0.1215552, 'No': -2.2048547, ' Ravens': -6.220271, ' Generally': -7.4593096, ' ': -7.8504324}
{' No': -0.16194296, 'No': -1.9903426, ' Ravens': -4.917047, ' Generally': -6.592613, ' It': -6.9857535}
{' No': -0.13496554, 'No': -2.0785575, ' ': -7.6124334, '\n': -8.637903, ' NO': -9.143655}
{' No': -0.15557891, 'No': -1.9687809, ' Yes': -6.582649, ' It': -7.200235, ' ': -7.565324}
{' No': -0.14596897, 'No': -2.1200786, ' Ravens': -4.893279, ' Yes': -5.7959285, ' ': -6.7091613}
{' No': -0.196113, 'No': -1.8487829, ' Ravens': -4.454194, ' Yes': -6.324844, ' It': -6.551915}
{' No': -0.023482494, 'No': -3.7831428, ' ': -8.444437, ' NO': -9.558294, ' no': -9.646513}
{' No': -0.036531582, 'No': -3.340582, ' ': -8.740982, ' A': -9.6498165, ' Generally': -9.965107}
{' No': -0.03693951, 'No': -3.3751733, ' Ravens': -6.8498135, ' ': -7.5572724, ' NO': -9.132172}
{' No': -0.058006067, 'No': -3.0047452, ' Ravens': -5.241634, ' Generally': -8.125184, ' ': -8.19364}
{' No': -0.4270525, 'No': -1.0720415, '\n': -5.8775115, ' ': -6.731751, ' Ravens': -7.643287}
{'No': -0.6793402, ' No': -0.7196291, '\n': -6.7148595, ' It': -6.820923, ' ': -7.0167437}
{' No': -0.3819015, 'No': -1.3744324, ' Ravens': -3.4378994, ' Tigers': -4.7212253, ' Generally': -5.1302934}
{' No': -0.661276, 'No': -0.9210741, ' Ravens': -2.9113882, ' It': -4.923812, ' Generally': -5.3678474}
{' No': -0.11184717, 'No': -2.2843268, '\n': -6.200405, ' ': -6.949488, ' no': -7.932327}
{' No': -0.17119665, 'No': -1.876334, '\n': -6.526444, ' ': -7.536861, ' Ravens': -7.7340674}
{' No': -0.15387903, 'No': -2.1823616, ' Ravens': -3.7790964, ' ': -6.6264915, '\n': -6.69803}
{' No': -0.16366905, 'No': -1.9699111, ' Ravens': -5.0515075, ' Generally': -6.807, '\n': -7.255001}
{' No': -0.008980442, 'No': -5.499493, ' ': -6.0553994, ' no': -6.2932863, '\n': -7.79785}
{' No': -0.015236619, 'No': -4.4084306, ' no': -6.6524377, ' ': -6.763582, '\n': -8.252009}
{' No': -0.011839549, 'No': -5.0106454, ' ': -6.2568727, ' no': -6.3304157, '\n': -7.118824}
{' No': -0.01768528, 'No': -4.3304024, ' no': -6.4027686, ' ': -6.638231, ' Ravens': -7.789297}
{' No': -0.08126721, 'No': -2.630675, '\n': -5.935728, ' ': -6.299739, ' no': -7.195163}
{' No': -0.113987796, 'No': -2.3007994, ' It': -6.551277, ' A': -6.668647, '\n': -6.691346}
{' No': -0.07880969, 'No': -2.700998, '\n': -5.560651, ' ': -5.979026, ' no': -7.162111}
{' No': -0.124316886, 'No': -2.2542777, ' Ravens': -5.677997, ' It': -6.1694407, '\n': -6.190307}
{' No': -0.17447996, 'No': -2.1655173, '\n': -3.3769145, ' ': -5.003979, ' no': -6.452873}
{' No': -0.22644584, 'No': -1.7864739, '\n': -3.6759257, ' ': -5.501221, ' A': -5.904047}
{' No': -0.21819451, 'No': -2.2834983, '\n': -2.6243758, ' ': -4.663875, ' Ravens': -5.223913}
{' No': -0.25193548, 'No': -1.9762701, '\n': -3.186723, ' Ravens': -3.5548813, ' ': -4.9315925}
{' No': -0.017465565, 'No': -4.1770363, ' ': -6.920492, ' no': -7.52282, '\n': -8.080834}
{' No': -0.038856033, 'No': -3.307727, ' ': -7.717744, ' It': -7.9306173, ' no': -8.395779}
{' No': -0.018046742, 'No': -4.20358, ' ': -6.8925247, '\n': -7.156546, ' no': -7.3846645}
{' No': -0.03688818, 'No': -3.3849127, ' Ravens': -6.7353625, ' ': -7.7856483, ' no': -8.396102}
{' No': -0.28872222, 'No': -1.6519271, '\n': -3.1892653, ' ': -5.027882, ' no': -5.390767}
{' No': -0.37446472, 'No': -1.2514122, '\n': -3.9260948, ' ': -5.729095, ' no': -6.573545}
{' No': -0.29183865, 'No': -1.7384311, '\n': -3.0824754, ' NO': -4.3542137, ' ': -4.689675}
{' No': -0.35104132, 'No': -1.3653198, '\n': -3.6331553, ' ': -5.2983165, ' no': -5.7015257}
{' No': -0.06853698, 'No': -3.1434786, ' no': -4.374947, '\n': -5.5915494, ' ': -5.643473}
{' No': -0.093623616, 'No': -2.9777255, ' It': -4.2815213, ' no': -4.9586463, ' That': -5.3149886}
{' No': -0.102644555, 'No': -2.9085124, '\n': -4.06854, ' no': -4.4311624, ' ': -5.0704083}
{' No': -0.14730068, 'No': -2.3591805, ' no': -4.479413, ' Ravens': -4.7201242, '\n': -4.965436}
{' No': -0.015643207, 'No': -4.8788023, '\n': -5.2253714, ' ': -6.166663, ' A': -8.574008}
{' No': -0.017034343, 'No': -4.371675, '\n': -6.3978705, ' ': -7.0536876, ' A': -7.3722053}
{' No': -0.015418555, '\n': -5.036193, 'No': -5.124295, ' ': -6.1931486, ' Ravens': -7.809365}
{' No': -0.02476199, 'No': -4.2167974, ' Ravens': -5.6209455, '\n': -5.814451, ' ': -6.787433}
{' No': -0.10653947, 'No': -2.8493981, '\n': -3.3427799, ' ': -5.0260987, ' A': -7.470836}
{' No': -0.08214215, 'No': -2.7975464, '\n': -4.5391464, ' ': -5.7369547, ' A': -6.3039775}
{' No': -0.14947815, '\n': -2.5525753, 'No': -3.0924466, ' ': -4.5203414, ' Ravens': -5.6993914}
{' No': -0.11688792, 'No': -2.6963232, '\n': -3.7742841, ' Ravens': -4.3945937, ' ': -5.4166493}
{' No': -0.093516275, 'No': -2.8525913, '\n': -3.7342556, ' ': -5.16302, ' A': -6.7970214}
{' No': -0.061466582, 'No': -3.1716654, '\n': -4.489525, ' ': -5.7974606, ' A': -6.255745}
{' No': -0.1062023, '\n': -3.1154282, 'No': -3.2903585, ' ': -4.563362, ' Ravens': -4.994382}
{' No': -0.074024394, 'No': -3.239845, ' Ravens': -4.1468697, '\n': -4.5788727, ' ': -5.549192}
{' No': -0.034497034, 'No': -3.8086858, '\n': -5.0714536, ' ': -5.29028, ' A': -8.633339}
{' No': -0.02790605, 'No': -3.768892, ' ': -6.2335258, '\n': -6.3477607, ' A': -8.058595}
{' No': -0.039283447, 'No': -3.8756769, '\n': -4.4925685, ' ': -5.21837, ' Ravens': -7.1724324}
{' No': -0.046923775, 'No': -3.4638453, ' Ravens': -4.986827, '\n': -5.4063597, ' ': -6.0750246}
{' No': -0.040374786, 'No': -3.4297352, ' ': -5.694811, '\n': -5.9147167, ' A': -7.223321}
{' No': -0.048392434, 'No': -3.181918, ' ': -6.0795197, '\n': -6.5362988, ' A': -6.6433578}
{' No': -0.06648353, 'No': -3.2885904, '\n': -4.4338713, ' ': -4.638689, ' Ravens': -5.7053127}
{' No': -0.05774921, 'No': -3.2438378, ' Ravens': -4.831129, ' ': -5.4417977, '\n': -5.710568}
{' No': -0.069392584, 'No': -3.200164, '\n': -4.3875356, ' ': -4.9076724, ' A': -5.735264}
{' No': -0.051545035, 'No': -3.6094024, ' A': -4.9299498, ' ': -5.739944, '\n': -5.775695}
{' No': -0.08858182, 'No': -3.0937696, '\n': -4.0632005, ' ': -4.673656, ' Ravens': -4.791164}
{' No': -0.086081535, 'No': -3.0083034, ' Ravens': -4.265582, '\n': -5.180436, ' ': -5.4331822}
{' Yes': -0.046063654, ' No': -3.553365, ' Generally': -4.8187246, 'Yes': -5.3717623, ' A': -6.2854643}
{' Yes': -0.05052347, ' No': -3.6236014, 'Yes': -4.619703, ' Generally': -4.6593833, 'No': -6.7637134}
{' Yes': -0.07847272, ' No': -3.5898213, ' Tigers': -4.03896, ' Generally': -4.201634, ' On': -5.294417}
{' No': -0.03668225, 'No': -3.4355407, ' Tigers': -6.454909, ' Generally': -6.8211355, ' Yes': -7.5443897}
{' Yes': -0.28130677, ' No': -1.6160254, 'No': -3.987493, 'Yes': -4.1604342, ' Generally': -4.9071994}
{' Yes': -0.16342168, ' No': -2.4048367, 'Yes': -3.5978544, ' Generally': -4.361776, 'No': -4.4259562}
{' Yes': -0.31456602, ' No': -1.7552761, ' Tigers': -3.4634593, 'No': -3.790388, 'Yes': -4.0992184}
{' No': -0.12538508, 'No': -2.1774385, ' Yes': -6.4909663, ' Generally': -6.838836, ' Tigers': -7.212842}
{' No': -0.4471342, ' Yes': -1.2355653, 'No': -2.9462051, 'Yes': -4.9064407, '\n': -5.8933234}
{' No': -0.43186066, ' Yes': -1.3290699, 'No': -2.8073623, 'Yes': -4.6717134, ' A': -5.20423}
{' Yes': -0.49891979, ' No': -1.2199339, 'No': -3.396932, ' Tigers': -3.6388905, 'Yes': -4.067628}
{' No': -0.13470732, 'No': -2.216664, ' Yes': -5.103831, '\n': -5.7083907, ' Tigers': -5.868948}
{' Yes': -0.09049116, ' No': -2.9032123, ' Generally': -4.1369023, 'Yes': -5.1122746, ' A': -5.54718}
{' Yes': -0.049136125, ' No': -3.467414, ' Generally': -4.925538, 'Yes': -5.2037816, ' A': -6.063407}
{' Yes': -0.34036744, ' Tigers': -1.9770671, ' No': -2.8599615, ' Generally': -3.0845826, ' On': -3.6758583}
{' No': -0.05032556, 'No': -3.3517206, ' Tigers': -4.595028, ' Yes': -6.077059, ' Generally': -6.871927}
{' No': -0.14972736, 'No': -2.2476697, ' Yes': -3.9806447, '\n': -5.5841827, ' Generally': -5.779634}
{' No': -0.27893633, 'No': -1.8923416, ' Yes': -2.933775, ' Generally': -4.397041, '\n': -4.8565474}
{' No': -0.7730351, ' Yes': -1.0303594, 'No': -2.5334568, ' Tigers': -3.8061628, ' Ravens': -3.9634972}
{' No': -0.20741577, 'No': -1.8821745, '\n': -4.959446, ' Yes': -5.198309, ' Generally': -5.315214}
{' No': -0.3196904, ' Yes': -1.717384, 'No': -3.013843, ' Generally': -3.9099956, ' A': -4.718282}
{' Yes': -0.37637725, ' No': -1.5701581, ' A': -3.3999498, ' Generally': -3.469675, 'No': -4.0993824}
{' Yes': -0.13561176, ' No': -2.782491, ' Tigers': -3.8427095, 'Yes': -4.101741, ' Ravens': -4.770547}
{' No': -0.15318473, 'No': -2.3427408, ' Yes': -3.7983663, ' Tigers': -4.4351916, ' Generally': -5.4540977}
{' Yes': -0.033648387, ' No': -3.5427785, 'Yes': -5.973456, ' yes': -7.451344, ' ': -7.8395677}
{' Yes': -0.18348354, ' No': -1.8375342, 'Yes': -5.8792477, ' A': -6.17593, 'No': -6.8175106}
{' Yes': -0.0105668735, ' No': -5.151964, 'Yes': -5.7054324, '\n': -7.922689, ' yes': -7.9719944}
{' No': -0.0073933657, 'No': -5.326094, '\n': -6.8527966, ' Yes': -7.195795, ' ': -7.530716}
{' No': -0.08090064, 'No': -2.6870673, ' A': -5.6390724, ' ': -6.2864747, ' Yes': -6.354744}
{' No': -0.08294692, 'No': -2.7242146, ' Yes': -5.1977673, ' A': -5.8558064, '\n': -5.963171}
{' No': -0.1722067, ' Yes': -2.4944322, 'No': -3.1387498, ' Tigers': -3.8462408, ' Ravens': -5.856785}
{' No': -0.045169096, 'No': -3.1718054, ' ': -6.799401, '\n': -7.2761464, ' Tigers': -9.39229}
{' No': -0.13906834, 'No': -2.452831, '\n': -3.4806914, ' ': -5.063791, ' A': -5.4442744}
{' No': -0.1370797, 'No': -2.5150762, '\n': -3.4443192, ' ': -4.992993, ' A': -5.027241}
{' No': -0.24422827, 'No': -2.4518719, '\n': -2.6128902, ' Yes': -3.802986, ' Tigers': -4.1095867}
{' No': -0.1706376, 'No': -2.5601182, '\n': -2.6687226, ' ': -4.8069687, ' Tigers': -7.346}
{' No': -0.07615171, ' Yes': -2.731387, 'No': -5.148049, ' A': -6.740807, ' ': -7.0913033}
{' No': -0.010215807, 'No': -4.7204914, ' ': -7.497896, ' Yes': -8.018457, ' A': -8.297686}
{' No': -0.17143902, ' Yes': -1.9878663, 'No': -4.5566907, ' Tigers': -4.906222, ' ': -7.1180897}
{' No': -0.008925234, 'No': -4.764714, ' ': -8.346298, '\n': -9.58078, ' no': -11.06033}
{' No': -0.27500504, 'No': -1.5294054, '\n': -4.583813, ' ': -4.7552104, ' A': -6.0716295}
{' No': -0.24305889, 'No': -1.6443802, '\n': -4.6783366, ' ': -5.0593233, ' A': -5.3377037}
{' No': -0.2727723, 'No': -1.5889897, '\n': -4.1036315, ' ': -4.5934434, ' Tigers': -6.1387534}
{' No': -0.2227735, 'No': -1.7636995, '\n': -4.061473, ' ': -4.71094, ' no': -8.106123}
{' Yes': -0.680725, ' No': -0.79485875, 'No': -4.173933, ' A': -4.541731, 'Yes': -5.10207}
{' No': -0.12647168, ' Yes': -2.880889, 'No': -3.3131323, ' A': -4.000926, ' ': -6.0080113}
{' Yes': -0.113364935, ' No': -2.6615617, 'Yes': -4.4937186, ' Tigers': -4.572063, ' yes': -5.3033385}
{' No': -0.0532202, 'No': -3.4071572, ' Yes': -4.9967704, ' ': -5.4999905, ' Tigers': -6.008728}
{' No': -0.43167445, ' Yes': -1.4737773, 'No': -2.4256454, ' A': -4.4902344, 'Yes': -4.655263}
{' No': -0.6084124, ' Yes': -1.2377459, 'No': -2.281947, ' A': -3.6742566, 'Yes': -4.076922}
{' Yes': -0.26655427, ' No': -2.0536425, 'Yes': -3.484463, ' Tigers': -3.7281907, 'No': -3.9584534}
{' No': -0.19671859, 'No': -1.8869156, ' Yes': -4.879371, ' Tigers': -5.059772, '\n': -6.1765943}
{' No': -0.24385671, 'No': -1.6729146, ' Yes': -3.6894093, 'Yes': -6.254005, ' ': -7.266655}
{' No': -0.2844438, 'No': -1.8469514, ' Yes': -2.5118265, 'Yes': -5.104659, ' ': -7.1975737}
{' No': -0.8186445, ' Yes': -0.8903075, 'No': -2.173604, 'Yes': -3.701772, ' Generally': -5.443503}
{' No': -0.24284124, 'No': -1.5523524, ' Yes': -6.121537, ' Generally': -7.727916, ' Tigers': -8.270683}
{' No': -0.35573125, ' Yes': -1.921733, 'No': -1.9634945, 'Yes': -4.602918, ' ': -7.1911926}
{' Yes': -0.41817263, ' No': -1.4618394, 'No': -2.905153, 'Yes': -3.0404143, ' Generally': -5.809716}
{' No': -0.7901377, ' Yes': -0.90726995, 'No': -2.2717986, 'Yes': -3.7175972, ' Tigers': -5.21092}
{' No': -0.24463996, 'No': -1.6136242, ' Yes': -4.4829364, 'Yes': -6.728548, ' ': -6.838751}
{' No': -0.25848562, ' Yes': -1.5938852, 'No': -3.8883493, 'Yes': -5.8989344, ' ': -7.666479}
{' Yes': -0.32958227, ' No': -1.3440266, 'Yes': -4.6180186, 'No': -4.846306, ' A': -7.1699257}
{' Yes': -0.29604802, ' No': -1.5076244, 'No': -4.3914347, 'Yes': -4.446994, ' Tigers': -4.8533425}
{' No': -0.049678393, 'No': -3.1867137, ' Yes': -5.4532924, ' Tigers': -6.448047, ' ': -7.465214}
{' No': -0.4249942, 'No': -1.0878723, ' Tigers': -5.5825677, ' A': -6.586256, ' ': -6.823834}
{'No': -0.7083322, ' No': -0.72253627, ' Generally': -5.582301, ' T': -5.709181, '\n': -6.194995}
{' No': -1.3439409, ' Yes': -1.3664172, 'No': -1.5910647, ' Ravens': -2.4121516, ' Tigers': -2.5501845}
{'No': -0.7335376, ' No': -0.7569695, ' Tigers': -4.267783, 'T': -4.7525077, ' Generally': -5.0375557}
{' No': -0.2193954, 'No': -2.5376346, ' Yes': -2.628331, ' Tigers': -4.2675524, ' Tiger': -4.311772}
{' No': -0.72846544, ' Yes': -0.8881297, 'No': -3.1512675, ' A': -3.8350346, 'Yes': -4.45384}
{' Yes': -0.13943686, ' No': -2.6802046, 'Yes': -3.7128294, ' Tigers': -4.2834644, 'No': -4.5714397}
{' No': -0.17935422, 'No': -2.1319757, ' Tigers': -4.0461316, ' Yes': -4.056048, ' Generally': -5.5205054}
{' Yes': -0.04238621, ' yes': -3.5094233, ' No': -5.090106, 'Yes': -5.753222, ' ': -6.577768}
{' Yes': -0.19667578, ' No': -2.0265477, ' yes': -3.9166691, ' A': -4.441398, ' ': -4.886535}
{' Yes': -0.023093138, ' yes': -4.229598, ' No': -5.4809937, 'Yes': -6.0303903, ' ': -7.22686}
{' No': -0.055257775, ' Yes': -3.195074, 'No': -5.1288524, ' ': -5.7886405, ' no': -6.2667794}
{' No': -0.15239474, ' Yes': -2.7040725, 'No': -2.8068576, ' A': -5.445258, ' ': -5.512672}
{' No': -0.10682224, 'No': -2.6310892, ' A': -4.442586, ' Yes': -4.7185473, ' ': -5.618793}
{' Yes': -0.7650685, ' No': -0.8136945, 'No': -2.9309924, 'Yes': -4.263762, ' Tigers': -4.7791257}
{' No': -0.089531474, 'No': -2.5626397, '\n': -5.5291333, ' ': -5.8367486, ' no': -7.4099207}
{' No': -0.5705635, ' Yes': -1.4173442, 'No': -2.4828598, '\n': -3.1215982, ' A': -3.579879}
{' No': -0.2562977, 'No': -2.1793628, '\n': -2.905105, ' Yes': -3.7903132, ' A': -3.903625}
{' No': -0.84305245, ' Yes': -1.0390307, 'No': -2.5239093, '\n': -2.9012437, ' Tigers': -3.2274497}
{' No': -0.23744869, 'No': -2.0613525, '\n': -2.6328478, ' ': -4.8179007, ' Yes': -6.4057207}
{' Yes': -0.696489, ' No': -0.72558755, 'No': -5.003805, 'Yes': -5.6331854, ' A': -5.823152}
{' No': -0.10883491, ' Yes': -2.702213, 'No': -4.0133605, ' A': -4.3122115, ' ': -6.2097864}
{' No': -0.46946526, ' Yes': -1.0681896, 'No': -4.156168, ' Tigers': -4.796129, 'Yes': -5.732031}
{' No': -0.021913184, 'No': -3.940927, ' Yes': -6.9750547, ' ': -7.3472567, '\n': -7.810348}
{' No': -0.3182278, 'No': -1.4359053, '\n': -3.8497791, ' ': -5.0192547, ' no': -5.7274365}
{' No': -0.35325506, 'No': -1.3491561, '\n': -3.6592405, ' ': -5.3251886, ' Yes': -6.1290817}
{' No': -0.4035557, 'No': -1.2152603, '\n': -3.9654272, ' ': -5.1736803, ' Yes': -5.724993}
{' No': -0.36024076, 'No': -1.3706149, '\n': -3.27881, ' ': -4.9942155, ' no': -6.3753796}
