{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.029015115, ' left': -3.6068096, 'Left': -7.262135, 'left': -7.478585, ' Right': -8.582586}
{' Left': -0.01848581, ' left': -4.392303, ' Right': -5.340631, 'Left': -7.254089, 'left': -7.83582}
{' Left': -0.04243652, ' Right': -3.6107879, ' left': -4.337532, 'Left': -7.3039, 'left': -7.663137}
{' Right': -0.022065142, ' right': -4.0206575, 'Right': -6.3954625, ' Left': -6.695519, 'right': -7.0314198}
{' Left': -0.027375778, ' left': -3.6719906, 'Left': -7.0401983, 'left': -7.3196974, ' Right': -10.480126}
{' Left': -0.5933277, ' Right': -0.8322899, ' left': -4.7613707, ' right': -5.6810217, 'Right': -8.583551}
{' Left': -0.046280444, ' left': -3.4456866, ' Right': -4.3914437, 'Left': -7.88553, ' right': -8.044151}
{' Right': -0.053085245, ' right': -2.9881322, ' Left': -7.404657, 'Right': -7.7789736, 'right': -8.399803}
{' Left': -0.056151625, ' left': -2.9457903, ' Right': -6.7777452, 'Left': -7.6588964, 'left': -7.864098}
{' Left': -0.018973123, ' left': -4.217587, ' Right': -6.1021433, 'Left': -6.5935426, 'left': -7.757157}
{' Left': -0.055376202, ' Right': -3.1765575, ' left': -4.5637207, 'Left': -6.9093075, 'left': -8.021343}
{' Right': -0.0101147685, ' right': -4.9205737, 'Right': -6.3633914, ' Left': -7.361475, 'right': -7.9295974}
{' Left': -0.027740266, ' left': -3.6709857, 'Left': -6.6468024, 'left': -7.456916, ' Right': -11.015241}
{' Left': -0.066033565, ' Right': -3.0253932, ' left': -4.239909, 'Left': -7.958334, ' right': -8.09683}
{' Left': -0.011419725, ' left': -4.6209316, ' Right': -6.846864, 'Left': -8.09881, 'left': -8.9022255}
{' Right': -0.0052558174, ' right': -5.397876, ' Left': -7.897345, 'Right': -8.225597, 'right': -9.633605}
{' Left': -0.017368885, ' left': -4.0917287, 'Left': -8.131738, 'left': -8.520559, ' Right': -11.367053}
{' Left': -0.27783048, ' Right': -1.4881405, ' left': -4.643196, 'Left': -5.726593, 'Right': -6.4286366}
{' Left': -0.53894365, ' Right': -0.9568495, ' left': -4.053851, ' right': -4.9855394, 'Right': -5.6339235}
{' Right': -0.04492649, ' right': -3.4903553, 'Right': -4.686562, 'right': -6.011278, ' Left': -6.4551244}
{' Left': -0.047529638, ' left': -3.2711205, 'Left': -5.0906835, 'left': -6.502285, ' Right': -7.221237}
{' Left': -0.10036697, ' Right': -2.5673544, ' left': -4.020609, ' right': -7.4107094, 'Left': -9.056971}
{' Left': -0.096119575, ' Right': -2.711953, ' left': -3.729624, ' right': -6.8878155, 'Left': -9.0956955}
{' Left': -0.35588866, ' Right': -1.400082, ' left': -3.1693954, ' right': -4.5422516, 'left': -9.574679}
{' Left': -0.10236172, ' left': -2.8015518, ' Right': -3.342655, ' right': -7.026058, 'left': -8.629934}
{' Left': -0.08197581, ' Right': -2.7904298, ' left': -4.1241755, ' right': -7.623967, 'Left': -7.8683047}
{' Left': -0.037653428, ' left': -3.8354762, ' Right': -4.234318, 'Left': -7.7908025, 'left': -8.3271675}
{' Left': -0.30901623, ' Right': -1.5280598, ' left': -3.2136753, ' right': -4.839669, 'Left': -8.164084}
{' Left': -0.072485015, ' left': -3.0386276, ' Right': -3.8843708, 'Left': -7.4647408, ' right': -7.6772575}
{' Left': -0.048066795, ' left': -3.3064055, ' Right': -4.6757827, 'Left': -7.688619, 'left': -8.2701025}
{' Left': -0.26231888, ' Right': -1.6285068, ' left': -3.5458767, ' right': -5.331943, 'Left': -8.067098}
{' Right': -0.5457922, ' Left': -1.04308, ' right': -3.291888, ' left': -3.5077806, 'Right': -7.498238}
{' Left': -0.07635595, ' left': -2.6940145, ' Right': -5.366561, 'Left': -7.484795, 'left': -7.7006674}
{' Left': -0.21696594, ' left': -1.8192208, ' Right': -3.5558672, ' right': -5.6158934, 'Left': -8.005306}
{' Left': -0.17996806, ' left': -1.908905, ' Right': -4.3039417, ' right': -6.074304, 'Left': -8.04483}
{' Left': -0.6067321, ' left': -1.0311191, ' Right': -2.955548, ' right': -3.089772, 'left': -7.867016}
{' Left': -0.60477495, ' left': -0.80608225, ' Right': -5.5320325, ' right': -6.179674, 'left': -7.21768}
{' Left': -0.05243334, ' left': -3.041378, ' Right': -6.2167125, 'Left': -7.0555816, 'left': -7.8364754}
{' Left': -0.074496314, ' left': -3.091521, ' Right': -3.715758, ' right': -7.143977, 'Left': -7.1792173}
{' Left': -0.32209635, ' Right': -1.5551114, ' left': -2.9659941, ' right': -4.485041, 'Left': -7.395039}
{' Left': -0.1390445, ' left': -2.065541, ' Right': -6.7833657, 'Left': -6.812976, 'left': -7.23799}
{' Left': -0.026348751, ' Right': -4.0725083, ' left': -4.755305, 'Left': -8.503252, ' right': -9.477861}
{' Left': -0.04975363, ' Right': -3.3467793, ' left': -4.358664, ' right': -8.200275, 'Left': -8.730059}
{' Left': -0.034381974, ' left': -3.9841824, ' Right': -4.2176533, ' right': -8.373751, 'Left': -8.914759}
{' Left': -0.05242586, ' Right': -3.4918313, ' left': -3.9170573, ' right': -8.210548, 'Left': -8.244959}
{' Left': -0.7213152, ' Right': -0.98671126, ' left': -2.4560812, ' right': -3.017057, 'Right': -5.9362884}
{' Left': -0.43771935, ' left': -1.7693518, ' Right': -1.9264563, ' right': -3.4103546, 'Left': -6.1396713}
{' Left': -0.7981168, ' Right': -1.2670634, ' left': -1.7761556, ' right': -2.3876822, 'Right': -6.260517}
{' Left': -0.49753287, ' left': -1.6624843, ' Right': -1.818637, ' right': -3.4531047, 'Left': -5.685157}
{' Right': -0.07212217, ' Left': -2.773412, ' right': -5.1553264, ' left': -6.7872324, 'Right': -8.594518}
{' Left': -0.018383326, ' left': -4.029436, 'Left': -8.20528, ' Right': -9.280287, 'left': -9.666244}
{' Left': -0.16611253, ' left': -1.9049278, ' Right': -5.7909465, 'left': -7.676092, 'Left': -7.6780567}
{' Left': -0.11158803, ' left': -2.2688372, ' Right': -6.4672985, 'left': -8.25952, 'Left': -8.325899}
{' Right': -0.19871396, ' Left': -1.7692802, ' right': -5.219397, ' left': -5.643664, 'Right': -7.465605}
{' Left': -0.0123195285, ' left': -4.480095, 'Left': -7.2621646, 'left': -8.892978, ' Right': -9.547443}
{' Left': -0.06838973, ' left': -2.7972524, ' Right': -5.723785, 'Left': -6.842527, 'left': -7.3142715}
{' Left': -0.07957944, ' left': -2.5906897, 'Left': -7.451665, 'left': -7.6358724, ' Right': -7.7256417}
{' Right': -0.06869702, ' Left': -3.3875484, ' right': -3.588928, ' left': -5.93103, 'Right': -6.4964957}
{' Left': -0.06684695, ' left': -2.770367, 'Left': -6.7317634, 'left': -7.35277, ' Right': -8.64596}
{' Left': -0.14858486, ' left': -2.0096784, 'left': -6.4329014, 'Left': -6.59877, ' Right': -6.9574666}
{' Left': -0.2576674, ' left': -1.5072687, ' Right': -6.0084114, 'left': -6.2917953, 'Left': -7.0525603}
{' Right': -0.38246202, ' Left': -1.3842759, ' right': -3.2349722, ' left': -3.6082118, 'Right': -7.7657743}
{' Left': -0.11026203, ' left': -2.2726138, 'Left': -7.3131595, 'left': -8.008516, ' Right': -8.018267}
{' Left': -0.46888077, ' left': -1.0053626, ' Right': -5.414874, ' right': -6.4156713, 'left': -6.580395}
{' Left': -0.28050423, ' left': -1.5928822, ' Right': -3.4037511, ' right': -4.980213, 'left': -7.4230943}
{' Right': -0.044945315, ' right': -3.8281903, ' Left': -3.983004, 'Right': -6.485544, ' left': -6.5121827}
{' Left': -0.04195411, ' left': -3.2392538, 'Left': -6.5054164, 'left': -7.9113827, ' Right': -10.507017}
{' Left': -0.07851275, ' left': -2.6303716, 'Left': -6.286455, 'left': -6.961966, ' Right': -7.407393}
{' Left': -0.11475738, ' left': -2.284168, ' Right': -5.537185, 'Left': -6.6947746, 'left': -6.780357}
{' Right': -0.055440463, ' Left': -3.01345, ' right': -5.584142, ' left': -7.165794, 'Right': -8.414172}
{' Left': -0.014998624, ' left': -4.239959, 'Left': -7.9902754, 'left': -9.309195, ' Right': -9.947352}
{' Left': -0.043569308, ' left': -3.2149217, ' Right': -6.6480346, 'Left': -7.309837, 'left': -7.656472}
{' Left': -0.040380184, ' left': -3.2935445, ' Right': -6.2783313, 'Left': -8.2044735, 'left': -8.269777}
{' Right': -0.062363677, ' Left': -3.6158054, ' right': -3.650115, 'Right': -5.3554773, ' left': -6.272023}
{' Left': -0.05084283, ' left': -3.1444151, 'Left': -5.421763, ' Right': -6.5748844, 'left': -7.4276214}
{' Left': -0.31676742, ' left': -1.507201, ' Right': -3.4259627, ' right': -4.8654904, 'Left': -5.100354}
{' Left': -0.5689237, ' Right': -1.6263006, ' left': -1.7549018, ' right': -2.8628976, 'Left': -5.8621173}
{' Left': -0.39737442, ' Right': -1.1924183, ' left': -3.8930295, ' right': -5.567685, 'Left': -9.312036}
{' Right': -0.002353114, ' right': -6.699839, ' Left': -6.912036, 'Right': -9.185027, ' left': -11.649447}
{' Right': -0.19685043, ' Left': -1.7763448, ' right': -5.297875, ' left': -5.471598, 'Right': -8.943977}
{' Right': -0.025695032, ' right': -3.8728743, ' Left': -5.4740973, ' left': -8.454208, 'Right': -9.118523}
{' Left': -0.20553514, ' Right': -1.8639976, ' left': -3.5842617, ' right': -6.1926107, 'Left': -7.683768}
{' Right': -0.013500367, ' Left': -4.7716084, ' right': -5.529114, 'Right': -7.2390695, ' left': -8.805563}
{' Right': -0.19123583, ' Left': -1.8424275, ' right': -4.767907, ' left': -5.1941385, 'Right': -6.8647866}
{' Right': -0.626735, ' Left': -0.86102045, ' left': -3.6807814, ' right': -4.11514, 'Right': -7.6181707}
{' Right': -0.19028243, ' Left': -1.9037739, ' right': -4.1666446, ' left': -4.888675, 'Right': -7.186347}
{' Right': -0.028644513, ' Left': -4.18502, ' right': -4.5245166, 'Right': -6.7565913, ' left': -7.2514567}
{' Right': -0.16473953, ' Left': -2.0143964, ' right': -4.5057487, ' left': -5.2460785, 'Right': -6.5751915}
{' Right': -0.0751181, ' Left': -3.3409069, ' right': -3.4185607, ' left': -6.0085273, 'Right': -6.7966924}
{' Left': -0.3202024, ' Right': -2.0132222, ' left': -2.0713334, ' right': -4.304259, 'left': -7.8331227}
{' Right': -0.046327136, ' right': -3.1908984, ' Left': -5.8455267, 'Right': -7.3291807, ' left': -7.9079275}
{' Right': -0.59389865, ' Left': -1.1973705, ' left': -2.5494652, ' right': -2.7221527, 'Right': -7.3933883}
{' Right': -0.3404322, ' Left': -1.9568717, ' right': -2.1701689, ' left': -3.4473276, 'Right': -7.5377965}
{' Right': -0.47825804, ' Left': -1.0132598, ' left': -4.713348, ' right': -5.0150604, 'Right': -7.090315}
{' Right': -0.31742048, ' Left': -1.379398, ' left': -4.6671996, ' right': -4.7589273, 'Right': -6.551051}
{' Right': -0.58084285, ' Left': -0.87348557, ' left': -4.2229953, ' right': -5.104732, 'Right': -6.8235927}
{' Right': -0.4315791, ' Left': -1.1218427, ' right': -4.403552, ' left': -4.516771, 'Right': -6.9934726}
{' Left': -0.32255945, ' Right': -1.3628541, ' left': -4.051914, ' right': -6.166828, 'Left': -9.037596}
{' Right': -0.002374565, ' right': -6.858997, ' Left': -6.904924, 'Right': -8.172256, 'right': -11.02043}
{' Right': -0.0385688, ' Left': -3.3372974, ' right': -6.462621, 'Right': -8.018053, ' left': -8.052239}
{' Right': -0.09259435, ' Left': -2.5043793, ' right': -5.295262, ' left': -6.5517025, 'Right': -8.579248}
{' Right': -0.2817315, ' Left': -1.6108902, ' right': -3.6010864, ' left': -4.379304, 'Right': -5.565503}
{' Right': -0.1651421, ' Left': -2.0875359, ' right': -4.108091, 'Right': -5.2681313, ' left': -5.289989}
{' Right': -0.20834109, ' Left': -1.9474119, ' right': -3.62795, ' left': -4.5934534, 'Right': -5.1066866}
{' Left': -0.1882413, ' Right': -2.490575, ' left': -2.562465, ' right': -5.1286883, 'Left': -5.6161985}
{' Left': -0.15308253, ' Right': -2.0254502, ' left': -4.7114644, ' right': -7.144354, 'Left': -8.843671}
{' Right': -0.009259179, ' right': -4.7814393, ' Left': -7.5263414, 'Right': -8.382817, 'right': -10.38712}
{' Right': -0.40507966, ' Left': -1.3273076, ' right': -3.0753868, ' left': -3.8466213, 'Right': -8.617936}
{' Right': -0.036713667, ' right': -3.5908728, ' Left': -4.9164076, ' left': -7.223498, 'Right': -8.0906925}
{' Left': -0.0217501, ' left': -3.9120052, 'Left': -6.9759965, ' Right': -7.9209747, 'left': -8.483542}
{' Right': -0.026492573, ' right': -3.7349293, 'Right': -6.6434813, ' Left': -7.440442, 'right': -8.106593}
{' Left': -0.17214127, ' left': -1.8559428, 'Left': -7.013488, 'left': -7.0953665, ' Right': -9.274802}
{' Right': -0.051055826, ' right': -3.1569307, ' Left': -5.415077, 'Right': -6.3891945, ' left': -7.3145537}
{' Left': -0.047276087, ' left': -3.1192899, 'Left': -6.8149476, 'left': -7.7246647, ' Right': -7.8860364}
{' Right': -0.028003447, ' right': -3.6646914, 'Right': -6.6712027, 'right': -7.677879, ' Left': -8.782062}
{' Left': -0.13320293, ' left': -2.1396153, ' Right': -5.2912936, 'left': -7.2381067, 'Left': -7.245679}
{' Right': -0.10506976, ' Left': -2.9463894, ' right': -3.239185, ' left': -5.1238513, 'Right': -6.6445727}
{' Left': -0.17663401, ' left': -1.8652269, ' Right': -5.314663, ' right': -7.066231, 'Left': -7.1501026}
{' Right': -0.16313703, ' right': -1.9116474, 'Right': -6.9264746, ' Left': -6.971338, 'right': -7.6476583}
{' left': -0.71990246, ' Left': -0.75928545, ' right': -3.7681086, ' Right': -3.869202, 'left': -7.311449}
{' Right': -0.32331732, ' right': -1.3607758, ' Left': -4.5819197, ' left': -4.911916, 'Right': -6.6688123}
{' Left': -0.046910096, ' left': -3.1618807, 'Left': -5.9570065, 'left': -7.5062757, ' Right': -8.079687}
{' Right': -0.026250845, ' right': -3.7991922, 'Right': -5.8832316, 'right': -7.5080276, ' Left': -9.186645}
{' Left': -0.1025626, ' left': -2.3632, ' Right': -6.5452085, 'Left': -6.818938, 'left': -7.2397733}
{' Right': -0.062731765, ' right': -3.1611567, ' Left': -4.3352804, ' left': -6.1036577, 'Right': -6.1039953}
{' Left': -0.05746717, ' Right': -3.3284461, ' left': -3.9545388, ' right': -7.819765, 'Left': -8.135343}
{' Right': -0.00920227, ' right': -4.7630916, 'Right': -8.0184145, ' Left': -8.4722185, 'right': -9.889451}
{' Left': -0.52448076, ' Right': -1.0676041, ' left': -3.0517917, ' right': -4.1134167, 'Right': -8.377065}
{' Right': -0.018752513, ' right': -4.2214174, ' Left': -5.806451, 'Right': -7.6381445, ' left': -8.489051}
{' Left': -0.1039795, ' left': -2.6304667, 'Left': -4.329302, ' Right': -4.606299, 'left': -6.1318245}
{' Right': -0.17130694, ' right': -2.2631323, 'Right': -3.5199113, 'right': -4.3735394, ' Left': -4.6718163}
{' Left': -0.3663284, ' left': -1.3170521, 'Left': -4.021802, 'left': -4.642514, ' Right': -4.912717}
{' Right': -0.4383589, ' Left': -1.7424494, ' right': -2.2667282, ' left': -3.218182, 'Right': -3.7499242}
{' Right': -0.054825436, ' Left': -3.0622811, ' right': -5.1784883, ' left': -7.2181435, 'Right': -8.816612}
{' Left': -0.023795879, ' left': -3.8625808, ' Right': -6.15928, 'Left': -8.48474, 'left': -8.783666}
{' Right': -0.027068675, ' right': -3.6371186, 'Right': -8.729262, ' Left': -9.014283, 'right': -9.459336}
{' Left': -0.04792719, ' left': -3.076236, 'Left': -8.379914, 'left': -8.410428, ' Right': -8.492614}
{' Left': -0.4075958, ' Right': -1.1184037, ' left': -5.137038, ' right': -6.7899404, 'Left': -7.7505426}
{' Left': -0.020568257, ' left': -3.9812555, 'Left': -7.187118, ' Right': -7.612937, 'left': -7.7299585}
{' Right': -0.015118614, ' right': -4.4807615, ' Left': -5.94975, 'Right': -7.1785955, 'right': -8.384059}
{' Left': -0.02831924, ' left': -3.6346233, 'Left': -7.0034103, 'left': -7.4867597, ' Right': -9.804613}
{' Left': -0.014051803, ' left': -4.663363, ' Right': -5.6769295, 'Left': -7.2163014, 'left': -8.017315}
{' Left': -0.06826758, ' Right': -2.9070468, ' left': -4.616479, 'Left': -7.394468, ' right': -7.909559}
{' Right': -0.014769031, ' right': -4.4668007, 'Right': -6.621607, ' Left': -6.685192, 'right': -7.558239}
{' Left': -0.04089567, ' left': -3.2781374, 'Left': -6.7546096, 'left': -6.7650948, ' Right': -10.578207}
{' Left': -0.3582515, ' Right': -1.2422656, ' left': -4.6535664, ' right': -6.0516796, 'Left': -8.345316}
{' Left': -0.06667268, ' Right': -3.1500123, ' left': -3.8973763, ' right': -7.199118, 'Left': -7.912057}
{' Right': -0.04583855, ' right': -3.1224453, 'Right': -7.744649, 'right': -8.530013, ' Left': -9.178487}
{' Left': -0.07863332, ' left': -2.596902, 'Left': -7.507285, 'left': -7.780274, ' Right': -8.889291}
{' Left': -0.014213878, ' left': -4.760109, ' Right': -5.502779, 'Left': -6.7399273, 'left': -8.262644}
{' Left': -0.017380165, ' left': -4.3965573, ' Right': -5.8162994, 'Left': -6.5383706, 'left': -7.714852}
{' Right': -0.007923224, ' right': -5.1224537, 'Right': -6.5033817, 'right': -8.354437, ' Left': -8.694611}
{' Left': -0.03701905, ' left': -3.3931742, 'Left': -6.256161, 'left': -7.124558, ' "': -11.717539}
{' Left': -0.43737942, ' Right': -1.0498443, ' left': -5.735303, ' right': -7.2204294, 'Left': -8.928029}
{' Left': -0.00999261, ' left': -4.825281, ' Right': -6.457168, 'Left': -8.354878, 'left': -9.177659}
{' Right': -0.0038544515, ' right': -5.673601, 'Right': -8.48141, ' Left': -8.771276, 'right': -10.067754}
{' Left': -0.017580573, ' left': -4.0782037, 'Left': -8.189373, 'left': -8.615671, ' Right': -10.600618}
{' Left': -0.3119639, ' Right': -1.3924693, ' left': -4.4054923, ' right': -5.9369025, 'Left': -5.9787745}
{' Left': -0.4348432, ' Right': -1.1706164, ' left': -3.6470623, ' right': -4.806856, 'Left': -5.737102}
{' Right': -0.06456378, ' right': -2.9960365, 'Right': -4.7451935, 'right': -5.75332, ' Left': -7.4932957}
{' Left': -0.05482405, ' left': -3.0821903, 'Left': -5.31651, 'left': -6.452872, ' Right': -6.978678}
{' Left': -0.27916244, ' Right': -1.4909773, ' left': -4.1299734, ' right': -6.144158, 'Left': -9.31412}
{' Left': -0.074351914, ' Right': -3.1610522, ' left': -3.5698066, ' right': -7.0158734, 'Left': -9.047114}
{' Left': -0.43275142, ' Right': -1.196965, ' left': -3.3377311, ' right': -4.310683, 'Left': -9.538992}
{' Left': -0.09275894, ' left': -2.9379966, ' Right': -3.3675585, ' right': -7.141953, 'Left': -8.669461}
{' Left': -0.13441825, ' Right': -2.2191274, ' left': -4.175327, ' right': -6.9115825, 'Left': -7.839206}
{' Left': -0.06667153, ' Right': -3.2250462, ' left': -3.7558804, ' right': -7.3081126, 'Left': -7.8073406}
{' Right': -0.7234432, ' Left': -0.73764735, ' left': -3.8815107, ' right': -4.1793947, 'Right': -7.87835}
{' Left': -0.04989058, ' left': -3.2750282, ' Right': -4.6158714, 'Left': -7.6497345, 'left': -8.140914}
{' Left': -0.04422281, ' left': -3.8072402, ' Right': -3.9142256, 'Left': -7.562659, ' right': -8.037055}
{' Left': -0.21338242, ' Right': -1.8651863, ' left': -3.4509387, ' right': -5.4003654, 'Left': -7.7390757}
{' Right': -0.4317464, ' Left': -1.1923951, ' right': -3.5562787, ' left': -4.0456457, 'Right': -7.371659}
{' Left': -0.069446445, ' left': -2.8777194, ' Right': -4.668573, 'Left': -7.3727427, 'left': -7.7478514}
{' Left': -0.3089935, ' left': -1.6715536, ' Right': -2.714631, ' right': -4.511937, 'left': -8.057241}
{' Left': -0.18384314, ' left': -2.0432773, ' Right': -3.3914044, ' right': -5.4757986, 'Left': -8.355561}
{' Left': -0.6367581, ' left': -1.5694134, ' Right': -1.6731924, ' right': -2.5950634, 'left': -8.483943}
{' Left': -0.6009568, ' left': -0.8421677, ' Right': -4.3145337, ' right': -5.030743, 'left': -7.360888}
{' Left': -0.042647734, ' left': -3.4533415, ' Right': -4.740529, 'Left': -7.0155396, 'left': -8.137876}
{' Left': -0.09041189, ' left': -3.1444583, ' Right': -3.204805, ' right': -6.6083293, 'Left': -6.973098}
{' Left': -0.69999814, ' Right': -0.8124403, ' left': -3.3567266, ' right': -3.7585673, 'Right': -7.24307}
{' Left': -0.08889806, ' left': -2.543751, ' Right': -5.3571167, 'Left': -6.8756385, 'left': -7.583675}
{' Left': -0.06802248, ' Right': -2.8957448, ' left': -4.6168923, ' right': -8.051834, 'Left': -8.562944}
