{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{' No': -10.4473715, ' ': -10.805505, ' Yes': -0.0093451515, ' yes': -9.787156, 'Yes': -4.6899004}
{' No': -7.413935, ' ': -11.212287, ' Yes': -0.0037724222, ' yes': -10.553973, 'Yes': -5.771058}
{' No': -6.388463, ' ': -9.87124, ' Yes': -0.009146871, ' yes': -9.83661, 'Yes': -4.9224615}
{' No': -9.701368, ' ': -10.392376, ' Yes': -0.007617905, ' yes': -8.781832, 'Yes': -4.9156265}
{' YES': -13.022134, ' ': -11.043032, ' Yes': -0.00047690584, ' yes': -9.207897, 'Yes': -7.942224}
{' No': -10.932848, ' ': -10.0285015, ' Yes': -0.0041591157, ' yes': -9.153902, 'Yes': -5.528367}
{' No': -10.942105, ' ': -9.632712, ' Yes': -0.0043198406, ' yes': -9.352508, 'Yes': -5.4909167}
{' No': -12.79875, ' ': -11.07292, ' Yes': -0.0011293235, ' yes': -9.82893, 'Yes': -6.8570366}
{' No': -8.862645, ' ': -8.240764, ' Yes': -0.0050464817, ' yes': -9.635768, 'Yes': -5.397081}
{'\n': -10.567395, ' ': -9.015119, ' Yes': -0.0044910023, ' yes': -7.5308495, 'Yes': -5.5824685}
{' No': -9.802145, ' ': -10.872118, ' Yes': -0.008139109, ' yes': -7.7158203, 'Yes': -4.8848596}
{' No': -10.552286, ' ': -12.617336, ' Yes': -0.005381177, ' yes': -10.165899, 'Yes': -5.240887}
{' ': -10.417983, ' Yes': -0.014892079, ' yes': -8.1762495, 'Yes': -4.238101, 'yes': -11.276078}
{' No': -9.840809, ' ': -11.158669, ' Yes': -0.0035674025, ' yes': -9.102987, 'Yes': -5.6915517}
{' No': -8.851558, ' ': -9.944235, ' Yes': -0.018370759, ' yes': -8.397285, 'Yes': -4.0311785}
{' ': -10.242209, ' Yes': -0.015944658, ' yes': -6.7889676, 'Yes': -4.226762, 'yes': -10.284573}
{' ': -9.815604, ' Yes': -0.0021403239, ' yes': -6.815723, 'Yes': -6.9408393, 'yes': -11.631629}
{' No': -10.470781, ' ': -9.102799, ' Yes': -0.0074433866, ' yes': -7.3747544, 'Yes': -5.0177755}
{'\n': -10.195907, ' ': -8.252457, ' Yes': -0.011524274, ' yes': -7.7405887, 'Yes': -4.538578}
{' ': -9.171456, ' Yes': -0.004035411, ' yes': -6.9813757, 'Yes': -5.8285475, 'yes': -10.650386}
{'\n': -9.429199, ' ': -7.7197814, ' Yes': -0.00888969, ' yes': -8.004325, 'Yes': -4.8395953}
{' ': -7.587318, ' Yes': -0.016261872, ' yes': -5.0965, 'Yes': -4.6880054, 'yes': -9.000119}
{'\n': -12.277128, ' ': -10.461666, ' Yes': -0.00049622235, ' yes': -9.792006, 'Yes': -7.817926}
{' No': -10.120381, ' ': -8.995573, ' Yes': -0.0033642214, ' yes': -9.362416, 'Yes': -5.7787466}
{' No': -9.156633, ' ': -8.524702, ' Yes': -0.0048282067, ' yes': -9.348736, 'Yes': -5.436421}
{' No': -10.111527, ' ': -9.495828, ' Yes': -0.0009340944, ' yes': -9.775361, 'Yes': -7.194383}
{' No': -9.459584, ' ': -7.90442, ' Yes': -0.005771074, ' yes': -9.722028, 'Yes': -5.258195}
{'\n': -11.695667, ' ': -9.614667, ' Yes': -0.0015674131, ' yes': -9.079984, 'Yes': -6.5962176}
{' No': -0.003901245, ' ': -9.577555, 'No': -5.567656, ' no': -13.47398, ' NO': -13.373999}
{' No': -0.009621765, ' ': -9.6640005, 'No': -4.6558275, ' no': -13.470822, ' NO': -12.5718}
{' No': -0.014432698, '\n': -13.38187, ' ': -9.020901, 'No': -4.254572, ' NO': -12.39765}
{' No': -0.004281409, ' ': -10.320182, 'No': -5.4639845, ' no': -13.896151, ' NO': -13.83461}
{' No': -0.018880488, '\n': -13.084702, ' ': -8.875006, 'No': -3.9871213, ' NO': -12.846592}
{' No': -0.0174373, ' ': -8.411484, 'No': -4.0719795, ' no': -11.983885, ' NO': -12.392273}
{' No': -0.00066148496, '\n': -12.433934, ' ': -9.356286, 'No': -7.4756308, ' no': -13.278006}
{' No': -0.0044791466, '\n': -12.40424, ' ': -8.873047, 'No': -5.4447007, ' NO': -12.977317}
{' No': -0.0044505275, '\n': -10.837946, ' ': -8.550768, 'No': -5.4680505, ' NO': -12.804124}
{' No': -0.001753631, '\n': -12.32054, ' ': -9.373073, 'No': -6.401587, ' NO': -13.166924}
{' No': -0.005984577, '\n': -10.136275, ' ': -7.739636, 'No': -5.206353, ' NO': -12.597077}
{' No': -0.007057821, '\n': -9.510933, ' ': -8.013336, 'No': -5.020144, ' no': -11.432017}
{' No': -0.013159081, ' ': -9.278742, 'No': -4.3477325, ' no': -10.517557, ' NO': -11.8130045}
{' No': -0.0087421285, ' ': -10.864357, 'No': -4.746409, ' no': -13.991818, ' NO': -14.355483}
{' No': -0.03415196, '\n': -11.837429, ' ': -8.798406, 'No': -3.3995938, ' no': -11.505087}
{' No': -0.006966586, ' ': -9.6019335, 'No': -4.982049, ' no': -11.834205, ' NO': -12.4958105}
{' No': -0.037870448, '\n': -11.557384, ' ': -8.381937, 'No': -3.299902, ' no': -11.257116}
{' No': -0.043606855, ' ': -7.8520036, 'No': -3.1690588, 'no': -10.5454235, ' no': -9.004669}
{' No': -0.0014051656, '\n': -11.169577, ' ': -8.139386, 'No': -6.8441415, ' no': -10.549968}
{' No': -0.009171896, '\n': -11.232212, ' ': -7.897433, 'No': -4.7421546, ' no': -11.070251}
{' No': -0.012850693, '\n': -8.984849, ' ': -7.261468, 'No': -4.4302607, ' no': -11.311818}
{' No': -0.0042671612, '\n': -10.414036, ' ': -7.672741, 'No': -5.5984364, ' no': -10.039906}
{' No': -0.007893066, '\n': -8.934778, ' ': -7.1971664, 'No': -4.967716, ' no': -11.4401455}
{' No': -0.0130491685, '\n': -8.290947, ' ': -6.8240724, 'No': -4.484383, ' no': -8.138129}
{' No': -0.0007348471, '\n': -11.216828, ' ': -8.833155, 'No': -7.4664917, ' NO': -13.474191}
{' No': -0.0039042975, '\n': -11.0955305, ' ': -8.092155, 'No': -5.6355743, ' NO': -12.486204}
{' No': -0.006024094, '\n': -8.827584, ' ': -7.7057023, 'No': -5.222054, ' NO': -12.348979}
{' No': -0.0015551159, '\n': -11.063139, ' ': -8.213888, 'No': -6.6781845, ' NO': -12.2562275}
{' No': -0.0058864816, '\n': -9.2882185, ' ': -7.235054, 'No': -5.290222, ' NO': -12.188585}
{' No': -0.0021851847, '\n': -11.51934, ' ': -8.591586, 'No': -6.2249804, ' no': -12.464752}
{' No': -0.0035252327, ' ': -10.062371, 'No': -5.707214, ' Yes': -8.808132, ' no': -13.543638}
{' No': -0.008862992, ' ': -9.793242, 'No': -4.795362, ' Yes': -7.622569, 'Yes': -12.364649}
{' No': -0.010610308, ' ': -9.35308, 'No': -4.5788436, ' Yes': -8.566914, ' NO': -12.475438}
{' No': -0.003956955, ' ': -10.703544, 'No': -5.5483575, ' Yes': -10.4197035, ' NO': -13.808842}
{' No': -0.0165501, ' ': -9.422993, 'No': -4.17424, ' Yes': -6.9857326, 'Yes': -11.34683}
{' No': -0.25710157, ' ': -8.179736, 'No': -4.513863, ' Yes': -1.5419393, 'Yes': -6.5375867}
{' No': -0.02377244, ' ': -8.690791, 'No': -7.745637, ' Yes': -3.7786512, 'Yes': -11.039941}
{' No': -0.005331138, ' ': -9.061407, 'No': -5.602594, ' Yes': -6.5083117, 'Yes': -11.656226}
{' No': -0.007932296, '\n': -9.519542, ' ': -8.0013895, 'No': -5.8008604, ' Yes': -5.4188}
{' No': -0.0019185622, '\n': -12.526788, ' ': -9.507438, 'No': -6.6113644, ' Yes': -7.6229434}
{' No': -0.008492509, '\n': -9.913237, ' ': -7.8021245, 'No': -5.51604, ' Yes': -5.535247}
{' No': -0.013290626, '\n': -8.885008, ' ': -7.580894, 'No': -5.393013, ' Yes': -4.838091}
{' No': -0.01172496, ' ': -9.265736, 'No': -4.544459, ' Yes': -7.0380464, ' no': -10.581004}
{' No': -0.019944927, ' ': -10.37402, 'No': -5.0916495, ' Yes': -4.3062243, 'Yes': -9.434249}
{' No': -0.06715754, ' ': -8.492488, 'No': -4.1165156, ' Yes': -3.0429358, 'Yes': -7.2551317}
{' No': -0.085642606, ' ': -9.141252, 'No': -5.526, ' Yes': -2.5555942, 'Yes': -8.043688}
{' No': -0.036090385, ' ': -8.400918, 'No': -3.767837, ' Yes': -4.4333453, 'Yes': -8.5146475}
{' No': -0.5418027, ' ': -7.483688, 'No': -3.5970278, ' Yes': -0.96178555, 'Yes': -4.874013}
{' No': -0.006779277, ' ': -7.7141023, 'No': -6.9247975, ' Yes': -5.2620873, ' no': -9.240074}
{' No': -0.006454194, ' ': -8.064528, 'No': -5.1513515, ' Yes': -8.1758585, ' no': -10.710778}
{' No': -0.015529877, '\n': -9.007332, ' ': -6.973053, 'No': -4.8096848, ' Yes': -5.0997543}
{' No': -0.0037163014, ' ': -7.877722, 'No': -5.821081, ' Yes': -8.096949, ' no': -10.284033}
{' No': -0.008989405, '\n': -8.949561, ' ': -7.184311, 'No': -5.274835, ' Yes': -5.8432865}
{' No': -0.022053689, '\n': -7.786843, ' ': -6.2345514, 'No': -4.808682, ' Yes': -4.537791}
{' No': -0.0141371, '\n': -10.736219, ' ': -8.361233, 'No': -7.8288345, ' Yes': -4.3148136}
{' No': -0.0029057944, '\n': -11.338106, ' ': -8.458647, 'No': -6.117586, ' Yes': -7.6748624}
{' No': -0.016981173, '\n': -8.472716, ' ': -7.085848, 'No': -5.513277, ' Yes': -4.4503455}
{' No': -0.0084674405, '\n': -11.115974, ' ': -8.003468, 'No': -6.9913926, ' Yes': -4.9414544}
{' No': -0.03403583, '\n': -8.550165, ' ': -6.644032, 'No': -5.375207, ' Yes': -3.6061451}
{' No': -0.01096362, '\n': -10.692549, ' ': -7.9245796, 'No': -6.4486446, ' Yes': -4.7207756}
{' YES': -12.282076, ' ': -11.602832, ' Yes': -0.002485699, ' yes': -10.225706, 'Yes': -6.0196004}
{' YES': -11.616003, ' ': -11.415673, ' Yes': -0.005797693, ' yes': -9.80712, 'Yes': -5.1669416}
{' YES': -11.252046, ' ': -11.111739, ' Yes': -0.006933092, ' yes': -9.804609, 'Yes': -4.9876647}
{' YES': -12.333214, ' ': -12.043049, ' Yes': -0.0031075676, ' yes': -10.370135, 'Yes': -5.7894654}
{' YES': -11.826025, ' ': -11.31304, ' Yes': -0.008327934, ' yes': -9.769207, 'Yes': -4.802359}
{' YES': -11.531512, ' ': -10.813781, ' Yes': -0.0067758565, ' yes': -9.022248, 'Yes': -5.021277}
{' YES': -11.814769, ' ': -10.9338045, ' Yes': -0.00052449165, ' yes': -9.655403, 'Yes': -7.746511}
{' YES': -11.648474, ' ': -10.38433, ' Yes': -0.0041375123, ' yes': -9.633623, 'Yes': -5.51751}
{'\n': -10.59551, ' ': -9.991027, ' Yes': -0.0039037587, ' yes': -9.431716, 'Yes': -5.591096}
{' YES': -12.160955, ' ': -11.719456, ' Yes': -0.001015712, ' yes': -9.998569, 'Yes': -6.954764}
{'\n': -10.514019, ' ': -9.385623, ' Yes': -0.0049385363, ' yes': -9.71944, 'Yes': -5.3519554}
{'\n': -9.919911, ' ': -9.171935, ' Yes': -0.00590459, ' yes': -7.921912, 'Yes': -5.234599}
{' YES': -11.027184, ' ': -10.954641, ' Yes': -0.0060385456, ' yes': -8.304088, 'Yes': -5.1627254}
{' ': -12.614058, ' Yes': -0.0060550952, ' yes': -10.17381, 'Yes': -5.117736, 'yes': -12.622785}
{' YES': -10.823152, ' ': -10.567234, ' Yes': -0.015117583, ' yes': -8.502752, 'Yes': -4.2175083}
{' YES': -11.92185, ' ': -11.448943, ' Yes': -0.0045487825, ' yes': -9.202407, 'Yes': -5.422851}
{' ': -10.502797, ' Yes': -0.0108252065, ' yes': -8.918698, 'Yes': -4.548728, 'yes': -11.349397}
{' ': -9.84481, ' Yes': -0.0174558, ' yes': -7.2087073, 'Yes': -4.107866, 'yes': -10.092593}
{' YES': -11.026069, ' ': -9.469847, ' Yes': -0.0024435145, ' yes': -7.1915183, 'Yes': -6.454155}
{' ': -9.191881, ' Yes': -0.009436485, ' yes': -7.542447, 'Yes': -4.744504, 'yes': -10.572089}
{'\n': -9.598362, ' ': -8.775787, ' Yes': -0.011324595, ' yes': -8.038046, 'Yes': -4.53987}
{' ': -9.598077, ' Yes': -0.0047531025, ' yes': -7.1495414, 'Yes': -5.5647197, 'yes': -10.572553}
{'\n': -9.690272, ' ': -8.792237, ' Yes': -0.010462967, ' yes': -8.389457, 'Yes': -4.6120024}
{'\n': -8.323661, ' ': -7.910955, ' Yes': -0.019518288, ' yes': -5.195471, 'Yes': -4.3456783}
{' YES': -11.953925, ' ': -10.545364, ' Yes': -0.0005018289, ' yes': -10.103815, 'Yes': -7.771391}
{'\n': -11.000772, ' ': -9.751982, ' Yes': -0.0033859916, ' yes': -9.650682, 'Yes': -5.736944}
{'\n': -9.197799, ' ': -9.16085, ' Yes': -0.005273613, ' yes': -9.253917, 'Yes': -5.3114142}
{' YES': -11.572579, ' ': -10.275335, ' Yes': -0.0009528299, ' yes': -10.017726, 'Yes': -7.061854}
{'\n': -9.987818, ' ': -8.94464, ' Yes': -0.0057856413, ' yes': -9.693827, 'Yes': -5.2004266}
{'\n': -12.242636, ' ': -10.445489, ' Yes': -0.0014058818, ' yes': -9.531651, 'Yes': -6.6509604}
{' No': -9.776068, ' ': -10.848688, ' Yes': -0.001672726, ' yes': -10.33557, 'Yes': -6.4633136}
{' No': -9.41265, ' ': -10.352949, ' Yes': -0.004537524, ' yes': -10.071696, 'Yes': -5.434175}
{' No': -11.293221, ' ': -10.279341, ' Yes': -0.008524548, ' yes': -9.7572155, 'Yes': -4.7827477}
{' No': -9.435106, ' ': -11.209289, ' Yes': -0.003626207, ' yes': -10.66006, 'Yes': -5.6551566}
{' No': -9.335412, ' ': -10.245678, ' Yes': -0.007196192, ' yes': -9.741714, 'Yes': -4.9649005}
{' No': -11.456567, ' ': -10.209687, ' Yes': -0.00673367, ' yes': -8.638027, 'Yes': -5.0401998}
{' YES': -12.65964, ' ': -10.5432625, ' Yes': -0.000553771, ' yes': -9.178164, 'Yes': -7.7835298}
{' No': -11.212673, ' ': -9.632997, ' Yes': -0.0042662052, ' yes': -9.219752, 'Yes': -5.5048475}
{'\n': -10.859158, ' ': -8.891557, ' Yes': -0.0041321875, ' yes': -9.231893, 'Yes': -5.5614}
{' YES': -12.59984, ' ': -10.709959, ' Yes': -0.0010473961, ' yes': -9.790134, 'Yes': -6.9473095}
{' No': -9.247179, ' ': -7.7829986, ' Yes': -0.0051942826, ' yes': -9.49523, 'Yes': -5.393822}
{'\n': -9.921442, ' ': -8.241684, ' Yes': -0.005537177, ' yes': -7.337927, 'Yes': -5.4010506}
{' No': -9.664408, ' ': -10.204643, ' Yes': -0.0076982086, ' yes': -7.7917304, 'Yes': -4.9438667}
{' No': -11.160923, ' ': -12.22359, ' Yes': -0.0054454207, ' yes': -10.101137, 'Yes': -5.2275615}
{' ': -10.319913, ' Yes': -0.01396712, ' yes': -8.255148, 'Yes': -4.301597, 'yes': -11.263448}
{' No': -10.040889, ' ': -10.88133, ' Yes': -0.0035796058, ' yes': -9.253018, 'Yes': -5.6822004}
{' No': -9.62991, ' ': -9.606802, ' Yes': -0.015503239, ' yes': -8.38741, 'Yes': -4.200257}
{' ': -9.748401, ' Yes': -0.017326128, ' yes': -7.044242, 'Yes': -4.1238394, 'yes': -10.24528}
{' ': -9.31179, ' Yes': -0.0024890464, ' yes': -6.710075, 'Yes': -6.7696495, 'yes': -11.243978}
{' ': -8.687975, ' Yes': -0.007459719, ' yes': -7.257346, 'Yes': -5.0343566, 'yes': -10.608369}
{'\n': -9.916096, ' ': -7.895151, ' Yes': -0.010641211, ' yes': -7.5912127, 'Yes': -4.643923}
{' ': -8.643642, ' Yes': -0.0042967326, ' yes': -6.875867, 'Yes': -5.802693, 'yes': -10.40441}
{'\n': -9.297776, ' ': -7.571756, ' Yes': -0.008254791, ' yes': -7.782739, 'Yes': -4.9393005}
{' ': -7.320919, ' Yes': -0.016315911, ' yes': -5.0592384, 'Yes': -4.729382, 'yes': -8.831013}
{'\n': -12.099528, ' ': -10.252935, ' Yes': -0.000494912, ' yes': -9.899396, 'Yes': -7.8248067}
{' No': -10.69579, ' ': -8.758291, ' Yes': -0.0035140468, ' yes': -9.371158, 'Yes': -5.7370863}
{'\n': -9.628031, ' ': -8.179792, ' Yes': -0.005022398, ' yes': -9.231764, 'Yes': -5.3977757}
{' No': -11.2870455, ' ': -9.167666, ' Yes': -0.0010140431, ' yes': -9.749534, 'Yes': -7.101409}
{' No': -9.514485, ' ': -7.606839, ' Yes': -0.006138992, ' yes': -9.690125, 'Yes': -5.2164717}
{'\n': -11.382903, ' ': -9.275067, ' Yes': -0.0013626692, ' yes': -9.283622, 'Yes': -6.7621083}
{' No': -0.0030828745, ' ': -9.475157, 'No': -5.8103065, ' no': -13.51702, ' NO': -13.347844}
{' No': -0.0069426363, ' ': -9.5898905, 'No': -4.9843726, ' no': -13.715473, ' NO': -12.522787}
{' No': -0.012516994, ' ': -8.894994, 'No': -4.398715, ' no': -13.634767, ' NO': -12.354122}
{' No': -0.004635548, ' ': -10.109804, 'No': -5.385739, ' no': -14.190304, ' NO': -13.603292}
{' No': -0.013871806, ' ': -9.051529, 'No': -4.293964, ' no': -13.526376, ' NO': -12.862411}
{' No': -0.012472933, ' ': -8.318697, 'No': -4.4120374, ' no': -11.944594, ' NO': -12.267051}
{' No': -0.0006421591, '\n': -12.007906, ' ': -9.076591, 'No': -7.5697603, ' no': -12.897974}
{' No': -0.0040140436, '\n': -12.118346, ' ': -8.663052, 'No': -5.5672655, ' NO': -12.836597}
{' No': -0.0050502555, '\n': -10.181342, ' ': -7.9813223, 'No': -5.372039, ' NO': -12.408133}
{' No': -0.0016668763, '\n': -11.692337, ' ': -8.948074, 'No': -6.4879546, ' NO': -12.817396}
{' No': -0.005283441, '\n': -9.874226, ' ': -7.4457793, 'No': -5.377119, ' NO': -12.492601}
{' No': -0.005792957, '\n': -9.319508, ' ': -7.7390366, 'No': -5.2556725, ' no': -11.058854}
{' No': -0.009453454, ' ': -9.396354, 'No': -4.6781793, ' no': -10.99008, ' NO': -11.880951}
{' No': -0.006035187, ' ': -11.065102, 'No': -5.1160626, ' no': -14.1065645, ' NO': -14.414856}
{' No': -0.032510288, ' ': -8.765656, 'No': -3.4483654, ' no': -11.615204, ' NO': -11.758483}
{' No': -0.005600591, ' ': -9.573776, 'No': -5.202559, ' no': -12.072119, ' NO': -12.576709}
{' No': -0.026328437, '\n': -11.568138, ' ': -8.537709, 'No': -3.6592822, ' no': -11.512438}
{' No': -0.04308916, ' ': -7.808302, 'No': -3.1803153, 'no': -10.672249, ' no': -9.198213}
{' No': -0.0015700395, '\n': -11.0081005, ' ': -7.945204, 'No': -6.7745457, ' no': -9.97047}
{' No': -0.009148072, '\n': -10.671147, ' ': -7.6077824, 'No': -4.760922, ' no': -11.016159}
{' No': -0.014382267, '\n': -8.754678, ' ': -6.996022, 'No': -4.3299685, ' no': -11.094164}
{' No': -0.004157683, '\n': -10.06779, ' ': -7.4933524, 'No': -5.6593027, ' no': -9.980948}
{' No': -0.007570579, '\n': -8.507904, ' ': -6.764059, 'No': -5.090769, ' no': -11.092083}
{' No': -0.013944695, '\n': -7.8779488, ' ': -6.542497, 'No': -4.4489646, ' no': -8.189331}
{' No': -0.00072924333, '\n': -11.591152, ' ': -8.819948, 'No': -7.4731565, ' NO': -13.30265}
{' No': -0.0036004235, '\n': -10.851235, ' ': -7.8173547, 'No': -5.7561445, ' NO': -12.374933}
{' No': -0.007387901, '\n': -8.510034, ' ': -6.9936147, 'No': -5.080664, ' NO': -11.633217}
{' No': -0.001710578, '\n': -10.605584, ' ': -7.8626056, 'No': -6.655343, ' NO': -11.995392}
{' No': -0.006112127, '\n': -9.141765, ' ': -7.099999, 'No': -5.26986, ' NO': -12.156665}
{' No': -0.0019663977, '\n': -11.133149, ' ': -8.262257, 'No': -6.3868346, ' no': -12.484809}
{' No': -0.0031399145, ' ': -9.717031, 'No': -5.793654, ' Yes': -10.657412, ' no': -13.554086}
{' No': -0.010923427, ' ': -9.47923, 'No': -4.533184, ' Yes': -10.332156, ' NO': -12.341456}
{' No': -0.014246163, ' ': -9.011757, 'No': -4.271742, ' Yes': -9.838936, ' NO': -12.266999}
{' No': -0.004945784, ' ': -10.048326, 'No': -5.327682, ' Yes': -10.40117, ' NO': -13.47158}
{' No': -0.017445609, ' ': -8.890906, 'No': -4.121537, ' Yes': -6.9973283, 'Yes': -11.355522}
{' No': -0.082965896, ' ': -7.8865733, 'No': -4.38187, ' Yes': -2.714712, 'Yes': -7.662885}
{' No': -0.0039601238, '\n': -11.7683525, ' ': -8.632969, 'No': -7.623716, ' Yes': -5.7250595}
{' No': -0.0044355597, '\n': -12.13895, ' ': -8.819375, 'No': -5.713937, ' Yes': -6.948949}
{' No': -0.006463193, '\n': -9.679456, ' ': -7.727801, 'No': -5.7188997, ' Yes': -5.9415846}
{' No': -0.0018802822, '\n': -11.994432, ' ': -8.955422, 'No': -6.557798, ' Yes': -8.049941}
{' No': -0.007628174, '\n': -9.50808, ' ': -7.2958107, 'No': -5.304995, ' Yes': -6.2890573}
{' No': -0.009550876, '\n': -8.821083, ' ': -7.186171, 'No': -5.3659863, ' Yes': -5.5552945}
{' No': -0.009756219, ' ': -9.116547, 'No': -4.706489, ' Yes': -7.5783286, ' no': -10.673101}
{' No': -0.010756823, ' ': -10.333442, 'No': -5.0234046, ' Yes': -5.508727, 'Yes': -10.497567}
{' No': -0.034078445, ' ': -8.324097, 'No': -4.2217307, ' Yes': -4.0031447, 'Yes': -8.168854}
{' No': -0.0299861, ' ': -8.919422, 'No': -5.2928376, ' Yes': -3.7198663, 'Yes': -8.99547}
{' No': -0.027548727, ' ': -8.436109, 'No': -4.2856393, ' Yes': -4.3444166, 'Yes': -8.718161}
{' No': -0.20574225, ' ': -7.2430086, 'No': -3.3182259, ' Yes': -1.926262, 'Yes': -5.818924}
{' No': -0.0050008344, ' ': -7.3794894, 'No': -6.74624, ' Yes': -5.8107753, ' no': -8.841299}
{' No': -0.0074978517, ' ': -7.681297, 'No': -4.998281, ' Yes': -8.523556, ' no': -10.330536}
{' No': -0.013491667, '\n': -8.56572, ' ': -6.6117773, 'No': -4.782803, ' Yes': -5.678779}
{' No': -0.004964172, ' ': -7.232619, 'No': -5.5520463, ' Yes': -8.400565, ' no': -9.503463}
{' No': -0.011312837, '\n': -8.509113, ' ': -6.603447, 'No': -5.1167545, ' Yes': -5.6167407}
{' No': -0.014252634, ' ': -5.995391, 'No': -4.8067045, ' Yes': -6.0027285, ' no': -7.591521}
{' No': -0.0048205997, '\n': -10.950834, ' ': -8.223812, 'No': -7.7288938, ' Yes': -5.5032086}
{' No': -0.0028522944, '\n': -11.43206, ' ': -8.173677, 'No': -6.104882, ' Yes': -8.065269}
{' No': -0.007898352, '\n': -8.331507, ' ': -7.0462203, 'No': -5.72694, ' Yes': -5.664446}
{' No': -0.0023250333, '\n': -10.949481, ' ': -7.926515, 'No': -6.984527, ' Yes': -6.900242}
{' No': -0.024804084, '\n': -8.299829, ' ': -6.3809977, 'No': -5.3368115, ' Yes': -4.038756}
{' No': -0.0037425656, '\n': -10.650053, ' ': -7.68548, 'No': -6.428083, ' Yes': -6.4229217}
{' YES': -11.91269, ' ': -11.1732645, ' Yes': -0.002798677, ' yes': -9.939289, 'Yes': -5.9061055}
{' YES': -11.282016, ' ': -10.861228, ' Yes': -0.0074381013, ' yes': -9.593175, 'Yes': -4.919187}
{' YES': -10.872453, ' ': -10.680335, ' Yes': -0.00990044, ' yes': -9.549262, 'Yes': -4.6324186}
{' YES': -12.004882, ' ': -11.423985, ' Yes': -0.004339295, ' yes': -10.049303, 'Yes': -5.456896}
{' YES': -11.677901, ' ': -10.986627, ' Yes': -0.008368864, ' yes': -9.783856, 'Yes': -4.798206}
{' YES': -11.14161, ' ': -10.3429785, ' Yes': -0.00633908, ' yes': -8.732568, 'Yes': -5.0990324}
{' YES': -11.305963, ' ': -10.396865, ' Yes': -0.0006654207, ' yes': -9.180907, 'Yes': -7.573224}
{' YES': -11.249777, ' ': -10.025375, ' Yes': -0.0038716854, ' yes': -9.352351, 'Yes': -5.5974655}
{'\n': -10.020811, ' ': -9.518424, ' Yes': -0.004374675, ' yes': -8.932287, 'Yes': -5.499022}
{' YES': -11.7886915, ' ': -11.104348, ' Yes': -0.0011836262, ' yes': -9.708753, 'Yes': -6.8170214}
{'\n': -9.613818, ' ': -8.65929, ' Yes': -0.005768077, ' yes': -9.364792, 'Yes': -5.221386}
{'\n': -9.337142, ' ': -8.659874, ' Yes': -0.0066316016, ' yes': -7.7893653, 'Yes': -5.1366343}
{' YES': -10.593298, ' ': -10.338457, ' Yes': -0.006361574, ' yes': -7.9738064, 'Yes': -5.129454}
{' ': -12.14771, ' Yes': -0.0073803356, ' yes': -9.80319, 'Yes': -4.9221044, 'yes': -12.156652}
{' YES': -10.542469, ' ': -10.4150505, ' Yes': -0.014858503, ' yes': -8.220563, 'Yes': -4.2406373}
{' YES': -11.393546, ' ': -10.900177, ' Yes': -0.0053832745, ' yes': -8.784457, 'Yes': -5.263703}
{' ': -10.077543, ' Yes': -0.011747574, ' yes': -8.745747, 'Yes': -4.4702306, 'yes': -11.137957}
{' ': -9.367739, ' Yes': -0.021139618, ' yes': -6.8805695, 'Yes': -3.9272466, 'yes': -9.679916}
{' YES': -10.461167, ' ': -8.94143, ' Yes': -0.0033237336, ' yes': -6.5906997, 'Yes': -6.348546}
{' ': -8.798991, ' Yes': -0.010783695, ' yes': -6.9817495, 'Yes': -4.652383, 'yes': -9.911902}
{'\n': -8.829026, ' ': -8.212568, ' Yes': -0.012258886, ' yes': -7.6392574, 'Yes': -4.4893913}
{' ': -8.824808, ' Yes': -0.006573703, ' yes': -6.493588, 'Yes': -5.3474927, 'yes': -9.787995}
{'\n': -8.92825, ' ': -8.164573, ' Yes': -0.010748448, ' yes': -8.121575, 'Yes': -4.6127973}
{'\n': -8.154419, ' ': -7.7354145, ' Yes': -0.019306796, ' yes': -5.0202565, 'Yes': -4.4601865}
{' YES': -11.567776, ' ': -10.223776, ' Yes': -0.00055544183, ' yes': -9.904402, 'Yes': -7.7057343}
