{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' YES': -11.624426, ' ': -11.486154, ' Yes': -0.0011848203, ' yes': -9.832256, 'Yes': -6.8054504}
{'\n': -10.594185, ' ': -9.234316, ' Yes': -0.0060562957, ' yes': -9.568703, 'Yes': -5.1460037}
{'\n': -10.206483, ' ': -9.259406, ' Yes': -0.0062153996, ' yes': -7.7537565, 'Yes': -5.1892138}
{' YES': -10.5695715, ' Yes': -0.010875219, ' yes': -7.608037, 'Yes': -4.582511, 'yes': -10.178248}
{' YES': -12.151553, ' Yes': -0.00965276, ' yes': -9.303592, 'Yes': -4.656762, 'yes': -11.530206}
{' ': -10.405812, ' Yes': -0.018759074, ' yes': -7.8095684, 'Yes': -4.0131855, 'yes': -10.1574745}
{' YES': -11.21516, ' Yes': -0.00604892, ' yes': -8.570166, 'Yes': -5.1489987, 'yes': -11.325869}
{' ': -10.1560335, ' Yes': -0.022323843, ' yes': -8.030804, 'Yes': -3.8331032, 'yes': -9.966844}
{' ': -9.958922, ' Yes': -0.020167744, ' yes': -6.751716, 'Yes': -3.9831173, 'yes': -9.4226885}
{' YES': -10.686997, ' ': -10.111803, ' Yes': -0.0025714478, ' yes': -7.2943306, 'Yes': -6.3166428}
{' ': -9.331142, ' Yes': -0.010925652, ' yes': -7.3238416, 'Yes': -4.601895, 'yes': -10.022845}
{'\n': -10.67712, ' ': -9.118702, ' Yes': -0.008698115, ' yes': -8.333979, 'Yes': -4.7979417}
{' ': -9.669019, ' Yes': -0.006349757, ' yes': -7.003408, 'Yes': -5.246752, 'yes': -9.918713}
{'\n': -9.50332, ' ': -8.366994, ' Yes': -0.012690711, ' yes': -8.088344, 'Yes': -4.428832}
{' ': -8.205421, ' Yes': -0.01560882, ' yes': -5.2843847, 'Yes': -4.628518, 'yes': -8.786083}
{' YES': -11.70964, ' ': -10.979926, ' Yes': -0.0005600938, ' yes': -10.2224455, 'Yes': -7.6141825}
{' YES': -10.969586, ' ': -9.983951, ' Yes': -0.0045348895, ' yes': -9.469884, 'Yes': -5.4332323}
{'\n': -10.307581, ' ': -9.748877, ' Yes': -0.004885527, ' yes': -9.564402, 'Yes': -5.362025}
{' YES': -11.546059, ' ': -10.4472275, ' Yes': -0.0010482307, ' yes': -9.926087, 'Yes': -6.953004}
{'\n': -10.536605, ' ': -9.15387, ' Yes': -0.006102052, ' yes': -9.668172, 'Yes': -5.137352}
{'\n': -11.548864, ' ': -10.337424, ' Yes': -0.0018014, ' yes': -9.561933, 'Yes': -6.3889723}
{' No': -8.14774, ' ': -11.325274, ' Yes': -0.002353114, ' yes': -9.963983, 'Yes': -6.2158422}
{' No': -10.027431, ' ': -11.053075, ' Yes': -0.007905439, ' yes': -9.167806, 'Yes': -4.866826}
{' No': -10.640577, ' ': -11.071618, ' Yes': -0.012028052, ' yes': -9.348147, 'Yes': -4.438101}
{' No': -11.225453, ' ': -11.98827, ' Yes': -0.0030898694, ' yes': -10.209835, 'Yes': -5.8007064}
{' No': -10.368941, ' ': -10.788197, ' Yes': -0.00923536, ' yes': -9.615906, 'Yes': -4.703451}
{' No': -11.243236, ' ': -10.239674, ' Yes': -0.0061704176, ' yes': -8.515812, 'Yes': -5.13472}
{' YES': -13.044183, ' ': -11.647158, ' Yes': -0.0005995171, ' yes': -9.258654, 'Yes': -7.6189733}
{' ': -10.715611, ' Yes': -0.004626984, ' yes': -9.060349, 'Yes': -5.411491, 'yes': -12.1857}
{'\n': -11.72529, ' ': -10.057003, ' Yes': -0.0060902974, ' yes': -8.933765, 'Yes': -5.137068}
{' YES': -12.9360285, ' ': -11.445226, ' Yes': -0.0010921472, ' yes': -9.649463, 'Yes': -6.896661}
{'\n': -10.907419, ' ': -9.017195, ' Yes': -0.005358645, ' yes': -9.294421, 'Yes': -5.2788777}
{'\n': -10.130454, ' ': -9.462051, ' Yes': -0.004841622, ' yes': -7.6237645, 'Yes': -5.4735303}
{' No': -7.960883, ' ': -10.448554, ' Yes': -0.011275827, ' yes': -7.208661, 'Yes': -4.600528}
{' No': -12.086822, ' Yes': -0.0094787255, ' yes': -9.140466, 'Yes': -4.676572, 'yes': -11.914857}
{' ': -10.562998, ' Yes': -0.021680968, ' yes': -7.4254527, 'Yes': -3.873791, 'yes': -10.409748}
{' No': -10.062516, ' ': -11.876142, ' Yes': -0.0036939858, ' yes': -8.752265, 'Yes': -5.6633353}
{' ': -10.19931, ' Yes': -0.028761365, ' yes': -7.7945538, 'Yes': -3.581402, 'yes': -10.019382}
{' ': -9.9763775, ' Yes': -0.022469522, ' yes': -6.41578, 'Yes': -3.8902729, 'yes': -9.612012}
{' ': -10.407778, ' Yes': -0.001930745, ' yes': -7.0752735, 'Yes': -6.871065, 'yes': -11.786831}
{' ': -9.765645, ' Yes': -0.0073068426, ' yes': -7.236236, 'Yes': -5.041059, 'yes': -10.648082}
{' ': -9.150774, ' Yes': -0.008003492, ' yes': -7.967672, 'Yes': -4.8946686, 'yes': -11.243133}
{' ': -9.286937, ' Yes': -0.0044018556, ' yes': -6.90172, 'Yes': -5.7349734, 'yes': -10.379377}
{'\n': -9.181196, ' ': -7.9958415, ' Yes': -0.009857161, ' yes': -7.605087, 'Yes': -4.7292075}
{'\n': -9.011369, ' ': -8.049518, ' Yes': -0.014325487, ' yes': -5.032281, 'Yes': -4.9442306}
{'\n': -12.231605, ' ': -10.941715, ' Yes': -0.00056725094, ' yes': -9.7750225, 'Yes': -7.6324563}
{'\n': -12.278619, ' ': -9.88654, ' Yes': -0.003897775, ' yes': -9.345965, 'Yes': -5.5898333}
{'\n': -9.998944, ' ': -9.095748, ' Yes': -0.0056508807, ' yes': -9.290648, 'Yes': -5.227601}
{' No': -11.613579, ' ': -9.763987, ' Yes': -0.0012493317, ' yes': -9.363792, 'Yes': -6.824714}
{'\n': -9.49577, ' ': -7.8818655, ' Yes': -0.0060856803, ' yes': -9.669002, 'Yes': -5.2014914}
{'\n': -10.806512, ' ': -9.432168, ' Yes': -0.0018510206, ' yes': -8.70408, 'Yes': -6.4531865}
{' No': -0.0044025737, ' ': -10.443842, 'No': -5.435347, ' no': -13.582421, ' NO': -13.729643}
{' No': -0.014069393, ' ': -10.021822, 'No': -4.274491, ' no': -13.116651, ' NO': -12.6149}
{' No': -0.022829304, ' ': -9.671991, 'No': -3.794363, ' no': -13.281744, ' NO': -12.361805}
{' No': -0.005750092, ' ': -10.741557, 'No': -5.165675, ' no': -13.9150095, ' NO': -13.836133}
{' No': -0.023113634, '\n': -12.099532, ' ': -9.277374, 'No': -3.783724, ' NO': -12.644918}
{' No': -0.014094541, ' ': -8.853203, 'No': -4.2814116, ' no': -11.652498, ' NO': -12.4003105}
{' No': -0.0009132752, '\n': -12.6997175, ' ': -9.99166, 'No': -7.059001, ' no': -13.08039}
{' No': -0.00590615, '\n': -12.065068, ' ': -9.348092, 'No': -5.151805, ' no': -12.965543}
{' No': -0.0065935026, '\n': -10.249932, ' ': -8.779643, 'No': -5.0557895, ' NO': -12.790502}
{' No': -0.0017385243, '\n': -12.737508, ' ': -9.965722, 'No': -6.3865, ' NO': -13.549431}
{' No': -0.0064010434, '\n': -9.584654, ' ': -8.1760845, 'No': -5.113031, ' NO': -12.546439}
{' No': -0.0069497786, '\n': -9.280225, ' ': -8.539897, 'No': -5.01893, ' no': -11.171039}
{' No': -0.01659949, ' ': -9.415193, 'No': -4.115558, ' no': -10.115329, ' NO': -11.592175}
{' No': -0.014258376, ' ': -11.26577, 'No': -4.258818, 'no': -13.741588, ' no': -12.893915}
{' No': -0.050818685, '\n': -11.1897335, ' ': -8.921163, 'No': -3.0088437, ' no': -10.871456}
{' No': -0.0061995653, ' ': -10.376591, 'No': -5.0942483, ' no': -11.48779, ' NO': -12.61049}
{' No': -0.061564896, '\n': -10.6559, ' ': -8.458071, 'No': -2.823434, ' no': -10.538922}
{' No': -0.054051913, '\n': -9.962867, ' ': -8.132374, 'No': -2.9567962, ' no': -8.833779}
{' No': -0.0015858605, '\n': -11.254335, ' ': -8.757394, 'No': -6.5807, ' no': -10.730114}
{' No': -0.0090265125, '\n': -11.302278, ' ': -8.377027, 'No': -4.7432356, ' no': -10.731496}
{' No': -0.012268903, '\n': -9.613168, ' ': -8.028295, 'No': -4.4412775, ' no': -11.743246}
{' No': -0.005271336, '\n': -10.871778, ' ': -8.398389, 'No': -5.3044767, ' no': -10.316815}
{' No': -0.012075529, '\n': -8.353621, ' ': -7.4423347, 'No': -4.497242, ' no': -10.600013}
{' No': -0.01183002, '\n': -8.166901, ' ': -7.3208013, 'No': -4.5553155, ' no': -8.21172}
{' No': -0.00097460754, '\n': -11.264202, ' ': -9.306482, 'No': -7.050493, ' NO': -13.378979}
{' No': -0.0050613396, '\n': -10.977781, ' ': -8.563554, 'No': -5.3324537, ' NO': -12.558142}
{' No': -0.008772914, '\n': -8.60993, ' ': -7.993516, 'No': -4.8032784, ' NO': -12.713497}
{' No': -0.0025011757, '\n': -11.148421, ' ': -8.553759, 'No': -6.0830555, ' NO': -12.352448}
{' No': -0.0074017714, '\n': -9.066316, ' ': -7.6011324, 'No': -4.9987764, ' NO': -12.512825}
{' No': -0.0030083195, '\n': -10.515491, ' ': -8.521649, 'No': -5.8897977, ' no': -12.071805}
{' No': -0.005121308, ' ': -10.412709, 'No': -5.295143, ' Yes': -9.755222, ' no': -13.662125}
{' No': -0.016026663, ' ': -9.809852, 'No': -4.160075, ' Yes': -8.405912, ' NO': -12.1523485}
{' No': -0.0234061, ' ': -9.342988, 'No': -3.7919912, ' Yes': -7.650342, 'Yes': -11.581603}
{' No': -0.007222487, ' ': -10.627693, 'No': -4.9428763, ' Yes': -10.30035, ' NO': -13.364672}
{' No': -0.027224295, ' ': -9.054901, 'No': -3.7141347, ' Yes': -6.0700994, 'Yes': -10.225635}
{' No': -0.03196293, ' ': -8.234239, 'No': -3.9753985, ' Yes': -4.402112, 'Yes': -9.055052}
{' No': -0.0029567266, '\n': -12.53071, ' ': -9.473108, 'No': -7.279463, ' Yes': -6.131272}
{' No': -0.006455514, ' ': -9.203262, 'No': -5.2783327, ' Yes': -6.714192, 'Yes': -11.713727}
{' No': -0.0060225325, '\n': -10.288337, ' ': -8.688059, 'No': -5.237687, ' Yes': -7.646956}
{' No': -0.0020715753, '\n': -12.931843, ' ': -9.667039, 'No': -6.4945374, ' Yes': -7.626592}
{' No': -0.008519441, '\n': -9.812547, ' ': -8.063283, 'No': -5.002866, ' Yes': -6.5894785}
{' No': -0.02085913, '\n': -8.748388, ' ': -7.6187325, 'No': -4.916733, ' Yes': -4.3795357}
{' No': -0.024485067, ' ': -8.846405, 'No': -3.8991585, ' Yes': -5.6056366, 'Yes': -9.90653}
{' No': -0.015730638, ' ': -10.885843, 'No': -4.2727227, ' Yes': -6.4257283, 'Yes': -10.94548}
{' No': -0.08826179, ' ': -8.42864, 'No': -3.6362007, ' Yes': -2.8717527, 'Yes': -6.700772}
{' No': -0.050632816, ' ': -9.424274, 'No': -4.880511, ' Yes': -3.184294, 'Yes': -8.259571}
{' No': -1.4125339, 'No': -4.6391573, ' Yes': -0.31383252, ' yes': -7.92012, 'Yes': -4.17624}
{' No': -0.5787762, 'No': -3.6262631, ' Yes': -0.90600663, ' yes': -7.4581327, 'Yes': -4.915387}
{' No': -0.00294961, ' ': -8.180113, 'No': -6.680045, ' Yes': -6.609576, ' no': -10.102523}
{' No': -0.009210634, ' ': -8.086007, 'No': -4.8272038, ' Yes': -7.131538, ' no': -10.636753}
{' No': -0.012211641, '\n': -9.489258, ' ': -7.4261994, 'No': -4.7395844, ' Yes': -5.923943}
{' No': -0.005537417, ' ': -8.029274, 'No': -5.382641, ' Yes': -7.5245705, ' no': -10.464498}
{' No': -0.009867153, '\n': -9.400646, ' ': -7.4975677, 'No': -4.755467, ' Yes': -7.494653}
{' No': -0.013365408, ' ': -6.7235336, 'No': -4.7082467, ' Yes': -6.0378704, ' no': -8.0419235}
{' No': -0.002019132, '\n': -11.182334, ' ': -8.811326, 'No': -7.434409, ' Yes': -6.6783986}
{' No': -0.004559799, '\n': -11.6763735, ' ': -8.707784, 'No': -5.6651793, ' Yes': -7.0136466}
{' No': -0.005200455, '\n': -9.387059, ' ': -8.2402525, 'No': -5.5939684, ' Yes': -6.805724}
{' No': -0.0029424967, '\n': -11.7206335, ' ': -8.470231, 'No': -6.585286, ' Yes': -6.622169}
{' No': -0.015414681, '\n': -8.631419, ' ': -7.0006914, 'No': -5.0621753, ' Yes': -4.8534007}
{' No': -0.020685265, '\n': -9.6716385, ' ': -7.55891, 'No': -5.7638965, ' Yes': -4.0933113}
{' YES': -11.825659, ' ': -12.249895, ' Yes': -0.0040673665, ' yes': -9.8341875, 'Yes': -5.523858}
{' YES': -11.078685, ' ': -11.297429, ' Yes': -0.009330049, ' yes': -9.212737, 'Yes': -4.6939287}
{' YES': -11.026419, ' ': -11.126114, ' Yes': -0.012464786, ' yes': -9.290613, 'Yes': -4.401764}
{' YES': -12.04197, ' ': -12.2777405, ' Yes': -0.005087638, ' yes': -9.9592085, 'Yes': -5.295571}
{' YES': -11.686621, ' ': -11.198566, ' Yes': -0.0106347045, ' yes': -9.592435, 'Yes': -4.5584135}
{' YES': -11.338297, ' ': -10.473574, ' Yes': -0.0068866387, ' yes': -8.726529, 'Yes': -5.012967}
{' YES': -11.498835, ' ': -11.415129, ' Yes': -0.000957005, ' yes': -9.228059, 'Yes': -7.089942}
{' YES': -11.155449, ' ': -10.332565, ' Yes': -0.006548744, ' yes': -9.09704, 'Yes': -5.0587354}
{'\n': -9.8238735, ' ': -9.444063, ' Yes': -0.0063248626, ' yes': -8.936405, 'Yes': -5.1136703}
{' YES': -11.836768, ' ': -11.568336, ' Yes': -0.0013771723, ' yes': -9.886042, 'Yes': -6.64147}
{'\n': -9.718624, ' ': -8.952559, ' Yes': -0.0074940682, ' yes': -9.371578, 'Yes': -4.9381695}
{'\n': -9.577704, ' ': -9.142917, ' Yes': -0.007876724, ' yes': -7.6223173, 'Yes': -4.945174}
{' ': -10.606144, ' Yes': -0.011864761, ' yes': -7.445244, 'Yes': -4.498563, 'yes': -10.332625}
{' YES': -12.376124, ' Yes': -0.011316275, ' yes': -9.35312, 'Yes': -4.496189, 'yes': -11.8007765}
{' ': -10.236339, ' Yes': -0.022912605, ' yes': -7.971559, 'Yes': -3.8074434, 'yes': -10.3115425}
{' ': -11.467266, ' Yes': -0.007065204, ' yes': -8.556456, 'Yes': -4.9884453, 'yes': -11.453682}
{' ': -10.1621, ' Yes': -0.019630859, ' yes': -8.280281, 'Yes': -3.9584353, 'yes': -10.339005}
{' ': -9.8811865, ' Yes': -0.019316154, ' yes': -6.9232697, 'Yes': -4.017439, 'yes': -9.822907}
{' YES': -10.961203, ' ': -10.141605, ' Yes': -0.0027892932, ' yes': -7.3125596, 'Yes': -6.1937947}
{' ': -9.08944, ' Yes': -0.013804541, ' yes': -7.2236466, 'Yes': -4.360017, 'yes': -10.009902}
{'\n': -10.006337, ' ': -8.916095, ' Yes': -0.010719289, ' yes': -8.109678, 'Yes': -4.5912}
{' ': -9.701722, ' Yes': -0.0065171267, ' yes': -7.29726, 'Yes': -5.170814, 'yes': -10.135473}
{'\n': -9.425461, ' ': -8.413603, ' Yes': -0.014153359, ' yes': -8.32029, 'Yes': -4.3085065}
{'\n': -8.478219, ' ': -8.141763, ' Yes': -0.018247042, ' yes': -5.256589, 'Yes': -4.409602}
{' YES': -11.520899, ' ': -10.778604, ' Yes': -0.00081370876, ' yes': -9.916455, 'Yes': -7.2319045}
{'\n': -10.799239, ' ': -9.673577, ' Yes': -0.0058492525, ' yes': -9.31113, 'Yes': -5.179134}
{'\n': -9.782845, ' ': -9.637232, ' Yes': -0.004393055, ' yes': -9.60618, 'Yes': -5.477566}
{' YES': -11.387492, ' ': -10.388276, ' Yes': -0.001456978, ' yes': -9.75298, 'Yes': -6.6089344}
{'\n': -9.5818405, ' ': -8.912531, ' Yes': -0.008291752, ' yes': -9.669737, 'Yes': -4.8313775}
{'\n': -10.906075, ' ': -10.114215, ' Yes': -0.0027219912, ' yes': -9.461782, 'Yes': -5.9623675}
{' No': -11.157028, ' ': -12.142723, ' Yes': -0.0016296823, ' yes': -10.452917, 'Yes': -6.4516745}
{' No': -10.33445, ' ': -11.179014, ' Yes': -0.00810095, ' yes': -9.329204, 'Yes': -4.838066}
{' No': -11.373773, ' ': -11.158072, ' Yes': -0.011906501, ' yes': -9.362316, 'Yes': -4.4470506}
{' No': -12.550023, ' ': -12.280351, ' Yes': -0.0025269894, ' yes': -10.584956, 'Yes': -5.996352}
{' No': -11.770975, ' ': -11.205086, ' Yes': -0.0084831305, ' yes': -9.717185, 'Yes': -4.784577}
{' ': -10.568484, ' Yes': -0.006942396, ' yes': -8.623168, 'Yes': -5.006164, 'yes': -11.96669}
{' YES': -13.043002, ' ': -11.700273, ' Yes': -0.0005581845, ' yes': -9.338428, 'Yes': -7.6897745}
{' YES': -12.383616, ' ': -10.805221, ' Yes': -0.0037779857, ' yes': -9.233808, 'Yes': -5.6154094}
{'\n': -11.796837, ' ': -10.132537, ' Yes': -0.0054215663, ' yes': -9.112428, 'Yes': -5.251982}
{' YES': -12.894527, ' ': -11.624442, ' Yes': -0.001084869, ' yes': -9.701274, 'Yes': -6.8986278}
{'\n': -11.019554, ' ': -9.170979, ' Yes': -0.005127, ' yes': -9.424618, 'Yes': -5.318289}
{'\n': -10.324338, ' ': -9.631093, ' Yes': -0.0046096793, ' yes': -7.6676874, 'Yes': -5.5196815}
{' No': -9.307581, ' Yes': -0.010893717, ' yes': -7.363518, 'Yes': -4.6006265, 'yes': -10.591352}
{' No': -12.594656, ' Yes': -0.009797029, ' yes': -9.081942, 'Yes': -4.6437883, 'yes': -11.896588}
{' ': -10.6453285, ' Yes': -0.02090502, ' yes': -7.5608387, 'Yes': -3.9070573, 'yes': -10.429594}
{' No': -11.200391, ' ': -11.810448, ' Yes': -0.0041383505, ' yes': -8.597255, 'Yes': -5.5432444}
{' ': -10.359244, ' Yes': -0.02858103, ' yes': -7.8436365, 'Yes': -3.5866082, 'yes': -9.978557}
{' ': -10.004384, ' Yes': -0.023910943, ' yes': -6.387241, 'Yes': -3.8262293, 'yes': -9.455222}
{' ': -10.484465, ' Yes': -0.0018635018, ' yes': -7.021599, 'Yes': -6.985771, 'yes': -11.792955}
{' ': -10.120026, ' Yes': -0.0059229955, ' yes': -7.3778214, 'Yes': -5.2565675, 'yes': -10.910263}
{' ': -9.271861, ' Yes': -0.007855577, ' yes': -8.100149, 'Yes': -4.9066114, 'yes': -11.272524}
{' ': -9.467801, ' Yes': -0.004164803, ' yes': -6.927632, 'Yes': -5.7930517, 'yes': -10.452004}
{'\n': -9.497071, ' ': -8.369376, ' Yes': -0.008799793, ' yes': -7.6941442, 'Yes': -4.8325815}
{' ': -8.174912, ' Yes': -0.013734926, ' yes': -5.14714, 'Yes': -4.917196, 'yes': -9.206142}
{'\n': -12.105534, ' ': -11.124733, ' Yes': -0.00057715003, ' yes': -9.775105, 'Yes': -7.6073294}
{'\n': -12.347798, ' ': -10.06228, ' Yes': -0.0036598877, ' yes': -9.457709, 'Yes': -5.6494784}
{'\n': -10.02214, ' ': -9.362648, ' Yes': -0.0055328007, ' yes': -9.322873, 'Yes': -5.2425013}
{' YES': -12.244443, ' ': -9.941961, ' Yes': -0.0012420497, ' yes': -9.462261, 'Yes': -6.8093896}
{'\n': -9.5702915, ' ': -8.239901, ' Yes': -0.0065848627, ' yes': -9.663122, 'Yes': -5.090887}
{'\n': -10.594776, ' ': -9.756626, ' Yes': -0.0020618397, ' yes': -8.85544, 'Yes': -6.3047886}
{' No': -0.004466572, ' ': -10.420344, 'No': -5.42093, ' no': -13.734766, ' NO': -13.664609}
{' No': -0.014928621, ' ': -10.021234, 'No': -4.2154865, ' no': -13.136237, ' NO': -12.329764}
{' No': -0.025442917, '\n': -13.191744, ' ': -9.418751, 'No': -3.6876721, ' NO': -12.392711}
{' No': -0.005737504, ' ': -10.773901, 'No': -5.1677856, ' no': -13.879983, ' NO': -13.68112}
{' No': -0.024133608, '\n': -12.327768, ' ': -9.298157, 'No': -3.7407281, ' no': -12.686092}
{' No': -0.014187034, ' ': -8.94752, 'No': -4.2735424, ' no': -11.724322, ' NO': -12.4935465}
{' No': -0.0009633306, '\n': -12.308259, ' ': -9.988952, 'No': -7.003864, ' no': -13.239799}
{' No': -0.00564135, '\n': -12.30455, ' ': -9.262115, 'No': -5.199472, ' NO': -12.965089}
{' No': -0.0065802424, '\n': -10.47431, ' ': -8.860592, 'No': -5.0548134, ' NO': -12.707727}
{' No': -0.0021482075, '\n': -12.880614, ' ': -10.124165, 'No': -6.1657467, ' NO': -13.402955}
{' No': -0.0064269593, '\n': -9.798167, ' ': -8.248594, 'No': -5.1032343, ' NO': -12.445581}
{' No': -0.007166357, '\n': -9.401149, ' ': -8.50172, 'No': -4.986571, ' no': -11.2123165}
{' No': -0.02191154, ' ': -9.146708, 'No': -3.8398776, ' no': -10.059351, ' NO': -11.281009}
{' No': -0.016823012, ' ': -10.8019085, 'No': -4.095049, 'no': -13.433528, ' no': -12.612598}
{' No': -0.056453697, '\n': -10.918381, ' ': -8.803833, 'No': -2.906534, ' no': -10.690795}
{' No': -0.006669764, ' ': -10.35975, 'No': -5.0205054, ' no': -11.76739, ' NO': -12.495958}
{' No': -0.069421075, '\n': -10.840128, ' ': -8.546595, 'No': -2.7063286, ' no': -10.543505}
{' No': -0.05886838, ' x': -9.798855, ' ': -8.175624, 'No': -2.8740044, ' no': -8.509792}
{' No': -0.0016529646, '\n': -10.928184, ' ': -8.661452, 'No': -6.548577, ' no': -10.731734}
{' No': -0.007982221, '\n': -11.676326, ' ': -8.675073, 'No': -4.8600783, ' no': -11.270831}
{' No': -0.01312683, '\n': -9.651356, ' ': -7.9980626, 'No': -4.3722444, ' no': -11.949954}
{' No': -0.005568945, '\n': -10.792371, ' ': -8.229386, 'No': -5.2553973, ' no': -10.282773}
{' No': -0.013532326, '\n': -8.456405, ' ': -7.4192877, 'No': -4.3748837, ' no': -10.668535}
{' No': -0.011926889, '\n': -8.60442, ' ': -7.555023, 'No': -4.520666, ' no': -8.3561325}
{' No': -0.0009938153, '\n': -10.962742, ' ': -9.391661, 'No': -7.025533, ' NO': -13.239271}
{' No': -0.0051750494, '\n': -10.893517, ' ': -8.783264, 'No': -5.30179, ' NO': -12.613486}
{' No': -0.007834266, '\n': -8.657192, ' ': -8.073562, 'No': -4.919068, ' NO': -12.601096}
{' No': -0.002695814, '\n': -11.087734, ' ': -8.456658, 'No': -6.009848, ' NO': -12.230459}
{' No': -0.008195536, '\n': -8.9217, ' ': -7.708942, 'No': -4.8838515, ' NO': -12.39794}
{' No': -0.0038202277, '\n': -10.304517, ' ': -8.398191, 'No': -5.643186, ' no': -11.946108}
{' No': -0.0023999563, ' ': -11.209812, 'No': -6.0461946, ' Yes': -11.13226, ' NO': -14.348393}
{' No': -0.012056403, ' ': -9.95476, 'No': -4.442215, ' Yes': -8.7633, ' NO': -12.338615}
{' No': -0.014077734, ' ': -9.800435, 'No': -4.2980437, ' Yes': -8.058753, 'Yes': -12.29718}
{' No': -0.0046544084, ' ': -10.959839, 'No': -5.385258, ' Yes': -10.143545, ' NO': -13.657081}
{' No': -0.026723828, ' ': -8.982365, 'No': -3.8795433, ' Yes': -5.2053413, 'Yes': -9.4998455}
{' No': -0.022730276, ' ': -8.39192, 'No': -4.311482, ' Yes': -4.74189, 'Yes': -9.588626}
{' No': -0.007461762, ' ': -9.484135, 'No': -7.379833, ' Yes': -5.003275, 'Yes': -11.909111}
{' No': -0.004388806, ' ': -9.570837, 'No': -5.694349, ' Yes': -6.97941, 'Yes': -12.2603855}
{' No': -0.0048476723, '\n': -10.630877, ' ': -8.823127, 'No': -5.6582537, ' Yes': -6.7575445}
{' No': -0.001717386, '\n': -13.236635, ' ': -10.012347, 'No': -6.7386007, ' Yes': -7.639666}
{' No': -0.0149469515, '\n': -9.579794, ' ': -7.8843656, 'No': -5.4677014, ' Yes': -4.59451}
{' No': -0.021340959, '\n': -9.015375, ' ': -7.822433, 'No': -5.249561, ' Yes': -4.185745}
{' No': -0.014465231, ' ': -9.12217, 'No': -4.380014, ' Yes': -6.408345, ' no': -10.382158}
{' No': -0.00841256, ' ': -11.389913, 'No': -4.92978, ' Yes': -6.790423, 'Yes': -11.629446}
{' No': -0.13972113, ' ': -8.397651, 'No': -3.9799273, ' Yes': -2.2091696, 'Yes': -6.440052}
{' No': -0.014719795, ' ': -10.03064, 'No': -5.4619317, ' Yes': -4.5792756, 'Yes': -9.9909115}
{' No': -1.019696, ' ': -7.9301186, 'No': -4.259545, ' Yes': -0.49175897, 'Yes': -4.3521523}
{' No': -0.5839967, ' ': -7.5645676, 'No': -3.8834863, ' Yes': -0.8811482, 'Yes': -5.0718966}
{' No': -0.0019672322, ' ': -8.631274, 'No': -7.022347, ' Yes': -7.0870104, ' no': -10.034824}
{' No': -0.0063571953, ' ': -8.51425, 'No': -5.215065, ' Yes': -7.321951, ' no': -10.780401}
{' No': -0.01121615, ' ': -7.9180074, 'No': -5.269788, ' Yes': -5.193627, 'Yes': -10.110043}
{' No': -0.0039518084, ' ': -8.461346, 'No': -5.6484733, ' Yes': -8.689791, ' no': -10.894958}
{' No': -0.00894863, '\n': -9.061933, ' ': -7.3806987, 'No': -5.0261126, ' Yes': -6.4546137}
{' No': -0.011636309, ' ': -7.0101733, 'No': -4.69667, ' Yes': -6.984691, ' no': -7.9992666}
{' No': -0.0010739487, '\n': -11.7997465, ' ': -9.201599, 'No': -7.701015, ' Yes': -7.584293}
{' No': -0.0036188478, '\n': -12.31577, ' ': -9.068504, 'No': -5.9040833, ' Yes': -7.1886773}
{' No': -0.011727068, '\n': -9.185396, ' ': -7.9077363, 'No': -5.500731, ' Yes': -4.9538546}
{' No': -0.0016201288, '\n': -12.16984, ' ': -8.934898, 'No': -6.952065, ' Yes': -7.5619946}
{' No': -0.020685874, '\n': -8.7318535, ' ': -6.951546, 'No': -5.1781697, ' Yes': -4.2972493}
{' No': -0.009739306, '\n': -10.201681, ' ': -8.083134, 'No': -6.0596695, ' Yes': -4.964205}
{' YES': -12.257506, ' ': -12.150825, ' Yes': -0.0026731044, ' yes': -10.422501, 'Yes': -5.9415436}
