{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.07513115, 'Yes': -2.8257413, ' No': -4.5306916, 'No': -6.5245132, ' yes': -7.3125343}
{' No': -0.22224864, ' Yes': -1.6929747, 'No': -4.3475537, 'Yes': -6.130316, ' ': -9.311724}
{' Yes': -0.06015255, ' No': -2.9412332, 'Yes': -5.337221, 'No': -7.70686, ' yes': -8.213041}
{' Yes': -0.16071844, ' No': -2.4446406, 'Yes': -2.9714425, 'No': -4.6162615, ' yes': -7.9980335}
{' Yes': -0.05862944, 'Yes': -3.29561, ' No': -4.0427547, 'No': -6.5072527, ' yes': -7.3872137}
{' Yes': -0.120260745, ' No': -2.6253572, 'Yes': -3.4379997, 'No': -4.9747624, ' yes': -6.5401654}
{' Yes': -0.041601982, 'Yes': -3.4341872, ' No': -5.1358533, ' yes': -6.35773, 'No': -7.3382683}
{' Yes': -0.06319668, ' No': -2.8423238, 'Yes': -6.3845844, ' yes': -7.1077347, ' ': -8.2643585}
{' Yes': -0.13593052, ' No': -2.0747771, 'Yes': -7.0494814, ' yes': -8.083648, ' ': -8.686212}
{' Yes': -0.40086755, ' No': -1.1482602, 'Yes': -4.93626, 'No': -5.315218, ' yes': -7.6876125}
{' No': -0.24917477, ' Yes': -1.567908, 'No': -4.659283, 'Yes': -6.2085595, ' ': -7.686701}
{' Yes': -0.08329338, ' No': -2.7146866, 'Yes': -4.4477854, 'No': -6.8213134, ' ': -7.891385}
{' Yes': -0.34955275, ' No': -1.2577748, 'Yes': -5.033921, 'No': -5.7569566, ' ': -7.173357}
{' Yes': -0.30752227, ' No': -1.3469644, 'Yes': -5.9110684, 'No': -6.7809167, ' yes': -7.5759034}
{' No': -0.326038, ' Yes': -1.29277, 'No': -6.0448756, 'Yes': -7.04617, ' ': -8.025224}
{' Yes': -0.13218725, ' No': -2.1994593, 'Yes': -4.6182866, 'No': -6.421505, ' ': -7.000614}
{' Yes': -0.3497879, ' No': -1.2583534, 'Yes': -5.098441, 'No': -5.7595105, ' ': -6.5273614}
{' Yes': -0.22329836, ' No': -1.6888192, 'Yes': -4.911376, ' yes': -5.6715417, 'No': -5.974204}
{' No': -0.6387769, ' Yes': -0.79124653, 'No': -4.7455387, 'Yes': -5.2307568, ' ': -6.1618}
{' Yes': -0.0384809, ' No': -3.3145237, 'Yes': -6.7981534, ' ': -9.041646, ' yes': -9.410467}
{' No': -0.6891987, ' Yes': -0.70052254, 'No': -7.1749086, 'Yes': -7.3116407, ' ': -8.56892}
{' Yes': -0.18547365, ' No': -1.8201401, 'Yes': -5.231736, 'No': -6.470247, ' ': -8.28884}
{' No': -0.17004168, ' Yes': -1.9065435, 'No': -5.051597, 'Yes': -6.9394526, ' ': -7.9410677}
{' Yes': -0.096525304, ' No': -2.4924583, 'Yes': -4.8535805, 'No': -7.0432205, ' ': -7.8735633}
{' No': -0.4575844, ' Yes': -1.0275842, 'No': -5.241314, 'Yes': -5.8825493, ' ': -7.115627}
{' Yes': -0.6934589, ' No': -0.6963486, 'Yes': -7.1948547, 'No': -7.3026104, ' ': -8.224554}
{' No': -0.21422847, ' Yes': -1.6571548, 'No': -6.5311017, 'Yes': -7.953205, ' ': -8.104445}
{' Yes': -0.028748177, ' No': -4.0841565, 'Yes': -4.611447, ' ': -7.1058598, '\n': -7.910904}
{' Yes': -0.6859123, ' No': -0.7212669, 'No': -5.4377394, 'Yes': -5.6205416, ' ': -6.3154955}
{' Yes': -0.009286855, ' No': -5.1330276, 'Yes': -5.8287516, ' ': -8.585337, ' yes': -9.040331}
{' No': -0.34613907, ' Yes': -1.2476779, 'No': -5.6498075, 'Yes': -6.937123, ' ': -7.210141}
{' Yes': -0.0046811164, 'Yes': -5.381018, ' yes': -9.858023, ' YES': -11.839121, ' ': -12.392249}
{' Yes': -0.006613363, 'Yes': -5.031409, ' yes': -9.969551, ' YES': -11.9010935, ' ': -12.2640705}
{' Yes': -0.018359223, 'Yes': -4.026658, ' yes': -8.188415, ' YES': -10.151782, 'yes': -10.791236}
{' Yes': -0.02008242, 'Yes': -3.9319992, ' yes': -8.454017, ' YES': -10.498024, ' ': -10.986755}
{' Yes': -0.022024987, 'Yes': -3.839833, ' yes': -8.489895, ' YES': -9.8874655, ' ': -11.244749}
{' Yes': -0.036201563, 'Yes': -3.3430479, ' yes': -8.73252, ' YES': -10.402563, ' ': -10.941414}
{' Yes': -0.0063020103, 'Yes': -5.0930824, ' yes': -9.139109, ' YES': -10.786422, ' ': -11.698138}
{' Yes': -0.009994054, 'Yes': -4.6212935, ' yes': -9.433766, ' YES': -11.3642, ' ': -11.949274}
{' Yes': -0.022295987, 'Yes': -3.824004, ' yes': -8.825903, ' ': -10.792671, ' YES': -10.807583}
{' Yes': -0.030763954, 'Yes': -3.502907, ' yes': -8.918627, 'yes': -10.858695, ' ': -11.059654}
{' Yes': -0.017264877, 'Yes': -4.1016765, ' yes': -7.700364, ' ': -10.093617, ' YES': -10.099974}
{' Yes': -0.018333787, 'Yes': -4.0309925, ' yes': -8.058217, ' ': -10.087419, ' YES': -10.412156}
{' Yes': -0.0008072649, 'Yes': -7.2320023, ' yes': -9.578461, ' YES': -11.721352, ' ': -12.511705}
{' Yes': -0.001152418, 'Yes': -6.8344345, ' yes': -9.7459755, ' YES': -11.901262, ' ': -12.204742}
{' Yes': -0.0073468317, 'Yes': -4.9484057, ' yes': -8.668698, ' YES': -10.548218, ' ': -11.118456}
{' Yes': -0.007206158, 'Yes': -4.956705, ' yes': -9.164326, ' ': -11.025211, ' YES': -11.3133545}
{' Yes': -0.010563982, 'Yes': -4.5840826, ' yes': -8.621554, ' ': -10.113572, ' YES': -10.300389}
{' Yes': -0.009982254, 'Yes': -4.6297827, ' yes': -9.16852, ' ': -10.159732, ' YES': -11.029419}
{' Yes': -0.0014605, 'Yes': -6.5937147, ' yes': -9.547824, ' YES': -11.42594, ' ': -12.254173}
{' Yes': -0.0017479578, 'Yes': -6.3920274, ' yes': -9.825376, ' YES': -11.674508, ' ': -12.033161}
{' Yes': -0.010137347, 'Yes': -4.6316676, ' yes': -8.89131, ' ': -9.016465, '\n': -9.879984}
{' Yes': -0.008663304, 'Yes': -4.7741394, ' yes': -9.469848, ' ': -9.552825, ' YES': -11.161422}
{' Yes': -0.005365236, 'Yes': -5.315992, ' yes': -8.031368, ' ': -10.225144, '\n': -10.33165}
{' Yes': -0.007625713, 'Yes': -4.9456387, ' yes': -7.9703007, ' ': -9.623969, '\n': -10.433397}
{' Yes': -0.016405279, 'Yes': -4.1555347, ' yes': -7.6151485, ' YES': -10.194038, 'yes': -10.339247}
{' Yes': -0.01722722, 'Yes': -4.1175995, ' yes': -7.2526965, 'yes': -10.25837, ' YES': -10.27703}
{' Yes': -0.030155197, 'Yes': -3.5265367, ' yes': -8.307335, 'yes': -10.439844, ' YES': -11.024422}
{' Yes': -0.031848658, 'Yes': -3.474937, ' yes': -8.052093, 'yes': -10.302525, ' YES': -10.659406}
{' Yes': -0.0727742, 'Yes': -2.6747007, ' yes': -7.1008596, ' YES': -8.692006, 'yes': -9.106488}
{' Yes': -0.0815132, 'Yes': -2.5583122, ' yes': -7.3869176, 'yes': -9.279739, ' YES': -9.637045}
{' Yes': -0.011109462, 'Yes': -4.535405, ' yes': -8.194362, ' YES': -10.78361, 'yes': -11.173585}
{' Yes': -0.008088393, 'Yes': -4.8647146, ' yes': -8.095583, ' YES': -10.99257, 'yes': -11.277492}
{' Yes': -0.067842774, 'Yes': -2.7318118, ' yes': -8.072603, 'yes': -9.5292635, ' ': -10.01378}
{' Yes': -0.05581306, 'Yes': -2.923252, ' yes': -7.887398, 'yes': -9.599049, ' ': -10.165745}
{' Yes': -0.038327906, 'Yes': -3.3352735, ' yes': -6.372289, 'yes': -8.957398, ' YES': -9.590213}
{' Yes': -0.0425109, 'Yes': -3.223322, ' yes': -6.477312, 'yes': -8.913899, ' YES': -9.654389}
{' Yes': -0.0028455989, 'Yes': -6.152604, ' yes': -7.3539, ' ': -10.4276, ' YES': -10.64614}
{' Yes': -0.0014663468, 'Yes': -6.798532, ' yes': -8.045596, ' ': -11.092941, ' YES': -11.652753}
{' Yes': -0.013799403, 'Yes': -4.367536, ' yes': -7.0582824, ' ': -9.79671, ' YES': -9.805133}
{' Yes': -0.012347287, 'Yes': -4.4456778, ' yes': -7.6873574, ' ': -10.212578, 'yes': -10.636029}
{' Yes': -0.015615904, 'Yes': -4.1972237, ' yes': -8.150463, ' ': -9.577715, '\n': -9.984858}
{' Yes': -0.009019777, 'Yes': -4.739748, ' yes': -8.748783, ' ': -9.906068, ' YES': -11.292703}
{' Yes': -0.0042999033, 'Yes': -5.5971375, ' yes': -7.5881233, ' ': -10.570877, ' YES': -10.700218}
{' Yes': -0.003971795, 'Yes': -5.638434, ' yes': -7.945931, ' ': -10.64076, ' YES': -11.230543}
{' Yes': -0.014978173, 'Yes': -4.2440906, ' yes': -8.286386, ' ': -8.770314, '\n': -9.692695}
{' Yes': -0.010772608, 'Yes': -4.570505, ' yes': -8.54777, ' ': -9.022919, '\n': -10.819924}
{' Yes': -0.01675773, 'Yes': -4.39825, ' yes': -5.57578, '\n': -8.520056, ' ': -8.843551}
{' Yes': -0.018333241, 'Yes': -4.283363, ' yes': -5.529264, ' ': -8.7268305, 'yes': -9.198624}
{' Yes': -0.001496316, 'Yes': -6.5870824, ' yes': -9.675249, ' ': -10.498474, ' YES': -11.265638}
{' Yes': -0.0014739883, 'Yes': -6.591084, ' yes': -9.668094, ' ': -10.814815, ' YES': -11.659385}
{' Yes': -0.008150468, 'Yes': -4.83543, ' yes': -9.087208, ' ': -10.509485, ' YES': -10.744086}
{' Yes': -0.009039264, 'Yes': -4.732733, ' yes': -9.103497, ' ': -9.887716, ' YES': -11.053883}
{' Yes': -0.008493531, 'Yes': -4.8087883, ' yes': -9.155321, ' ': -9.219675, '\n': -9.634882}
{' Yes': -0.010713745, 'Yes': -4.562792, ' yes': -9.378934, ' ': -9.535059, '\n': -9.919823}
{' Yes': -0.0011873855, 'Yes': -6.808995, ' yes': -9.981065, ' ': -10.789117, ' YES': -11.373762}
{' Yes': -0.0015314742, 'Yes': -6.5514064, ' yes': -9.677352, ' ': -10.634631, ' YES': -11.642936}
{' Yes': -0.014387103, 'Yes': -4.292122, ' ': -8.107944, '\n': -8.776286, ' yes': -9.033447}
{' Yes': -0.010227129, 'Yes': -4.613119, ' ': -8.915148, ' yes': -9.582878, '\n': -10.170927}
{' Yes': -0.002880329, 'Yes': -5.909765, ' yes': -9.272249, ' ': -10.203814, '\n': -10.777405}
{' Yes': -0.0038844903, 'Yes': -5.605981, ' yes': -8.951278, ' ': -10.021924, '\n': -11.088338}
{' Yes': -0.011602602, ' No': -4.8307343, 'Yes': -5.6897984, ' yes': -9.5156555, 'No': -9.578218}
{' No': -0.3221675, ' Yes': -1.3189363, 'No': -5.065955, 'Yes': -6.4803095, ' ': -8.92286}
{' Yes': -0.018931266, 'Yes': -4.0079846, ' yes': -8.284122, ' No': -8.297602, ' ': -10.571629}
{' Yes': -0.61130124, ' No': -0.83131194, 'No': -4.3145256, 'Yes': -4.80525, ' ': -8.413011}
{' Yes': -0.028663162, 'Yes': -4.1153326, ' No': -4.493797, 'No': -7.6079607, ' yes': -8.775413}
{' Yes': -0.32618746, ' No': -1.3695531, 'Yes': -4.2478795, 'No': -4.669199, ' ': -8.115473}
{' Yes': -0.008754996, 'Yes': -4.9601936, ' No': -6.4665375, ' yes': -9.30419, 'No': -10.449106}
{' Yes': -0.1683858, ' No': -1.920808, 'Yes': -5.05544, 'No': -6.2657022, ' ': -8.912272}
{' Yes': -0.029028675, 'Yes': -3.9288182, ' No': -4.8106294, 'No': -7.62829, ' yes': -8.792114}
{' No': -0.33799616, ' Yes': -1.382447, 'No': -3.494269, 'Yes': -5.2788434, ' ': -8.102594}
{' Yes': -0.010321313, 'Yes': -4.6723695, ' No': -7.572132, ' yes': -8.1167345, ' ': -9.840462}
{' Yes': -0.19660401, ' No': -1.8173466, 'Yes': -4.6201477, 'No': -5.228895, ' ': -7.975338}
{' Yes': -0.0009354086, 'Yes': -7.103469, ' yes': -9.367307, ' ': -11.636335, ' No': -11.681673}
{' Yes': -0.0012825159, 'Yes': -6.869347, ' No': -9.010926, ' yes': -9.408762, ' ': -10.419442}
{' Yes': -0.0060354266, 'Yes': -5.195605, ' No': -8.293858, ' yes': -8.901478, ' ': -9.776395}
{' Yes': -0.005559114, 'Yes': -5.480977, ' No': -6.728717, ' yes': -9.286952, ' ': -9.638303}
{' Yes': -0.008033293, 'Yes': -4.918985, ' No': -7.844241, ' yes': -8.8005705, ' ': -9.272803}
{' Yes': -0.03598231, ' No': -3.608204, 'Yes': -4.8981705, 'No': -8.06045, ' ': -8.092873}
{' Yes': -0.0020255232, 'Yes': -6.4891734, ' No': -7.815517, ' yes': -9.518329, ' ': -11.259777}
{' Yes': -0.03376188, ' No': -3.4549499, 'Yes': -6.578836, ' ': -9.310892, 'No': -9.679735}
{' Yes': -0.022684671, ' No': -4.2783127, 'Yes': -4.9257607, ' ': -7.2258797, '\n': -8.403482}
{' Yes': -0.09137261, ' No': -2.5401754, 'Yes': -5.0407286, ' ': -6.984521, 'No': -7.1527452}
{' Yes': -0.0051516816, 'Yes': -5.4277244, ' yes': -7.726637, ' ': -9.240709, ' No': -9.332741}
{' Yes': -0.011545617, ' No': -5.105879, 'Yes': -5.390484, ' yes': -7.9945207, ' ': -8.080354}
{' Yes': -0.015657555, 'Yes': -4.393343, ' No': -6.0085125, ' yes': -7.5401287, 'No': -9.366457}
{' Yes': -0.12179747, ' No': -2.3725815, 'Yes': -4.1614094, 'No': -5.52927, ' yes': -6.4866333}
{' Yes': -0.025511032, 'Yes': -3.7214603, ' No': -7.4389286, ' yes': -8.102238, 'No': -10.183121}
{' Yes': -0.06727458, ' No': -3.4502375, 'Yes': -3.5017912, 'No': -6.1216016, ' yes': -7.1274395}
{' Yes': -0.07417376, 'Yes': -2.6740348, ' yes': -6.8235745, ' No': -7.015141, 'No': -8.845141}
{' Yes': -0.067978844, 'Yes': -2.8032463, ' No': -5.735228, ' yes': -6.840428, 'No': -7.7293096}
{' Yes': -0.028851358, ' No': -4.00558, 'Yes': -4.6500382, 'No': -8.014906, ' yes': -8.281847}
{' Yes': -0.17631316, ' No': -1.8705652, 'Yes': -5.1907763, 'No': -6.4408774, ' yes': -8.057842}
{' Yes': -0.051670123, 'Yes': -3.0454502, ' No': -6.242101, ' yes': -7.836174, 'No': -8.306126}
{' Yes': -0.058548223, 'Yes': -2.9408498, ' No': -5.8899727, ' yes': -7.4504585, 'No': -7.787668}
{' Yes': -0.036483422, 'Yes': -3.400516, ' yes': -6.44551, ' No': -7.498649, ' ': -9.127695}
{' Yes': -0.056082778, 'Yes': -3.2285202, ' No': -4.656045, ' yes': -5.688048, 'No': -6.5663323}
{' Yes': -0.0028759043, 'Yes': -6.282996, ' yes': -7.0211997, ' ': -9.893804, ' No': -10.61609}
{' Yes': -0.0021862614, 'Yes': -6.710724, ' yes': -7.3847103, ' No': -8.267208, ' ': -9.575281}
{' Yes': -0.010358713, 'Yes': -4.676235, ' yes': -7.268308, ' No': -9.076775, ' ': -9.147333}
{' Yes': -0.010149692, 'Yes': -4.863274, ' No': -6.4342904, ' yes': -7.4974995, ' ': -8.77596}
{' Yes': -0.010829064, 'Yes': -4.6165566, ' yes': -7.7467923, ' ': -8.431996, '\n': -9.200153}
{' Yes': -0.029643564, ' No': -4.037311, 'Yes': -4.5700793, ' ': -7.5333323, 'No': -8.041137}
{' Yes': -0.004163607, 'Yes': -5.8530703, ' No': -7.1830854, ' yes': -7.7704687, ' ': -9.694865}
{' Yes': -0.088094294, ' No': -2.5245738, 'Yes': -5.8952856, ' ': -7.3211412, ' yes': -7.751303}
{' Yes': -0.009789746, 'Yes': -4.8572173, ' No': -7.023116, ' ': -7.5099497, ' yes': -8.056516}
{' Yes': -0.03593826, ' No': -3.9075718, 'Yes': -4.3785057, ' ': -6.486324, 'No': -7.79916}
{' Yes': -0.011633958, 'Yes': -4.84851, ' yes': -5.9227266, ' No': -7.841758, ' ': -8.037997}
{' Yes': -0.040847182, ' No': -3.798633, 'Yes': -4.6745825, ' yes': -5.2632303, ' ': -6.218522}
{' Yes': -0.0013108632, 'Yes': -6.7662296, ' yes': -9.217519, ' ': -10.438735, '\n': -11.407476}
{' Yes': -0.0017837832, 'Yes': -6.7734704, ' No': -7.7476516, ' ': -9.276424, ' yes': -9.3844185}
{' Yes': -0.0057504526, 'Yes': -5.2258887, ' yes': -8.867206, ' ': -9.292891, ' No': -9.379778}
{' Yes': -0.01897361, ' No': -4.3477774, 'Yes': -5.2635584, ' ': -7.7497888, 'No': -9.017223}
{' Yes': -0.0069249286, 'Yes': -5.11757, ' No': -7.7645288, ' ': -8.322802, '\n': -8.994199}
{' Yes': -0.15122363, ' No': -2.0541263, 'Yes': -4.8260336, ' ': -6.370862, 'No': -6.4069777}
{' Yes': -0.0039544404, ' No': -6.034458, 'Yes': -6.643479, ' ': -8.9612255, ' yes': -9.416084}
{' Yes': -0.14683653, ' No': -2.0115235, 'Yes': -6.5885115, ' ': -6.9164896, 'No': -8.213124}
{' Yes': -0.010644161, 'Yes': -4.7695208, ' No': -7.166959, ' ': -7.20465, '\n': -7.7468176}
{' Yes': -0.35503483, ' No': -1.255166, 'Yes': -5.1531897, ' ': -5.588328, 'No': -5.8366194}
{' Yes': -0.0026679044, 'Yes': -6.0307493, ' yes': -8.954825, ' ': -9.585786, '\n': -10.235605}
{' Yes': -0.02724365, ' No': -3.7584734, 'Yes': -6.051915, ' ': -7.2166715, '\n': -8.473853}
{' No': -0.006597643, 'No': -5.032045, ' ': -10.134898, ' NO': -12.302381, ' no': -13.0639925}
{' No': -0.0072349138, 'No': -4.93664, ' ': -10.559892, ' NO': -13.560347, '\n': -13.766086}
{' No': -0.03589686, 'No': -3.3476737, ' ': -9.684172, ' NO': -10.816103, ' no': -12.015939}
{' No': -0.025946654, 'No': -3.6675057, ' ': -9.787252, ' NO': -11.669998, ' no': -12.321846}
{' No': -0.0275725, 'No': -3.6083467, ' ': -9.665042, ' NO': -10.631123, ' no': -12.385033}
{' No': -0.03236788, 'No': -3.4493253, ' ': -9.678986, ' NO': -11.432683, ' no': -12.577559}
{' No': -0.007943771, 'No': -4.8445716, ' ': -10.439799, ' NO': -12.0892935, ' no': -12.645253}
{' No': -0.010214844, 'No': -4.5925775, ' ': -10.416275, ' NO': -12.903542, ' no': -12.99074}
{' No': -0.03842001, 'No': -3.283047, ' ': -8.931915, ' NO': -10.797495, ' no': -11.809863}
{' No': -0.03281765, 'No': -3.4373775, ' ': -9.118979, ' NO': -11.902136, ' no': -12.04653}
{' No': -0.024467839, 'No': -3.7292464, ' ': -9.119329, ' no': -11.05753, ' NO': -11.07814}
{' No': -0.027110687, 'No': -3.6328387, ' ': -8.472737, ' no': -10.543921, ' X': -10.7084465}
{' No': -0.0009515168, 'No': -7.0052633, ' ': -10.248813, ' NO': -12.564942, ' no': -12.976373}
{' No': -0.0015293256, 'No': -6.521558, ' ': -9.935214, '\n': -12.506376, ' no': -12.9767275}
{' No': -0.009074326, 'No': -4.7211194, ' ': -9.154664, ' NO': -11.531218, ' no': -12.263804}
{' No': -0.0059872163, 'No': -5.1380115, ' ': -9.366817, ' NO': -12.211282, ' no': -12.470603}
{' No': -0.009188316, 'No': -4.712811, ' ': -9.012781, '\n': -10.606207, ' NO': -11.299524}
{' No': -0.007884654, 'No': -4.8594565, ' ': -9.394889, '\n': -11.90114, ' NO': -12.466034}
{' No': -0.0019929155, 'No': -6.238614, ' ': -10.478021, ' NO': -12.180685, ' no': -13.00129}
{' No': -0.0017760207, 'No': -6.360746, ' ': -10.127642, '\n': -12.905588, ' NO': -13.248816}
{' No': -0.009833863, 'No': -4.665567, ' ': -8.24307, '\n': -9.421981, ' NO': -11.108045}
{' No': -0.009112944, 'No': -4.731691, ' ': -8.493171, '\n': -10.110414, ' NO': -11.987594}
{' No': -0.0058463146, 'No': -5.1866493, ' ': -8.9023075, '\n': -9.604109, ' no': -11.021883}
{' No': -0.0061768964, 'No': -5.1372995, ' ': -8.508958, '\n': -9.912452, ' no': -10.859888}
{' No': -0.01880924, 'No': -3.9901245, ' ': -9.3624, ' NO': -10.685932, ' no': -10.924136}
{' No': -0.029740207, 'No': -3.5398355, ' ': -8.986486, ' no': -9.283393, ' NO': -10.246688}
{' No': -0.066382244, 'No': -2.7477386, ' ': -9.205752, ' no': -11.103342, ' NO': -11.163484}
{' No': -0.060945325, 'No': -2.8302855, ' ': -9.760254, ' no': -10.29629, ' NO': -11.24728}
{' No': -0.14381568, 'No': -2.0153596, ' ': -7.9615374, '\n': -9.154218, ' NO': -9.224912}
{' No': -0.124037094, 'No': -2.1538222, ' ': -8.096684, ' no': -9.401207, '\n': -9.680179}
{' No': -0.01223288, 'No': -4.4153376, ' ': -10.19531, ' NO': -11.114143, ' no': -11.404146}
{' No': -0.008598971, 'No': -4.7721887, ' ': -9.79549, ' no': -10.490181, ' NO': -11.442793}
{' No': -0.09373869, 'No': -2.4179404, ' ': -8.377935, '\n': -9.944846, ' NO': -10.094975}
{' No': -0.10056264, 'No': -2.3512664, ' ': -8.325779, '\n': -9.941483, ' no': -10.184367}
{' No': -0.07734384, 'No': -2.6072147, ' ': -8.011561, ' no': -8.784708, ' NO': -9.655194}
{' No': -0.08304665, 'No': -2.5479991, ' no': -7.672372, ' ': -7.6949124, '\n': -8.975432}
{' No': -0.002242174, 'No': -6.229176, ' ': -8.506257, ' no': -10.226376, '\n': -11.035985}
{' No': -0.001718579, 'No': -6.4927135, ' ': -8.802302, ' no': -10.374081, '\n': -11.136347}
{' No': -0.014145924, 'No': -4.2910395, ' ': -8.162937, ' no': -10.42151, ' NO': -10.730799}
{' No': -0.010693201, 'No': -4.563853, ' ': -8.705791, ' no': -10.415756, ' NO': -11.587666}
{' No': -0.014160857, 'No': -4.294974, ' ': -8.115406, '\n': -9.348551, ' NO': -10.884516}
{' No': -0.014390005, 'No': -4.267512, ' ': -8.399582, '\n': -10.50848, ' no': -11.741346}
{' No': -0.0030382718, 'No': -5.8468566, ' ': -9.155392, ' no': -11.010862, ' NO': -11.424979}
{' No': -0.0048185037, 'No': -5.399332, ' ': -8.38707, ' no': -10.385584, '\n': -10.884817}
{' No': -0.009449602, 'No': -4.7204328, ' ': -7.9379826, '\n': -9.178465, ' NO': -11.192006}
{' No': -0.013681567, 'No': -4.3470726, ' ': -7.637461, '\n': -9.018154, ' no': -10.671228}
{' No': -0.012534979, 'No': -4.4428477, ' ': -8.047309, '\n': -8.620852, ' no': -8.865052}
{' No': -0.0152574945, 'No': -4.2768006, ' ': -7.38913, ' no': -7.9969068, '\n': -8.296423}
{' No': -0.0018769387, 'No': -6.354419, ' ': -9.137085, '\n': -10.984959, ' NO': -11.873296}
{' No': -0.0017544666, 'No': -6.4424434, ' ': -8.928389, '\n': -10.819468, ' NO': -12.48935}
{' No': -0.010289337, 'No': -4.6102247, ' ': -8.343133, '\n': -10.548814, ' NO': -11.23063}
{' No': -0.0068189446, 'No': -5.023407, ' ': -8.586397, '\n': -11.13563, ' NO': -11.956563}
{' No': -0.010496696, 'No': -4.609368, ' ': -8.056235, '\n': -8.84584, ' NO': -11.289446}
{' No': -0.010431828, 'No': -4.6045747, ' ': -8.162022, '\n': -9.495367, ' NO': -12.340535}
{' No': -0.0019014224, 'No': -6.348644, ' ': -8.992236, ' NO': -11.4543295, '\n': -11.464425}
{' No': -0.002287815, 'No': -6.1997533, ' ': -8.378018, '\n': -11.111597, ' NO': -12.204762}
{' No': -0.011609474, 'No': -4.57422, ' ': -7.2302103, '\n': -7.6628275, ' NO': -11.114225}
{' No': -0.007916554, 'No': -4.910289, ' ': -7.9133596, '\n': -8.892289, ' NO': -12.396084}
{' No': -0.0045605176, 'No': -5.4439216, ' ': -8.722647, '\n': -9.901697, ' no': -11.9306}
{' No': -0.0042219064, 'No': -5.5237985, ' ': -8.667124, '\n': -10.227238, ' no': -11.721057}
{' No': -0.6209404, ' Yes': -0.7850944, 'No': -5.457986, 'Yes': -6.1544867, ' ': -9.964908}
{' Yes': -0.048071295, ' No': -3.181494, 'Yes': -5.3381042, 'No': -7.6819158, ' ': -9.595742}
{' No': -0.55156416, ' Yes': -0.94032204, 'No': -3.702098, 'Yes': -4.7712336, ' ': -8.941156}
{' Yes': -0.11500731, ' No': -2.4754887, 'Yes': -3.9257028, 'No': -5.4326854, ' yes': -8.505846}
{' Yes': -0.6743042, ' No': -0.786994, 'No': -3.8873222, 'Yes': -4.2458963, ' ': -8.481662}
{' Yes': -0.026271284, 'Yes': -3.686786, ' No': -7.502597, ' yes': -8.654387, ' ': -9.567143}
{' No': -0.55450815, ' Yes': -0.8715477, 'No': -5.271732, 'Yes': -6.1555386, ' ': -10.244333}
{' Yes': -0.008355941, 'Yes': -4.86062, ' No': -7.67817, ' yes': -9.538716, ' ': -11.017011}
{' Yes': -0.09615803, ' No': -2.7305896, 'Yes': -3.8003833, 'No': -5.618292, ' yes': -8.531732}
{' Yes': -0.025970142, 'Yes': -3.7100918, ' No': -7.0962896, ' yes': -8.904498, ' ': -9.255312}
{' Yes': -0.032639418, ' No': -3.9948013, 'Yes': -4.389165, 'No': -7.292636, ' yes': -7.8704634}
{' Yes': -0.01422597, 'Yes': -4.349704, ' No': -7.434685, ' yes': -7.7910676, ' ': -9.010534}
{' Yes': -0.013449318, ' No': -4.4087243, 'Yes': -6.9825706, ' yes': -8.642775, ' ': -10.183674}
{' Yes': -0.0015429961, 'Yes': -6.7960067, ' No': -8.122511, ' yes': -9.249343, ' ': -10.881924}
{' Yes': -0.08195109, ' No': -2.6265602, 'Yes': -5.222803, 'No': -7.450759, ' yes': -8.591229}
{' Yes': -0.0067206495, 'Yes': -5.2092996, ' No': -6.9043894, ' yes': -8.987409, ' ': -9.560811}
{' Yes': -0.09341516, ' No': -2.5227382, 'Yes': -4.8925943, 'No': -7.1397486, ' ': -8.246568}
{' Yes': -0.009172737, 'Yes': -4.7544823, ' No': -8.665287, ' ': -8.931971, ' yes': -8.932299}
{' Yes': -0.31037906, ' No': -1.3282051, 'Yes': -6.710605, 'No': -7.6854773, ' yes': -9.366694}
{' Yes': -0.0020710966, 'Yes': -6.493692, ' No': -7.7065005, ' yes': -9.6262865, ' ': -10.516221}
{' Yes': -0.07566801, ' No': -2.7636678, 'Yes': -4.863651, ' ': -7.1277575, 'No': -7.1764026}
{' Yes': -0.008514451, 'Yes': -4.8131714, ' ': -8.652933, ' yes': -9.306446, '\n': -10.226179}
{' Yes': -0.06695854, ' No': -2.832114, 'Yes': -5.4815187, ' yes': -7.445988, 'No': -7.7912207}
