{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -0.0076094964, ' ': -11.360772, 'No': -4.9010873, ' Yes': -8.970309, 'Yes': -13.698666}
{' No': -0.045461785, ' ': -9.314575, 'No': -3.3996108, ' Yes': -4.5327797, 'Yes': -8.508877}
{' No': -0.039626636, ' ': -8.494028, 'No': -3.9878666, ' Yes': -3.9173806, 'Yes': -8.613389}
{' No': -0.0042717713, ' ': -9.9563055, 'No': -6.974981, ' Yes': -5.7234354, 'Yes': -12.247704}
{' No': -0.009811897, ' ': -9.534786, 'No': -4.8471665, ' Yes': -6.3109593, 'Yes': -11.039652}
{' No': -0.08669236, ' ': -8.013494, 'No': -5.15966, ' Yes': -2.5717444, 'Yes': -7.659816}
{' No': -0.0021600956, ' ': -10.208082, 'No': -6.5785756, ' Yes': -7.2288265, 'Yes': -13.275265}
{' No': -0.013824544, ' ': -8.274456, 'No': -4.899536, ' Yes': -5.1284046, 'Yes': -9.877655}
{' No': -0.04404571, ' ': -7.7652993, 'No': -4.770442, ' Yes': -3.3875227, 'Yes': -8.297942}
{' No': -0.018448714, ' ': -9.539221, 'No': -4.0847135, ' Yes': -6.6325192, ' no': -10.475664}
{' No': -0.020818293, ' ': -11.670433, 'No': -3.9203582, ' Yes': -7.2076926, 'Yes': -11.101459}
{' No': -0.27871, ' ': -9.108749, 'No': -3.888743, ' Yes': -1.522637, 'Yes': -5.425717}
{' No': -0.0789572, ' ': -9.875874, 'No': -4.6928525, ' Yes': -2.7164881, 'Yes': -7.4766293}
{' No': -1.6588874, 'No': -4.5154777, ' Yes': -0.24789771, ' yes': -8.29131, 'Yes': -4.031114}
{' No': -2.3563852, 'No': -5.3554354, ' Yes': -0.12324998, ' yes': -6.6938767, 'Yes': -4.207412}
{' No': -0.004217538, ' ': -8.477837, 'No': -6.570978, ' Yes': -5.967734, ' no': -10.877195}
{' No': -0.011266242, ' ': -8.567527, 'No': -4.6571403, ' Yes': -6.5152335, 'Yes': -11.010511}
{' No': -0.01436062, ' ': -7.5491047, 'No': -5.0135994, ' Yes': -4.9678955, 'Yes': -9.746513}
{' No': -0.0052331677, ' ': -8.302541, 'No': -5.3410597, ' Yes': -8.83607, ' no': -11.039186}
{' No': -0.01384497, '\n': -9.589681, ' ': -7.377559, 'No': -4.3991156, ' Yes': -7.206859}
{' No': -0.020065269, '\n': -8.429131, ' ': -6.6336, 'No': -4.458118, ' Yes': -5.0401936}
{' No': -0.002336207, '\n': -11.808943, ' ': -9.470524, 'No': -7.2716155, ' Yes': -6.4701285}
{' No': -0.006235793, '\n': -12.113182, ' ': -9.160965, 'No': -5.215441, ' Yes': -7.3159776}
{' No': -0.014201542, '\n': -9.105905, ' ': -7.8129563, 'No': -5.07845, ' Yes': -4.920779}
{' No': -0.0017894565, '\n': -12.208654, ' ': -9.077717, 'No': -6.828951, ' Yes': -7.4484982}
{' No': -0.021361968, '\n': -8.795522, ' ': -7.2976556, 'No': -4.791515, ' Yes': -4.4320865}
{' No': -0.01316977, '\n': -10.310833, ' ': -8.02027, 'No': -6.138331, ' Yes': -4.553518}
{' YES': -11.984686, ' ': -11.632462, ' Yes': -0.0042824843, ' yes': -9.786072, 'Yes': -5.4732037}
{' YES': -11.005246, ' ': -10.96211, ' Yes': -0.019509654, ' yes': -8.974355, 'Yes': -3.9557848}
{' YES': -10.662534, ' ': -10.69476, ' Yes': -0.027205862, ' yes': -8.861814, 'Yes': -3.6257982}
{' YES': -12.055872, ' ': -12.24986, ' Yes': -0.008179553, ' yes': -9.97134, 'Yes': -4.817826}
{' ': -10.9718275, ' Yes': -0.019388044, ' yes': -9.361699, 'Yes': -3.9598596, 'yes': -10.792623}
{' ': -10.352876, ' Yes': -0.011071975, ' yes': -8.7793, 'Yes': -4.5283356, 'yes': -11.303576}
{' YES': -11.725363, ' ': -11.165496, ' Yes': -0.0013984825, ' yes': -9.190807, 'Yes': -6.6704392}
{' YES': -11.321089, ' ': -10.193373, ' Yes': -0.0084921485, ' yes': -9.069986, 'Yes': -4.79452}
{'\n': -10.283835, ' ': -9.765986, ' Yes': -0.006228656, ' yes': -9.009056, 'Yes': -5.12042}
{' YES': -12.029123, ' ': -11.49152, ' Yes': -0.001429103, ' yes': -9.871421, 'Yes': -6.6026287}
{'\n': -9.828147, ' ': -9.198661, ' Yes': -0.008477601, ' yes': -9.227906, 'Yes': -4.8078966}
{'\n': -9.940775, ' ': -9.226463, ' Yes': -0.0092052175, ' yes': -7.868929, 'Yes': -4.758147}
{' ': -10.920423, ' Yes': -0.014249247, ' yes': -7.690154, 'Yes': -4.2963896, 'yes': -10.224282}
{' YES': -12.56811, ' Yes': -0.016724337, ' yes': -9.399843, 'Yes': -4.105429, 'yes': -11.149125}
{' YES': -10.816012, ' Yes': -0.030943757, ' yes': -8.145043, 'Yes': -3.5034702, 'yes': -9.94511}
{' YES': -11.495968, ' Yes': -0.011980091, ' yes': -8.434984, 'Yes': -4.452282, 'yes': -10.795092}
{' ': -10.688729, ' Yes': -0.03015876, ' yes': -8.3687, 'Yes': -3.5272672, 'yes': -9.856686}
{' ': -9.995091, ' Yes': -0.02265321, ' yes': -6.8642116, 'Yes': -3.8542588, 'yes': -9.328372}
{' ': -9.84797, ' Yes': -0.0029171533, ' yes': -7.516112, 'Yes': -6.082737, 'yes': -11.2284775}
{' ': -9.064694, ' Yes': -0.014012635, ' yes': -7.562469, 'Yes': -4.327529, 'yes': -9.968303}
{'\n': -10.006244, ' ': -8.965228, ' Yes': -0.008994456, ' yes': -8.406388, 'Yes': -4.7648787}
{' ': -9.560458, ' Yes': -0.007384478, ' yes': -7.3852224, 'Yes': -5.0223074, 'yes': -9.958955}
{'\n': -8.975534, ' ': -8.225575, ' Yes': -0.014828919, ' yes': -8.369042, 'Yes': -4.2658415}
{'\n': -8.49165, ' ': -8.110219, ' Yes': -0.0190445, ' yes': -5.878141, 'Yes': -4.175348}
{' YES': -11.600833, ' ': -10.453449, ' Yes': -0.0012273083, ' yes': -9.896826, 'Yes': -6.787226}
{' YES': -11.5771, ' ': -10.167934, ' Yes': -0.005663649, ' yes': -9.529301, 'Yes': -5.20036}
{'\n': -9.692886, ' ': -9.383522, ' Yes': -0.0073954677, ' yes': -9.359055, 'Yes': -4.945557}
{' YES': -11.844982, ' ': -10.294706, ' Yes': -0.0013085945, ' yes': -9.921738, 'Yes': -6.7155933}
{'\n': -9.616304, ' ': -8.793991, ' Yes': -0.009425957, ' yes': -9.558665, 'Yes': -4.70198}
{'\n': -11.099772, ' ': -10.065436, ' Yes': -0.0020725308, ' yes': -9.686677, 'Yes': -6.242596}
{' YES': -13.067168, ' ': -11.485382, ' Yes': -0.0021097418, ' yes': -10.044567, 'Yes': -6.1904583}
{' ': -10.775884, ' Yes': -0.009379688, ' yes': -8.965428, 'Yes': -4.6922827, 'yes': -11.639053}
{' ': -10.545094, ' Yes': -0.018774502, ' yes': -8.935102, 'Yes': -3.9946713, 'yes': -11.271504}
{' YES': -13.198713, ' ': -12.280722, ' Yes': -0.0031974358, ' yes': -10.475887, 'Yes': -5.7586045}
{' No': -9.508541, ' ': -10.327528, ' Yes': -0.012238128, ' yes': -9.389414, 'Yes': -4.426785}
{' No': -11.165176, ' ': -10.172244, ' Yes': -0.008375235, ' yes': -8.6739435, 'Yes': -4.8157406}
{' YES': -12.665968, ' ': -11.009455, ' Yes': -0.00079515536, ' yes': -9.074002, 'Yes': -7.329141}
{' ': -10.518221, ' Yes': -0.0045253113, ' yes': -9.174192, 'Yes': -5.432597, 'yes': -12.031372}
{'\n': -11.4166765, ' ': -9.912747, ' Yes': -0.0052851182, ' yes': -8.856346, 'Yes': -5.28733}
{' YES': -12.930737, ' ': -11.40663, ' Yes': -0.0011331419, ' yes': -9.675058, 'Yes': -6.855974}
{'\n': -10.557639, ' ': -8.91502, ' Yes': -0.0057856413, ' yes': -8.839273, 'Yes': -5.21267}
{' ': -9.248075, ' Yes': -0.005635655, ' yes': -7.632409, 'Yes': -5.30334, 'yes': -10.586896}
{' ': -10.343306, ' Yes': -0.009953718, ' yes': -7.2698903, 'Yes': -4.6976805, 'yes': -10.312826}
{' ': -12.815724, ' Yes': -0.0100625055, ' yes': -9.48199, 'Yes': -4.6130266, 'yes': -11.712542}
{' ': -10.887761, ' Yes': -0.01424169, ' yes': -7.917009, 'Yes': -4.288942, 'yes': -10.520074}
{' ': -11.89342, ' Yes': -0.005392682, ' yes': -8.643039, 'Yes': -5.262949, 'yes': -11.537292}
{' ': -10.284575, ' Yes': -0.022866441, ' yes': -7.609143, 'Yes': -3.8164377, 'yes': -9.760501}
{' ': -10.426104, ' Yes': -0.013887762, ' yes': -6.6553607, 'Yes': -4.3901634, 'yes': -9.754484}
{' ': -9.656856, ' Yes': -0.00201722, ' yes': -7.0649495, 'Yes': -6.8355627, 'yes': -11.380951}
{' ': -9.382513, ' Yes': -0.0073205917, ' yes': -7.589987, 'Yes': -5.010681, 'yes': -10.497364}
{' ': -8.981784, ' Yes': -0.006610663, ' yes': -8.103293, 'Yes': -5.0954857, 'yes': -11.005183}
{' ': -9.394896, ' Yes': -0.004606924, ' yes': -7.281784, 'Yes': -5.579565, 'yes': -10.213091}
{'\n': -9.738693, ' ': -7.956676, ' Yes': -0.008865338, ' yes': -7.7125416, 'Yes': -4.837539}
{' ': -7.8496456, ' Yes': -0.0135790305, ' yes': -5.270243, 'Yes': -4.865319, 'yes': -8.7808895}
{'\n': -11.819758, ' ': -10.304109, ' Yes': -0.00080273126, ' yes': -9.583529, 'Yes': -7.283981}
{'\n': -12.174429, ' ': -9.496029, ' Yes': -0.004107465, ' yes': -9.383844, 'Yes': -5.5415983}
{'\n': -9.966977, ' ': -9.222954, ' Yes': -0.0040250546, ' yes': -9.257299, 'Yes': -5.5815682}
{'\n': -12.368419, ' ': -9.752888, ' Yes': -0.0010737103, ' yes': -9.64613, 'Yes': -6.9719424}
{'\n': -9.942293, ' ': -8.284135, ' Yes': -0.005974744, ' yes': -9.336205, 'Yes': -5.193442}
{'\n': -10.691744, ' ': -9.435682, ' Yes': -0.0016539192, ' yes': -9.231732, 'Yes': -6.5385494}
{' No': -0.005597054, ' ': -10.090606, 'No': -5.1965914, ' no': -13.425766, ' NO': -13.602755}
{' No': -0.020513255, ' ': -10.075671, 'No': -3.8994324, ' no': -12.90562, ' NO': -12.335418}
{' No': -0.03546713, ' ': -9.134899, 'No': -3.3603132, ' no': -12.965054, ' NO': -11.973129}
{' No': -0.006431817, ' ': -11.156407, 'No': -5.05225, ' no': -13.99015, ' NO': -14.150788}
{' No': -0.032441765, '\n': -12.511661, ' ': -9.125151, 'No': -3.4484231, ' NO': -12.42661}
{' No': -0.023912469, ' ': -8.891817, 'No': -3.7520657, ' no': -11.702529, ' NO': -12.381116}
{' No': -0.0014996578, '\n': -11.690359, ' ': -9.750902, 'No': -6.552214, ' no': -12.795068}
{' No': -0.009260262, '\n': -12.246979, ' ': -9.293212, 'No': -4.6978836, ' no': -12.91257}
{' No': -0.00724296, '\n': -10.39571, ' ': -9.106707, 'No': -4.952271, ' no': -12.879329}
{' No': -0.0020060537, '\n': -12.923489, ' ': -10.367204, 'No': -6.2311482, ' no': -13.597078}
{' No': -0.006932852, '\n': -9.974221, ' ': -8.592183, 'No': -5.010429, ' no': -12.686251}
{' No': -0.010475618, '\n': -9.858969, ' ': -8.645893, 'No': -4.588364, ' no': -11.170187}
{' No': -0.01883882, ' ': -9.50058, 'No': -3.9875467, ' no': -10.524258, ' NO': -11.827887}
{' No': -0.016800283, ' ': -10.791424, 'No': -4.096422, ' no': -12.472946, ' NO': -13.587416}
{' No': -0.03729656, ' ': -9.34001, 'No': -3.3107185, 'no': -12.143507, ' no': -11.214186}
{' No': -0.010958318, ' ': -10.087681, 'No': -4.524763, ' no': -11.286074, ' NO': -12.576164}
{' No': -0.06645683, '\n': -11.0197315, ' ': -8.570634, 'No': -2.7482023, ' no': -10.911175}
{' No': -0.040908836, '\n': -10.436861, ' ': -8.577331, 'No': -3.22759, ' no': -8.984992}
{' No': -0.0017993686, '\n': -11.088174, ' ': -8.470681, 'No': -6.4693437, ' no': -10.933969}
{' No': -0.013133293, '\n': -11.611895, ' ': -8.153731, 'No': -4.364068, ' no': -11.083706}
{' No': -0.009380109, '\n': -10.118974, ' ': -8.312368, 'No': -4.7063046, ' no': -12.087582}
{' No': -0.0064665535, '\n': -10.947603, ' ': -8.328698, 'No': -5.0896516, ' no': -10.935501}
{' No': -0.013591356, '\n': -9.296029, ' ': -7.512952, 'No': -4.3564982, ' no': -10.682601}
{' No': -0.013415547, '\n': -8.747363, ' ': -7.366465, 'No': -4.3928137, ' no': -8.850612}
{' No': -0.0014573958, '\n': -11.375127, ' ': -9.184143, 'No': -6.618177, ' NO': -12.784827}
{' No': -0.006469132, '\n': -11.424903, ' ': -8.760692, 'No': -5.0712423, ' NO': -13.062274}
{' No': -0.0069825477, '\n': -8.932239, ' ': -8.108824, 'No': -5.033661, ' NO': -12.942914}
{' No': -0.002151015, '\n': -11.652873, ' ': -9.063762, 'No': -6.20536, ' NO': -12.91667}
{' No': -0.008600415, '\n': -9.175089, ' ': -7.857406, 'No': -4.8206024, ' NO': -12.6263}
{' No': -0.003616933, '\n': -10.4819145, ' ': -8.381765, 'No': -5.700106, ' no': -12.508909}
{' No': -0.0054837163, ' ': -10.734151, 'No': -5.2185116, ' Yes': -10.472255, ' NO': -13.810998}
{' No': -0.033438325, ' ': -9.713907, 'No': -3.4190965, ' Yes': -9.569639, ' NO': -12.232649}
{' No': -0.04555336, ' ': -9.389383, 'No': -3.1162455, ' Yes': -9.125574, ' NO': -12.260924}
{' No': -0.008580999, ' ': -11.284089, 'No': -4.7744617, ' Yes': -9.36285, ' NO': -13.765909}
{' No': -0.040846124, ' ': -9.254189, 'No': -3.2302074, ' Yes': -7.9476705, 'Yes': -11.602694}
{' No': -0.03305253, ' ': -8.822493, 'No': -3.8282776, ' Yes': -4.5575085, 'Yes': -9.145702}
{' No': -0.0012064824, ' ': -10.082011, 'No': -6.923114, ' Yes': -8.667401, ' no': -12.846982}
{' No': -0.008453736, ' ': -9.35918, 'No': -4.9551296, ' Yes': -6.6720257, 'Yes': -11.485568}
{' No': -0.0567065, ' ': -7.9524755, 'No': -5.0198507, ' Yes': -3.0415103, 'Yes': -8.032241}
{' No': -0.0018500651, '\n': -13.495262, ' ': -10.145342, 'No': -6.471589, ' Yes': -8.263799}
{' No': -0.009569769, '\n': -10.031574, ' ': -8.436048, 'No': -4.7258835, ' Yes': -7.851574}
{' No': -0.02591668, ' ': -7.8565993, 'No': -4.755182, ' Yes': -4.115995, 'Yes': -8.97276}
{' No': -0.016960619, ' ': -9.774193, 'No': -4.126658, ' Yes': -7.4496913, ' no': -10.729919}
{' No': -0.026463563, ' ': -10.80005, 'No': -3.6833525, ' Yes': -6.981772, 'Yes': -10.769187}
{' No': -0.5562509, 'No': -4.073301, ' Yes': -0.91167, ' yes': -8.517425, 'Yes': -4.908765}
{' No': -0.04550838, ' ': -10.0936, 'No': -4.8773947, ' Yes': -3.308749, 'Yes': -8.305833}
{' No': -0.5756476, 'No': -3.361399, ' Yes': -0.9393427, ' yes': -8.380018, 'Yes': -4.461197}
{' No': -0.33592516, 'No': -3.4285285, ' Yes': -1.3932372, ' yes': -7.9036903, 'Yes': -5.563376}
{' No': -0.0019464514, ' ': -8.741609, 'No': -6.376677, ' Yes': -10.101537, ' no': -10.50314}
{' No': -0.009575185, ' ': -8.485651, 'No': -4.728197, ' Yes': -7.700688, ' no': -11.38449}
{' No': -0.010846656, '\n': -10.02428, ' ': -7.8732886, 'No': -4.695169, ' Yes': -6.72763}
{' No': -0.004086818, ' ': -8.576533, 'No': -5.574378, ' Yes': -9.538287, ' no': -11.373293}
{' No': -0.011582461, '\n': -8.995051, ' ': -7.5995774, 'No': -4.5272245, ' Yes': -9.721595}
{' No': -0.015761778, '\n': -8.266934, ' ': -6.908479, 'No': -4.3341994, ' Yes': -6.8716846}
{' No': -0.0010273485, '\n': -11.675946, ' ': -9.588473, 'No': -7.078738, ' Yes': -9.1756525}
{' No': -0.005508706, '\n': -12.347869, ' ': -8.893141, 'No': -5.295809, ' Yes': -8.008362}
{' No': -0.011466392, '\n': -9.516194, ' ': -7.9240966, 'No': -4.837539, ' Yes': -5.8066034}
{' No': -0.0015729043, '\n': -12.909285, ' ': -9.217948, 'No': -6.6432405, ' Yes': -8.718814}
{' No': -0.009172857, '\n': -8.884476, ' ': -7.9719563, 'No': -4.826481, ' Yes': -7.38468}
{' No': -0.0053564874, '\n': -10.365648, ' ': -8.230763, 'No': -6.246901, ' Yes': -5.7775826}
{' YES': -11.880911, ' ': -11.717533, ' Yes': -0.0045096227, ' yes': -9.606287, 'Yes': -5.423569}
{' ': -10.923086, ' Yes': -0.017328676, ' yes': -8.765055, 'Yes': -4.0764465, 'yes': -10.83713}
{' ': -10.923831, ' Yes': -0.02404947, ' yes': -8.94704, 'Yes': -3.7475731, 'yes': -10.783307}
{' YES': -11.832677, ' Yes': -0.0077662654, ' yes': -9.74252, 'Yes': -4.871988, 'yes': -11.956275}
{' ': -11.051501, ' Yes': -0.018660508, ' yes': -9.352212, 'Yes': -3.9979923, 'yes': -10.766042}
{' ': -10.646399, ' Yes': -0.0106982, ' yes': -8.68212, 'Yes': -4.563755, 'yes': -11.219313}
{' YES': -11.741596, ' ': -11.271058, ' Yes': -0.0013923344, ' yes': -9.055075, 'Yes': -6.6865935}
{' ': -10.469648, ' Yes': -0.0076857153, ' yes': -9.023468, 'Yes': -4.895596, 'yes': -11.24776}
{'\n': -10.439353, ' ': -9.885039, ' Yes': -0.007451432, ' yes': -8.900458, 'Yes': -4.936084}
{' YES': -12.04114, ' ': -11.755672, ' Yes': -0.0015268202, ' yes': -9.782601, 'Yes': -6.535113}
{'\n': -10.12177, ' ': -9.216189, ' Yes': -0.008036958, ' yes': -9.18967, 'Yes': -4.861461}
{'\n': -10.02066, ' ': -9.232977, ' Yes': -0.009864804, ' yes': -7.7603703, 'Yes': -4.6906433}
{' ': -10.868924, ' Yes': -0.013873558, ' yes': -7.6501226, 'Yes': -4.3260336, 'yes': -10.0110655}
{' YES': -12.411684, ' Yes': -0.018699255, ' yes': -9.057231, 'Yes': -3.9965587, 'yes': -10.672006}
{' YES': -10.944018, ' Yes': -0.031913392, ' yes': -7.7748837, 'Yes': -3.4776223, 'yes': -9.562133}
{' YES': -11.660928, ' Yes': -0.009667444, ' yes': -8.434991, 'Yes': -4.670583, 'yes': -10.704828}
{' ': -10.528721, ' Yes': -0.036930107, ' yes': -8.1512785, 'Yes': -3.328619, 'yes': -9.44044}
{' ': -10.493953, ' Yes': -0.020100905, ' yes': -6.8616285, 'Yes': -3.979623, 'yes': -9.149526}
{' ': -9.778206, ' Yes': -0.0033360526, ' yes': -7.051216, 'Yes': -6.047975, 'yes': -10.695185}
{' ': -9.242606, ' Yes': -0.012427489, ' yes': -7.307435, 'Yes': -4.4665055, 'yes': -9.599875}
{' ': -9.3672085, ' Yes': -0.010550007, ' yes': -8.319323, 'Yes': -4.595288, 'yes': -10.468321}
{' ': -9.818309, ' Yes': -0.0061049894, ' yes': -7.6388526, 'Yes': -5.205486, 'yes': -10.136071}
{'\n': -9.053982, ' ': -8.28694, ' Yes': -0.0143556, ' yes': -8.114771, 'Yes': -4.304055}
{'\n': -8.466252, ' ': -8.150873, ' Yes': -0.01844489, ' yes': -5.5067663, 'Yes': -4.307141}
{'\n': -11.585555, ' ': -10.508786, ' Yes': -0.0014126861, ' yes': -9.602185, 'Yes': -6.6484656}
{' YES': -11.598038, ' ': -9.96687, ' Yes': -0.0061620823, ' yes': -9.432401, 'Yes': -5.11753}
{'\n': -10.056971, ' ': -9.702818, ' Yes': -0.005564329, ' yes': -9.4825, 'Yes': -5.230047}
{' YES': -11.930556, ' ': -10.650987, ' Yes': -0.001592187, ' yes': -9.836688, 'Yes': -6.5012236}
{'\n': -9.613015, ' ': -9.080013, ' Yes': -0.008894863, ' yes': -9.528303, 'Yes': -4.7578077}
{'\n': -11.045257, ' ': -10.191416, ' Yes': -0.0023749825, ' yes': -9.781553, 'Yes': -6.0937896}
{' YES': -12.839873, ' ': -11.722229, ' Yes': -0.001996259, ' yes': -10.297302, 'Yes': -6.2419553}
{' ': -10.805734, ' Yes': -0.011542542, ' yes': -8.804969, 'Yes': -4.484483, 'yes': -11.516048}
{' ': -10.638635, ' Yes': -0.01719417, ' yes': -9.045508, 'Yes': -4.0815763, 'yes': -11.507979}
{' YES': -13.10277, ' ': -12.148408, ' Yes': -0.0033939455, ' yes': -10.422846, 'Yes': -5.6994004}
{' No': -10.543849, ' ': -10.673957, ' Yes': -0.0106666945, ' yes': -9.456437, 'Yes': -4.559523}
{' No': -11.457024, ' ': -10.276324, ' Yes': -0.0087634735, ' yes': -8.701795, 'Yes': -4.7678995}
{' YES': -12.603273, ' ': -10.935647, ' Yes': -0.0008228944, ' yes': -9.183628, 'Yes': -7.272276}
{' ': -10.429263, ' Yes': -0.0045490204, ' yes': -9.224544, 'Yes': -5.4268436, 'yes': -12.104298}
{'\n': -11.738828, ' ': -9.8243065, ' Yes': -0.006391805, ' yes': -8.917057, 'Yes': -5.089918}
{' YES': -12.734975, ' ': -11.319268, ' Yes': -0.001086659, ' yes': -9.781669, 'Yes': -6.896123}
{'\n': -10.742278, ' ': -9.134746, ' Yes': -0.0062630214, ' yes': -8.919421, 'Yes': -5.1221495}
{'\n': -10.52068, ' ': -9.27418, ' Yes': -0.0054128175, ' yes': -7.704068, 'Yes': -5.341188}
{' ': -10.665412, ' Yes': -0.009357365, ' yes': -7.57398, 'Yes': -4.7423472, 'yes': -10.645976}
{' No': -11.098809, ' Yes': -0.012049104, ' yes': -9.386221, 'Yes': -4.4343514, 'yes': -11.674721}
{' ': -10.944256, ' Yes': -0.015991231, ' yes': -8.04295, 'Yes': -4.1675262, 'yes': -10.661025}
{' No': -11.513829, ' Yes': -0.005735285, ' yes': -8.567305, 'Yes': -5.203649, 'yes': -11.536392}
{' ': -10.197668, ' Yes': -0.026789276, ' yes': -7.8495336, 'Yes': -3.6519456, 'yes': -9.871725}
{' ': -10.189976, ' Yes': -0.014881671, ' yes': -6.8136578, 'Yes': -4.3005586, 'yes': -9.855669}
{' ': -9.69237, ' Yes': -0.0020728884, ' yes': -7.1824293, 'Yes': -6.703699, 'yes': -11.412003}
{' ': -9.250018, ' Yes': -0.008134303, ' yes': -7.563915, 'Yes': -4.90038, 'yes': -10.437371}
{' ': -9.010935, ' Yes': -0.0066347225, ' yes': -8.414043, 'Yes': -5.076831, 'yes': -11.306641}
{' ': -8.972301, ' Yes': -0.004258003, ' yes': -7.610623, 'Yes': -5.6309214, 'yes': -10.596232}
{' ': -8.463087, ' Yes': -0.010286686, ' yes': -8.188026, 'Yes': -4.637291, 'yes': -10.494011}
{' ': -7.883012, ' Yes': -0.011818918, ' yes': -5.466214, 'Yes': -4.9732523, 'yes': -9.139972}
{'\n': -11.659985, ' ': -10.182606, ' Yes': -0.0008650708, ' yes': -9.549779, 'Yes': -7.2078214}
{' YES': -12.349423, ' ': -9.701212, ' Yes': -0.003984601, ' yes': -9.523852, 'Yes': -5.5659003}
{'\n': -10.339112, ' ': -9.192284, ' Yes': -0.004996342, ' yes': -9.416835, 'Yes': -5.3480825}
{' YES': -12.411976, ' ': -9.866255, ' Yes': -0.001038325, ' yes': -9.676027, 'Yes': -7.0006547}
{'\n': -9.803318, ' ': -8.590679, ' Yes': -0.0065039876, ' yes': -9.320345, 'Yes': -5.092943}
{'\n': -11.139553, ' ': -9.456185, ' Yes': -0.0019522448, ' yes': -9.276248, 'Yes': -6.343976}
{' No': -0.0063059097, ' ': -9.967989, 'No': -5.0777106, ' no': -13.508525, ' NO': -13.336724}
{' No': -0.021254864, ' ': -10.068362, 'No': -3.8642647, ' no': -12.848725, ' NO': -12.2122135}
{' No': -0.03268431, ' ': -9.211224, 'No': -3.4406834, ' no': -12.87052, ' NO': -12.029812}
{' No': -0.0075566457, ' ': -11.045474, 'No': -4.891554, ' no': -14.092977, ' NO': -13.84217}
{' No': -0.025899066, '\n': -12.397919, ' ': -9.268649, 'No': -3.6707296, ' NO': -12.618589}
{' No': -0.025594678, ' ': -9.113271, 'No': -3.6832924, ' no': -11.921997, ' NO': -12.630364}
{' No': -0.0014973889, '\n': -11.764851, ' ': -9.801022, 'No': -6.55151, ' no': -12.8166685}
{' No': -0.008942856, '\n': -11.972513, ' ': -9.143773, 'No': -4.7349463, ' no': -12.884878}
{' No': -0.007073729, '\n': -10.318934, ' ': -9.0278845, 'No': -4.978078, ' no': -12.890122}
{' No': -0.0019935097, '\n': -12.947127, ' ': -10.086945, 'No': -6.2429843, ' no': -13.439576}
{' No': -0.008035096, '\n': -9.846177, ' ': -8.359569, 'No': -4.8658686, ' no': -12.575325}
{' No': -0.009997124, '\n': -9.622047, ' ': -8.513897, 'No': -4.640364, ' no': -11.100149}
{' No': -0.021217484, ' ': -9.359112, 'No': -3.8698137, ' no': -10.501464, ' NO': -11.702545}
{' No': -0.027214743, ' ': -10.8513565, 'No': -3.6186068, 'no': -13.164466, ' no': -12.435625}
{' No': -0.042615455, '\n': -12.175292, ' ': -9.252435, 'No': -3.179786, ' no': -11.479563}
{' No': -0.009517717, ' ': -10.395706, 'No': -4.664175, ' no': -11.605253, ' NO': -12.795623}
{' No': -0.0606062, '\n': -11.16527, ' ': -8.812607, 'No': -2.8369446, ' no': -11.195572}
{' No': -0.043317754, '\n': -10.631813, ' ': -8.57763, 'No': -3.1690576, ' no': -9.484361}
{' No': -0.0021517333, '\n': -10.689604, ' ': -8.356926, 'No': -6.2847996, ' no': -10.748806}
{' No': -0.014771028, '\n': -11.26143, ' ': -8.141119, 'No': -4.245333, ' no': -10.977286}
{' No': -0.011395791, '\n': -9.869113, ' ': -8.200534, 'No': -4.5105047, ' no': -12.352008}
{' No': -0.0064860503, '\n': -10.921365, ' ': -8.322864, 'No': -5.0869246, ' no': -10.9244795}
{' No': -0.013293527, '\n': -9.440467, ' ': -7.6720896, 'No': -4.370887, ' no': -11.48994}
{' No': -0.0142228855, '\n': -8.554094, ' ': -7.3144393, 'No': -4.336696, ' no': -8.771755}
{' No': -0.0017649747, '\n': -10.995106, ' ': -9.109322, 'No': -6.4194765, ' NO': -12.779613}
{' No': -0.006776216, '\n': -11.264404, ' ': -8.978339, 'No': -5.019241, ' NO': -13.234859}
