{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.02337364, 'Yes': -3.7785976, ' yes': -8.688651, ' YES': -10.062379, ' ': -10.883988}
{' Yes': -0.026291719, 'Yes': -3.6633422, ' yes': -8.619124, ' YES': -9.455574, ' ': -10.969326}
{' Yes': -0.03075725, 'Yes': -3.50459, ' yes': -8.824109, ' YES': -9.888472, ' ': -11.007865}
{' Yes': -0.006077403, 'Yes': -5.129866, ' yes': -9.236973, ' YES': -10.598011, ' ': -11.668314}
{' Yes': -0.0140093705, 'Yes': -4.2851233, ' yes': -9.238899, ' YES': -10.663301, ' ': -11.429608}
{' Yes': -0.025987456, 'Yes': -3.6719832, ' yes': -8.898451, ' ': -10.368655, ' YES': -10.387643}
{' Yes': -0.02941151, 'Yes': -3.5468771, ' yes': -9.20175, ' YES': -10.563326, ' ': -10.768669}
{' Yes': -0.02070279, 'Yes': -3.9148066, ' yes': -7.771822, ' YES': -9.7393, ' ': -10.362816}
{' Yes': -0.02089729, 'Yes': -3.899889, ' yes': -8.0147705, ' YES': -9.882162, ' ': -10.399635}
{' Yes': -0.00083386997, 'Yes': -7.2999363, ' yes': -8.948523, ' YES': -10.976629, ' ': -12.216783}
{' Yes': -0.0010712041, 'Yes': -6.9327307, ' yes': -9.501229, ' YES': -11.221845, ' ': -12.231273}
{' Yes': -0.006912688, 'Yes': -5.019961, ' yes': -8.52911, ' YES': -9.914099, ' ': -10.742191}
{' Yes': -0.00712271, 'Yes': -4.9725633, ' yes': -9.015571, ' YES': -10.513671, ' ': -11.152235}
{' Yes': -0.0108517185, 'Yes': -4.5608487, ' yes': -8.549053, ' YES': -9.77933, ' ': -9.960221}
{' Yes': -0.009608525, 'Yes': -4.6704664, ' yes': -9.105099, ' ': -10.266162, ' YES': -10.43835}
{' Yes': -0.0019591684, 'Yes': -6.3048244, ' yes': -9.193319, ' YES': -10.893671, ' ': -12.264657}
{' Yes': -0.0022752087, 'Yes': -6.127763, ' yes': -9.648778, ' YES': -10.995263, ' ': -11.876416}
{' Yes': -0.009046121, 'Yes': -4.7567625, ' yes': -8.765586, ' ': -9.039798, '\n': -9.328109}
{' Yes': -0.008878085, 'Yes': -4.7520156, ' yes': -9.367148, ' ': -9.600314, ' YES': -10.634833}
{' Yes': -0.0061132666, 'Yes': -5.2100224, ' yes': -7.7519474, '\n': -9.512349, ' ': -9.634657}
{' Yes': -0.009132795, 'Yes': -4.774843, ' yes': -7.661308, ' ': -9.654057, ' YES': -9.900259}
{' Yes': -0.017179433, 'Yes': -4.1089816, ' yes': -7.6060596, ' YES': -9.878838, 'yes': -10.440771}
{' Yes': -0.030612208, 'Yes': -3.5627282, ' yes': -6.4710855, 'yes': -9.1855, ' YES': -9.223304}
{' Yes': -0.029547298, 'Yes': -3.5463798, ' yes': -8.397333, 'yes': -10.592094, ' YES': -10.651176}
{' Yes': -0.035782512, 'Yes': -3.3621032, ' yes': -7.869685, ' YES': -9.968015, 'yes': -9.972637}
{' Yes': -0.06468485, 'Yes': -2.7876272, ' yes': -7.364466, ' YES': -8.447427, ' ': -9.508624}
{' Yes': -0.08142759, 'Yes': -2.5627162, ' yes': -7.1764417, ' YES': -8.793156, 'yes': -9.0210905}
{' Yes': -0.010949157, 'Yes': -4.558913, ' yes': -7.9915986, ' YES': -10.395185, ' No': -10.886393}
{' Yes': -0.014184373, 'Yes': -4.299239, ' yes': -7.735375, ' YES': -10.28589, 'yes': -10.616078}
{' Yes': -0.06369554, 'Yes': -2.7931209, ' yes': -8.190065, 'yes': -9.647914, ' YES': -9.831543}
{' Yes': -0.050418966, 'Yes': -3.0258732, ' yes': -7.7353663, 'yes': -9.361693, ' YES': -9.7132}
{' Yes': -0.0511328, 'Yes': -3.0303042, ' yes': -6.68067, 'yes': -9.02239, ' YES': -9.425165}
{' Yes': -0.056018293, 'Yes': -2.9589455, ' yes': -6.1445227, 'yes': -8.476384, ' YES': -9.001799}
{' Yes': -0.0025649352, 'Yes': -6.371797, ' yes': -7.158563, ' YES': -10.485442, ' ': -10.540395}
{' Yes': -0.0019994841, 'Yes': -6.473053, ' yes': -7.80459, ' ': -10.905565, ' YES': -10.948889}
{' Yes': -0.011713741, 'Yes': -4.5449967, ' yes': -7.0992665, ' YES': -9.361399, ' ': -9.652812}
{' Yes': -0.01436219, 'Yes': -4.309459, ' yes': -7.293329, ' ': -9.783488, ' YES': -10.194251}
{' Yes': -0.010747122, 'Yes': -4.586518, ' yes': -8.053269, ' ': -9.496462, ' YES': -9.967513}
{' Yes': -0.010744772, 'Yes': -4.5636086, ' yes': -8.666353, ' ': -10.007386, ' YES': -10.808014}
{' Yes': -0.005266003, 'Yes': -5.434995, ' yes': -7.162378, ' YES': -10.180506, ' ': -10.238974}
{' Yes': -0.0060752444, 'Yes': -5.2189236, ' yes': -7.4722247, ' YES': -10.587887, ' ': -10.6134815}
{' Yes': -0.012631252, 'Yes': -4.4371896, ' yes': -7.8582616, ' ': -8.689678, '\n': -9.24964}
{' Yes': -0.019294277, 'Yes': -3.9828029, ' yes': -8.4914875, ' ': -8.827113, '\n': -9.480708}
{' Yes': -0.01888401, 'Yes': -4.2800264, ' yes': -5.491391, '\n': -8.117263, ' ': -8.466844}
{' Yes': -0.028618874, 'Yes': -3.8338249, ' yes': -5.12617, ' ': -8.6210985, 'yes': -8.623183}
{' Yes': -0.0011369031, 'Yes': -6.9190135, ' yes': -9.262599, ' ': -10.750876, ' YES': -10.818232}
{' Yes': -0.0020907454, 'Yes': -6.2618523, ' yes': -9.165939, ' ': -10.325624, ' YES': -10.544892}
{' Yes': -0.009161667, 'Yes': -4.7299695, ' yes': -8.700359, ' ': -9.784538, ' YES': -9.96566}
{' Yes': -0.012346744, 'Yes': -4.424525, ' yes': -8.8064785, ' ': -9.631865, ' YES': -10.095392}
{' Yes': -0.0084624505, 'Yes': -4.8161573, ' yes': -9.184819, ' ': -9.2537985, '\n': -9.332255}
{' Yes': -0.01665482, 'Yes': -4.127132, '\n': -8.930492, ' yes': -9.05765, ' ': -9.219276}
{' Yes': -0.0015358914, 'Yes': -6.5598054, ' yes': -9.576618, ' ': -10.7134495, ' YES': -10.792007}
{' Yes': -0.0030706166, 'Yes': -5.847063, ' yes': -9.196834, ' ': -10.188547, ' YES': -10.572109}
{' Yes': -0.0139169535, 'Yes': -4.3324437, '\n': -8.180861, ' ': -8.322692, ' yes': -8.98514}
{' Yes': -0.014356749, 'Yes': -4.276575, ' ': -8.836208, '\n': -9.136008, ' yes': -9.36768}
{' Yes': -0.0026788414, 'Yes': -5.99673, ' yes': -9.192807, ' ': -10.06883, '\n': -10.510911}
{' Yes': -0.0048288056, 'Yes': -5.3973956, ' yes': -8.620788, ' ': -10.050898, '\n': -10.351794}
{' Yes': -0.03541822, ' No': -3.454659, 'Yes': -5.858433, 'No': -8.467962, ' yes': -9.310741}
{' Yes': -0.24530558, ' No': -1.5462106, 'Yes': -5.807771, 'No': -6.6311026, ' ': -9.194755}
{' Yes': -0.023586113, 'Yes': -3.9116094, ' No': -5.9257483, ' yes': -8.011061, 'No': -8.620763}
{' Yes': -0.14513168, ' No': -2.0966718, 'Yes': -4.695886, 'No': -5.890155, ' yes': -8.763076}
{' Yes': -0.029788105, 'Yes': -3.6350813, ' No': -6.031664, ' yes': -8.222965, 'No': -8.639515}
{' Yes': -0.077111, ' No': -2.9188411, 'Yes': -4.0300317, 'No': -6.198275, ' ': -8.394028}
{' Yes': -0.028457394, ' No': -3.8398378, 'Yes': -5.1115775, 'No': -8.070693, ' yes': -8.940009}
{' Yes': -0.32958227, ' No': -1.2915001, 'Yes': -5.63216, 'No': -6.151134, ' ': -8.768114}
{' Yes': -0.049552675, 'Yes': -3.4775808, ' No': -4.1527686, 'No': -6.621784, ' yes': -8.434717}
{' Yes': -0.12540966, ' No': -2.3423667, 'Yes': -4.073234, 'No': -5.432304, ' ': -8.48426}
{' Yes': -0.012166326, 'Yes': -4.4941607, ' yes': -7.762082, ' No': -7.8601675, ' ': -9.843383}
{' Yes': -0.021541856, ' No': -4.544705, 'Yes': -4.643393, ' yes': -7.582723, 'No': -8.003096}
{' Yes': -0.0010732325, 'Yes': -7.1019373, ' yes': -8.629252, ' No': -10.156301, ' ': -10.936227}
{' Yes': -0.00071689725, 'Yes': -7.5250907, ' yes': -9.3313265, ' No': -9.64059, ' ': -10.880072}
{' Yes': -0.007882851, 'Yes': -5.0429606, ' No': -6.843111, ' yes': -8.537217, ' ': -9.395143}
{' Yes': -0.0056112614, 'Yes': -5.678371, ' No': -6.2465167, ' yes': -9.009398, ' ': -9.314054}
{' Yes': -0.02185671, ' No': -4.542988, 'Yes': -4.5865974, ' ': -8.164085, ' yes': -8.414022}
{' Yes': -0.033069104, ' No': -3.6865227, 'Yes': -4.998197, ' ': -8.178394, 'No': -8.295091}
{' Yes': -0.019478658, ' No': -4.0422597, 'Yes': -6.49835, ' yes': -9.228989, ' ': -9.609076}
{' Yes': -0.013550572, ' No': -4.4135804, 'Yes': -6.7670217, ' ': -9.331953, ' yes': -9.429173}
{' Yes': -0.06859507, ' No': -2.9546406, 'Yes': -4.5033197, ' ': -6.438178, 'No': -6.977374}
{' Yes': -0.045997933, ' No': -3.2739716, 'Yes': -5.148787, ' ': -7.2054214, 'No': -8.061222}
{' Yes': -0.0069841095, 'Yes': -5.298867, ' No': -7.089427, ' yes': -7.3733187, ' ': -8.281434}
{' Yes': -0.0048013153, 'Yes': -5.6164417, ' No': -7.722063, ' yes': -7.7481885, ' ': -8.592392}
{' Yes': -0.021587413, 'Yes': -4.307281, ' No': -4.988613, ' yes': -7.255041, 'No': -8.302858}
{' Yes': -0.06541325, ' No': -3.023194, 'Yes': -4.452346, ' yes': -6.420693, 'No': -6.6940975}
{' Yes': -0.0385237, 'Yes': -3.493514, ' No': -5.0446386, 'No': -7.5864224, ' yes': -7.9376855}
{' Yes': -0.0383507, 'Yes': -3.7270446, ' No': -4.416158, ' yes': -7.1848335, 'No': -7.3626933}
{' Yes': -0.089332275, 'Yes': -2.4958434, ' yes': -6.6264563, ' No': -6.9256315, 'No': -8.497382}
{' Yes': -0.0335415, 'Yes': -3.46782, ' yes': -6.860781, ' No': -7.4955025, ' ': -9.481535}
{' Yes': -0.12502724, ' No': -2.2934804, 'Yes': -4.3465123, 'No': -5.9142823, ' yes': -7.318854}
{' Yes': -0.102341905, ' No': -2.3850186, 'Yes': -5.479329, 'No': -7.361476, ' yes': -8.164199}
{' Yes': -0.087081425, 'Yes': -2.5779335, ' No': -5.2151313, 'No': -6.8867826, ' yes': -7.368846}
{' Yes': -0.045413382, 'Yes': -3.172229, ' No': -6.6218767, ' yes': -7.1516314, 'No': -8.723117}
{' Yes': -0.048887353, 'Yes': -3.1218796, ' yes': -6.1482368, ' No': -6.8885627, 'No': -8.8123}
{' Yes': -0.040214002, 'Yes': -3.4359887, ' yes': -5.0930705, ' No': -7.472695, 'yes': -8.554467}
{' Yes': -0.0031050558, ' yes': -6.5409355, 'Yes': -6.56262, ' ': -9.111458, ' No': -9.264776}
{' Yes': -0.0016820412, ' yes': -6.9972277, 'Yes': -7.359126, ' No': -9.540063, ' ': -9.990397}
{' Yes': -0.014275304, 'Yes': -4.68315, ' No': -5.685385, ' yes': -6.9197755, ' ': -7.878668}
{' Yes': -0.010004649, 'Yes': -5.373839, ' No': -5.4264016, ' yes': -7.355779, ' ': -8.432566}
{' Yes': -0.013569726, 'Yes': -4.5231996, ' No': -6.615448, ' yes': -7.3871746, ' ': -7.67204}
{' Yes': -0.018659355, 'Yes': -4.688595, ' No': -4.809379, ' ': -7.515455, ' yes': -7.8104243}
{' Yes': -0.006021095, 'Yes': -5.9130316, ' No': -6.1254706, ' yes': -7.019468, ' ': -8.776311}
{' Yes': -0.074919, ' No': -2.686949, 'Yes': -6.0152454, ' yes': -7.1932907, ' ': -7.3671126}
{' Yes': -0.015444643, 'Yes': -4.698321, ' No': -5.471926, ' ': -6.660105, ' yes': -7.912734}
{' Yes': -0.048171494, ' No': -3.3437552, 'Yes': -4.7162905, ' ': -6.37782, 'No': -7.6809716}
{' Yes': -0.015727125, 'Yes': -4.7940073, ' yes': -5.365876, ' No': -6.7027135, ' ': -7.123782}
{' Yes': -0.034239482, ' No': -4.200787, ' yes': -4.835089, 'Yes': -4.840958, ' ': -6.228615}
{' Yes': -0.0015870554, 'Yes': -6.738582, ' yes': -8.576309, ' ': -9.203176, ' No': -9.599512}
{' Yes': -0.0012168076, 'Yes': -7.337419, ' No': -7.9324355, ' yes': -9.085895, ' ': -9.490748}
{' Yes': -0.008850244, 'Yes': -4.8827324, ' No': -7.4247737, ' ': -8.056162, ' yes': -8.399963}
{' Yes': -0.034983255, ' No': -3.5383132, 'Yes': -5.511719, ' ': -7.103584, 'No': -8.550232}
{' Yes': -0.016242184, 'Yes': -4.894265, ' No': -4.941491, ' ': -7.0855246, '\n': -7.9116807}
{' Yes': -0.042753983, ' No': -3.4368558, 'Yes': -4.9724092, ' ': -6.4080915, '\n': -7.4297605}
{' Yes': -0.02001796, ' No': -4.0303936, 'Yes': -6.6161633, ' ': -7.592462, ' yes': -9.081064}
{' Yes': -0.05669975, ' No': -2.9420428, 'Yes': -6.7360926, ' ': -6.9750633, ' yes': -9.269728}
{' Yes': -0.022909557, 'Yes': -4.386261, ' No': -4.996781, ' ': -6.1660113, '\n': -6.976265}
{' Yes': -0.09797375, ' No': -2.507657, 'Yes': -4.9937654, ' ': -5.698409, 'No': -7.0482755}
{' Yes': -0.002866162, 'Yes': -6.120881, ' No': -8.330579, ' ': -8.613153, ' yes': -8.6561365}
{' Yes': -0.008539158, ' No': -5.2221413, 'Yes': -6.1317325, ' ': -7.616903, ' yes': -8.079042}
{' No': -0.008495455, 'No': -4.7760506, ' ': -10.735153, ' NO': -12.311609, ' no': -13.388776}
{' No': -0.0077328663, 'No': -4.8698373, ' ': -10.628981, ' NO': -13.49324, '\n': -13.840469}
{' No': -0.048036523, 'No': -3.0622597, ' ': -9.535162, ' NO': -10.373759, ' no': -11.761374}
{' No': -0.019841017, 'No': -3.9327343, ' ': -10.072972, ' NO': -11.766718, ' no': -12.671558}
{' No': -0.053921875, 'No': -2.9496567, ' ': -9.326896, ' NO': -10.379862, ' no': -12.242551}
{' No': -0.025947941, 'No': -3.6685698, ' ': -9.455502, ' NO': -11.128835, ' no': -12.794201}
{' No': -0.009578736, 'No': -4.6577353, ' ': -10.401878, ' NO': -11.664502, ' no': -12.473874}
{' No': -0.005900212, 'No': -5.140965, ' ': -10.542595, ' NO': -12.969937, ' no': -13.574181}
{' No': -0.073590614, 'No': -2.648822, ' ': -8.829634, ' NO': -10.616721, '\n': -11.055985}
{' No': -0.0376054, 'No': -3.3025875, ' ': -9.234825, ' NO': -11.88193, ' no': -12.370735}
{' No': -0.029096296, 'No': -3.5582404, ' ': -9.06361, ' NO': -10.830089, ' no': -11.02209}
{' No': -0.025438454, 'No': -3.6949465, ' ': -8.719056, ' X': -10.253151, ' NO': -10.602367}
{' No': -0.001095013, 'No': -6.852997, ' ': -10.495029, ' NO': -12.407793, '\n': -12.681232}
{' No': -0.00104847, 'No': -6.9076705, ' ': -10.1303625, '\n': -12.682321, ' no': -13.045272}
{' No': -0.007011301, 'No': -4.9743824, ' ': -9.793993, ' NO': -11.562946, ' no': -12.548243}
{' No': -0.0064678113, 'No': -5.0624695, ' ': -9.199132, ' NO': -12.007332, '\n': -12.389479}
{' No': -0.009685982, 'No': -4.662432, ' ': -8.934521, '\n': -10.062447, ' NO': -11.283178}
{' No': -0.0060470607, 'No': -5.129523, ' ': -9.311155, '\n': -11.540709, ' NO': -12.360836}
{' No': -0.0019485428, 'No': -6.2603, ' ': -10.540383, ' NO': -12.39604, '\n': -12.653042}
{' No': -0.0017846196, 'No': -6.349072, ' ': -10.436278, '\n': -13.110001, ' NO': -13.324355}
{' No': -0.011059138, 'No': -4.547585, ' ': -8.155708, '\n': -9.298613, ' NO': -11.137919}
{' No': -0.0059361286, 'No': -5.1619897, ' ': -8.791868, '\n': -10.633266, ' NO': -12.02954}
{' No': -0.007845484, 'No': -4.895085, '\n': -8.746803, ' ': -8.8704815, ' no': -11.102741}
{' No': -0.0056949393, 'No': -5.2151313, ' ': -8.788516, '\n': -9.632282, ' no': -11.170816}
{' No': -0.031088853, 'No': -3.4919174, ' ': -9.315521, ' NO': -10.22681, ' no': -10.510988}
{' No': -0.024337567, 'No': -3.7359903, ' ': -9.5005245, ' no': -9.533043, ' NO': -10.466934}
{' No': -0.07510371, 'No': -2.6281984, ' ': -9.408428, ' NO': -10.845047, ' no': -11.056815}
{' No': -0.047834523, 'No': -3.0656455, ' ': -10.250643, ' no': -10.689503, ' NO': -11.359085}
{' No': -0.20236516, 'No': -1.7015125, ' ': -7.8611364, '\n': -8.862919, ' NO': -9.096549}
{' No': -0.101830386, 'No': -2.339215, ' ': -8.511057, ' no': -9.667739, ' NO': -9.76903}
{' No': -0.026392141, 'No': -3.653477, ' ': -9.489021, ' NO': -10.3726425, ' no': -10.496239}
{' No': -0.0070318906, 'No': -4.97096, ' ': -10.109906, ' no': -10.939746, ' NO': -11.704551}
{' No': -0.15728754, 'No': -1.9304389, ' ': -8.284906, '\n': -9.541983, ' NO': -9.939322}
{' No': -0.09410575, 'No': -2.4141207, ' ': -8.668406, ' no': -9.86609, ' NO': -10.23522}
{' No': -0.1358759, 'No': -2.0681705, ' ': -8.129399, ' no': -9.232754, '\n': -9.671095}
{' No': -0.086667866, 'No': -2.5054624, ' no': -7.748433, ' ': -7.9568553, ' Yes': -8.808077}
{' No': -0.001741389, 'No': -6.477037, ' ': -8.835974, ' no': -10.429215, '\n': -11.24535}
{' No': -0.0011299186, 'No': -6.937027, ' ': -9.096859, ' no': -10.429052, '\n': -11.463655}
{' No': -0.011241165, 'No': -4.5091887, ' ': -8.945693, ' NO': -11.107353, ' no': -11.180067}
{' No': -0.0072529865, 'No': -4.956481, ' ': -8.809142, ' no': -10.638244, ' NO': -11.812797}
{' No': -0.015000861, 'No': -4.2353034, ' ': -8.253499, '\n': -9.026661, ' NO': -10.97692}
{' No': -0.013579272, 'No': -4.3290143, ' ': -8.317752, '\n': -10.165751, ' no': -11.412901}
{' No': -0.0036358975, 'No': -5.6561055, ' ': -9.250015, ' no': -11.008778, '\n': -11.523777}
{' No': -0.0044534025, 'No': -5.4616942, ' ': -8.811796, ' no': -10.621755, '\n': -11.050643}
{' No': -0.009618336, 'No': -4.712411, ' ': -7.795127, '\n': -8.864501, ' NO': -11.100835}
{' No': -0.011888584, 'No': -4.479557, ' ': -7.9223933, '\n': -9.345673, ' no': -11.061467}
{' No': -0.0147741735, 'No': -4.2944655, ' ': -7.727525, '\n': -7.8318024, ' no': -8.964562}
{' No': -0.01407719, 'No': -4.3904963, ' ': -7.1717095, '\n': -7.7613053, ' no': -8.020027}
{' No': -0.0021734159, 'No': -6.2153788, ' ': -8.921432, '\n': -10.66573, ' NO': -11.560121}
{' No': -0.0015321913, 'No': -6.5937843, ' ': -8.974319, '\n': -10.549046, ' NO': -12.3055105}
{' No': -0.010161734, 'No': -4.6132636, ' ': -8.82784, '\n': -10.611114, ' NO': -11.24421}
{' No': -0.0066189407, 'No': -5.0681133, ' ': -8.2421, '\n': -10.565083, ' NO': -11.753515}
{' No': -0.010452126, 'No': -4.6072783, ' ': -8.313196, '\n': -8.780455, ' NO': -11.416333}
{' No': -0.0069989953, 'No': -5.022471, ' ': -8.164838, '\n': -9.303295, ' NO': -12.373167}
{' No': -0.0025670838, 'No': -6.050533, ' ': -8.685367, '\n': -10.73105, ' NO': -11.455287}
{' No': -0.0023687086, 'No': -6.175128, ' ': -8.295266, '\n': -10.654298, ' NO': -11.936984}
{' No': -0.016947525, 'No': -4.1851315, ' ': -7.0008893, '\n': -7.368103, ' NO': -10.891729}
{' No': -0.009027536, 'No': -4.7835217, ' ': -7.668699, '\n': -8.867318, ' NO': -12.287131}
{' No': -0.004515313, 'No': -5.459912, ' ': -8.71805, '\n': -9.533079, ' NO': -11.940958}
{' No': -0.004172645, 'No': -5.549531, ' ': -8.457536, '\n': -10.089313, ' no': -11.414096}
{' No': -0.07722168, ' Yes': -2.6922252, 'No': -5.0739527, 'Yes': -8.116918, ' ': -10.788903}
{' No': -0.043081317, ' Yes': -3.3338392, 'No': -5.0742545, 'Yes': -8.479578, ' ': -10.096406}
{' No': -0.30330127, ' Yes': -1.4464439, 'No': -3.8115027, 'Yes': -5.552359, ' ': -9.039204}
{' No': -0.04915159, ' Yes': -3.609656, 'No': -3.8948336, 'Yes': -7.7687845, ' ': -9.148162}
{' No': -0.4575892, ' Yes': -1.1030113, 'No': -3.6472766, 'Yes': -4.713725, ' ': -8.852813}
{' Yes': -0.09689989, ' No': -2.7049623, 'Yes': -3.79526, 'No': -5.9149575, ' yes': -8.673435}
{' No': -0.0734069, ' Yes': -2.7471013, 'No': -5.059891, 'Yes': -8.203041, ' ': -10.403612}
{' No': -0.044525135, ' Yes': -3.4638176, 'No': -4.431122, 'Yes': -8.175938, ' ': -9.956285}
{' Yes': -0.3722647, ' No': -1.2914064, 'Yes': -3.9389625, 'No': -4.131496, ' ': -8.481429}
{' Yes': -0.08151624, ' No': -2.9562223, 'Yes': -3.7752512, 'No': -5.8071303, ' yes': -8.757697}
{' Yes': -0.053403653, ' No': -3.3474977, 'Yes': -4.216827, 'No': -6.5011, ' yes': -7.8362036}
{' Yes': -0.05920577, ' No': -3.0698755, 'Yes': -4.6859093, 'No': -6.687372, ' yes': -7.8882537}
{' Yes': -0.13523722, ' No': -2.0760598, 'Yes': -7.261179, ' yes': -8.71941, 'No': -9.128969}
{' Yes': -0.38041937, ' No': -1.1540133, 'Yes': -7.4467015, 'No': -8.166811, ' ': -9.18304}
{' Yes': -0.43641198, ' No': -1.0560695, 'Yes': -5.701867, 'No': -6.144452, ' ': -8.5969515}
{' No': -0.33541605, ' Yes': -1.2794374, 'No': -5.321391, 'Yes': -6.4308352, ' ': -8.476575}
{' No': -0.48564222, ' Yes': -0.97790027, 'No': -5.3474894, 'Yes': -5.72914, ' ': -8.093039}
{' No': -0.5448064, ' Yes': -0.88790405, 'No': -5.4159265, 'Yes': -5.6854086, ' ': -7.560761}
{' No': -0.15271959, ' Yes': -1.9655972, 'No': -6.718395, 'Yes': -8.281794, ' ': -9.669656}
{' No': -0.3109622, ' Yes': -1.3267627, 'No': -6.670036, 'Yes': -7.590015, ' ': -9.102542}
{' Yes': -0.51150024, ' No': -0.9411591, 'Yes': -5.297335, 'No': -5.6794176, ' ': -6.7882237}
{' Yes': -0.6164563, ' No': -0.7955257, 'Yes': -5.537051, 'No': -5.657246, ' ': -6.788081}
{' Yes': -0.28723556, ' No': -1.410166, 'Yes': -5.7528615, 'No': -6.655359, ' yes': -7.7268653}
{' Yes': -0.20227103, ' No': -1.7396894, 'Yes': -5.3599954, 'No': -6.454409, ' ': -7.386612}
{' No': -0.40354672, ' Yes': -1.1606232, 'No': -4.243177, 'Yes': -5.504716, ' yes': -8.705564}
{' Yes': -0.36195588, ' No': -1.2407019, 'Yes': -4.8781586, 'No': -5.1043134, ' yes': -7.36931}
{' No': -0.15970014, ' Yes': -2.204294, 'No': -3.3758314, 'Yes': -5.8332076, ' ': -9.636861}
{' No': -0.26924953, ' Yes': -1.5734849, 'No': -3.7346518, 'Yes': -5.383637, ' yes': -8.969929}
{' Yes': -0.31775406, ' No': -1.610471, 'Yes': -2.9869394, 'No': -3.8899205, ' yes': -7.314351}
{' Yes': -0.04819007, 'Yes': -3.2129774, ' No': -5.219908, ' yes': -7.190205, 'No': -7.6850495}
{' No': -0.10686157, ' Yes': -2.4237351, 'No': -4.451514, 'Yes': -6.964117, ' ': -9.390356}
{' Yes': -0.32484755, ' No': -1.3038458, 'Yes': -5.593816, 'No': -6.3049784, ' yes': -8.343274}
{' Yes': -0.19198671, ' No': -2.0938764, 'Yes': -3.2147565, 'No': -4.5578313, ' yes': -7.7947063}
{' Yes': -0.045931533, 'Yes': -3.4536102, ' No': -4.4534974, 'No': -7.246405, ' yes': -7.3137026}
{' Yes': -0.12866803, ' No': -2.4745924, 'Yes': -3.5799637, 'No': -5.0381126, ' yes': -6.393936}
{' Yes': -0.031666864, 'Yes': -3.6688697, ' No': -5.8235874, ' yes': -6.1072693, 'No': -8.311081}
{' Yes': -0.18384565, ' No': -1.8034782, ' yes': -6.679508, 'Yes': -6.749935, ' ': -7.7079544}
{' Yes': -0.1736904, ' No': -1.8451667, 'Yes': -7.318288, ' yes': -7.984094, ' ': -8.140161}
{' Yes': -0.6376793, ' No': -0.7758019, 'No': -5.270913, 'Yes': -5.3281336, ' ': -7.355996}
{' No': -0.37182164, ' Yes': -1.1933663, 'No': -5.31771, 'Yes': -6.2868586, ' ': -7.7747545}
{' Yes': -0.44906077, ' No': -1.0531372, 'Yes': -4.9240074, 'No': -5.5005207, ' ': -6.982102}
{' Yes': -0.09562113, ' No': -2.4852505, 'Yes': -5.0497723, 'No': -7.3144665, ' ': -7.5338516}
{' No': -0.19487958, ' Yes': -1.7517185, 'No': -6.0191936, 'Yes': -7.458211, ' ': -7.918346}
{' No': -0.1985301, ' Yes': -1.7339362, 'No': -6.042322, 'Yes': -7.483846, ' ': -7.74376}
{' Yes': -0.47761312, ' No': -1.0036846, 'Yes': -5.0947604, 'No': -5.5421863, ' ': -6.1224074}
{' Yes': -0.26131102, ' No': -1.5092758, 'Yes': -5.3222866, ' ': -6.226894, 'No': -6.421618}
{' No': -0.60824656, ' Yes': -0.8197601, 'No': -5.1752863, 'Yes': -5.564002, ' yes': -5.9623933}
{' Yes': -0.63791317, ' No': -0.79399925, 'No': -4.941628, 'Yes': -5.088948, ' ': -5.8859596}
{' Yes': -0.28541103, ' No': -1.3990662, 'Yes': -7.1201887, 'No': -8.162388, ' ': -8.299201}
{' Yes': -0.31517637, ' No': -1.3130172, 'Yes': -7.2957387, ' ': -8.15127, 'No': -8.254278}
{' No': -0.6585951, ' Yes': -0.7431021, 'No': -5.648955, 'Yes': -5.9718065, ' ': -7.4288373}
{' No': -0.348301, ' Yes': -1.2460881, 'No': -5.4410877, 'Yes': -6.4700146, ' ': -7.572014}
{' Yes': -0.6217705, ' No': -0.78772336, 'Yes': -5.5863414, 'No': -5.8242526, ' ': -6.9337397}
{' No': -0.5987799, ' Yes': -0.8167823, 'No': -5.492981, 'Yes': -5.758335, ' ': -6.944477}
{' No': -0.12606828, ' Yes': -2.1446228, 'No': -7.027817, ' ': -8.298281, 'Yes': -8.718803}
{' No': -0.13643983, ' Yes': -2.0732474, 'No': -6.739993, ' ': -7.986797, 'Yes': -8.514966}
{' Yes': -0.5822472, ' No': -0.8540195, 'Yes': -5.1156793, 'No': -5.304081, ' ': -5.7961993}
