{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Up': -0.0652951, ' up': -2.806727, ' "': -6.439915, ' UP': -7.002852, 'Up': -8.477276}
{' Up': -0.8093552, ' up': -1.0859722, ' down': -2.0358758, ' Down': -2.4816592, ' UP': -7.345333}
{' up': -0.47486928, ' Up': -1.4789777, ' down': -2.1282983, ' Down': -3.5556703, 'up': -7.24831}
{' Up': -0.6794158, ' up': -0.9497978, ' down': -2.8007438, ' Down': -3.1441948, 'Up': -7.502087}
{' up': -1.0441434, ' Up': -1.1411684, ' down': -1.5442998, ' Down': -2.1911445, 'down': -7.1149683}
{' Up': -0.26281258, ' up': -1.5601605, ' Down': -4.846263, ' down': -4.90103, ' "': -5.447165}
{' Down': -0.55195683, ' down': -0.87328416, ' "': -6.033118, 'down': -6.202248, 'Down': -6.612854}
{' Up': -0.30291906, ' up': -1.5182396, ' Down': -3.864946, ' down': -3.9963927, ' "': -6.8503084}
{' Down': -0.41470537, ' down': -1.1027776, ' "': -6.097852, ' Up': -6.1532974, 'down': -6.5221996}
{' Up': -0.4519683, ' up': -1.407546, ' down': -2.682765, ' Down': -3.1172264, ' "': -5.327462}
{' down': -1.0209488, ' up': -1.1968598, ' Up': -1.5316585, ' Down': -2.1587832, ' "': -5.65283}
{' Up': -0.2981216, ' up': -1.4731588, ' Down': -4.33377, ' down': -4.344066, ' "': -7.1555624}
{' down': -0.33489162, ' Down': -1.3638281, ' Up': -4.215623, ' up': -4.6498065, 'down': -6.130976}
{' Down': -0.5729372, ' down': -1.180523, ' Up': -2.252104, ' up': -4.362486, ' "': -4.6734505}
{' Down': -0.80409294, ' down': -1.0423628, ' Up': -1.9648575, ' up': -2.943915, ' "': -5.2425866}
{' Up': -0.28942773, ' up': -2.0878477, ' Down': -2.4151695, ' down': -3.3189247, ' "': -7.135152}
{' Down': -0.8475755, ' down': -1.1242766, ' Up': -1.6243644, ' up': -3.1917887, ' "': -4.983625}
{' Up': -0.9246293, ' Down': -1.017107, ' down': -2.0425262, ' "': -2.7186966, ' up': -3.165722}
{' Down': -0.23439081, ' down': -1.6515585, ' "': -4.241608, 'Down': -6.631611, 'down': -7.13093}
{' Up': -0.41759822, ' up': -1.2053332, ' down': -4.253547, ' Down': -4.275619, ' "': -4.4555807}
{' Down': -0.12705174, ' down': -2.1809094, ' "': -5.388135, 'Down': -6.828278, 'down': -7.7671156}
{' Down': -0.35897055, ' down': -1.7661111, ' Up': -2.1619165, ' up': -4.712625, ' "': -5.3090568}
{' Up': -0.26037169, ' up': -1.4824977, ' "': -6.5530715, ' UP': -8.214137, 'Up': -8.34116}
{' Up': -0.5919709, ' up': -1.5286393, ' Down': -1.9343057, ' down': -2.5236497, ' "': -5.5625668}
{' Up': -0.04705971, ' up': -3.165216, ' "': -6.1692286, ' Down': -7.2137423, ' UP': -7.450122}
{' Up': -0.6337607, ' up': -1.2005714, ' down': -2.4793189, ' Down': -2.5029147, ' "': -7.344282}
{' up': -0.6794369, ' Up': -1.3563397, ' down': -1.7715142, ' Down': -2.7812474, 'down': -6.8482227}
{' Up': -0.6366481, ' up': -1.027914, ' Down': -2.8839853, ' down': -2.9058228, 'Up': -7.3969235}
{' Up': -0.5671642, ' up': -1.2490643, ' Down': -2.5516155, ' down': -2.7308738, ' "': -7.1001477}
{' Up': -0.22446859, ' up': -1.6628938, ' Down': -5.520554, ' down': -5.604969, ' "': -5.87586}
{' Down': -0.5985278, ' down': -0.8093947, ' "': -6.354164, 'down': -6.359882, 'Down': -6.78091}
{' Up': -0.2700185, ' up': -1.5801171, ' down': -4.248938, ' Down': -4.256146, ' "': -7.032212}
{' Down': -0.4563213, ' down': -1.019159, ' "': -6.2474947, 'down': -6.6839614, ' Up': -6.8351073}
{' Up': -0.54087937, ' up': -1.4407665, ' down': -2.1030054, ' Down': -2.9593534, ' "': -5.115445}
{' down': -0.5545175, ' up': -1.5183504, ' Up': -2.2531087, ' Down': -2.3403506, ' "': -5.675304}
{' Up': -0.4037791, ' up': -1.1454421, ' down': -4.8758135, ' Down': -5.4429464, ' "': -7.066703}
{' down': -0.16450776, ' Down': -1.9091175, 'down': -6.3230634, 'Down': -7.5213685, ' "': -7.5931063}
{' Down': -0.803636, ' Up': -1.3624321, ' down': -1.3687568, ' up': -3.4864955, ' "': -4.6344543}
{' down': -0.96290344, ' Down': -1.0501572, ' Up': -1.7757735, ' up': -2.3673625, ' "': -5.565946}
{' Up': -0.24028802, ' up': -2.0101569, ' Down': -2.9168131, ' down': -3.7284355, ' "': -7.2979236}
{' Down': -0.8173424, ' down': -0.9012352, ' Up': -2.1398351, ' up': -3.6020486, ' "': -5.1574817}
{' Up': -0.31347182, ' Down': -2.3426368, ' up': -2.4387999, ' down': -3.0497026, ' "': -3.3135138}
{' Down': -0.43687162, ' down': -1.0786983, ' "': -4.4930334, 'Down': -6.739779, 'down': -6.9267354}
{' Up': -0.30824554, ' up': -1.4615773, ' Down': -4.368857, ' "': -4.591605, ' down': -4.702981}
{' Down': -0.45714277, ' down': -1.0221529, ' "': -5.345994, 'Down': -6.755488, 'down': -7.1599526}
{' Down': -0.7702021, ' Up': -1.1304506, ' down': -1.789308, ' up': -3.2029815, ' "': -5.262527}
{' Up': -0.47180074, ' up': -0.98254097, ' "': -6.8098664, ' UP': -8.244917, 'Up': -8.723759}
{' Up': -0.6863681, ' up': -1.1941957, ' Down': -2.3019724, ' down': -2.4181623, ' "': -5.745974}
{' Up': -0.06340916, ' up': -2.8713408, ' "': -6.0250235, ' Down': -6.5471406, ' UP': -7.4455476}
{' Up': -0.6742339, ' up': -1.2027601, ' down': -2.2602134, ' Down': -2.485778, 'Up': -7.7009254}
{' up': -0.5294494, ' Up': -1.5837458, ' down': -1.7810192, ' Down': -3.3743896, 'down': -6.8908234}
{' Up': -0.6251882, ' up': -0.9200852, ' down': -3.2783635, ' Down': -3.6385698, 'Up': -7.486499}
{' Up': -1.0507704, ' up': -1.2578225, ' down': -1.5259482, ' Down': -1.9299074, ' "': -6.8076906}
{' Up': -0.15127395, ' up': -1.9982988, ' Down': -6.4724903, ' down': -6.808214, ' "': -6.9138412}
{' Down': -0.45724106, ' down': -1.0250492, ' Up': -5.92873, 'down': -6.2857723, ' "': -6.5399723}
{' Up': -0.16441959, ' up': -2.031178, ' Down': -4.423123, ' down': -5.017466, 'Up': -7.6100464}
{' Down': -0.30331492, ' down': -1.4131838, ' Up': -4.3650002, ' "': -6.4268155, ' up': -6.602507}
{' Up': -0.5100563, ' up': -1.5633954, ' down': -2.0569735, ' Down': -2.841479, ' "': -5.8227925}
{' up': -0.71556866, ' Up': -1.0225393, ' down': -2.1498034, ' Down': -3.4332654, ' "': -6.81858}
{' Up': -0.36009324, ' up': -1.340251, ' down': -3.8014991, ' Down': -4.113061, 'up': -7.52238}
{' down': -0.4596134, ' Down': -1.0342251, ' Up': -4.8797984, ' up': -6.0260954, 'down': -6.653716}
{' Down': -0.527478, ' Up': -1.5710113, ' down': -1.7127254, ' up': -4.2445493, ' "': -5.0991845}
{' Up': -0.37121952, ' up': -1.6211259, ' Down': -2.6375158, ' down': -3.2566087, ' "': -6.4249682}
{' Up': -0.18054406, ' Down': -2.360712, ' up': -2.925331, ' down': -4.157648, ' "': -7.1224685}
{' Up': -0.7496241, ' Down': -1.0580423, ' down': -2.0642679, ' up': -3.056316, ' "': -5.2829223}
{' Up': -0.511754, ' Down': -1.3449373, ' down': -2.5435286, ' up': -2.9443977, ' "': -4.97551}
{' Down': -0.15765265, ' down': -1.9454184, 'Down': -6.780747, ' "': -7.0848203, 'down': -7.60953}
{' Up': -0.1683077, ' up': -2.2969544, ' Down': -3.2489407, ' down': -4.505225, ' "': -5.7737837}
{' Down': -0.10132209, ' down': -2.36969, 'Down': -6.611345, ' "': -7.0544786, 'down': -7.706315}
{' Down': -0.72046846, ' Up': -1.0728244, ' down': -1.9903299, ' up': -3.458891, ' "': -6.332304}
{' Up': -0.27415484, ' up': -1.4326116, ' UP': -7.8053946, ' "': -8.197273, 'Up': -8.280483}
{' Up': -0.57859856, ' Down': -1.7365462, ' up': -1.8023038, ' down': -2.3484197, ' "': -6.7560024}
{' Up': -0.07096064, ' up': -2.722059, ' "': -6.7426844, ' UP': -7.1243796, ' Down': -7.83294}
{' Up': -0.47379625, ' up': -1.5161719, ' Down': -2.4302268, ' down': -2.700311, ' "': -7.148053}
{' Up': -0.55862135, ' up': -0.85360616, ' Down': -7.718943, ' down': -7.7514844, 'Up': -7.9075637}
{' Up': -0.6270911, ' up': -1.2124069, ' Down': -2.458796, ' down': -2.5219276, ' "': -7.2886014}
{' Up': -0.51981074, ' up': -0.9174585, ' Down': -6.2980537, ' down': -6.4332347, ' UP': -6.9702992}
{' Up': -0.19781129, ' up': -1.7753507, ' Down': -5.591619, ' down': -5.705251, ' "': -6.353041}
{' Down': -0.6262407, ' down': -0.7966795, ' Up': -5.1581354, 'down': -5.908858, ' "': -6.028881}
{' Up': -0.24121474, ' up': -1.638199, ' down': -4.6795425, ' Down': -4.744159, 'up': -7.248281}
{' Down': -0.45789605, ' down': -1.0175809, 'down': -6.403882, ' "': -6.4639153, ' Up': -6.7168207}
{' Up': -0.62202895, ' down': -1.6753852, ' up': -1.7984455, ' Down': -2.2708156, ' "': -5.137419}
{' up': -0.7908419, ' Up': -1.2904031, ' down': -1.5169677, ' Down': -3.0563276, ' "': -5.776615}
{' Up': -0.34968084, ' up': -1.3936604, ' down': -3.6786964, ' Down': -3.978839, ' "': -6.406134}
{' down': -0.28227594, ' Down': -1.448141, ' Up': -5.4118724, ' up': -5.911243, ' "': -6.475418}
{' Down': -0.3254666, ' down': -1.5774215, ' Up': -2.7656026, ' up': -5.617228, ' "': -5.7490788}
{' up': -1.0399836, ' Up': -1.0917871, ' down': -1.5480593, ' Down': -2.361305, ' "': -5.9145927}
{' Up': -0.37031558, ' Down': -1.442505, ' down': -3.3307836, ' up': -3.345209, ' "': -6.745121}
{' Down': -0.41389006, ' down': -1.1366092, ' Up': -4.445323, ' "': -5.723765, ' up': -6.5290785}
{' Up': -0.29838055, ' Down': -2.0877101, ' up': -2.5933006, ' down': -3.0180933, ' "': -4.7704644}
{' Down': -0.3440042, ' down': -1.2577177, ' "': -5.841002, 'Down': -6.285916, 'down': -6.5347333}
{' Up': -0.09958751, ' up': -2.6041288, ' Down': -4.228265, ' down': -5.7735505, ' "': -6.1812043}
{' Down': -0.12945722, ' down': -2.1375844, 'Down': -6.5548296, ' "': -6.6457815, 'down': -7.61852}
{' Down': -0.46309212, ' Up': -1.4514916, ' down': -2.140468, ' up': -4.2272806, ' "': -5.927075}
{' Up': -0.24120934, ' up': -1.5458491, ' "': -7.6040688, ' UP': -8.023209, 'Up': -8.347746}
{' Up': -0.64598036, ' Down': -1.6086057, ' up': -1.8109546, ' down': -2.2159991, ' "': -6.3516765}
{' Up': -0.08019762, ' up': -2.5903828, ' "': -7.045306, ' UP': -7.513492, ' Down': -7.99212}
{' Up': -0.6512128, ' Down': -1.324158, ' up': -2.158228, ' down': -2.3691387, ' "': -6.553346}
{' Up': -0.42620504, ' up': -1.0682663, ' Down': -6.784307, ' down': -7.0599213, 'Up': -7.7662106}
{' Up': -0.7749724, ' up': -1.413297, ' Down': -1.8215936, ' down': -2.031793, ' "': -7.0027447}
{' Up': -0.50329787, ' up': -0.94867134, ' Down': -5.7409706, ' down': -5.8884063, ' UP': -7.0233035}
{' Up': -0.25108522, ' up': -1.5691508, ' Down': -5.1697636, ' down': -5.211849, ' "': -6.489128}
{' Down': -0.69374377, ' down': -0.7118903, 'down': -5.9377604, ' Up': -5.9518914, ' "': -6.3089037}
{' Up': -0.24328206, ' up': -1.5762687, ' Down': -5.5673914, ' down': -5.7095785, 'up': -7.0728145}
{' Down': -0.43871388, ' down': -1.05091, ' Up': -6.3636785, 'down': -6.5504284, 'Down': -6.9555492}
{' Up': -0.8016509, ' up': -1.44804, ' down': -1.470007, ' Down': -2.5729158, ' "': -4.72096}
{' up': -0.46675733, ' Up': -1.4448055, ' down': -2.161097, ' Down': -4.009436, ' "': -6.0224433}
{' Up': -0.37469825, ' up': -1.2383648, ' down': -4.354522, ' Down': -4.8543863, ' "': -7.0732856}
{' down': -0.22984356, ' Down': -1.6317962, ' Up': -5.5963974, ' up': -5.9091163, 'down': -6.3398724}
{' Down': -0.62938637, ' down': -1.3395742, ' Up': -1.7259631, ' up': -3.928018, ' "': -5.1449137}
{' up': -0.7016685, ' Up': -1.1460427, ' down': -1.9930714, ' Down': -3.0660732, ' "': -6.006669}
{' Up': -0.09095473, ' up': -3.0348005, ' Down': -3.4016044, ' down': -5.396268, ' "': -7.722354}
{' Down': -0.4402009, ' down': -1.1643126, ' Up': -3.3792095, ' up': -5.3370895, ' "': -5.64805}
{' Up': -0.29814482, ' up': -2.234016, ' Down': -2.3902695, ' down': -3.0496898, ' "': -4.62985}
{' Down': -0.5766908, ' down': -0.8377896, ' "': -6.1044846, 'down': -6.5251365, 'Down': -6.6042423}
{' Up': -0.12568086, ' up': -2.2320423, ' Down': -5.0340195, ' down': -6.2656746, ' "': -6.629827}
{' Down': -0.28160894, ' down': -1.4212345, 'Down': -6.5010915, ' "': -6.533388, 'down': -7.107338}
{' Up': -0.69123876, ' Down': -1.063908, ' down': -2.3586695, ' up': -2.8801749, ' "': -6.195135}
{' Up': -0.31415617, ' up': -1.3139577, ' "': -8.067524, 'Up': -8.47724, ' UP': -8.621162}
{' Up': -0.41516814, ' up': -1.7870497, ' Down': -2.1425395, ' down': -2.939317, ' "': -7.1047487}
{' Up': -0.09001606, ' up': -2.4873893, ' Down': -6.602467, ' "': -7.4504895, ' UP': -7.814194}
{' Up': -0.6735199, ' up': -1.213248, ' down': -2.2395217, ' Down': -2.484761, ' "': -7.088289}
{' up': -0.44012785, ' Up': -1.0489478, ' down': -5.7967463, ' Down': -6.811774, 'up': -7.321867}
{' Up': -0.4750313, ' up': -1.1577859, ' Down': -3.4390185, ' down': -3.5164607, 'Up': -7.50587}
{' Up': -0.54722905, ' up': -0.9115269, ' down': -4.726596, ' Down': -4.781167, ' "': -7.1216474}
{' Up': -0.29504603, ' up': -1.5515538, ' down': -3.8924215, ' Down': -3.9950428, ' "': -5.737453}
{' Down': -0.69533414, ' down': -0.70576155, 'down': -5.7094827, ' "': -6.305044, 'Down': -6.610579}
{' Up': -0.3339108, ' up': -1.4693496, ' down': -3.5323246, ' Down': -3.8460472, ' "': -6.836415}
{' Down': -0.4431936, ' down': -1.0429556, 'down': -6.0425587, ' "': -6.3856907, 'Down': -6.6707478}
{' Up': -0.9374151, ' down': -1.2459173, ' up': -1.711215, ' Down': -2.0236118, ' "': -5.0537024}
{' up': -0.57366276, ' Up': -1.3319502, ' down': -1.9698592, ' Down': -3.5428455, ' "': -6.0158486}
{' Up': -0.41322377, ' up': -1.3474718, ' down': -3.1808133, ' Down': -3.3786874, ' "': -6.7698426}
{' down': -0.3329475, ' Down': -1.2976844, ' Up': -5.4663987, ' up': -6.062804, 'down': -6.456362}
{' down': -0.4450605, ' Down': -1.197338, ' Up': -3.2751462, ' up': -4.290338, ' "': -5.625915}
{' down': -0.46243873, ' Down': -1.5745183, ' up': -2.4540424, ' Up': -2.6211245, ' "': -6.0835576}
{' Up': -0.4815563, ' up': -1.9444717, ' Down': -1.9558071, ' down': -2.3606627, ' "': -6.399923}
{' down': -0.60413605, ' Down': -0.8004271, ' "': -6.287028, 'down': -6.7051377, 'Down': -7.2823625}
{' Up': -0.22812198, ' up': -2.2193654, ' Down': -2.9140139, ' down': -3.5131025, ' "': -4.6547537}
{' Down': -0.4655233, ' down': -1.0005747, 'Down': -6.533112, 'down': -6.6298637, ' "': -6.687027}
{' Up': -0.1470527, ' up': -2.3013916, ' Down': -3.6214883, ' down': -4.927454, ' "': -6.581901}
{' Down': -0.12441509, ' down': -2.1770732, 'Down': -6.4173946, ' "': -6.785937, 'down': -7.4305196}
{' Up': -0.5761068, ' up': -1.5487897, ' Down': -2.1909845, ' down': -2.2115493, ' "': -5.885547}
{' up': -0.6216902, ' Up': -0.7736353, ' "': -7.478373, 'up': -7.890334, ' down': -8.284457}
{' Up': -0.29677394, ' up': -1.5474892, ' Down': -3.5783215, ' down': -4.222646, ' "': -7.5112643}
{' Up': -0.07526082, ' up': -2.6519058, ' "': -7.098677, ' Down': -7.75454, ' UP': -8.130928}
{' Up': -0.3153427, ' up': -1.7906253, ' Down': -2.7479901, ' down': -3.306176, ' UP': -7.207831}
{' down': -0.646751, ' Down': -0.86484295, ' Up': -3.562469, ' up': -3.9811628, 'down': -5.254508}
{' Up': -0.29572847, ' up': -1.914604, ' Down': -2.6361692, ' down': -3.3660522, 'Up': -7.3117914}
{' Down': -0.3676041, ' down': -1.2348069, ' Up': -4.644707, 'down': -6.016102, 'Down': -6.2529545}
{' Up': -0.17202729, ' up': -1.9062346, ' "': -5.693847, ' Down': -6.003463, ' down': -6.287158}
{' Down': -0.50861615, ' down': -0.9358088, 'down': -6.1053724, ' "': -6.140595, 'Down': -6.5032372}
{' Up': -0.22827408, ' up': -1.6516635, ' Down': -5.2995152, ' down': -5.395781, ' "': -6.9970307}
{' Down': -0.38917777, ' down': -1.153727, ' "': -5.799284, 'down': -6.135029, 'Down': -6.759358}
{' Up': -0.70278776, ' down': -1.5688003, ' Down': -1.9977306, ' up': -2.0020545, ' "': -3.712992}
{' down': -0.79501295, ' up': -1.4321685, ' Up': -1.7645506, ' Down': -2.056398, ' "': -4.7405562}
{' Up': -0.28989714, ' up': -1.581836, ' down': -3.7928, ' Down': -3.9033346, ' "': -6.250943}
{' down': -0.48884323, ' Down': -0.96219194, ' "': -6.0157504, 'down': -6.800655, 'Down': -7.273339}
{' down': -0.48003784, ' Down': -1.1225797, ' Up': -3.558966, ' "': -4.1287537, ' up': -4.6956043}
{' down': -0.7437068, ' Down': -1.647172, ' up': -1.7462933, ' Up': -1.9101402, ' "': -4.8432736}
{' Up': -0.20706312, ' up': -2.3775458, ' Down': -2.6673367, ' down': -3.8063674, ' "': -6.3356524}
{' Down': -0.51723534, ' down': -0.9412333, ' "': -5.1265626, ' Up': -5.301604, ' up': -7.0033917}
{' Up': -0.15192138, ' up': -2.2515554, ' "': -4.2452645, ' Down': -4.3617406, ' down': -5.1043596}
{' Down': -0.11872583, ' down': -2.2378871, ' "': -5.909224, 'Down': -6.458575, 'down': -7.4718747}
{' Up': -0.31825346, ' up': -1.4248856, ' Down': -4.103709, ' down': -4.542861, ' "': -5.7401032}
{' Down': -0.3159275, ' down': -1.3316039, ' "': -5.5421124, 'Down': -6.6236243, 'down': -6.97743}
{' Down': -0.4369, ' Up': -1.496846, ' down': -2.1984985, ' up': -4.272786, ' "': -5.7789636}
{' Up': -0.327512, ' up': -1.2803528, ' "': -7.4417562, ' UP': -7.836768, 'Up': -8.424285}
{' Down': -0.9244326, ' Up': -1.2610052, ' down': -1.4795853, ' up': -2.4395254, ' "': -6.2688856}
{' Up': -0.08778794, ' up': -2.53747, ' "': -5.8777905, ' UP': -6.5473976, ' Down': -7.893057}
{' Up': -1.0077718, ' Down': -1.452556, ' down': -1.5660795, ' up': -1.6760857, ' "': -6.1641855}
{' up': -0.3700156, ' Up': -1.2449737, ' down': -4.253942, ' Down': -5.2869596, 'up': -7.4833374}
{' Up': -0.7474424, ' up': -1.035717, ' down': -2.3343143, ' Down': -2.6458359, ' "': -6.918232}
{' up': -0.8869283, ' Up': -0.95681363, ' down': -2.1259286, ' Down': -2.5388296, ' "': -5.7864394}
{' Up': -0.23119707, ' up': -1.6179024, ' Down': -5.982223, ' down': -6.108188, ' "': -6.3600116}
{' Down': -0.5707201, ' down': -0.84941995, 'down': -6.0695214, ' "': -6.2387094, 'Down': -6.532546}
{' Up': -0.24614204, ' up': -1.6340091, ' Down': -4.5477395, ' down': -4.5965943, 'up': -7.0976543}
{' Down': -0.44191116, ' down': -1.0506109, 'down': -6.2037477, ' "': -6.2432013, ' Up': -6.3486376}
{' Up': -0.62081575, ' down': -1.7166485, ' up': -1.9659809, ' Down': -2.0321755, ' "': -4.5755863}
{' down': -1.1305147, ' Up': -1.3071009, ' up': -1.4646461, ' Down': -1.7875181, ' "': -5.0817}
{' Up': -0.18128319, ' up': -2.0687952, ' Down': -3.762887, ' down': -4.277375, ' "': -6.6872315}
{' down': -0.55994356, ' Down': -0.8603739, ' "': -6.069358, ' Up': -6.7042723, 'down': -6.9173536}
{' down': -0.49005932, ' Down': -1.1932187, ' Up': -2.9251864, ' up': -3.8842757, ' "': -4.8004174}
{' up': -0.96887654, ' Up': -1.2516488, ' down': -1.4557291, ' Down': -2.3414009, ' "': -5.5475526}
{' Up': -0.15632577, ' Down': -2.582559, ' up': -2.9036686, ' down': -4.3353286, ' "': -7.5198812}
{' Down': -0.6528835, ' down': -1.2566835, ' Up': -1.8582991, ' up': -3.5607815, ' "': -4.7192554}
{' Up': -0.1774447, ' up': -2.305687, ' Down': -3.360449, ' down': -4.1678796, ' "': -4.5567017}
{' Down': -0.49284402, ' down': -0.96025497, ' "': -5.807614, 'Down': -6.470801, 'down': -6.516417}
{' Up': -0.3071081, ' up': -1.4843866, ' Down': -3.9041576, ' down': -4.3128166, ' "': -5.951734}
{' Down': -0.46841177, ' down': -1.000272, ' "': -5.7186613, 'Down': -6.5846524, 'down': -6.7348523}
{' Down': -0.5447549, ' Up': -1.2293996, ' down': -2.2798374, ' up': -3.843678, ' "': -6.261864}
{' Up': -0.5950144, ' up': -0.8048017, ' UP': -7.738304, ' "': -7.956499, 'Up': -8.35331}
{' Down': -1.0100158, ' Up': -1.0769848, ' down': -1.6518178, ' up': -2.3008235, 'Down': -7.0078073}
{' Up': -0.07053695, ' up': -2.7188923, ' UP': -7.2371874, ' "': -7.351699, ' Down': -7.7354093}
{' Up': -0.9085816, ' Down': -1.3634539, ' up': -1.7710236, ' down': -1.7898474, ' "': -6.553387}
{' Up': -0.601436, ' up': -0.80251247, ' Down': -6.731076, ' down': -6.8345075, ' UP': -7.5596166}
{' Up': -0.960829, ' Down': -1.3832266, ' down': -1.6861899, ' up': -1.725573, ' "': -7.082594}
{' Up': -0.6537391, ' up': -0.80795217, ' down': -4.1241617, ' Down': -4.259679, ' "': -6.208125}
{' Up': -0.22557926, ' up': -1.6514807, ' "': -5.8097725, ' Down': -5.855946, ' down': -5.9030533}
{' Down': -0.5916181, ' down': -0.82541525, ' "': -5.836302, 'down': -5.887614, 'Down': -6.3975563}
{' Up': -0.4135765, ' up': -1.1384263, ' down': -4.6534977, ' Down': -5.153292, 'up': -6.6717877}
{' Down': -0.46051872, ' down': -1.0185193, ' "': -5.823214, 'down': -6.2590985, ' Up': -6.55867}
{' Up': -0.51187855, ' Down': -1.8974719, ' up': -2.0694804, ' down': -2.1658874, ' "': -4.8184867}
{' Up': -0.7218442, ' up': -1.0890527, ' down': -2.2678668, ' Down': -2.684054, ' "': -5.5047383}
{' Up': -0.20677108, ' up': -1.9518367, ' Down': -3.636695, ' down': -4.1113977, ' "': -7.2264104}
{' down': -0.71850365, ' Down': -0.7587774, ' Up': -3.4860184, ' up': -4.7390246, ' "': -6.029172}
{' Down': -0.43858963, ' down': -1.2537409, ' Up': -2.8910563, ' "': -5.0060964, ' up': -5.1796803}
{' Up': -1.1239283, ' Down': -1.2140752, ' down': -1.459879, ' up': -1.9709988, ' "': -5.2945576}
{' Up': -0.2760594, ' Down': -2.1376698, ' up': -2.4260552, ' down': -3.406224, ' "': -7.1980786}
{' Down': -0.5565422, ' down': -1.3538406, ' Up': -1.964337, ' up': -3.9642532, ' "': -4.8763413}
{' Up': -0.22295013, ' Down': -2.4998953, ' up': -2.6435757, ' down': -3.608328, ' "': -4.0431447}
{' Down': -0.21418293, ' down': -1.6851321, ' "': -5.363324, 'Down': -6.5248175, 'down': -7.025725}
{' Up': -0.21390568, ' up': -1.9896511, ' Down': -3.3645744, ' down': -4.3034706, ' "': -5.1202035}
{' Down': -0.17275949, ' down': -1.869327, ' "': -5.959079, 'Down': -6.833251, 'down': -7.548524}
