{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{'\n': -8.231387, ' ': -8.479317, ' Yes': -0.006641323, ' yes': -5.542717, 'Yes': -6.140092}
{' No': -0.19995399, '\n': -4.863353, 'No': -2.4111469, ' Yes': -2.953534, ' It': -4.1041226}
{'\n': -6.1860037, ' Generally': -6.6019998, ' Yes': -0.031358074, ' yes': -5.8135347, 'Yes': -3.7757406}
{' No': -1.050514, '\n': -1.1857926, ' ': -3.873201, 'No': -2.5424573, ' Yes': -1.56509}
{'\n': -2.6929824, ' ': -5.5039086, ' Yes': -0.1305416, ' yes': -5.952969, 'Yes': -3.0732696}
{' No': -0.7838107, 'No': -4.1774983, ' Yes': -0.7173929, 'Yes': -5.341981, ' It': -3.8278663}
{'\n': -8.078376, ' Generally': -7.2606993, ' Yes': -0.008788308, ' yes': -7.457997, 'Yes': -4.969455}
{' No': -0.3633684, '\n': -3.0421288, ' ': -5.3259525, 'No': -1.4000714, ' Yes': -6.2305727}
{' No': -4.7370186, '\n': -2.9539742, ' Yes': -0.17817368, ' yes': -4.9247766, 'Yes': -2.477349}
{' No': -1.9326912, ' Yes': -0.2788825, ' yes': -3.0215542, 'Yes': -4.572594, ' It': -4.824857}
{'\n': -6.4791055, ' Generally': -6.791721, ' Yes': -0.039828762, ' yes': -3.769462, 'Yes': -4.47042}
{' No': -0.08890627, '\n': -5.342768, ' ': -6.517129, 'No': -5.1108365, ' Yes': -2.648341}
{'\n': -5.46813, ' ': -7.3371825, ' Generally': -6.6411743, ' Yes': -0.009330771, 'Yes': -5.8990993}
{' No': -0.16766638, '\n': -3.0863426, ' ': -4.995019, 'No': -2.7576628, ' Yes': -3.9191618}
{'\n': -3.3550897, ' ': -5.7361164, ' Generally': -6.124313, ' Yes': -0.05971201, 'Yes': -4.1045136}
{' No': -0.27678996, '\n': -2.4264653, ' ': -4.256807, 'No': -2.758897, ' Yes': -2.946048}
{'\n': -3.7490003, ' ': -5.5558567, ' Yes': -0.045278415, ' B': -6.5902157, 'Yes': -4.3116875}
{' No': -0.036341246, '\n': -4.758557, ' ': -5.552002, 'No': -4.2372975, ' Yes': -5.067162}
{'\n': -3.3702555, ' ': -5.30239, ' Generally': -6.3419447, ' Yes': -0.048720684, 'Yes': -5.1645656}
{' No': -0.08424321, '\n': -4.7825522, ' ': -5.9032755, 'No': -2.7253926, ' A': -6.493599}
{' No': -3.0964098, '\n': -3.8900023, ' Yes': -0.10502175, ' B': -4.9381914, 'Yes': -4.21877}
{' No': -0.58522385, '\n': -3.6337082, ' Generally': -4.1702304, 'No': -3.7724986, ' Yes': -1.124395}
{'\n': -4.92851, ' ': -5.795251, ' Yes': -0.03361886, ' yes': -5.538751, 'Yes': -4.245403}
{' That': -3.262035, ' No': -0.64123505, ' Generally': -2.2084024, 'No': -4.056785, ' It': -1.3367155}
{' No': -0.43432105, ' Generally': -1.8406893, 'No': -3.7487855, ' B': -2.9291768, ' It': -2.817059}
{' That': -4.667579, ' No': -0.29652005, ' Generally': -2.8101957, 'No': -2.701494, ' It': -2.44672}
{' No': -0.2679262, ' Generally': -3.360688, 'No': -2.430213, ' B': -2.5838764, ' It': -4.043227}
{' That': -4.022386, ' No': -0.26084083, ' Generally': -4.3077254, 'No': -2.2843986, ' It': -2.6351848}
{' No': -0.27255115, ' Generally': -4.256327, 'No': -2.16783, ' B': -2.7195761, ' It': -3.9621778}
{' No': -0.1958076, ' Generally': -2.9463625, 'No': -3.554534, ' B': -4.408803, ' It': -2.977874}
{' No': -0.3159055, ' Generally': -2.660798, 'No': -3.1733177, ' B': -2.2919242, ' It': -3.797921}
{' No': -0.20298533, '\n': -4.6413302, ' Generally': -4.6476474, 'No': -2.0182357, ' It': -4.2853827}
{' No': -0.22330499, ' Generally': -4.8288517, 'No': -1.980181, ' B': -3.9054737, ' It': -4.7307167}
{' No': -0.22512862, ' Generally': -2.6961234, 'No': -2.6109338, ' A': -4.5655828, ' It': -4.4941964}
{' No': -0.3695205, ' On': -5.044026, ' Generally': -2.9293787, 'No': -2.193354, ' B': -2.2609599}
{' No': -0.0143456245, ' ': -7.1692257, ' Generally': -7.0790877, 'No': -4.801869, ' It': -5.783081}
{' No': -0.043445483, ' Generally': -5.3295436, 'No': -3.9721258, ' B': -4.7292914, ' It': -5.5381846}
{' No': -0.10527105, ' ': -6.243523, ' Generally': -6.1990623, 'No': -2.4677892, ' It': -5.265364}
{' No': -0.120929085, ' Generally': -4.8315234, 'No': -2.5665638, ' B': -3.9096406, ' It': -5.8064795}
{' No': -0.16964254, '\n': -3.5496664, ' ': -5.407548, 'No': -2.1224394, ' A': -6.407591}
{' No': -0.23809524, '\n': -2.6849258, ' ': -4.6022997, 'No': -2.1327007, ' B': -4.529288}
{' No': -0.021791281, ' ': -7.3966136, 'No': -3.9188972, ' A': -8.874829, ' It': -7.450319}
{' That': -7.154386, ' No': -0.044267107, 'No': -3.4898045, ' B': -5.02102, ' It': -5.775817}
{' No': -0.32189876, '\n': -4.810195, ' ': -5.218785, 'No': -1.3524431, ' A': -6.5728264}
{' No': -0.36188895, '\n': -4.732561, ' ': -5.084018, 'No': -1.2699661, ' B': -5.131526}
{' No': -0.12140552, ' Generally': -4.9353824, 'No': -3.118531, ' A': -3.86093, ' It': -3.9584527}
{' No': -0.22323099, ' Generally': -4.1678057, 'No': -2.5094936, ' B': -2.6635444, ' It': -4.6673894}
{' No': -0.20949253, ' Generally': -4.7732434, 'No': -2.0244396, ' A': -4.578503, ' It': -3.8714492}
{' No': -0.366018, ' Generally': -3.9457176, 'No': -2.0635924, ' B': -2.5859032, ' It': -3.355786}
{' No': -0.22044693, ' ': -8.017011, ' Generally': -7.173764, 'No': -1.6351751, ' It': -6.885085}
{' No': -0.37252975, ' Generally': -3.7352023, 'No': -1.4759481, ' B': -3.9522717, ' It': -3.8885531}
{' No': -0.29465863, ' ': -7.0387383, ' Generally': -6.4380417, 'No': -1.3960398, ' It': -5.907442}
{' No': -0.3136205, ' Generally': -5.753667, 'No': -1.4275731, ' B': -4.055823, ' It': -5.8835187}
{' No': -0.058301974, ' Generally': -6.2367606, 'No': -2.9792535, ' B': -7.971048, ' It': -6.3670173}
{' No': -0.14685573, ' Generally': -4.442775, 'No': -2.4175868, ' B': -3.6921475, ' It': -5.395213}
{' No': -0.9482267, ' Generally': -5.5257163, 'No': -0.52189803, ' B': -6.16596, ' It': -5.278242}
{' No': -0.8114891, ' Generally': -4.644001, 'No': -0.6904621, ' B': -3.7585049, ' It': -5.106554}
{' No': -0.18999365, ' Generally': -5.257956, 'No': -1.840472, ' A': -6.473375, ' B': -6.341686}
{' No': -0.55110794, ' Generally': -2.878085, 'No': -1.6577708, ' Yes': -3.7323887, ' B': -2.3280723}
{' No': -0.039637987, ' ': -5.4467993, 'No': -3.7755082, ' It': -5.339328, ' no': -5.4089503}
{' No': -0.04546784, ' ': -5.9266133, 'No': -3.5191863, ' B': -5.7705154, ' It': -5.5170617}
{' No': -0.1967148, '\n': -5.8232803, ' ': -5.8423777, 'No': -1.8473533, ' It': -4.8176193}
{' No': -0.20960793, '\n': -5.0151668, 'No': -1.8593081, ' B': -5.2654223, ' It': -4.717674}
{' No': -0.3593761, '\n': -3.5073402, ' ': -5.328477, 'No': -1.3429118, ' A': -6.207391}
{' No': -0.4582855, '\n': -2.7394211, ' ': -4.6231794, 'No': -1.2996094, ' B': -4.258603}
{' No': -0.049085412, '\n': -7.728372, ' ': -7.0609145, 'No': -3.114435, ' It': -6.9057364}
{' No': -0.11457977, ' Generally': -6.990485, 'No': -2.3026903, ' B': -5.781886, ' It': -6.4234743}
{' No': -0.4796891, '\n': -3.3889241, ' ': -5.289721, 'No': -1.0867373, ' no': -6.133633}
{' No': -0.4431784, '\n': -3.97077, ' ': -5.3567796, 'No': -1.1110003, ' no': -6.257934}
{' That': -3.5462997, ' No': -0.3822757, 'No': -2.8698242, ' It': -1.9775476, ' no': -4.0863914}
{' No': -0.23924293, 'No': -2.1792147, ' B': -3.6246738, ' It': -4.148244, ' no': -4.1432385}
{' No': -0.021464638, '\n': -5.68069, ' ': -6.308103, 'No': -4.455169, ' It': -6.257201}
{' No': -0.067372315, '\n': -4.497933, ' Generally': -5.104993, 'No': -3.8448684, ' B': -4.1566343}
{' No': -0.114987455, '\n': -4.289401, ' ': -5.481942, ' Generally': -6.1619306, 'No': -2.456399}
{' No': -0.12802131, '\n': -3.5604632, ' ': -5.218601, 'No': -2.610201, ' B': -4.949957}
{' No': -0.09242978, '\n': -4.265184, ' ': -5.383426, 'No': -2.7535703, ' A': -6.0911365}
{' No': -0.113870434, '\n': -4.040207, ' ': -5.204046, 'No': -2.6506765, ' B': -4.701963}
{' No': -0.028189808, '\n': -5.925364, ' ': -5.7917867, 'No': -3.8712356, ' A': -7.8299336}
{' No': -0.06095216, '\n': -5.175235, ' ': -5.681483, 'No': -3.1403587, ' B': -5.426957}
{' No': -0.07750317, '\n': -5.3815975, ' ': -5.8257437, 'No': -2.7192323, ' A': -7.471459}
{' No': -0.086237006, '\n': -5.472351, ' ': -5.531448, 'No': -2.6298847, ' B': -6.4721003}
{' No': -0.09694546, '\n': -4.8168845, 'No': -3.2948613, ' A': -4.7415557, ' It': -4.2423234}
{' No': -0.12717594, '\n': -4.7171454, ' ': -4.8529735, 'No': -2.6773925, ' B': -3.903358}
{' No': -0.08839297, ' Generally': -5.552649, 'No': -3.5291944, ' Yes': -3.3405309, ' It': -5.04756}
{' No': -0.078492895, ' Generally': -4.3616977, 'No': -3.4247108, ' B': -4.3645625, ' It': -4.9175963}
{' That': -5.431591, ' No': -0.18131307, ' Generally': -4.6759243, 'No': -2.02228, ' It': -4.4240613}
{' No': -0.25347945, ' Generally': -3.678326, 'No': -1.9492363, ' B': -3.7312264, ' It': -4.342858}
{' No': -0.14772771, ' Generally': -5.379612, 'No': -2.1581762, ' Yes': -5.764122, ' It': -5.371994}
{' No': -0.23426424, '\n': -4.9150696, 'No': -1.8446137, ' B': -4.097049, ' It': -4.862495}
{' That': -5.794641, ' No': -0.10407996, ' Generally': -5.351806, 'No': -2.540359, ' It': -5.1580043}
{' No': -0.1467684, ' Generally': -5.3674507, 'No': -2.17329, ' B': -4.3952765, ' It': -6.14622}
{' No': -0.17329933, '\n': -5.114055, ' ': -6.5383782, ' Generally': -6.019036, 'No': -1.9344746}
{' No': -0.30154482, '\n': -3.8825555, 'No': -1.7401814, ' B': -3.9774232, ' It': -4.3306355}
{' No': -0.26403877, ' Not': -6.234728, ' Generally': -4.5898275, 'No': -1.556281, ' A': -5.816138}
{' No': -0.24891481, ' Not': -5.6917915, ' Generally': -4.8482456, 'No': -1.6237602, ' B': -4.913803}
{' That': -8.04471, ' No': -0.011693961, ' Generally': -8.053347, 'No': -4.776611, ' It': -6.4255958}
{' No': -0.035180803, '\n': -5.8707438, 'No': -4.0376315, ' B': -5.734384, ' It': -5.242229}
{' That': -6.148103, ' No': -0.10628847, '\n': -5.1610255, 'No': -2.5106826, ' It': -4.9908366}
{' No': -0.15487735, ' Generally': -5.2840676, 'No': -2.2976117, ' B': -5.079146, ' It': -4.0247293}
{' No': -0.25160173, '\n': -2.2862582, ' ': -4.622743, 'No': -2.2894895, ' It': -5.684425}
{' No': -0.36973077, '\n': -1.6329507, ' ': -4.398318, 'No': -2.5352275, ' B': -4.619059}
{' That': -5.668117, ' No': -0.03357078, ' Generally': -7.362451, 'No': -4.1486316, ' It': -4.457248}
{' No': -0.046198603, ' Generally': -6.8367243, 'No': -3.4315078, ' B': -5.4872656, ' It': -5.2744303}
{' No': -0.36226106, '\n': -4.472986, ' ': -5.6744018, 'No': -1.2543415, ' A': -6.5950737}
{' No': -0.31998348, '\n': -3.9446383, ' ': -5.487236, 'No': -1.415904, ' B': -5.317642}
{' No': -0.09858268, ' Generally': -6.558722, 'No': -2.4938254, ' A': -6.202792, ' It': -5.7912436}
{' No': -0.18256405, ' Generally': -6.1383686, 'No': -1.9503366, ' B': -4.3008404, ' It': -6.1374054}
{' No': -0.23309551, ' Generally': -4.2648544, 'No': -1.9168935, ' Yes': -4.0589905, ' It': -4.4254284}
{' No': -0.31735948, ' Not': -4.709987, 'No': -1.6005416, ' B': -4.0698276, ' It': -4.005222}
{' No': -0.19143061, ' ': -8.498361, 'No': -1.7502666, ' It': -9.759458, ' no': -9.634165}
{' No': -0.3656612, ' Not': -6.0549192, 'No': -1.2527729, ' B': -4.8586473, ' It': -5.2931533}
{' No': -0.1717213, '\n': -8.545582, ' ': -8.074486, 'No': -1.8525283, ' Yes': -8.936521}
{' That': -5.1169353, ' No': -0.6551358, 'No': -0.8374689, ' B': -4.388452, ' It': -4.186714}
{' No': -0.06821327, ' Not': -10.6045, ' ': -8.967468, ' Generally': -10.803363, 'No': -2.7236545}
{' No': -0.16324896, ' Not': -7.1991224, ' Generally': -7.1357837, 'No': -1.9383249, ' B': -5.5173287}
{' No': -0.51940286, '\n': -6.3362303, ' ': -7.6171136, 'No': -0.91107315, ' It': -8.678634}
{' That': -5.9579644, ' No': -0.7791643, 'No': -0.68530375, ' B': -3.9833574, ' It': -5.4940405}
{' No': -0.2563825, '\n': -6.9343295, ' ': -8.415249, 'No': -1.4963784, ' Bat': -8.553082}
{' No': -0.5104936, '\n': -7.0476737, 'No': -0.95149744, 'B': -7.354249, ' B': -4.6300445}
{' No': -0.0058670593, '\n': -8.701843, ' ': -7.447788, 'No': -5.3754992, ' It': -8.684293}
{' No': -0.02625317, '\n': -6.9571743, 'No': -4.254572, ' B': -6.7137833, ' It': -4.9433384}
{' No': -0.14575534, '\n': -6.0568786, ' ': -6.949162, 'No': -2.0447764, ' It': -6.85986}
{' That': -3.1269794, ' No': -0.6086442, '\n': -4.070642, 'No': -1.7552431, ' It': -1.6554563}
{' No': -0.59413016, '\n': -1.4645907, ' ': -4.3605027, 'No': -1.6682478, ' It': -4.741053}
{' No': -0.5779422, '\n': -1.6389735, ' ': -4.938527, 'No': -1.6867068, ' It': -3.402241}
{' That': -6.7979913, ' No': -0.04670454, ' ': -7.947947, 'No': -3.1707199, ' It': -6.7094903}
{' That': -5.401927, ' No': -0.12390412, 'No': -2.34529, ' B': -5.7890425, ' It': -4.866517}
{' No': -0.42366254, '\n': -3.022894, ' ': -5.6119595, 'No': -1.2368149, ' no': -6.9144573}
{' No': -0.47283924, '\n': -2.933561, ' ': -5.4884524, 'No': -1.151943, ' no': -7.101602}
{' No': -0.088128, '\n': -5.990818, 'No': -2.6775348, ' It': -5.9811993, ' no': -5.328751}
{' That': -4.420601, ' No': -0.29270595, 'No': -1.8780007, ' B': -4.5530186, ' It': -3.078894}
{' No': -0.011784183, '\n': -6.3172946, ' ': -7.536091, 'No': -5.014668, ' It': -6.59742}
{' No': -0.047615215, '\n': -4.3284416, 'No': -4.072195, ' B': -5.209856, ' It': -5.6008816}
{' No': -0.12925051, '\n': -4.0660067, ' ': -5.822882, 'No': -2.3539743, ' It': -6.4120984}
{' No': -0.34635168, '\n': -1.8733997, ' ': -4.612791, 'No': -2.5303993, ' It': -3.886255}
{' No': -0.17553402, '\n': -2.7567909, ' ': -4.6780915, 'No': -2.5365474, ' It': -5.504742}
{' No': -0.17481272, '\n': -2.6544135, ' ': -4.844404, 'No': -2.763161, ' It': -4.9573026}
{' No': -0.021341568, '\n': -6.3850303, ' ': -6.5279083, 'No': -4.0977726, ' It': -7.6772904}
{' No': -0.10625559, '\n': -3.2106142, ' ': -5.104712, 'No': -3.1581028, ' B': -5.078248}
{' No': -0.069892436, '\n': -5.0941043, ' ': -6.1785, 'No': -2.8494353, ' A': -7.4927473}
{' No': -0.05165487, '\n': -5.022295, ' ': -5.9491706, 'No': -3.2927969, ' B': -6.322628}
{' No': -0.111654416, '\n': -4.3939133, 'No': -2.9021912, ' A': -5.23752, ' It': -4.2684937}
{' No': -0.14138947, '\n': -4.0889735, ' ': -5.1519246, 'No': -2.5462203, ' B': -3.9969363}
{' No': -5.523909, ' Generally': -4.573334, ' A': -7.4400086, ' Yes': -0.02006606, 'Yes': -5.671086}
{' No': -3.4189672, ' On': -5.3947344, ' Generally': -3.2180207, ' Yes': -0.099198505, ' Pigs': -5.4236975}
{' No': -0.33767036, ' Generally': -4.520959, 'No': -2.7868586, ' A': -5.5932164, ' Yes': -1.6053782}
{' No': -1.2828848, ' Generally': -4.064104, 'No': -3.8068123, ' Yes': -0.43351766, ' Pigs': -4.041212}
{' No': -0.6223949, 'No': -3.021174, ' A': -4.918646, ' Yes': -0.9489769, 'Yes': -4.792805}
{' No': -0.44330892, 'No': -2.694808, ' Yes': -1.4876927, ' Pigs': -3.246911, 'Yes': -5.0650682}
{' No': -4.140208, ' Generally': -4.7988167, ' A': -6.404064, ' Yes': -0.033682477, 'Yes': -5.345038}
{' No': -2.7401776, ' Generally': -3.9196763, ' Yes': -0.12843947, ' Pigs': -3.890322, 'Yes': -5.121638}
{' No': -0.19612722, '\n': -4.8549733, ' Generally': -5.1843452, 'No': -1.9852506, ' Yes': -4.506289}
{' No': -1.0090133, ' Generally': -4.1554956, 'No': -3.0762243, ' Yes': -0.69516474, ' Pigs': -3.4486494}
{' No': -0.88004416, ' Generally': -3.6940067, 'No': -3.4589167, ' A': -4.5365953, ' Yes': -0.706586}
{' No': -2.9933455, ' Generally': -4.6814423, ' Yes': -0.111299984, ' Pigs': -4.606423, 'Yes': -3.7740328}
{' No': -5.044893, ' ': -7.828361, ' Yes': -0.008991268, ' yes': -8.311769, 'Yes': -6.6064487}
{' No': -2.3572195, ' ': -7.0226746, ' Generally': -6.8424454, ' Yes': -0.10721961, 'Yes': -6.0886283}
{' No': -0.07092104, ' ': -6.051159, 'No': -2.9517002, ' A': -5.7208977, ' Yes': -4.954731}
{' No': -0.34599262, ' Generally': -5.544685, 'No': -3.2555344, ' Yes': -1.5287395, ' Pigs': -3.756942}
{' No': -0.14318231, '\n': -3.7123199, 'No': -2.5339866, ' A': -4.564111, ' Yes': -4.696504}
{' No': -0.17724413, '\n': -3.0059357, ' ': -4.420761, 'No': -2.4720726, ' Pigs': -4.353122}
{' No': -0.06767662, ' ': -6.815529, 'No': -4.6047764, ' A': -7.3970375, ' Yes': -2.934296}
{' No': -0.042320296, ' ': -7.4509754, 'No': -4.253042, ' Yes': -3.7385445, ' Pigs': -6.052402}
{' No': -0.26536325, '\n': -4.3779273, ' ': -4.9649105, 'No': -1.5574602, ' A': -6.5023475}
{' No': -0.23306723, '\n': -4.5195336, ' ': -4.730704, 'No': -1.6993109, ' Pigs': -5.6956983}
{' No': -0.71022606, ' ': -5.242898, 'No': -4.148512, ' A': -4.1724358, ' Yes': -0.7785988}
{' No': -2.6820827, ' Yes': -0.11352497, ' yes': -5.2614884, ' Pigs': -4.8282104, 'Yes': -4.229583}
{' No': -1.4645393, 'No': -3.1686065, ' A': -3.7628973, ' Yes': -0.43506512, 'Yes': -3.7220123}
{' No': -2.6839123, 'No': -4.3846927, ' Yes': -0.16220671, ' Pigs': -4.2665315, 'Yes': -3.4238603}
{' No': -0.11117861, ' ': -7.7500753, ' Generally': -8.823302, 'No': -2.2715924, ' Yes': -6.777215}
{' No': -0.7432853, ' Generally': -5.2867746, 'No': -2.2280762, ' Yes': -0.94700545, 'Yes': -3.9592903}
{' No': -0.26943913, ' Generally': -6.361707, 'No': -1.805341, ' Yes': -2.76312, 'Yes': -5.699628}
{' No': -0.6586167, 'No': -2.0153654, ' Yes': -1.1592577, ' Pigs': -4.711084, 'Yes': -3.9497848}
{' No': -0.18255791, ' ': -7.9249206, 'No': -3.5936143, ' Yes': -1.9927443, 'Yes': -6.426679}
{' No': -3.3250558, 'No': -6.1345863, ' Yes': -0.056493495, ' Pigs': -6.475649, 'Yes': -4.3073306}
{' No': -0.7645709, '\n': -6.360345, ' Generally': -5.845621, 'No': -0.65836775, ' Pigs': -5.273106}
{' No': -0.86711586, ' Generally': -3.662628, 'No': -0.93523115, ' Yes': -2.8627822, ' Pigs': -2.7760649}
{' No': -0.14106849, ' Generally': -6.8435597, 'No': -2.0835598, ' Yes': -6.241278, ' Pigs': -6.2574377}
{' No': -3.750233, ' Generally': -4.7840176, ' Yes': -0.102867365, ' Pigs': -4.45829, 'Yes': -3.1988642}
{' No': -4.792258, ' ': -5.9953375, ' Yes': -0.04322302, ' yes': -3.6633227, 'Yes': -5.42158}
{' No': -5.6054583, ' ': -6.7340097, ' Yes': -0.03773606, ' yes': -3.6446028, 'Yes': -5.2842436}
{' No': -0.26274717, ' ': -5.5220857, 'No': -2.7100394, ' Yes': -1.9077208, 'Yes': -5.5954037}
{' No': -2.1286368, 'No': -4.150766, ' Yes': -0.20317058, ' Pigs': -4.8440127, 'Yes': -3.8020568}
{' No': -0.24831922, '\n': -3.661815, 'No': -1.8894135, ' A': -4.3178744, ' Yes': -4.02061}
{' No': -0.47211605, '\n': -2.041471, 'No': -2.154127, ' Yes': -2.6626105, ' Pigs': -3.504478}
{' No': -0.3647647, ' ': -6.3237066, 'No': -4.009975, ' Yes': -1.2711368, 'Yes': -5.950784}
{' No': -2.5627637, 'No': -6.1078067, ' Yes': -0.09766995, ' yes': -6.3343563, 'Yes': -4.6809063}
{' No': -0.3790699, '\n': -3.3677802, ' ': -5.2255664, 'No': -1.3005825, ' no': -6.4059258}
{' No': -0.28547224, '\n': -3.8549547, ' ': -5.059543, 'No': -1.5326416, ' no': -6.5299897}
{' No': -1.3286154, 'No': -4.4223447, ' Yes': -0.4854034, ' yes': -2.777321, 'Yes': -4.6444874}
{' No': -5.2135453, '\n': -5.679685, ' Yes': -0.13698073, ' yes': -2.4288278, 'Yes': -3.782233}
{' No': -4.7895136, '\n': -7.0091767, ' ': -7.1766424, ' Yes': -0.013049108, 'Yes': -6.2045197}
{' No': -0.49787378, '\n': -4.9649835, ' ': -5.816494, 'No': -5.234682, ' Yes': -0.98831797}
{' No': -0.24045579, '\n': -3.913515, ' ': -4.9954453, 'No': -3.1296768, ' Yes': -1.9902766}
{' No': -0.3839555, '\n': -3.3336928, 'No': -3.2708952, ' Yes': -1.5632539, ' Pigs': -4.025906}
{' No': -0.13844314, '\n': -4.161919, 'No': -2.9610195, ' A': -4.6215076, ' Yes': -3.1443484}
{' No': -0.14422575, '\n': -3.826305, 'No': -2.931726, ' Yes': -3.7917628, ' Pigs': -3.7245405}
{' No': -0.21625507, '\n': -5.297621, ' ': -4.9588165, 'No': -4.8351703, ' Yes': -1.7644786}
{' No': -0.19567096, '\n': -4.2334766, ' ': -4.6890388, 'No': -3.9937456, ' Yes': -2.0464761}
{' No': -0.06846249, '\n': -5.0279994, ' ': -5.7476, 'No': -2.8886926, ' A': -7.72218}
{' No': -0.07209212, '\n': -4.960455, ' ': -5.103748, 'No': -2.928993, ' Yes': -6.4475403}
{' No': -2.5577588, '\n': -5.2901673, ' ': -5.188731, ' Yes': -0.11361565, 'Yes': -4.9681935}
{' No': -4.644815, ' ': -5.7607794, ' Yes': -0.032740973, ' yes': -5.6970415, 'Yes': -4.460363}
{' No': -5.8527446, ' Generally': -6.7858806, ' A': -7.17032, ' Yes': -0.007814201, 'Yes': -5.911051}
{' No': -1.0072042, ' Generally': -3.481037, 'No': -4.9806347, ' Yes': -0.55488783, ' Pigs': -4.831127}
{' No': -2.21217, ' Generally': -5.0035458, 'No': -4.9721355, ' Yes': -0.15103179, 'Yes': -4.3705235}
{' No': -3.5045762, ' Generally': -4.615488, 'No': -6.638916, ' Yes': -0.056475017, 'Yes': -4.7367268}
{' No': -0.92818075, 'No': -4.067402, ' A': -5.301071, ' Yes': -0.568367, 'Yes': -4.8065166}
{' No': -1.8941582, ' Generally': -5.147645, 'No': -4.579493, ' Yes': -0.21543014, 'Yes': -4.1678796}
{' No': -4.385126, ' Generally': -5.734085, ' A': -5.8024554, ' Yes': -0.02384984, 'Yes': -5.4870243}
{' No': -3.0899713, ' Generally': -4.939926, ' Yes': -0.065128215, ' Pigs': -6.599979, 'Yes': -5.0763106}
{' No': -0.16047716, '\n': -4.834666, 'No': -2.5608907, ' A': -5.133581, ' Yes': -3.1013913}
{' No': -1.6473863, ' Generally': -4.362142, 'No': -4.087335, ' Yes': -0.30706388, 'Yes': -3.980451}
{' No': -2.4936705, ' Generally': -4.3819456, 'No': -4.739312, ' Yes': -0.14348133, 'Yes': -3.9855127}
{' No': -3.8363907, ' Generally': -4.9372168, 'No': -6.578494, ' Yes': -0.04990493, 'Yes': -4.2638597}
{' No': -5.7215295, '\n': -7.7620645, ' ': -7.67981, ' Yes': -0.0064532943, 'Yes': -6.352898}
{' No': -1.7088286, '\n': -6.7296224, 'No': -7.151446, ' Yes': -0.2059905, 'Yes': -6.3709836}
{' No': -0.44143453, '\n': -4.215471, 'No': -3.4893737, ' A': -4.983827, ' Yes': -1.226318}
{' No': -3.637952, '\n': -6.335029, ' Generally': -6.4724836, ' Yes': -0.04561568, 'Yes': -4.472976}
{' No': -0.36150786, '\n': -2.246836, ' ': -3.8854566, 'No': -3.2416365, ' Yes': -2.0796168}
{' No': -0.6633544, '\n': -1.408216, ' ': -3.9856734, 'No': -3.2914786, ' Yes': -1.7531886}
{' No': -3.9553244, ' ': -7.8496037, ' A': -8.639164, ' Yes': -0.022039672, 'Yes': -6.35977}
{' No': -2.2958682, ' Generally': -8.626726, 'No': -7.56925, ' Yes': -0.109649934, 'Yes': -6.2280383}
{' No': -0.1806472, '\n': -3.4979935, ' ': -4.5359383, 'No': -2.1964285, ' Yes': -4.9086533}
{' No': -0.16038255, '\n': -3.4889002, ' ': -5.1948385, 'No': -2.2564728, ' Yes': -5.3833914}
