{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -0.19598053, 'No': -5.2077966, ' Yes': -1.7644277, ' The': -8.836602, 'Yes': -7.405794}
{' No': -0.2163725, '\n': -5.317832, 'No': -2.4486723, ' Yes': -2.3314028, 'Yes': -5.564456}
{' No': -3.3488467, 'No': -7.0714283, ' Yes': -0.043524362, ' yes': -8.252148, 'Yes': -5.1682553}
{' No': -0.7107441, '\n': -6.316077, 'No': -7.290732, ' Yes': -0.683673, 'Yes': -7.622115}
{' No': -0.30046487, '\n': -7.1082187, 'No': -4.58881, ' Yes': -1.4057239, 'Yes': -6.269329}
{' No': -1.4609219, '\n': -4.4675117, 'No': -5.436849, ' Yes': -0.30372396, 'Yes': -4.675075}
{' No': -0.05913564, ' ': -8.687298, 'No': -5.8974175, ' Yes': -2.913773, 'Yes': -9.058647}
{' No': -0.29001334, '\n': -4.4348974, ' ': -4.6814938, 'No': -2.912341, ' Yes': -1.7947588}
{' No': -0.9163081, 'No': -5.76405, ' Yes': -0.52299947, ' yes': -6.6767964, 'Yes': -6.224724}
{' No': -2.5689106, 'No': -5.1565948, ' Yes': -0.1151085, ' yes': -5.607324, 'Yes': -3.841774}
{' No': -0.48322603, 'No': -3.0552585, ' Yes': -1.1245663, ' yes': -7.210328, 'Yes': -4.6243315}
{' No': -0.84967554, 'No': -3.9195607, ' Yes': -0.6192508, ' yes': -6.9608107, 'Yes': -4.3900447}
{' No': -0.73953086, 'No': -4.681029, ' Yes': -0.6782898, ' yes': -7.91705, 'Yes': -5.2604923}
{' No': -0.17229939, ' Not': -7.0304556, 'No': -2.2162828, ' Yes': -3.0992725, 'Yes': -6.3228846}
{' No': -0.5672664, 'No': -3.2109506, ' Yes': -0.96642876, ' yes': -7.583553, 'Yes': -4.497055}
{' No': -2.5076752, ' Yes': -0.25152966, ' yes': -2.041212, 'Yes': -6.2203655, ' no': -5.302944}
{' No': -0.7691322, 'No': -4.0407557, ' Yes': -0.6962715, ' yes': -5.0719156, 'Yes': -4.695642}
{' No': -2.1185563, '\n': -3.7341812, ' Yes': -0.22729038, ' yes': -4.0450144, 'Yes': -3.5665178}
{' No': -0.9057383, 'No': -4.6416674, ' Yes': -0.55382866, ' yes': -5.8235407, 'Yes': -5.179038}
{' No': -0.31009495, '\n': -3.423563, 'No': -2.2294579, ' Yes': -2.2921526, 'Yes': -4.7282686}
{' No': -3.5761297, '\n': -6.457218, ' Yes': -0.053426735, ' yes': -4.0703406, 'Yes': -5.4732704}
{' No': -1.8411933, 'No': -7.8419886, ' Yes': -0.17707556, ' yes': -6.6640806, 'Yes': -6.60254}
{' No': -0.7422968, '\n': -5.1136136, 'No': -5.023665, ' Yes': -0.682633, 'Yes': -5.4178944}
{' No': -2.2333894, '\n': -4.5273633, 'No': -6.2219787, ' Yes': -0.14423229, 'Yes': -4.502188}
{' No': -0.6541091, '\n': -6.2598124, 'No': -6.3355756, ' Yes': -0.7467015, 'Yes': -6.816375}
{' No': -1.290469, '\n': -4.5773473, 'No': -5.0891485, ' Yes': -0.36928645, 'Yes': -4.3349104}
{' No': -5.024071, '\n': -8.78542, ' Yes': -0.016676275, ' yes': -5.5915413, 'Yes': -5.176182}
{'\n': -12.812021, ' ': -12.2242365, ' Yes': -0.0008433579, ' yes': -10.547809, 'Yes': -7.130499}
{' No': -4.636944, 'No': -8.345118, ' Yes': -0.018417813, ' yes': -7.9367332, 'Yes': -4.891663}
{' No': -6.0732074, ' ': -8.112613, ' Yes': -0.01807005, ' yes': -7.335237, 'Yes': -4.258304}
{' No': -6.9512315, ' Yes': -0.0021315438, ' yes': -9.578904, 'Yes': -6.922934, ' In': -10.517925}
{' No': -6.871586, '\n': -8.064581, ' ': -8.316617, ' Yes': -0.027067512, 'Yes': -3.6999342}
{' No': -8.144369, ' ': -9.763947, ' Yes': -0.006975347, ' yes': -8.10149, 'Yes': -5.0953865}
{'\n': -8.016304, ' ': -8.44825, ' Yes': -0.0018645767, ' yes': -7.73226, 'Yes': -7.0880113}
{' No': -5.302625, ' ': -7.743325, ' Yes': -0.012563588, ' yes': -7.2658987, 'Yes': -5.13104}
{'\n': -5.5270596, ' ': -6.5212603, ' Yes': -0.026290677, ' yes': -6.9593387, 'Yes': -3.9542975}
{' No': -5.73058, ' ': -9.514475, ' Yes': -0.004673872, ' yes': -8.522308, 'Yes': -6.8129735}
{' No': -5.6818123, '\n': -5.2538495, ' ': -5.33075, ' Yes': -0.105606586, 'Yes': -2.5019479}
{' No': -7.8734837, ' ': -9.060126, ' Yes': -0.005609463, ' yes': -6.2094016, 'Yes': -5.8340335}
{' No': -7.724205, ' Yes': -0.023645248, ' yes': -4.966486, 'Yes': -4.1773868, 'yes': -8.1725025}
{' No': -4.7539945, 'No': -7.604266, ' Yes': -0.030882956, ' yes': -6.2306433, 'Yes': -3.965951}
{' No': -4.8190813, 'No': -7.698285, ' Yes': -0.03656101, ' yes': -5.771332, 'Yes': -3.7471206}
{' No': -6.530287, ' ': -9.485966, ' Yes': -0.011609958, ' yes': -7.122003, 'Yes': -4.7054043}
{' No': -6.500216, 'No': -8.60303, ' Yes': -0.030959556, ' yes': -7.8687162, 'Yes': -3.5725164}
{' No': -6.5956984, ' Yes': -0.06910851, ' yes': -5.911802, 'Yes': -2.7849076, 'yes': -7.2876577}
{' ': -6.18155, ' Yes': -0.23795813, ' yes': -1.5822477, 'Yes': -6.158475, 'yes': -7.0884976}
{' No': -7.310891, '\n': -7.0813766, ' Yes': -0.03180085, ' yes': -4.476272, 'Yes': -4.058456}
{'\n': -4.563959, ' ': -5.9866357, ' Yes': -0.08155097, ' yes': -4.249556, 'Yes': -3.0151293}
{' No': -8.065669, '\n': -7.5252905, ' Yes': -0.009612319, ' yes': -5.928939, 'Yes': -5.1592665}
{' No': -3.7230358, '\n': -3.8146768, ' Yes': -0.19907212, ' yes': -4.060875, 'Yes': -2.3003466}
{' No': -7.2671623, '\n': -7.4929404, ' Yes': -0.023412995, ' yes': -4.0706406, 'Yes': -5.4875565}
{' No': -8.918749, ' ': -9.13188, ' Yes': -0.0026150732, ' yes': -6.94232, 'Yes': -6.6793227}
{' No': -6.23841, '\n': -5.9412627, ' Yes': -0.017072417, ' yes': -7.162526, 'Yes': -4.526094}
{'\n': -6.234574, ' ': -7.1697426, ' Yes': -0.020216463, ' yes': -7.1313844, 'Yes': -4.1212444}
{'\n': -7.9154983, ' ': -8.097606, ' Yes': -0.0030174665, ' yes': -8.043713, 'Yes': -6.261394}
{'\n': -5.3993692, ' ': -6.823802, ' Yes': -0.039540626, ' yes': -6.328424, 'Yes': -3.4976246}
{'\n': -8.791039, ' ': -8.957974, ' Yes': -0.010556632, ' yes': -5.664771, 'Yes': -5.038995}
{' No': -9.038865, '\n': -10.868945, ' Yes': -0.0017084321, ' yes': -10.308698, 'Yes': -6.4967775}
{' No': -3.459745, 'No': -6.98796, ' Yes': -0.04563097, ' yes': -7.8419547, 'Yes': -4.504218}
{' No': -4.6433825, ' ': -7.7345033, ' Yes': -0.026014375, ' yes': -7.492814, 'Yes': -4.255132}
{' No': -4.116944, 'No': -9.448348, ' Yes': -0.01849085, ' yes': -9.436482, 'Yes': -6.327594}
{' No': -4.4901443, '\n': -6.92743, 'No': -6.962668, ' Yes': -0.040481042, 'Yes': -3.6631863}
{' No': -8.387442, ' ': -9.857416, ' Yes': -0.0061918283, ' yes': -8.371188, 'Yes': -5.194874}
{' No': -6.553844, '\n': -7.6812162, ' Yes': -0.003513329, ' yes': -7.8719463, 'Yes': -7.0090003}
{' No': -5.8524485, ' ': -7.572602, ' Yes': -0.013833003, ' yes': -7.376982, 'Yes': -4.694657}
{'\n': -5.31348, ' ': -6.1828685, ' Yes': -0.025542825, ' yes': -7.229776, 'Yes': -4.070396}
{' No': -5.5545273, ' ': -8.910646, ' Yes': -0.005315799, ' yes': -8.738955, 'Yes': -6.8204093}
{' No': -4.501944, '\n': -4.7984943, ' ': -5.0339384, ' Yes': -0.09361124, 'Yes': -2.8394532}
{' No': -8.770212, ' ': -8.61934, ' Yes': -0.006017557, ' yes': -6.18235, 'Yes': -5.658729}
{' No': -6.487486, ' Yes': -0.028953388, ' yes': -5.179975, 'Yes': -3.8769355, 'yes': -8.308284}
{' No': -5.6610775, 'No': -8.397443, ' Yes': -0.02903929, ' yes': -6.638515, 'Yes': -3.7620182}
{' No': -4.64199, 'No': -7.6556196, ' Yes': -0.036325175, ' yes': -6.1866198, 'Yes': -3.777082}
{' No': -4.560313, 'No': -8.191422, ' Yes': -0.02449716, ' yes': -6.9912896, 'Yes': -4.4060774}
{' No': -4.903729, 'No': -6.7239957, ' Yes': -0.052382395, ' yes': -7.6681805, 'Yes': -3.1881492}
{' No': -8.0269575, ' Yes': -0.0864387, ' yes': -7.7002573, 'Yes': -2.506126, 'yes': -7.9732966}
{'\n': -6.8434615, ' ': -6.0773787, ' Yes': -0.2630864, ' yes': -1.4989797, 'Yes': -5.8348293}
{'\n': -6.826192, ' ': -7.0496473, ' Yes': -0.042096652, ' yes': -4.459392, 'Yes': -3.6186595}
{'\n': -4.5163174, ' ': -5.88707, ' Yes': -0.086397305, ' yes': -3.8675213, 'Yes': -3.0767574}
{'\n': -7.9939575, ' ': -8.594443, ' Yes': -0.010704106, ' yes': -5.9311943, 'Yes': -4.926544}
{' No': -4.704954, '\n': -3.9363768, ' Yes': -0.17526482, ' yes': -3.774464, 'Yes': -2.3345685}
{'\n': -7.210506, ' Yes': -0.026786583, ' yes': -3.9483428, 'Yes': -5.1759105, 'yes': -8.104215}
{' No': -6.3482714, ' ': -9.161177, ' Yes': -0.0042609954, ' yes': -7.165025, 'Yes': -6.5265326}
{' No': -5.4409246, '\n': -5.640912, ' Yes': -0.023724709, ' yes': -7.143447, 'Yes': -4.2786455}
{'\n': -5.6412454, ' ': -6.6322746, ' Yes': -0.025615897, ' yes': -7.1968193, 'Yes': -3.9554996}
{' No': -6.837495, '\n': -7.241248, ' ': -7.735484, ' Yes': -0.004920626, 'Yes': -6.0370417}
{' No': -6.4821343, '\n': -5.322499, ' Yes': -0.03733523, ' yes': -6.3854866, 'Yes': -3.6102471}
{'\n': -8.670796, ' Yes': -0.016016608, ' yes': -5.414231, 'Yes': -4.5281835, 'yes': -8.643883}
{' No': -8.957512, ' ': -11.840278, ' Yes': -0.0007095007, ' yes': -10.736174, 'Yes': -7.545511}
{' No': -1.3875413, 'No': -5.0074005, ' Yes': -0.30761006, ' yes': -8.134598, 'Yes': -4.9753537}
{' No': -2.075706, 'No': -5.4573836, ' Yes': -0.15500394, ' yes': -7.4947357, 'Yes': -4.4100947}
{' No': -1.1497116, 'No': -6.563137, ' Yes': -0.3861694, ' The': -8.375668, 'Yes': -6.6572304}
{' No': -2.110102, '\n': -6.3307037, 'No': -4.672678, ' Yes': -0.16840003, 'Yes': -3.8770044}
{' No': -2.1420045, 'No': -5.8375473, ' Yes': -0.13688686, ' yes': -8.074242, 'Yes': -5.1332474}
{' No': -3.5992193, ' ': -8.208941, ' Yes': -0.029772814, ' yes': -7.317242, 'Yes': -7.2627587}
{' No': -2.0303628, ' ': -7.223796, 'No': -6.2700834, ' Yes': -0.15182681, 'Yes': -5.1793513}
{' No': -5.7856197, '\n': -5.583245, ' ': -6.4571304, ' Yes': -0.02488737, 'Yes': -4.207815}
{' No': -0.112712435, ' ': -8.11221, 'No': -6.0946856, ' Yes': -2.266794, 'Yes': -8.58224}
{' No': -0.57364184, '\n': -4.1101522, 'No': -2.802621, ' Yes': -1.1378984, 'Yes': -3.7539282}
{' No': -0.67719233, 'No': -5.2905364, ' Yes': -0.7296806, ' yes': -6.873292, 'Yes': -6.140863}
{' No': -2.6289272, 'No': -5.447223, ' Yes': -0.105897896, ' yes': -5.0839405, 'Yes': -4.116152}
{' No': -0.1061905, ' ': -8.497285, 'No': -3.183251, ' Yes': -2.8599877, 'Yes': -6.6451416}
{' No': -2.8757577, 'No': -6.316895, ' Yes': -0.07874172, ' yes': -6.3908615, 'Yes': -4.179234}
{' No': -0.45472968, 'No': -4.4853425, ' Yes': -1.050532, ' yes': -7.9026046, 'Yes': -5.64423}
{' No': -0.22200288, ' Generally': -7.694638, 'No': -2.6634188, ' Yes': -2.0890036, 'Yes': -5.515811}
{' No': -0.07900228, 'No': -2.646242, ' Yes': -5.3890834, 'Yes': -8.594634, ' no': -8.968686}
{' No': -1.2014858, ' ': -5.601714, ' Yes': -0.5123568, ' yes': -2.575984, ' no': -4.265746}
{' No': -0.40220928, 'No': -3.717942, ' Yes': -1.2364055, ' yes': -5.5105114, 'Yes': -5.193742}
{' No': -2.3181953, '\n': -3.747461, ' Yes': -0.21362513, ' yes': -4.2839394, 'Yes': -3.195919}
{' No': -1.1853429, '\n': -5.7643166, 'No': -5.229961, ' Yes': -0.39173323, 'Yes': -5.13344}
{' No': -0.3251984, '\n': -3.5682545, 'No': -1.9420732, ' Yes': -2.500476, 'Yes': -4.6585445}
{' No': -1.0151291, 'No': -5.275619, ' Yes': -0.48999038, ' yes': -4.6629505, 'Yes': -5.6811614}
{' No': -3.0225892, ' ': -8.579321, ' Yes': -0.052836057, ' yes': -6.980297, 'Yes': -6.6531243}
{' No': -1.545659, '\n': -5.23852, 'No': -5.383586, ' Yes': -0.2671765, 'Yes': -4.7049837}
{' No': -3.4220507, '\n': -5.682825, ' ': -6.545529, ' Yes': -0.05990064, 'Yes': -4.0061607}
{' No': -3.9047723, '\n': -7.0709863, ' ': -7.3464417, ' Yes': -0.025206394, 'Yes': -5.9306602}
{' No': -2.487852, '\n': -4.662248, 'No': -5.675159, ' Yes': -0.13535677, 'Yes': -3.638433}
{' No': -5.8744087, ' Yes': -0.013882381, ' yes': -5.5633283, 'Yes': -5.01878, 'yes': -8.866059}
{'\n': -12.169013, ' ': -11.655377, ' Yes': -0.0011616655, ' yes': -10.76457, 'Yes': -6.796299}
{'\n': -10.021358, ' ': -9.187366, ' Yes': -0.0108124325, ' yes': -8.137702, 'Yes': -4.5830855}
{'\n': -8.785412, ' ': -8.33459, ' Yes': -0.014390005, ' yes': -7.754376, 'Yes': -4.3150697}
{' ': -12.016525, ' Yes': -0.0014620535, ' yes': -10.261077, 'Yes': -6.5654016, 'yes': -13.075664}
{'\n': -7.7279706, ' ': -8.06186, ' Yes': -0.025717843, ' yes': -9.019072, 'Yes': -3.7139995}
{'\n': -11.284517, ' ': -9.900204, ' Yes': -0.0049714227, ' yes': -8.651014, 'Yes': -5.368392}
{'\n': -8.520619, ' ': -8.75825, ' Yes': -0.0016194115, ' yes': -8.62043, 'Yes': -6.84337}
{'\n': -8.617259, ' ': -8.233668, ' Yes': -0.0075636124, ' yes': -7.933675, 'Yes': -5.0105734}
{'\n': -5.4601407, ' ': -6.3206863, ' Yes': -0.024666496, ' yes': -7.3930035, 'Yes': -4.051251}
{'\n': -12.3081045, ' ': -10.101828, ' Yes': -0.0011179856, ' yes': -9.6589985, 'Yes': -6.9084606}
{'\n': -5.488191, ' ': -5.6373606, ' Yes': -0.07274786, ' yes': -5.627856, 'Yes': -2.8489242}
{'\n': -10.1209545, ' ': -8.993576, ' Yes': -0.004862286, ' yes': -6.7047787, 'Yes': -5.6853046}
{' ': -9.161842, ' Yes': -0.024939004, ' yes': -5.7623525, 'Yes': -3.8594117, 'yes': -8.651422}
{' ': -9.53547, ' Yes': -0.01574438, ' yes': -7.433148, 'Yes': -4.208785, 'yes': -10.052991}
{' ': -8.877363, ' Yes': -0.01923886, ' yes': -6.964677, 'Yes': -4.027967, 'yes': -9.490897}
{' ': -10.707021, ' Yes': -0.008784398, ' yes': -7.828058, 'Yes': -4.796254, 'yes': -10.257427}
{' ': -8.977041, ' Yes': -0.032242298, ' yes': -8.23509, 'Yes': -3.4695358, 'yes': -9.669084}
{' ': -11.199736, ' Yes': -0.019312145, ' yes': -7.9969425, 'Yes': -3.9804914, 'yes': -9.257933}
{'\n': -7.64841, ' ': -6.5659575, ' Yes': -0.075664215, ' yes': -2.700849, 'Yes': -5.712511}
{'\n': -6.894424, ' ': -7.448091, ' Yes': -0.02765902, ' yes': -5.2785535, 'Yes': -3.8991363}
{'\n': -4.5992785, ' ': -6.1251974, ' Yes': -0.06862367, ' yes': -4.5295877, 'Yes': -3.1643782}
{'\n': -8.77906, ' ': -9.123129, ' Yes': -0.008686571, ' yes': -6.6151366, 'Yes': -4.966332}
{'\n': -4.356707, ' ': -5.491287, ' Yes': -0.13229801, ' yes': -3.9027178, 'Yes': -2.4841008}
{'\n': -7.6190424, ' ': -8.219086, ' Yes': -0.018958846, ' yes': -4.4132743, 'Yes': -5.1790423}
{'\n': -9.323966, ' ': -9.173758, ' Yes': -0.0022738955, ' yes': -7.8247604, 'Yes': -6.423517}
{'\n': -6.2231903, ' ': -7.8149567, ' Yes': -0.014928863, ' yes': -7.8237224, 'Yes': -4.4293914}
{'\n': -5.4353037, ' ': -6.4041185, ' Yes': -0.026517179, ' yes': -7.3462896, 'Yes': -3.9485753}
{'\n': -7.5833507, ' ': -7.636358, ' Yes': -0.0040033325, ' yes': -8.466061, 'Yes': -5.8935637}
{'\n': -5.0148225, ' ': -6.559294, ' Yes': -0.036295503, ' yes': -6.6210885, 'Yes': -3.6536276}
{'\n': -8.0446005, ' ': -8.371408, ' Yes': -0.012946578, ' yes': -6.0902624, 'Yes': -4.6184816}
{'\n': -13.205399, ' ': -12.284945, ' Yes': -0.00105915, ' yes': -10.725599, 'Yes': -6.882794}
{' No': -6.3079147, ' ': -9.391553, ' Yes': -0.0087529505, ' yes': -8.197699, 'Yes': -5.05151}
{' No': -7.251043, ' ': -8.296369, ' Yes': -0.015155828, ' yes': -7.423399, 'Yes': -4.3293414}
{' No': -7.930638, ' ': -11.605554, ' Yes': -0.0016087241, ' yes': -9.736965, 'Yes': -6.767937}
{' No': -7.028748, '\n': -8.202995, ' ': -8.563446, ' Yes': -0.023840806, 'Yes': -3.8216236}
{' No': -8.660072, ' ': -9.733419, ' Yes': -0.006282576, ' yes': -8.30654, 'Yes': -5.1787376}
{'\n': -8.071412, ' ': -8.33974, ' Yes': -0.0018765811, ' yes': -7.5265455, 'Yes': -7.2482047}
{' No': -7.547106, ' ': -8.265409, ' Yes': -0.0073681446, ' yes': -7.4444118, 'Yes': -5.1557612}
{'\n': -5.6759014, ' ': -6.614364, ' Yes': -0.021962842, ' yes': -6.710181, 'Yes': -4.176519}
{' No': -7.1289253, ' ': -9.507162, ' Yes': -0.001934507, ' yes': -8.783226, 'Yes': -7.032236}
{' No': -5.2442846, '\n': -5.255951, ' ': -5.2387505, ' Yes': -0.09478205, 'Yes': -2.660263}
{' No': -8.958465, ' ': -9.409694, ' Yes': -0.0049890927, ' yes': -6.195237, 'Yes': -5.942584}
{' ': -9.125567, ' Yes': -0.030736359, ' yes': -4.6880217, 'Yes': -3.8968477, 'yes': -7.885887}
{' No': -5.737733, 'No': -8.489068, ' Yes': -0.024752699, ' yes': -6.3809633, 'Yes': -3.9611006}
{' No': -5.659575, ' ': -8.341704, ' Yes': -0.029959936, ' yes': -5.791199, 'Yes': -3.8075933}
{' No': -6.2903767, ' ': -9.567352, ' Yes': -0.009518078, ' yes': -7.327087, 'Yes': -4.9940796}
{' No': -4.655401, 'No': -6.7652397, ' Yes': -0.041387755, ' yes': -7.737596, 'Yes': -3.544201}
{' No': -9.231116, ' Yes': -0.04166729, ' yes': -6.2377563, 'Yes': -3.2603426, 'yes': -7.9965253}
{' ': -6.5929146, ' Yes': -0.234246, ' yes': -1.5908211, 'Yes': -6.1850095, 'yes': -7.2186713}
{'\n': -7.2802467, ' ': -7.265676, ' Yes': -0.03186226, ' yes': -4.471544, 'Yes': -4.0242786}
{'\n': -4.5653844, ' ': -5.9351573, ' Yes': -0.08435877, ' yes': -3.9279313, 'Yes': -3.0762637}
{'\n': -7.371498, ' ': -8.213301, ' Yes': -0.0104658, ' yes': -5.572843, 'Yes': -5.233913}
{' No': -4.5168447, '\n': -4.02785, ' Yes': -0.1795492, ' yes': -3.7247093, 'Yes': -2.3254497}
{'\n': -7.619003, ' Yes': -0.025111958, ' yes': -3.9304368, 'Yes': -5.5213275, 'yes': -8.194804}
{' No': -8.46163, ' ': -8.980558, ' Yes': -0.00296426, ' yes': -6.808962, 'Yes': -6.587187}
{'\n': -6.6230626, ' ': -8.08469, ' Yes': -0.012802515, ' yes': -7.1502953, 'Yes': -4.6123257}
{'\n': -6.3300433, ' ': -7.2128983, ' Yes': -0.019386403, ' yes': -6.773184, 'Yes': -4.1828766}
{'\n': -7.9573765, ' ': -7.87281, ' Yes': -0.0027888143, ' yes': -8.007702, 'Yes': -6.439984}
{' No': -6.2558317, '\n': -5.8033266, ' Yes': -0.036057945, ' yes': -6.0117598, 'Yes': -3.6260962}
{' ': -9.233559, ' Yes': -0.011611947, ' yes': -5.223215, 'Yes': -5.167446, 'yes': -8.904752}
{' No': -1.735033, '\n': -9.687694, 'No': -6.8957443, ' Yes': -0.19803615, 'Yes': -6.2159076}
{' No': -0.3403423, ' ': -7.4611745, 'No': -3.9286907, ' Yes': -1.3321368, 'Yes': -5.642714}
{' No': -0.06662113, '\n': -7.224818, ' ': -7.2482586, 'No': -3.4431453, ' Yes': -3.5093832}
{' No': -0.19791076, ' ': -9.496652, 'No': -5.193154, ' Yes': -1.7537675, 'Yes': -7.3950157}
{' No': -0.13054837, '\n': -6.157764, 'No': -2.4729612, ' Yes': -3.4098525, 'Yes': -6.548626}
{' No': -3.895221, 'No': -7.4626875, ' Yes': -0.030219516, ' yes': -8.037658, 'Yes': -4.812049}
{' No': -0.06832622, '\n': -6.2213926, ' ': -6.6917086, 'No': -6.754035, ' Yes': -2.7909405}
{' No': -0.4936661, ' ': -6.7104154, 'No': -5.0644155, ' Yes': -0.97292167, 'Yes': -5.9794116}
{' No': -1.5388598, '\n': -4.2702174, ' ': -5.4047384, ' Yes': -0.28917825, 'Yes': -4.418462}
{' No': -0.04477899, ' ': -8.094729, 'No': -6.5500617, ' Yes': -3.172129, 'Yes': -9.829096}
{' No': -0.113718756, '\n': -4.6010942, ' ': -4.8643785, 'No': -2.8853364, ' Yes': -3.4777591}
{' No': -3.0377738, 'No': -7.8848343, ' Yes': -0.05583663, ' yes': -6.1217523, 'Yes': -5.704619}
{' No': -0.7795008, 'No': -3.6810968, ' Yes': -0.6942423, ' yes': -5.655502, 'Yes': -4.4569983}
{' No': -0.7615065, 'No': -3.7370427, ' Yes': -0.7018903, ' yes': -7.057889, 'Yes': -4.415244}
{' No': -0.77028936, 'No': -4.005597, ' Yes': -0.6858186, ' yes': -6.4076657, 'Yes': -4.381896}
{' No': -0.39057148, ' ': -8.137416, 'No': -4.3254776, ' Yes': -1.1864585, 'Yes': -5.521383}
{' No': -0.15644391, ' ': -7.754306, 'No': -2.1299164, ' Yes': -3.755151, 'Yes': -6.6373467}
{' No': -4.4716654, 'No': -6.634179, ' Yes': -0.06654093, ' yes': -7.1099367, 'Yes': -2.986995}
{' No': -0.86657715, ' ': -4.6784744, ' Yes': -0.98419386, ' yes': -2.1079292, ' no': -2.6881733}
{' No': -3.2474937, '\n': -6.2834597, ' Yes': -0.0907954, ' yes': -3.849037, 'Yes': -3.8893278}
{' No': -2.9528441, '\n': -3.7395456, ' Yes': -0.17236304, ' yes': -3.472486, 'Yes': -3.2064033}
{' No': -2.4496636, '\n': -6.427993, ' Yes': -0.108189225, ' yes': -5.2221284, 'Yes': -4.968682}
{' No': -0.4078822, '\n': -3.2244189, 'No': -2.2456145, ' Yes': -1.8886657, 'Yes': -4.1589103}
{' No': -5.1423435, '\n': -6.8030963, ' Yes': -0.037294954, ' yes': -3.7540114, 'Yes': -5.2253275}
{' No': -0.009365248, '\n': -7.9168205, ' ': -7.913046, 'No': -6.0291667, ' Yes': -5.1416016}
{' No': -0.040755164, '\n': -4.8467913, ' ': -6.882975, 'No': -4.018542, ' Yes': -4.3746653}
{' No': -0.1845378, '\n': -4.2274265, ' ': -5.6297355, 'No': -4.0664496, ' Yes': -2.0385168}
{' No': -0.07610765, '\n': -5.843678, ' ': -6.481909, 'No': -5.720604, ' Yes': -2.729607}
{' No': -0.04972005, '\n': -4.8258657, ' ': -6.442973, 'No': -3.4295206, ' Yes': -5.1745653}
{' No': -1.1660283, 'No': -5.502185, ' Yes': -0.400037, ' yes': -5.3438063, 'Yes': -4.932086}
{' No': -5.1700306, ' Yes': -0.00738706, ' yes': -9.526096, 'Yes': -6.6470356, ' It': -9.029861}
{' No': -1.1170524, 'No': -4.8738213, ' Yes': -0.42090246, 'Yes': -5.2284927, ' It': -6.563917}
{' No': -0.47744244, ' ': -7.332126, 'No': -3.7274327, ' Yes': -1.0553519, 'Yes': -5.188088}
{' No': -1.0765579, 'No': -5.6272492, ' Yes': -0.42936194, 'Yes': -6.1583123, ' In': -7.4276266}
{' No': -0.17971534, '\n': -6.0800653, 'No': -2.3191671, ' Yes': -2.8513498, 'Yes': -6.120423}
{' No': -2.9855945, ' Generally': -7.745529, 'No': -6.201325, ' Yes': -0.06446177, 'Yes': -4.886113}
{' No': -1.163987, '\n': -6.862047, ' ': -7.342951, ' Yes': -0.37907857, 'Yes': -7.5753574}
{' No': -1.680141, ' ': -7.049746, 'No': -5.6670985, ' Yes': -0.22127287, 'Yes': -5.137014}
{' No': -4.41771, '\n': -5.2504582, ' ': -6.176871, ' Yes': -0.035841502, 'Yes': -4.2941346}
{' No': -0.42250568, ' ': -8.115863, 'No': -6.0524116, ' Yes': -1.0758126, 'Yes': -7.443202}
{' No': -0.3499036, '\n': -4.247769, 'No': -2.2693791, ' Yes': -1.8986323, 'Yes': -4.3669553}
{' No': -2.739389, 'No': -7.2854476, ' Yes': -0.07438067, ' yes': -6.0795875, 'Yes': -5.7949047}
{' No': -1.0175104, 'No': -3.9242752, ' Yes': -0.5071745, ' yes': -5.587436, 'Yes': -4.6599874}
{' No': -0.37313858, 'No': -3.0676153, ' Yes': -1.357443, ' yes': -7.4871335, 'Yes': -5.0448246}
{' No': -1.0805949, 'No': -4.398792, ' Yes': -0.4540042, ' yes': -6.594978, 'Yes': -4.5073967}
{' No': -0.60447174, 'No': -4.4856744, ' Yes': -0.8283257, ' yes': -7.5634193, 'Yes': -5.3835435}
{' No': -0.18076336, 'No': -1.9526825, ' Yes': -3.9121644, 'Yes': -6.9760504, ' It': -6.9348464}
{' No': -0.58794755, 'No': -2.7303922, ' Yes': -1.0158077, ' yes': -6.7233305, 'Yes': -4.1686606}
{' No': -2.591051, ' ': -5.9153056, ' Yes': -0.20837973, ' yes': -2.281107, ' no': -5.437832}
{' No': -2.5876017, 'No': -5.848126, ' Yes': -0.11549678, ' yes': -4.241578, 'Yes': -4.3896646}
{' No': -1.7602338, '\n': -3.4920337, 'No': -3.9388015, ' Yes': -0.33979687, 'Yes': -3.2671876}
{' No': -1.6644644, 'No': -5.4190245, ' Yes': -0.23504785, ' yes': -5.5208488, 'Yes': -5.00117}
{' No': -0.59089416, '\n': -3.4110453, 'No': -2.0138028, ' Yes': -1.4747844, 'Yes': -3.709824}
{' No': -3.3380885, '\n': -6.4154606, ' Yes': -0.0662932, ' yes': -3.8906758, 'Yes': -5.501842}
{' No': -1.1285025, 'No': -7.275072, ' Yes': -0.39611503, ' yes': -6.911582, 'Yes': -7.0032086}
{' No': -2.9523342, '\n': -5.5987024, 'No': -6.71953, ' Yes': -0.07198797, 'Yes': -4.6169896}
{' No': -3.3848755, '\n': -5.456952, ' Yes': -0.059152015, ' yes': -6.506726, 'Yes': -4.205175}
{' No': -1.2494189, ' ': -6.489411, 'No': -6.4532456, ' Yes': -0.34788194, 'Yes': -6.323378}
